"TotalPutting_RANKTHISWEEK_2013","TotalPutting_RANKLASTWEEK_2013","TotalPutting_PLAYERNAME_2013","TotalPutting_EVENTS_2013","TotalPutting_TOTAL_2013","stat_name","year"
1,1,"Greg Chalmers",25,51.3,"TotalPutting",2013
2,2,"Billy Horschel",26,67.8,"TotalPutting",2013
3,3,"Russell Henley",24,71.9,"TotalPutting",2013
4,4,"David Hearn",26,72.1,"TotalPutting",2013
5,5,"Bryce Molder",24,73.2,"TotalPutting",2013
6,6,"Luke Donald",17,73.5,"TotalPutting",2013
7,7,"Richard Lee",24,74.2,"TotalPutting",2013
8,8,"Stephen Ames",19,76.5,"TotalPutting",2013
9,9,"Tiger Woods",16,79.7,"TotalPutting",2013
10,10,"Peter Hanson",15,81.8,"TotalPutting",2013
11,11,"Phil Mickelson",21,84.8,"TotalPutting",2013
12,12,"David Lynn",22,86.2,"TotalPutting",2013
13,13,"Steve Stricker",13,86.8,"TotalPutting",2013
14,14,"Jeff Overton",24,87.1,"TotalPutting",2013
15,15,"Rickie Fowler",22,88,"TotalPutting",2013
16,16,"Brian Gay",24,92.7,"TotalPutting",2013
17,17,"Freddie Jacobson",19,96.3,"TotalPutting",2013
18,18,"Matt Kuchar",23,97.4,"TotalPutting",2013
19,19,"Charl Schwartzel",19,102.1,"TotalPutting",2013
20,20,"James Driscoll",23,103.8,"TotalPutting",2013
21,21,"Aaron Baddeley",24,106.1,"TotalPutting",2013
22,22,"Hunter Mahan",25,107.2,"TotalPutting",2013
23,23,"Kevin Streelman",25,108.6,"TotalPutting",2013
24,24,"Chris Kirk",24,108.9,"TotalPutting",2013
25,25,"Martin Kaymer",17,112.7,"TotalPutting",2013
26,26,"Brandt Snedeker",23,112.8,"TotalPutting",2013
27,27,"Shawn Stefani",21,113.8,"TotalPutting",2013
28,28,"Ryan Palmer",22,114.1,"TotalPutting",2013
29,29,"Bob Estes",18,115.4,"TotalPutting",2013
30,30,"Sergio Garcia",17,116.3,"TotalPutting",2013
31,31,"Andres Romero",21,117,"TotalPutting",2013
32,32,"Chris Stroud",26,117.2,"TotalPutting",2013
33,33,"Justin Leonard",24,118.9,"TotalPutting",2013
34,34,"Aaron Watkins",19,122.3,"TotalPutting",2013
35,35,"Ben Kohles",25,123.6,"TotalPutting",2013
36,36,"Harris English",26,130.7,"TotalPutting",2013
37,37,"Webb Simpson",25,136.1,"TotalPutting",2013
38,38,"Fabian Gomez",23,137.9,"TotalPutting",2013
39,39,"Ian Poulter",16,139,"TotalPutting",2013
40,40,"Morgan Hoffmann",20,140.3,"TotalPutting",2013
41,41,"Daniel Summerhays",26,143.8,"TotalPutting",2013
42,42,"Jerry Kelly",22,147.2,"TotalPutting",2013
43,43,"Jason Day",21,148.8,"TotalPutting",2013
44,44,"Casey Wittenberg",27,149.8,"TotalPutting",2013
45,45,"Charles Howell III",26,151.9,"TotalPutting",2013
46,46,"Keegan Bradley",25,152.1,"TotalPutting",2013
47,47,"Doug LaBelle II",23,153.2,"TotalPutting",2013
48,48,"Mike Weir",22,154.4,"TotalPutting",2013
49,49,"Jimmy Walker",24,155.8,"TotalPutting",2013
50,50,"Brian Davis",28,156.4,"TotalPutting",2013
51,51,"Tim Clark",20,156.9,"TotalPutting",2013
