"Scramblingfrom1020yards_RANKTHISWEEK_2016","Scramblingfrom1020yards_RANKLASTWEEK_2016","Scramblingfrom1020yards_PLAYERNAME_2016","Scramblingfrom1020yards_ROUNDS_2016","Scramblingfrom1020yards_Pct_2016","Scramblingfrom1020yards_SUCCESSES_2016","Scramblingfrom1020yards_ATTEMPTS_2016","stat_name","year"
1,1,"Morgan Hoffmann",43,81.4,70,86,"Scramblingfrom1020yards",2016
2,2,"Andrew Landry",24,80,28,35,"Scramblingfrom1020yards",2016
3,3,"Phil Mickelson",37,79.75,63,79,"Scramblingfrom1020yards",2016
4,5,"Branden Grace",31,78,39,50,"Scramblingfrom1020yards",2016
5,4,"Bill Haas",42,76.92,50,65,"Scramblingfrom1020yards",2016
6,11,"Bryce Molder",50,76,95,125,"Scramblingfrom1020yards",2016
7,14,"Zach Johnson",42,75.34,55,73,"Scramblingfrom1020yards",2016
8,15,"Brice Garnett",29,75,27,36,"Scramblingfrom1020yards",2016
8,6,"Jamie Lovemark",57,75,99,132,"Scramblingfrom1020yards",2016
8,8,"Ian Poulter",37,75,51,68,"Scramblingfrom1020yards",2016
11,22,"Patrick Reed",53,74.75,74,99,"Scramblingfrom1020yards",2016
11,10,"Brendon Todd",43,74.75,74,99,"Scramblingfrom1020yards",2016
13,12,"Luke Donald",49,74.74,71,95,"Scramblingfrom1020yards",2016
14,30,"Tim Wilkinson",40,74.19,46,62,"Scramblingfrom1020yards",2016
15,17,"Zac Blair",56,74.13,106,143,"Scramblingfrom1020yards",2016
16,19,"Sergio Garcia",28,74.07,20,27,"Scramblingfrom1020yards",2016
17,18,"Rickie Fowler",42,73.77,45,61,"Scramblingfrom1020yards",2016
18,15,"Stuart Appleby",39,73.47,72,98,"Scramblingfrom1020yards",2016
19,8,"Charles Howell III",63,73.28,85,116,"Scramblingfrom1020yards",2016
20,24,"Marc Leishman",41,73.17,60,82,"Scramblingfrom1020yards",2016
21,26,"David Hearn",55,73.11,87,119,"Scramblingfrom1020yards",2016
22,23,"Ricky Barnes",57,73.08,95,130,"Scramblingfrom1020yards",2016
23,7,"David Toms",38,72.73,56,77,"Scramblingfrom1020yards",2016
24,42,"Steven Bowditch",40,72.31,47,65,"Scramblingfrom1020yards",2016
25,31,"Matt Kuchar",46,72.29,60,83,"Scramblingfrom1020yards",2016
26,32,"Chris Kirk",51,72.22,78,108,"Scramblingfrom1020yards",2016
27,113,"Martin Piller",37,71.83,51,71,"Scramblingfrom1020yards",2016
28,36,"Shane Bertsch",30,71.74,33,46,"Scramblingfrom1020yards",2016
29,38,"Troy Merritt",41,71.25,57,80,"Scramblingfrom1020yards",2016
30,39,"Russell Henley",42,71.15,74,104,"Scramblingfrom1020yards",2016
31,25,"Sam Saunders",40,71.05,54,76,"Scramblingfrom1020yards",2016
32,50,"Francesco Molinari",36,71,71,100,"Scramblingfrom1020yards",2016
33,13,"Brian Stuard",24,70.91,39,55,"Scramblingfrom1020yards",2016
34,26,"Si Woo Kim",63,70.86,107,151,"Scramblingfrom1020yards",2016
35,21,"Scott Langley",41,70.79,63,89,"Scramblingfrom1020yards",2016
