"ProximitytoHole_RANKTHISWEEK_2015","ProximitytoHole_RANKLASTWEEK_2015","ProximitytoHole_PLAYERNAME_2015","ProximitytoHole_ROUNDS_2015","ProximitytoHole_AVG_2015","ProximitytoHole_TOTALDISTANCEFEET_2015","ProximitytoHole_OFATTEMPTS_2015","ProximitytoHole_GIRRANK_2015","stat_name","year"
1,1,"Jim Furyk",71,NA,29344.083,933,14,"ProximitytoHole",2015
2,2,"Russell Knox",96,NA,49110.083,1557,7,"ProximitytoHole",2015
3,3,"Jason Bohn",95,NA,49287.917,1560,28,"ProximitytoHole",2015
4,4,"Lucas Glover",79,NA,41733.333,1291,10,"ProximitytoHole",2015
4,4,"Jason Gore",76,NA,33532.667,1036,61,"ProximitytoHole",2015
4,4,"Chez Reavie",56,NA,28937.333,896,15,"ProximitytoHole",2015
7,7,"Stewart Cink",77,NA,38692.25,1183,3,"ProximitytoHole",2015
7,7,"Jim Herman",88,NA,45057.167,1380,2,"ProximitytoHole",2015
9,9,"Paul Casey",87,NA,37037.667,1130,5,"ProximitytoHole",2015
9,9,"Tom Hoge",83,NA,38178.25,1166,102,"ProximitytoHole",2015
9,9,"Brian Stuard",97,NA,46324.5,1416,161,"ProximitytoHole",2015
12,12,"Nicholas Thompson",90,NA,41323.5,1254,36,"ProximitytoHole",2015
13,13,"Colt Knost",90,NA,43744.25,1326,63,"ProximitytoHole",2015
14,14,"Roberto Castro",54,NA,21290.25,644,99,"ProximitytoHole",2015
14,14,"Greg Owen",58,NA,23769.417,718,20,"ProximitytoHole",2015
14,14,"Hudson Swafford",97,NA,49106.583,1484,39,"ProximitytoHole",2015
14,14,"David Toms",62,NA,32677.917,987,135,"ProximitytoHole",2015
18,18,"Steven Alker",62,NA,29709.917,895,84,"ProximitytoHole",2015
18,18,"Tyrone Van Aswegen",58,NA,24954.417,752,77,"ProximitytoHole",2015
20,20,"Will Wilcox",58,NA,24425.5,733,4,"ProximitytoHole",2015
21,21,"Robert Allenby",63,NA,30612.917,916,81,"ProximitytoHole",2015
21,21,"Justin Rose",69,NA,29367.917,878,9,"ProximitytoHole",2015
23,23,"Chad Collins",79,NA,37777.667,1128,100,"ProximitytoHole",2015
23,23,"Billy Hurley III",83,NA,37616.333,1124,122,"ProximitytoHole",2015
25,25,"Hideki Matsuyama",95,NA,42162.083,1254,21,"ProximitytoHole",2015
26,26,"William McGirt",103,NA,58550,1741,50,"ProximitytoHole",2015
26,26,"Jordan Spieth",91,NA,39656,1179,49,"ProximitytoHole",2015
28,28,"Alex Cejka",94,NA,47830.167,1415,109,"ProximitytoHole",2015
28,28,"Jon Curran",83,NA,39633,1170,93,"ProximitytoHole",2015
28,28,"Danny Lee",120,NA,60665.25,1792,111,"ProximitytoHole",2015
31,31,"Whee Kim",71,NA,34052.75,1003,46,"ProximitytoHole",2015
31,31,"Nick Watney",91,NA,49171.667,1449,66,"ProximitytoHole",2015
33,33,"Ryo Ishikawa",90,NA,45719.083,1345,92,"ProximitytoHole",2015
33,33,"Webb Simpson",81,NA,39035.667,1148,53,"ProximitytoHole",2015
33,33,"Brendon Todd",96,NA,46278.333,1360,118,"ProximitytoHole",2015
33,33,"Johnson Wagner",68,NA,34850.083,1025,26,"ProximitytoHole",2015
37,37,"Charlie Beljan",76,NA,34761.833,1021,117,"ProximitytoHole",2015
37,37,"Kevin Chappell",86,NA,45613.5,1338,103,"ProximitytoHole",2015
37,37,"Graham DeLaet",65,NA,33017.25,969,22,"ProximitytoHole",2015
37,37,"Ken Duke",93,NA,47658.5,1397,146,"ProximitytoHole",2015
37,37,"Bo Van Pelt",81,NA,39798.583,1168,73,"ProximitytoHole",2015
42,42,"David Lingmerth",90,NA,45335.083,1328,130,"ProximitytoHole",2015
43,43,"Jason Dufner",76,NA,29413.833,858,24,"ProximitytoHole",2015
43,43,"James Hahn",94,NA,47965.833,1399,98,"ProximitytoHole",2015
43,43,"Justin Leonard",61,NA,33198.5,970,171,"ProximitytoHole",2015
43,43,"Spencer Levin",99,NA,51023.917,1488,45,"ProximitytoHole",2015
43,43,"Francesco Molinari",56,NA,26349,770,6,"ProximitytoHole",2015
48,48,"Chad Campbell",97,NA,56130.917,1634,35,"ProximitytoHole",2015
48,48,"Kevin Kisner",104,NA,57907.5,1686,95,"ProximitytoHole",2015
48,48,"Scott Langley",94,NA,48583.167,1416,134,"ProximitytoHole",2015
48,48,"Louis Oosthuizen",68,NA,28968,844,43,"ProximitytoHole",2015
52,52,"Blayne Barber",76,NA,38728.667,1126,90,"ProximitytoHole",2015
52,52,"David Hearn",97,NA,52236.75,1518,47,"ProximitytoHole",2015
52,52,"Bryce Molder",91,NA,47411.083,1376,119,"ProximitytoHole",2015
52,52,"Pat Perez",96,NA,51124.75,1487,48,"ProximitytoHole",2015
56,56,"Zach Johnson",90,NA,43350.25,1257,37,"ProximitytoHole",2015
56,56,"Dustin Johnson",75,NA,33396.75,967,70,"ProximitytoHole",2015
56,56,"Mark Wilson",89,NA,49940.917,1449,51,"ProximitytoHole",2015
59,59,"George McNeill",93,NA,55345.333,1600,91,"ProximitytoHole",2015
59,59,"John Merrick",78,NA,35928.333,1040,56,"ProximitytoHole",2015
59,59,"Jim Renner",68,NA,34565.833,1000,123,"ProximitytoHole",2015
62,62,"Bill Lunde",50,NA,22382.083,645,33,"ProximitytoHole",2015
