"ScramblingAverageDistancetoHole_RANKTHISWEEK_2011","ScramblingAverageDistancetoHole_RANKLASTWEEK_2011","ScramblingAverageDistancetoHole_PLAYERNAME_2011","ScramblingAverageDistancetoHole_ROUNDS_2011","ScramblingAverageDistancetoHole_AVGDTP_2011","ScramblingAverageDistancetoHole_TOTALDISTANCEFEET_2011","ScramblingAverageDistancetoHole_ATTEMPTS_2011","stat_name","year"
1,NA,"Robert Karlsson",61,NA,1865.583,275,"ScramblingAverageDistancetoHole",2011
2,NA,"Steve Stricker",70,NA,1864.167,274,"ScramblingAverageDistancetoHole",2011
3,NA,"Alex Cejka",59,NA,1682.417,243,"ScramblingAverageDistancetoHole",2011
4,NA,"Woody Austin",59,NA,1848.083,265,"ScramblingAverageDistancetoHole",2011
5,NA,"Ernie Els",71,NA,1888.917,267,"ScramblingAverageDistancetoHole",2011
5,NA,"Kevin Na",84,NA,2891.167,409,"ScramblingAverageDistancetoHole",2011
7,NA,"Brian Gay",90,NA,2957.333,414,"ScramblingAverageDistancetoHole",2011
8,NA,"Billy Mayfair",94,NA,3109.75,430,"ScramblingAverageDistancetoHole",2011
8,NA,"Ian Poulter",52,NA,1489.083,205,"ScramblingAverageDistancetoHole",2011
8,NA,"Chris Riley",76,NA,2766.167,383,"ScramblingAverageDistancetoHole",2011
8,NA,"Mark Wilson",89,NA,2665.833,367,"ScramblingAverageDistancetoHole",2011
12,NA,"Shane Bertsch",62,NA,2065.25,281,"ScramblingAverageDistancetoHole",2011
13,NA,"Sergio Garcia",61,NA,1748.833,235,"ScramblingAverageDistancetoHole",2011
13,NA,"Charles Howell III",108,NA,3284.083,443,"ScramblingAverageDistancetoHole",2011
15,NA,"Ben Curtis",66,NA,2559.917,340,"ScramblingAverageDistancetoHole",2011
15,NA,"Luke Donald",73,NA,1945.417,259,"ScramblingAverageDistancetoHole",2011
15,NA,"Chris Kirk",87,NA,2970.333,395,"ScramblingAverageDistancetoHole",2011
15,NA,"Matt Kuchar",94,NA,2819.75,377,"ScramblingAverageDistancetoHole",2011
15,NA,"Ryan Palmer",82,NA,2514.417,335,"ScramblingAverageDistancetoHole",2011
15,NA,"Webb Simpson",98,NA,2916.833,391,"ScramblingAverageDistancetoHole",2011
21,NA,"Steve Elkington",50,NA,1773.25,235,"ScramblingAverageDistancetoHole",2011
21,NA,"Nick OHern",89,NA,3050.25,404,"ScramblingAverageDistancetoHole",2011
21,NA,"Rod Pampling",72,NA,2477.583,327,"ScramblingAverageDistancetoHole",2011
24,NA,"Chad Campbell",99,NA,2844.25,372,"ScramblingAverageDistancetoHole",2011
24,NA,"Jason Day",76,NA,2442.083,320,"ScramblingAverageDistancetoHole",2011
24,NA,"Jason Dufner",78,NA,2681.25,349,"ScramblingAverageDistancetoHole",2011
24,NA,"Scott Gutschewski",67,NA,2437.25,317,"ScramblingAverageDistancetoHole",2011
24,NA,"Justin Leonard",82,NA,2969.083,389,"ScramblingAverageDistancetoHole",2011
24,NA,"Geoff Ogilvy",69,NA,2407.667,314,"ScramblingAverageDistancetoHole",2011
24,NA,"Dean Wilson",62,NA,2557.75,335,"ScramblingAverageDistancetoHole",2011
31,NA,"Chris DiMarco",93,NA,3474.333,447,"ScramblingAverageDistancetoHole",2011
31,NA,"Zach Johnson",79,NA,2653.833,341,"ScramblingAverageDistancetoHole",2011
31,NA,"Spencer Levin",113,NA,3662.667,474,"ScramblingAverageDistancetoHole",2011
31,NA,"Bryce Molder",82,NA,3041.583,391,"ScramblingAverageDistancetoHole",2011
31,NA,"John Rollins",85,NA,2647.333,343,"ScramblingAverageDistancetoHole",2011
31,NA,"Paul Stankowski",78,NA,2635.333,339,"ScramblingAverageDistancetoHole",2011
31,NA,"David Toms",78,NA,2164,278,"ScramblingAverageDistancetoHole",2011
38,NA,"Ricky Barnes",78,NA,2501.833,318,"ScramblingAverageDistancetoHole",2011
38,NA,"Jim Furyk",87,NA,2653.25,338,"ScramblingAverageDistancetoHole",2011
38,NA,"Padraig Harrington",60,NA,1922.083,245,"ScramblingAverageDistancetoHole",2011
38,NA,"Trevor Immelman",84,NA,2455.25,313,"ScramblingAverageDistancetoHole",2011
38,NA,"Davis Love III",70,NA,2026.833,260,"ScramblingAverageDistancetoHole",2011
38,NA,"Shaun Micheel",77,NA,2831.5,363,"ScramblingAverageDistancetoHole",2011
44,NA,"Brendon de Jonge",105,NA,3944.5,498,"ScramblingAverageDistancetoHole",2011
45,NA,"Michael Bradley",74,NA,2289.75,285,"ScramblingAverageDistancetoHole",2011
45,NA,"KJ Choi",77,NA,2512.167,315,"ScramblingAverageDistancetoHole",2011
45,NA,"Ryan Moore",79,NA,2719.417,339,"ScramblingAverageDistancetoHole",2011
45,NA,"DA Points",89,NA,3414.917,429,"ScramblingAverageDistancetoHole",2011
45,NA,"Justin Rose",79,NA,2373.667,298,"ScramblingAverageDistancetoHole",2011
45,NA,"Vijay Singh",79,NA,3079.083,384,"ScramblingAverageDistancetoHole",2011
45,NA,"DJ Trahan",91,NA,3279.917,411,"ScramblingAverageDistancetoHole",2011
45,NA,"Bo Van Pelt",92,NA,2911,364,"ScramblingAverageDistancetoHole",2011
53,NA,"Stuart Appleby",65,NA,2799.667,348,"ScramblingAverageDistancetoHole",2011
53,NA,"Greg Chalmers",88,NA,3947.083,486,"ScramblingAverageDistancetoHole",2011
53,NA,"Martin Laird",77,NA,2616.833,324,"ScramblingAverageDistancetoHole",2011
53,NA,"Marc Leishman",87,NA,3447.667,427,"ScramblingAverageDistancetoHole",2011
53,NA,"Rory Sabbatini",85,NA,2651.583,329,"ScramblingAverageDistancetoHole",2011
53,NA,"Charl Schwartzel",58,NA,1785.167,220,"ScramblingAverageDistancetoHole",2011
53,NA,"Jimmy Walker",79,NA,3442.583,428,"ScramblingAverageDistancetoHole",2011
60,NA,"Charley Hoffman",93,NA,3134.75,382,"ScramblingAverageDistancetoHole",2011
60,NA,"Lee Janzen",62,NA,2326.25,286,"ScramblingAverageDistancetoHole",2011
60,NA,"William McGirt",103,NA,3713.667,457,"ScramblingAverageDistancetoHole",2011
60,NA,"Sean OHair",71,NA,2677.75,329,"ScramblingAverageDistancetoHole",2011
60,NA,"Garrett Willis",71,NA,2929.417,358,"ScramblingAverageDistancetoHole",2011
60,NA,"YE Yang",63,NA,1981.917,242,"ScramblingAverageDistancetoHole",2011
66,NA,"JP Hayes",56,NA,2422.917,295,"ScramblingAverageDistancetoHole",2011
66,NA,"Tim Petrovic",88,NA,3821.583,465,"ScramblingAverageDistancetoHole",2011
66,NA,"Carl Pettersson",95,NA,3868.083,470,"ScramblingAverageDistancetoHole",2011
66,NA,"Brandt Snedeker",85,NA,3198.25,386,"ScramblingAverageDistancetoHole",2011
66,NA,"Vaughn Taylor",89,NA,3548.25,431,"ScramblingAverageDistancetoHole",2011
71,NA,"Jonathan Byrd",83,NA,3033.167,365,"ScramblingAverageDistancetoHole",2011
71,NA,"Steve Flesch",88,NA,4111,493,"ScramblingAverageDistancetoHole",2011
71,NA,"Ryuji Imada",83,NA,3697,445,"ScramblingAverageDistancetoHole",2011
71,NA,"David Mathis",83,NA,3306.583,398,"ScramblingAverageDistancetoHole",2011
71,NA,"Kevin Streelman",90,NA,3155.583,377,"ScramblingAverageDistancetoHole",2011
76,NA,"Robert Allenby",84,NA,2882.167,343,"ScramblingAverageDistancetoHole",2011
76,NA,"Brian Davis",105,NA,4090.917,487,"ScramblingAverageDistancetoHole",2011
76,NA,"James Driscoll",71,NA,2942.5,349,"ScramblingAverageDistancetoHole",2011
76,NA,"Joe Durant",71,NA,2569.167,306,"ScramblingAverageDistancetoHole",2011
76,NA,"Harrison Frazar",58,NA,2169.583,258,"ScramblingAverageDistancetoHole",2011
76,NA,"Nathan Green",81,NA,3569.75,423,"ScramblingAverageDistancetoHole",2011
76,NA,"Hunter Haas",96,NA,3852.417,458,"ScramblingAverageDistancetoHole",2011
76,NA,"Jim Herman",69,NA,2434.25,288,"ScramblingAverageDistancetoHole",2011
76,NA,"Freddie Jacobson",92,NA,3343.5,399,"ScramblingAverageDistancetoHole",2011
76,NA,"Matt Jones",71,NA,3209.25,381,"ScramblingAverageDistancetoHole",2011
76,NA,"Bio Kim",71,NA,3111.833,368,"ScramblingAverageDistancetoHole",2011
76,NA,"Phil Mickelson",79,NA,2570.917,304,"ScramblingAverageDistancetoHole",2011
76,NA,"Pat Perez",76,NA,3228.417,384,"ScramblingAverageDistancetoHole",2011
76,NA,"Heath Slocum",89,NA,2845,338,"ScramblingAverageDistancetoHole",2011
