"BirdieorBetterPercentageLeftRough_RANKTHISWEEK_2006","BirdieorBetterPercentageLeftRough_RANKLASTWEEK_2006","BirdieorBetterPercentageLeftRough_PLAYERNAME_2006","BirdieorBetterPercentageLeftRough_ROUNDS_2006","BirdieorBetterPercentageLeftRough_Pct_2006","BirdieorBetterPercentageLeftRough_TOTALBIRDIES_2006","BirdieorBetterPercentageLeftRough_TOTALHOLES_2006","stat_name","year"
1,1,"Briny Baird",81,24.49,24,98,"BirdieorBetterPercentageLeftRough",2006
2,2,"Camilo Villegas",95,23.23,36,155,"BirdieorBetterPercentageLeftRough",2006
3,3,"Padraig Harrington",54,22.97,17,74,"BirdieorBetterPercentageLeftRough",2006
4,4,"Stuart Appleby",83,22.69,27,119,"BirdieorBetterPercentageLeftRough",2006
5,5,"Tiger Woods",55,22.41,13,58,"BirdieorBetterPercentageLeftRough",2006
6,6,"Bob May",65,20.66,25,121,"BirdieorBetterPercentageLeftRough",2006
7,7,"Henrik Bjornstad",97,20.27,30,148,"BirdieorBetterPercentageLeftRough",2006
8,8,"Tommy Armour III",65,20,14,70,"BirdieorBetterPercentageLeftRough",2006
8,8,"JP Hayes",55,20,11,55,"BirdieorBetterPercentageLeftRough",2006
10,10,"DA Points",82,19.66,23,117,"BirdieorBetterPercentageLeftRough",2006
11,11,"Heath Slocum",96,19.59,19,97,"BirdieorBetterPercentageLeftRough",2006
12,12,"Daniel Chopra",110,19.38,31,160,"BirdieorBetterPercentageLeftRough",2006
13,13,"Rich Beem",85,19.3,22,114,"BirdieorBetterPercentageLeftRough",2006
14,14,"Vijay Singh",103,19.25,31,161,"BirdieorBetterPercentageLeftRough",2006
15,15,"Marco Dawson",87,19.23,25,130,"BirdieorBetterPercentageLeftRough",2006
16,16,"Mike Sposa",68,18.69,20,107,"BirdieorBetterPercentageLeftRough",2006
17,17,"Nick Watney",97,18.67,28,150,"BirdieorBetterPercentageLeftRough",2006
18,18,"James Driscoll",80,18.63,30,161,"BirdieorBetterPercentageLeftRough",2006
19,19,"Chris Smith",67,18.52,15,81,"BirdieorBetterPercentageLeftRough",2006
20,20,"Chris Riley",86,18.39,16,87,"BirdieorBetterPercentageLeftRough",2006
21,21,"Brett Wetterich",82,18.35,20,109,"BirdieorBetterPercentageLeftRough",2006
22,22,"Fred Couples",52,18.31,13,71,"BirdieorBetterPercentageLeftRough",2006
23,23,"Carl Pettersson",95,18.3,28,153,"BirdieorBetterPercentageLeftRough",2006
24,24,"Kirk Triplett",58,18.18,10,55,"BirdieorBetterPercentageLeftRough",2006
25,25,"Jason Gore",86,18.1,21,116,"BirdieorBetterPercentageLeftRough",2006
26,26,"Vance Veazey",59,18.09,17,94,"BirdieorBetterPercentageLeftRough",2006
27,27,"Jesper Parnevik",84,18,27,150,"BirdieorBetterPercentageLeftRough",2006
28,28,"Bubba Watson",83,17.99,25,139,"BirdieorBetterPercentageLeftRough",2006
29,29,"Ernie Els",69,17.89,17,95,"BirdieorBetterPercentageLeftRough",2006
29,29,"JB Holmes",81,17.89,22,123,"BirdieorBetterPercentageLeftRough",2006
31,31,"Charles Warren",93,17.73,25,141,"BirdieorBetterPercentageLeftRough",2006
32,32,"Bernhard Langer",77,17.58,16,91,"BirdieorBetterPercentageLeftRough",2006
33,33,"David Toms",76,17.57,13,74,"BirdieorBetterPercentageLeftRough",2006
34,34,"Davis Love III",85,17.54,20,114,"BirdieorBetterPercentageLeftRough",2006
35,35,"Justin Rose",98,17.53,27,154,"BirdieorBetterPercentageLeftRough",2006
36,36,"Mathias Gronberg",92,17.48,25,143,"BirdieorBetterPercentageLeftRough",2006
37,37,"Bubba Dickerson",98,17.27,24,139,"BirdieorBetterPercentageLeftRough",2006
38,38,"Bill Haas",99,16.88,26,154,"BirdieorBetterPercentageLeftRough",2006
39,39,"Frank Lickliter II",99,16.81,19,113,"BirdieorBetterPercentageLeftRough",2006
40,40,"Tom Pernice Jr",108,16.77,26,155,"BirdieorBetterPercentageLeftRough",2006
41,41,"Scott Gutschewski",53,16.67,11,66,"BirdieorBetterPercentageLeftRough",2006
41,41,"Steve Stricker",64,16.67,13,78,"BirdieorBetterPercentageLeftRough",2006
41,41,"Vaughn Taylor",88,16.67,19,114,"BirdieorBetterPercentageLeftRough",2006
44,44,"Sean OHair",100,16.54,21,127,"BirdieorBetterPercentageLeftRough",2006
45,45,"Jeff Brehaut",100,16.52,19,115,"BirdieorBetterPercentageLeftRough",2006
46,46,"Ted Purdy",103,16.51,18,109,"BirdieorBetterPercentageLeftRough",2006
47,47,"Tom Lehman",70,16.46,13,79,"BirdieorBetterPercentageLeftRough",2006
48,48,"Roger Tambellini",64,16.33,16,98,"BirdieorBetterPercentageLeftRough",2006
49,49,"Bo Van Pelt",102,16.25,26,160,"BirdieorBetterPercentageLeftRough",2006
50,50,"Alex Aragon",63,16.24,19,117,"BirdieorBetterPercentageLeftRough",2006
51,51,"Shigeki Maruyama",94,16.2,23,142,"BirdieorBetterPercentageLeftRough",2006
52,52,"Daisuke Maruyama",83,16.19,17,105,"BirdieorBetterPercentageLeftRough",2006
53,53,"Charley Hoffman",100,16.11,24,149,"BirdieorBetterPercentageLeftRough",2006
54,54,"Tim Clark",80,16,16,100,"BirdieorBetterPercentageLeftRough",2006
55,55,"Troy Matteson",101,15.91,28,176,"BirdieorBetterPercentageLeftRough",2006
56,56,"Mathew Goggin",72,15.89,17,107,"BirdieorBetterPercentageLeftRough",2006
57,57,"Michael Allen",84,15.86,23,145,"BirdieorBetterPercentageLeftRough",2006
58,58,"John Daly",51,15.71,11,70,"BirdieorBetterPercentageLeftRough",2006
59,59,"Robert Allenby",79,15.66,13,83,"BirdieorBetterPercentageLeftRough",2006
60,60,"Freddie Jacobson",56,15.63,15,96,"BirdieorBetterPercentageLeftRough",2006
61,61,"Bart Bryant",87,15.58,12,77,"BirdieorBetterPercentageLeftRough",2006
62,62,"Dean Wilson",115,15.57,26,167,"BirdieorBetterPercentageLeftRough",2006
63,63,"Mark OMeara",52,15.46,15,97,"BirdieorBetterPercentageLeftRough",2006
64,64,"Dudley Hart",83,15.44,21,136,"BirdieorBetterPercentageLeftRough",2006
65,65,"Kevin Sutherland",100,15.43,25,162,"BirdieorBetterPercentageLeftRough",2006
66,66,"Mark Calcavecchia",94,15.38,16,104,"BirdieorBetterPercentageLeftRough",2006
66,66,"Skip Kendall",72,15.38,10,65,"BirdieorBetterPercentageLeftRough",2006
66,66,"Peter Lonard",77,15.38,18,117,"BirdieorBetterPercentageLeftRough",2006
66,66,"Pat Perez",50,15.38,10,65,"BirdieorBetterPercentageLeftRough",2006
66,66,"Rory Sabbatini",84,15.38,20,130,"BirdieorBetterPercentageLeftRough",2006
