"ProximitytoHolefrom2030yards_RANKTHISWEEK_2010","ProximitytoHolefrom2030yards_RANKLASTWEEK_2010","ProximitytoHolefrom2030yards_PLAYERNAME_2010","ProximitytoHolefrom2030yards_ROUNDS_2010","ProximitytoHolefrom2030yards_AVGDTP_2010","ProximitytoHolefrom2030yards_TOTALDISTANCEFEET_2010","ProximitytoHolefrom2030yards_OFSHOTS_2010","ProximitytoHolefrom2030yards_SCRAMBLINGRANK_2010","stat_name","year"
1,1,"Padraig Harrington",57,NA,463.25,66,42,"ProximitytoHolefrom2030yards",2010
2,2,"Ian Poulter",55,NA,386.583,54,57,"ProximitytoHolefrom2030yards",2010
3,3,"Mike Weir",59,NA,506,68,82,"ProximitytoHolefrom2030yards",2010
4,4,"Johnson Wagner",85,NA,757.833,99,96,"ProximitytoHolefrom2030yards",2010
5,5,"Jonathan Byrd",85,NA,884.833,114,34,"ProximitytoHolefrom2030yards",2010
5,5,"Jim Furyk",76,NA,568.583,73,16,"ProximitytoHolefrom2030yards",2010
7,7,"Nathan Green",86,NA,1014.417,129,55,"ProximitytoHolefrom2030yards",2010
7,7,"Justin Rose",78,NA,869.917,111,13,"ProximitytoHolefrom2030yards",2010
7,7,"Brandt Snedeker",89,NA,794.25,101,43,"ProximitytoHolefrom2030yards",2010
10,10,"Tom Pernice Jr",74,NA,522.917,66,63,"ProximitytoHolefrom2030yards",2010
11,11,"Tim Clark",88,NA,664.75,83,20,"ProximitytoHolefrom2030yards",2010
11,11,"Chad Collins",87,NA,916,115,9,"ProximitytoHolefrom2030yards",2010
11,11,"Steve Flesch",78,NA,879.75,110,154,"ProximitytoHolefrom2030yards",2010
11,11,"Steve Stricker",73,NA,610.417,76,14,"ProximitytoHolefrom2030yards",2010
15,15,"Phil Mickelson",76,NA,548.5,68,31,"ProximitytoHolefrom2030yards",2010
15,15,"Adam Scott",70,NA,680.333,84,171,"ProximitytoHolefrom2030yards",2010
15,15,"Michael Sim",64,NA,605.25,75,35,"ProximitytoHolefrom2030yards",2010
15,15,"Mark Wilson",87,NA,871.167,108,27,"ProximitytoHolefrom2030yards",2010
19,19,"Matt Bettencourt",91,NA,882.833,108,97,"ProximitytoHolefrom2030yards",2010
19,19,"Brian Davis",101,NA,1054.25,129,30,"ProximitytoHolefrom2030yards",2010
19,19,"Chris DiMarco",88,NA,862,106,29,"ProximitytoHolefrom2030yards",2010
19,19,"Cliff Kresge",50,NA,451.417,55,77,"ProximitytoHolefrom2030yards",2010
19,19,"Rory Sabbatini",79,NA,855.417,105,128,"ProximitytoHolefrom2030yards",2010
24,24,"Sergio Garcia",58,NA,443.333,54,161,"ProximitytoHolefrom2030yards",2010
24,24,"Charles Howell III",103,NA,1240.833,151,7,"ProximitytoHolefrom2030yards",2010
24,24,"Ryan Moore",80,NA,577.75,70,47,"ProximitytoHolefrom2030yards",2010
24,24,"Kevin Na",94,NA,749.083,91,8,"ProximitytoHolefrom2030yards",2010
24,24,"Aron Price",70,NA,685.833,83,88,"ProximitytoHolefrom2030yards",2010
29,29,"Ernie Els",72,NA,652.583,78,41,"ProximitytoHolefrom2030yards",2010
29,29,"Ryuji Imada",90,NA,1238.167,148,18,"ProximitytoHolefrom2030yards",2010
29,29,"Matt Jones",89,NA,1204.25,144,48,"ProximitytoHolefrom2030yards",2010
29,29,"Jerry Kelly",99,NA,1000.833,120,100,"ProximitytoHolefrom2030yards",2010
29,29,"Geoff Ogilvy",62,NA,423.333,51,135,"ProximitytoHolefrom2030yards",2010
29,29,"Chris Stroud",90,NA,817.5,98,113,"ProximitytoHolefrom2030yards",2010
29,29,"Charlie Wi",95,NA,1029.583,124,3,"ProximitytoHolefrom2030yards",2010
36,36,"Briny Baird",87,NA,855.583,102,37,"ProximitytoHolefrom2030yards",2010
36,36,"Freddie Jacobson",83,NA,835.583,99,17,"ProximitytoHolefrom2030yards",2010
36,36,"Matt Kuchar",97,NA,967.417,115,5,"ProximitytoHolefrom2030yards",2010
36,36,"Martin Laird",91,NA,1070.083,127,115,"ProximitytoHolefrom2030yards",2010
36,36,"Chris Riley",73,NA,764.167,91,6,"ProximitytoHolefrom2030yards",2010
41,41,"Tim Herron",79,NA,913.167,107,80,"ProximitytoHolefrom2030yards",2010
41,41,"Marc Leishman",87,NA,874.167,103,123,"ProximitytoHolefrom2030yards",2010
41,41,"Shaun Micheel",70,NA,674.417,79,40,"ProximitytoHolefrom2030yards",2010
41,41,"David Toms",86,NA,727.417,86,39,"ProximitytoHolefrom2030yards",2010
45,45,"KJ Choi",82,NA,672.5,78,20,"ProximitytoHolefrom2030yards",2010
45,45,"Michael Connell",89,NA,868.583,101,75,"ProximitytoHolefrom2030yards",2010
45,45,"Bo Van Pelt",104,NA,1077.083,125,25,"ProximitytoHolefrom2030yards",2010
48,48,"Jason Day",82,NA,1144.583,132,51,"ProximitytoHolefrom2030yards",2010
48,48,"Omar Uresti",74,NA,538.667,62,38,"ProximitytoHolefrom2030yards",2010
48,48,"Scott Verplank",74,NA,693.5,80,70,"ProximitytoHolefrom2030yards",2010
51,51,"Cameron Percy",73,NA,585.75,67,122,"ProximitytoHolefrom2030yards",2010
52,52,"Ben Curtis",78,NA,820.75,93,60,"ProximitytoHolefrom2030yards",2010
52,52,"JP Hayes",79,NA,935.5,106,141,"ProximitytoHolefrom2030yards",2010
52,52,"Dean Wilson",54,NA,567,64,1,"ProximitytoHolefrom2030yards",2010
55,55,"Stuart Appleby",101,NA,1208.417,135,81,"ProximitytoHolefrom2030yards",2010
55,55,"Alex Cejka",81,NA,741.083,83,130,"ProximitytoHolefrom2030yards",2010
55,55,"JB Holmes",100,NA,1166.5,131,22,"ProximitytoHolefrom2030yards",2010
