"BallSpeed_RANKTHISWEEK_2014","BallSpeed_RANKLASTWEEK_2014","BallSpeed_PLAYERNAME_2014","BallSpeed_ROUNDS_2014","BallSpeed_AVG_2014","BallSpeed_TOTALBALLSPEED_2014","BallSpeed_TOTALATTEMPTS_2014","BallSpeed_FASTESTSPEED_2014","BallSpeed_SLOWESTSPEED_2014","stat_name","year"
1,1,"Bubba Watson",76,183.48,9540.98,52,188.49,178.6,"BallSpeed",2014
2,2,"Andrew Loupe",65,182.09,8740.37,48,188.95,154.51,"BallSpeed",2014
3,3,"Rory McIlroy",66,179.73,8627.01,48,184.65,174,"BallSpeed",2014
4,4,"Gary Woodland",93,179.48,11845.86,66,184.22,173.44,"BallSpeed",2014
5,5,"Jhonattan Vegas",77,179.43,12021.57,67,186.37,164.5,"BallSpeed",2014
6,6,"Dustin Johnson",58,179.38,7354.49,41,183.34,171.97,"BallSpeed",2014
6,6,"Brooks Koepka",56,179.38,7175.08,40,185.68,145.17,"BallSpeed",2014
8,8,"Jason Kokrak",65,178.99,10739.12,60,183.84,173.62,"BallSpeed",2014
9,9,"Charlie Beljan",76,178.54,12855.19,72,184.96,167.46,"BallSpeed",2014
10,10,"Adam Scott",68,177.26,9572.2,54,180.9,171.51,"BallSpeed",2014
11,11,"Robert Garrigus",80,177.16,12401.27,70,182.99,169.53,"BallSpeed",2014
11,11,"JB Holmes",86,177.16,11692.66,66,181.36,170.53,"BallSpeed",2014
13,13,"Graham DeLaet",80,177.04,9914.41,56,181.77,169.92,"BallSpeed",2014
14,14,"Jamie Lovemark",64,176.93,7784.81,44,181.62,169.44,"BallSpeed",2014
15,15,"Harris English",95,176.7,11308.64,64,181.97,170.87,"BallSpeed",2014
16,16,"Henrik Stenson",56,176.59,4768.06,27,182.76,170.83,"BallSpeed",2014
17,17,"Charles Howell III",106,175.92,17767.57,101,180.05,170.14,"BallSpeed",2014
18,18,"Robert Streb",75,175.88,12311.31,70,179.27,169.6,"BallSpeed",2014
19,19,"Angel Cabrera",69,175.75,11775.41,67,181.33,170.94,"BallSpeed",2014
20,20,"Seung Yul Noh",92,175.46,13159.75,75,180.8,169.63,"BallSpeed",2014
21,21,"Charl Schwartzel",64,175.3,9115.57,52,179.98,169,"BallSpeed",2014
22,22,"Matt Jones",83,175.25,12267.28,70,180.6,170.44,"BallSpeed",2014
23,23,"Derek Ernst",80,174.83,10664.88,61,179.64,168.7,"BallSpeed",2014
24,24,"Sergio Garcia",61,174.72,6464.48,37,179.01,170.9,"BallSpeed",2014
25,25,"Paul Casey",56,174.52,7678.7,44,179.64,170.59,"BallSpeed",2014
26,26,"Aaron Baddeley",74,174.49,10120.63,58,180.51,167.61,"BallSpeed",2014
27,27,"Stewart Cink",91,174.4,11859.34,68,180.2,163.22,"BallSpeed",2014
28,28,"Hudson Swafford",75,174.21,9233.09,53,179.53,164.52,"BallSpeed",2014
29,29,"Kevin Tway",64,174.19,8360.95,48,179.56,165.29,"BallSpeed",2014
30,30,"Will Wilcox",51,174.17,7489.34,43,178.26,167.82,"BallSpeed",2014
31,31,"Rickie Fowler",91,174.14,10970.72,63,179.01,168.94,"BallSpeed",2014
32,32,"Nick Watney",80,174.1,9749.35,56,179.91,170.19,"BallSpeed",2014
33,33,"Ryan Palmer",85,174.03,11833.71,68,178.97,169.62,"BallSpeed",2014
34,34,"Brendan Steele",89,174,12876.14,74,178.99,168.87,"BallSpeed",2014
35,35,"Jimmy Walker",98,173.78,12338.72,71,177.87,168.35,"BallSpeed",2014
36,36,"Jason Day",54,173.75,4864.97,28,178.48,166.41,"BallSpeed",2014
37,37,"Martin Flores",85,173.42,12832.77,74,179.8,167.8,"BallSpeed",2014
38,38,"Scott Stallings",77,173.03,11074.11,64,178.79,168.05,"BallSpeed",2014
39,39,"Marc Leishman",81,172.93,12105.22,70,177.26,167.02,"BallSpeed",2014
40,40,"Keegan Bradley",89,172.86,11235.88,65,176.87,167.38,"BallSpeed",2014
41,41,"Charley Hoffman",93,172.71,14334.58,83,178.96,164.52,"BallSpeed",2014
42,42,"Trevor Immelman",84,172.65,11567.64,67,180.14,160.66,"BallSpeed",2014
43,43,"Lucas Glover",68,172.63,8631.38,50,176.78,160.04,"BallSpeed",2014
44,44,"Steven Bowditch",93,172.24,13951.5,81,181.49,155.59,"BallSpeed",2014
45,45,"Sean OHair",77,172.18,10675.1,62,176.69,162.36,"BallSpeed",2014
46,46,"Kevin Chappell",100,171.88,15469.37,90,177.08,160.74,"BallSpeed",2014
47,47,"Ricky Barnes",92,171.82,13573.39,79,176.28,167.42,"BallSpeed",2014
48,48,"George McNeill",79,171.6,11840.63,69,175.43,165.69,"BallSpeed",2014
49,49,"Michael Putnam",106,171.59,15957.55,93,176.38,165.63,"BallSpeed",2014
50,50,"Patrick Reed",92,171.55,11665.49,68,176.16,164.31,"BallSpeed",2014
51,51,"Louis Oosthuizen",50,171.42,4628.47,27,175.28,167.56,"BallSpeed",2014
52,52,"Martin Kaymer",65,171.31,8908.05,52,176.4,164.34,"BallSpeed",2014
53,53,"Kyle Stanley",87,171.29,12846.86,75,179.78,165.33,"BallSpeed",2014
54,54,"Martin Laird",66,171.13,7872.18,46,177.62,167.1,"BallSpeed",2014
55,55,"Phil Mickelson",71,171.11,8555.47,50,179.78,161.13,"BallSpeed",2014
56,56,"Ryo Ishikawa",75,171.06,9921.26,58,176.12,167.31,"BallSpeed",2014
57,57,"John Rollins",84,171.01,10944.33,64,176.4,164.71,"BallSpeed",2014
58,58,"Shawn Stefani",60,170.93,9571.8,56,177.71,160.43,"BallSpeed",2014
59,59,"Lee Westwood",57,170.85,7175.64,42,177.58,164.89,"BallSpeed",2014
60,60,"Ben Martin",80,170.38,10563.78,62,174.98,166.11,"BallSpeed",2014
60,60,"Tyrone Van Aswegen",79,170.38,7837.38,46,176.12,159.33,"BallSpeed",2014
62,62,"Andres Romero",81,170.34,10390.75,61,176.08,161.89,"BallSpeed",2014
62,62,"John Senden",99,170.34,15501.21,91,177.4,162.79,"BallSpeed",2014
64,64,"Jim Herman",62,170.01,8160.68,48,175.19,157.72,"BallSpeed",2014
65,65,"Davis Love III",74,169.67,9671.05,57,174.06,162.88,"BallSpeed",2014
66,66,"Russell Henley",92,169.57,13395.98,79,174.51,164.66,"BallSpeed",2014
67,67,"Brendon de Jonge",109,169.47,16269.12,96,173.96,165.34,"BallSpeed",2014
68,68,"James Driscoll",71,169.28,8971.68,53,179.41,164.28,"BallSpeed",2014
