"LateRound4ScoringAverage_RANKTHISWEEK_2009","LateRound4ScoringAverage_RANKLASTWEEK_2009","LateRound4ScoringAverage_PLAYERNAME_2009","LateRound4ScoringAverage__2009","LateRound4ScoringAverage_AVG_2009","LateRound4ScoringAverage_TOTALSTROKES_2009","LateRound4ScoringAverage_TOTALROUNDS_2009","stat_name","year"
148,148,"Corey Pavin",NA,71.83,431,6,"LateRound4ScoringAverage",2009
148,148,"Bubba Watson",NA,71.83,431,6,"LateRound4ScoringAverage",2009
151,151,"Joe Ogilvie",NA,71.86,503,7,"LateRound4ScoringAverage",2009
152,152,"Michael Letzig",NA,71.89,647,9,"LateRound4ScoringAverage",2009
153,153,"Ted Purdy",NA,72,576,8,"LateRound4ScoringAverage",2009
154,154,"Lucas Glover",NA,72.07,1081,15,"LateRound4ScoringAverage",2009
155,155,"Jonathan Byrd",NA,72.09,793,11,"LateRound4ScoringAverage",2009
156,156,"Matt Bettencourt",NA,72.1,721,10,"LateRound4ScoringAverage",2009
157,157,"Richard Johnson",NA,72.17,433,6,"LateRound4ScoringAverage",2009
158,158,"Joe Durant",NA,72.25,289,4,"LateRound4ScoringAverage",2009
158,158,"Todd Hamilton",NA,72.25,289,4,"LateRound4ScoringAverage",2009
158,158,"Darron Stiles",NA,72.25,289,4,"LateRound4ScoringAverage",2009
158,158,"Marc Turnesa",NA,72.25,289,4,"LateRound4ScoringAverage",2009
162,162,"Ken Duke",NA,72.33,217,3,"LateRound4ScoringAverage",2009
162,162,"Colt Knost",NA,72.33,434,6,"LateRound4ScoringAverage",2009
162,162,"John Rollins",NA,72.33,651,9,"LateRound4ScoringAverage",2009
165,165,"Chris Stroud",NA,72.4,362,5,"LateRound4ScoringAverage",2009
165,165,"Nicholas Thompson",NA,72.4,362,5,"LateRound4ScoringAverage",2009
167,167,"JB Holmes",NA,72.5,435,6,"LateRound4ScoringAverage",2009
167,167,"Gary Woodland",NA,72.5,145,2,"LateRound4ScoringAverage",2009
169,169,"Nathan Green",NA,72.6,726,10,"LateRound4ScoringAverage",2009
169,169,"Johnson Wagner",NA,72.6,363,5,"LateRound4ScoringAverage",2009
171,171,"David Duval",NA,72.67,218,3,"LateRound4ScoringAverage",2009
171,171,"Retief Goosen",NA,72.67,654,9,"LateRound4ScoringAverage",2009
171,171,"Jarrod Lyle",NA,72.67,218,3,"LateRound4ScoringAverage",2009
171,171,"Brendon Todd",NA,72.67,218,3,"LateRound4ScoringAverage",2009
175,175,"Stewart Cink",NA,72.71,509,7,"LateRound4ScoringAverage",2009
176,176,"Bart Bryant",NA,72.8,364,5,"LateRound4ScoringAverage",2009
176,176,"Billy Mayfair",NA,72.8,364,5,"LateRound4ScoringAverage",2009
178,178,"Paul Goydos",NA,73,511,7,"LateRound4ScoringAverage",2009
179,179,"Rod Pampling",NA,73.13,585,8,"LateRound4ScoringAverage",2009
180,180,"Stuart Appleby",NA,73.57,515,7,"LateRound4ScoringAverage",2009
181,181,"Kent Jones",NA,73.67,221,3,"LateRound4ScoringAverage",2009
182,182,"Scott Piercy",NA,73.75,590,8,"LateRound4ScoringAverage",2009
183,183,"Aron Price",NA,74.67,224,3,"LateRound4ScoringAverage",2009
184,184,"Mark Brooks",NA,75,75,1,"LateRound4ScoringAverage",2009
