"OfficialWorldGolfRanking_RANKTHISWEEK_2015","OfficialWorldGolfRanking_RANKLASTWEEK_2015","OfficialWorldGolfRanking_PLAYERNAME_2015","OfficialWorldGolfRanking_EVENTS_2015","OfficialWorldGolfRanking_AVGPOINTS_2015","OfficialWorldGolfRanking_TOTALPOINTS_2015","OfficialWorldGolfRanking_POINTSLOST_2015","OfficialWorldGolfRanking_POINTSGAINED_2015","OfficialWorldGolfRanking_COUNTRY_2015","stat_name","year"
1,1,"Jordan Spieth",52,12.55,652.47,-234.61,590.31,NA,"OfficialWorldGolfRanking",2015
2,2,"Jason Day",40,12.53,501.28,-183.84,452.68,NA,"OfficialWorldGolfRanking",2015
3,3,"Rory McIlroy",46,11.09,510.14,-346.85,315.89,NA,"OfficialWorldGolfRanking",2015
4,4,"Bubba Watson",46,8.24,378.88,-222.54,252.26,NA,"OfficialWorldGolfRanking",2015
5,5,"Rickie Fowler",52,7.86,408.56,-175.36,299.64,NA,"OfficialWorldGolfRanking",2015
6,6,"Henrik Stenson",52,7.44,386.69,-300.28,263.47,NA,"OfficialWorldGolfRanking",2015
7,7,"Justin Rose",52,7.09,368.63,-225.92,266.79,NA,"OfficialWorldGolfRanking",2015
8,8,"Dustin Johnson",40,6.82,272.83,-153.1,266.97,NA,"OfficialWorldGolfRanking",2015
9,9,"Jim Furyk",41,6.78,277.97,-197.62,184.18,NA,"OfficialWorldGolfRanking",2015
10,10,"Zach Johnson",52,5.12,266.29,-165.11,232.39,NA,"OfficialWorldGolfRanking",2015
11,11,"Sergio Garcia",46,4.96,228.26,-219.1,112.55,NA,"OfficialWorldGolfRanking",2015
12,12,"Brooks Koepka",52,4.49,233.25,-101.12,179.93,NA,"OfficialWorldGolfRanking",2015
13,13,"Louis Oosthuizen",48,4.42,211.93,-79.52,172.64,NA,"OfficialWorldGolfRanking",2015
14,14,"Adam Scott",40,4.28,171.01,-225.91,73.11,NA,"OfficialWorldGolfRanking",2015
15,15,"Hideki Matsuyama",52,4.26,221.7,-151.62,163.21,NA,"OfficialWorldGolfRanking",2015
16,16,"Matt Kuchar",52,4.24,220.6,-199.93,155.82,NA,"OfficialWorldGolfRanking",2015
17,17,"Jimmy Walker",52,4.05,210.48,-165.48,181.9,NA,"OfficialWorldGolfRanking",2015
18,21,"Shane Lowry",50,3.97,198.31,-81.71,141.84,NA,"OfficialWorldGolfRanking",2015
19,18,"JB Holmes",50,3.89,194.62,-73.44,187.08,NA,"OfficialWorldGolfRanking",2015
20,19,"Patrick Reed",52,3.82,198.38,-143.24,165.57,NA,"OfficialWorldGolfRanking",2015
21,20,"Martin Kaymer",52,3.68,191.21,-158.01,95.29,NA,"OfficialWorldGolfRanking",2015
22,22,"Branden Grace",52,3.65,189.57,-75.64,173.54,NA,"OfficialWorldGolfRanking",2015
23,23,"Paul Casey",52,3.53,183.53,-79.42,166.6,NA,"OfficialWorldGolfRanking",2015
24,24,"Phil Mickelson",43,3.42,146.92,-162.06,108.89,NA,"OfficialWorldGolfRanking",2015
25,25,"Danny Willett",52,3.4,176.61,-70.91,121.71,NA,"OfficialWorldGolfRanking",2015
26,26,"Billy Horschel",52,3.3,171.54,-141.14,80.4,NA,"OfficialWorldGolfRanking",2015
27,28,"Bernd Wiesberger",52,3.16,164.51,-86.02,151.76,NA,"OfficialWorldGolfRanking",2015
28,27,"Chris Kirk",51,3.15,160.72,-125.85,88.97,NA,"OfficialWorldGolfRanking",2015
29,29,"Bill Haas",52,3.06,159.3,-120.57,133.15,NA,"OfficialWorldGolfRanking",2015
30,30,"Brandt Snedeker",52,3.05,158.77,-102.68,141.99,NA,"OfficialWorldGolfRanking",2015
31,33,"Robert Streb",50,3.02,151.2,-49.54,118.14,NA,"OfficialWorldGolfRanking",2015
32,31,"Thongchai Jaidee",52,2.96,153.95,-100.97,107.87,NA,"OfficialWorldGolfRanking",2015
33,32,"Kevin Na",52,2.95,153.49,-87.37,105.16,NA,"OfficialWorldGolfRanking",2015
34,34,"Kevin Kisner",52,2.9,151,-35.76,146.68,NA,"OfficialWorldGolfRanking",2015
35,35,"Charley Hoffman",52,2.88,149.76,-74.02,126.91,NA,"OfficialWorldGolfRanking",2015
36,37,"Marc Leishman",49,2.82,138.33,-86.09,89.17,NA,"OfficialWorldGolfRanking",2015
37,36,"Danny Lee",52,2.82,146.45,-30.16,137.85,NA,"OfficialWorldGolfRanking",2015
38,38,"Ryan Palmer",49,2.71,132.77,-93.21,91.82,NA,"OfficialWorldGolfRanking",2015
39,39,"Anirban Lahiri",51,2.6,132.64,-69.58,108.78,NA,"OfficialWorldGolfRanking",2015
40,41,"Gary Woodland",49,2.58,126.31,-102.85,96.12,NA,"OfficialWorldGolfRanking",2015
