"BirdieorBetterPercentageRough_RANKTHISWEEK_2014","BirdieorBetterPercentageRough_RANKLASTWEEK_2014","BirdieorBetterPercentageRough_PLAYERNAME_2014","BirdieorBetterPercentageRough_ROUNDS_2014","BirdieorBetterPercentageRough_Pct_2014","BirdieorBetterPercentageRough_TOTALBIRDIES_2014","BirdieorBetterPercentageRough_TOTALHOLES_2014","stat_name","year"
1,1,"Rory McIlroy",66,23.24,43,185,"BirdieorBetterPercentageRough",2014
2,2,"Henrik Stenson",56,21,21,100,"BirdieorBetterPercentageRough",2014
3,3,"Angel Cabrera",69,20.8,52,250,"BirdieorBetterPercentageRough",2014
4,4,"Ryan Palmer",85,19.85,53,267,"BirdieorBetterPercentageRough",2014
5,5,"Jimmy Walker",98,19.75,64,324,"BirdieorBetterPercentageRough",2014
6,6,"John Merrick",87,19.07,37,194,"BirdieorBetterPercentageRough",2014
7,7,"Phil Mickelson",71,19.05,36,189,"BirdieorBetterPercentageRough",2014
8,8,"Charl Schwartzel",64,18.81,41,218,"BirdieorBetterPercentageRough",2014
9,9,"Charley Hoffman",93,18.73,53,283,"BirdieorBetterPercentageRough",2014
10,10,"Dustin Johnson",58,18.44,33,179,"BirdieorBetterPercentageRough",2014
11,11,"Adam Scott",68,18.42,35,190,"BirdieorBetterPercentageRough",2014
12,12,"Sangmoon Bae",76,18.11,44,243,"BirdieorBetterPercentageRough",2014
13,13,"Bronson La Cassie",51,18.06,26,144,"BirdieorBetterPercentageRough",2014
14,14,"Bubba Watson",76,17.97,39,217,"BirdieorBetterPercentageRough",2014
15,15,"Matt Every",85,17.93,45,251,"BirdieorBetterPercentageRough",2014
16,16,"Greg Chalmers",85,17.57,52,296,"BirdieorBetterPercentageRough",2014
17,17,"Geoff Ogilvy",84,17.54,50,285,"BirdieorBetterPercentageRough",2014
18,18,"Jason Kokrak",65,17.51,45,257,"BirdieorBetterPercentageRough",2014
19,19,"Hideki Matsuyama",82,17.5,42,240,"BirdieorBetterPercentageRough",2014
20,20,"Carl Pettersson",91,17.16,58,338,"BirdieorBetterPercentageRough",2014
21,21,"George McNeill",79,16.95,40,236,"BirdieorBetterPercentageRough",2014
22,22,"JJ Henry",91,16.93,43,254,"BirdieorBetterPercentageRough",2014
23,23,"Tommy Gainey",73,16.88,40,237,"BirdieorBetterPercentageRough",2014
24,24,"Brooks Koepka",56,16.87,28,166,"BirdieorBetterPercentageRough",2014
25,25,"Andrew Loupe",65,16.81,39,232,"BirdieorBetterPercentageRough",2014
26,26,"Boo Weekley",73,16.47,28,170,"BirdieorBetterPercentageRough",2014
27,27,"Matt Jones",83,16.45,38,231,"BirdieorBetterPercentageRough",2014
28,28,"Kevin Na",94,16.37,46,281,"BirdieorBetterPercentageRough",2014
29,29,"Davis Love III",74,16.31,38,233,"BirdieorBetterPercentageRough",2014
30,30,"Jason Bohn",81,16.25,39,240,"BirdieorBetterPercentageRough",2014
31,31,"Gary Woodland",93,16.24,44,271,"BirdieorBetterPercentageRough",2014
32,32,"Aaron Baddeley",74,16.18,39,241,"BirdieorBetterPercentageRough",2014
33,33,"Daniel Summerhays",98,16.06,44,274,"BirdieorBetterPercentageRough",2014
34,34,"Chris Kirk",105,16.01,45,281,"BirdieorBetterPercentageRough",2014
35,35,"Harris English",95,16,44,275,"BirdieorBetterPercentageRough",2014
36,36,"Charles Howell III",106,15.91,70,440,"BirdieorBetterPercentageRough",2014
37,37,"Jhonattan Vegas",77,15.9,38,239,"BirdieorBetterPercentageRough",2014
38,38,"Keegan Bradley",89,15.81,37,234,"BirdieorBetterPercentageRough",2014
39,39,"Patrick Reed",92,15.64,51,326,"BirdieorBetterPercentageRough",2014
40,40,"Jamie Lovemark",64,15.57,33,212,"BirdieorBetterPercentageRough",2014
41,41,"Jerry Kelly",80,15.56,35,225,"BirdieorBetterPercentageRough",2014
42,42,"Vijay Singh",83,15.49,44,284,"BirdieorBetterPercentageRough",2014
43,43,"Tim Clark",75,15.48,26,168,"BirdieorBetterPercentageRough",2014
44,44,"Ryo Ishikawa",75,15.36,43,280,"BirdieorBetterPercentageRough",2014
45,45,"Justin Rose",70,15.35,31,202,"BirdieorBetterPercentageRough",2014
