"HangTime_RANKTHISWEEK_2012","HangTime_RANKLASTWEEK_2012","HangTime_PLAYERNAME_2012","HangTime_ROUNDS_2012","HangTime_AVG_2012","HangTime_TOTALACTUALHANGTIME_2012","HangTime_TOTALATTEMPTS_2012","HangTime_LONGESTACTHANGTIME_2012","HangTime_SHORTESTACTHANGTIME_2012","stat_name","year"
1,1,"Chris Couch",61,6.8,211.5,31,7.7,4.2,"HangTime",2012
1,1,"Bill Haas",79,6.8,394.3,58,7.6,5.2,"HangTime",2012
1,1,"JB Holmes",90,6.8,428,63,8,4.7,"HangTime",2012
1,1,"Kyle Stanley",86,6.8,321.9,47,7.7,3.7,"HangTime",2012
5,5,"Rickie Fowler",84,6.7,344,51,7.7,4.2,"HangTime",2012
5,5,"Charley Hoffman",88,6.7,485.5,73,7.5,3.5,"HangTime",2012
5,5,"Robert Karlsson",54,6.7,247.6,37,7.8,5.1,"HangTime",2012
5,5,"Ryan Palmer",81,6.7,431.9,64,7.9,4.5,"HangTime",2012
5,5,"Josh Teater",97,6.7,493.4,74,7.9,2.6,"HangTime",2012
10,10,"Keegan Bradley",90,6.6,371.6,56,7.5,5.2,"HangTime",2012
10,10,"Angel Cabrera",54,6.6,183.5,28,7.8,3.3,"HangTime",2012
10,10,"Graham DeLaet",79,6.6,411.2,62,8.1,0.2,"HangTime",2012
10,10,"Troy Matteson",100,6.6,414.2,63,7.8,4.4,"HangTime",2012
10,10,"Billy Mayfair",90,6.6,432.6,66,7.4,5,"HangTime",2012
10,10,"George McNeill",85,6.6,349.1,53,7.9,3.1,"HangTime",2012
10,10,"Louis Oosthuizen",65,6.6,322.4,49,7.4,5,"HangTime",2012
10,10,"John Senden",81,6.6,380.3,58,7.8,4.7,"HangTime",2012
10,10,"Mark Wilson",84,6.6,412.9,63,7.4,3.4,"HangTime",2012
19,19,"Jonathan Byrd",69,6.5,277.9,43,7.5,2.6,"HangTime",2012
19,19,"Harrison Frazar",56,6.5,248.7,38,7.4,4.2,"HangTime",2012
19,19,"Billy Horschel",63,6.5,266.8,41,7.5,3.6,"HangTime",2012
19,19,"Marc Leishman",84,6.5,379.3,58,7.8,4.9,"HangTime",2012
19,19,"Edward Loar",59,6.5,219.6,34,7.5,4.7,"HangTime",2012
19,19,"Davis Love III",64,6.5,219.5,34,7.5,4.1,"HangTime",2012
19,19,"Garth Mulroy",59,6.5,245.9,38,7.4,4.3,"HangTime",2012
19,19,"Seung Yul Noh",105,6.5,453.4,70,7.6,2.8,"HangTime",2012
19,19,"Brandt Snedeker",81,6.5,390.1,60,7.5,4.1,"HangTime",2012
19,19,"Brendan Steele",77,6.5,364.9,56,7.5,1,"HangTime",2012
19,19,"Bubba Watson",68,6.5,313.1,48,7.8,4.9,"HangTime",2012
30,30,"Charlie Beljan",61,6.4,223.7,35,7.5,4.5,"HangTime",2012
30,30,"Roberto Castro",92,6.4,408.4,64,7.6,4.4,"HangTime",2012
30,30,"Bud Cauley",99,6.4,542.4,85,7.6,3.6,"HangTime",2012
30,30,"Ben Curtis",62,6.4,315.1,49,7.5,4.2,"HangTime",2012
30,30,"Robert Garrigus",89,6.4,378.1,59,7.5,4.2,"HangTime",2012
30,30,"David Hearn",95,6.4,449.1,70,7.4,3.6,"HangTime",2012
30,30,"Martin Laird",77,6.4,270.5,42,7.7,4.8,"HangTime",2012
30,30,"Rory McIlroy",60,6.4,211,33,7.6,4.8,"HangTime",2012
30,30,"Kevin Na",80,6.4,345.7,54,7.6,4.8,"HangTime",2012
30,30,"Geoff Ogilvy",73,6.4,294,46,7.5,2.3,"HangTime",2012
30,30,"Jeff Overton",101,6.4,514.9,81,7.8,3.8,"HangTime",2012
30,30,"Scott Piercy",95,6.4,419.7,66,7.5,3.5,"HangTime",2012
30,30,"Chez Reavie",83,6.4,364.3,57,7.2,2.6,"HangTime",2012
30,30,"Kevin Streelman",89,6.4,445.7,70,7.3,3.4,"HangTime",2012
30,30,"Michael Thompson",80,6.4,384.4,60,7.5,3.5,"HangTime",2012
30,30,"Cameron Tringale",88,6.4,433.8,68,7.5,1.2,"HangTime",2012
30,30,"Bo Van Pelt",84,6.4,372.7,58,7.4,3.9,"HangTime",2012
47,47,"Aaron Baddeley",73,6.3,278.5,44,7.5,4.2,"HangTime",2012
47,47,"Kris Blanks",65,6.3,296.8,47,7.5,5.2,"HangTime",2012
47,47,"Jonas Blixt",72,6.3,357.8,57,7.4,3.8,"HangTime",2012
47,47,"Ben Crane",73,6.3,370.5,59,7,4.5,"HangTime",2012
47,47,"Jason Day",57,6.3,250.9,40,7.8,4.7,"HangTime",2012
47,47,"Luke Donald",63,6.3,291.6,46,7.4,2.1,"HangTime",2012
47,47,"Ernie Els",80,6.3,351,56,7.2,3.9,"HangTime",2012
47,47,"Bobby Gates",87,6.3,366.7,58,7.5,3.4,"HangTime",2012
47,47,"Padraig Harrington",67,6.3,215.1,34,7.5,4.7,"HangTime",2012
47,47,"Charles Howell III",98,6.3,365.6,58,7.2,3.3,"HangTime",2012
47,47,"Chris Kirk",93,6.3,458.2,73,7.7,1.9,"HangTime",2012
47,47,"Kevin Kisner",69,6.3,275.6,44,7,3.3,"HangTime",2012
47,47,"Bill Lunde",83,6.3,370.3,59,7.2,3.7,"HangTime",2012
47,47,"Hunter Mahan",88,6.3,359.1,57,7.3,3.6,"HangTime",2012
47,47,"Phil Mickelson",79,6.3,341.3,54,7.8,4.2,"HangTime",2012
47,47,"Pat Perez",81,6.3,333.3,53,7.5,1.9,"HangTime",2012
47,47,"Ian Poulter",57,6.3,250.2,40,7,4.2,"HangTime",2012
47,47,"Dicky Pride",62,6.3,297.2,47,7.2,4.7,"HangTime",2012
47,47,"Kyle Reifers",86,6.3,363.9,58,7.5,3.7,"HangTime",2012
47,47,"John Rollins",81,6.3,421.9,67,7.4,1.4,"HangTime",2012
47,47,"Adam Scott",59,6.3,232,37,7.5,4.3,"HangTime",2012
47,47,"Webb Simpson",77,6.3,364.4,58,7.3,1.9,"HangTime",2012
47,47,"Kevin Stadler",85,6.3,322.6,51,7.4,0.8,"HangTime",2012
47,47,"Henrik Stenson",51,6.3,87.5,14,7.3,2.7,"HangTime",2012
47,47,"Jhonattan Vegas",77,6.3,359.3,57,7.8,3.4,"HangTime",2012
47,47,"Nick Watney",97,6.3,442.8,70,7.4,4.3,"HangTime",2012
47,47,"Lee Westwood",60,6.3,251.5,40,7,3.9,"HangTime",2012
47,47,"Tiger Woods",69,6.3,219.1,35,7.3,4.3,"HangTime",2012
75,75,"Robert Allenby",76,6.2,324.1,52,7.4,2.1,"HangTime",2012
75,75,"Mark Anderson",75,6.2,274,44,7.4,2.2,"HangTime",2012
75,75,"Kevin Chappell",91,6.2,414.1,67,7.5,3.1,"HangTime",2012
75,75,"Daniel Chopra",55,6.2,230.6,37,7.5,2.7,"HangTime",2012
75,75,"John Daly",50,6.2,161.3,26,7.3,3.5,"HangTime",2012
75,75,"Brendon de Jonge",115,6.2,520.5,84,7.1,1.4,"HangTime",2012
75,75,"Harris English",98,6.2,463.8,75,7.3,2.9,"HangTime",2012
75,75,"Martin Flores",95,6.2,379,61,7.8,4.5,"HangTime",2012
75,75,"Sergio Garcia",57,6.2,271.7,44,7.3,3.5,"HangTime",2012
75,75,"Mathew Goggin",65,6.2,299.5,48,7.6,3.2,"HangTime",2012
75,75,"Ryo Ishikawa",54,6.2,148.2,24,7.6,1.3,"HangTime",2012
75,75,"Brandt Jobe",57,6.2,197.1,32,7.1,4.6,"HangTime",2012
75,75,"Dustin Johnson",70,6.2,212.1,34,7.6,1.9,"HangTime",2012
75,75,"Jerry Kelly",84,6.2,437.3,71,7,3.4,"HangTime",2012
75,75,"Richard Lee",71,6.2,278.6,45,7.5,2.8,"HangTime",2012
75,75,"Rocco Mediate",70,6.2,334.8,54,7.1,4,"HangTime",2012
75,75,"Bryce Molder",83,6.2,392.5,63,7.4,3,"HangTime",2012
75,75,"Andres Romero",68,6.2,292,47,7.4,4.3,"HangTime",2012
75,75,"Justin Rose",69,6.2,290.3,47,7.2,4.1,"HangTime",2012
75,75,"Vijay Singh",99,6.2,407.7,66,7.4,3.1,"HangTime",2012
75,75,"Scott Stallings",78,6.2,352,57,7.5,3,"HangTime",2012
75,75,"Vaughn Taylor",81,6.2,327.5,53,7.2,4.2,"HangTime",2012
75,75,"Brendon Todd",78,6.2,322.4,52,7.4,4.2,"HangTime",2012
75,75,"Jimmy Walker",101,6.2,402,65,7.4,2.9,"HangTime",2012
99,99,"Tommy Biershenk",74,6.1,315.7,52,7.3,0.8,"HangTime",2012
99,99,"Jason Bohn",81,6.1,358.2,59,6.9,1.5,"HangTime",2012
99,99,"Scott Brown",65,6.1,256.2,42,7,3.6,"HangTime",2012
99,99,"Stewart Cink",71,6.1,227.1,37,8.2,3.2,"HangTime",2012
99,99,"Erik Compton",81,6.1,309.2,51,7.3,0.6,"HangTime",2012
99,99,"Matt Every",80,6.1,319.2,52,7.4,3.5,"HangTime",2012
99,99,"JJ Henry",93,6.1,284.4,47,7,3.8,"HangTime",2012
99,99,"Tim Herron",88,6.1,420.5,69,7.3,1.7,"HangTime",2012
99,99,"Zach Johnson",95,6.1,418,68,7.2,4.2,"HangTime",2012
99,99,"Colt Knost",79,6.1,374.1,61,6.9,3.7,"HangTime",2012
99,99,"Derek Lamely",64,6.1,298.8,49,7.1,4,"HangTime",2012
99,99,"John Merrick",83,6.1,361.7,59,7.1,3.9,"HangTime",2012
99,99,"Ryan Moore",89,6.1,464.7,76,7.1,4.5,"HangTime",2012
99,99,"Sean OHair",84,6.1,374.6,61,7.3,3.9,"HangTime",2012
99,99,"Greg Owen",90,6.1,347.2,57,7.5,1.7,"HangTime",2012
99,99,"Heath Slocum",93,6.1,406.9,67,6.9,3.7,"HangTime",2012
99,99,"Steve Stricker",73,6.1,281.6,46,7.2,0.7,"HangTime",2012
99,99,"Roland Thatcher",55,6.1,214.7,35,7.1,3.6,"HangTime",2012
117,117,"Arjun Atwal",79,6,340.8,57,7.5,1.3,"HangTime",2012
117,117,"Chad Campbell",84,6,403.8,67,7.3,4.3,"HangTime",2012
117,117,"Miguel Angel Carballo",73,6,271.7,45,7.7,3.5,"HangTime",2012
117,117,"Brian Davis",91,6,449.6,75,6.9,2.7,"HangTime",2012
117,117,"Marco Dawson",60,6,232.7,39,6.9,2.3,"HangTime",2012
117,117,"James Driscoll",83,6,350.4,58,7.1,2.4,"HangTime",2012
117,117,"Jason Dufner",83,6,373.4,62,7.6,2.4,"HangTime",2012
117,117,"Bob Estes",78,6,308,51,7,4.9,"HangTime",2012
117,117,"Tommy Gainey",98,6,484.2,81,7,2.8,"HangTime",2012
117,117,"Brian Gay",91,6,428.2,71,7.3,4.5,"HangTime",2012
117,117,"Freddie Jacobson",61,6,220.3,37,6.8,4.9,"HangTime",2012
117,117,"Matt Jones",53,6,216.3,36,7.4,0.5,"HangTime",2012
117,117,"Sung Kang",75,6,295.5,49,7.2,1.7,"HangTime",2012
117,117,"Matt Kuchar",86,6,409.1,68,6.8,3.2,"HangTime",2012
117,117,"Danny Lee",74,6,287.6,48,7,2.7,"HangTime",2012
117,117,"Jeff Maggert",83,6,405.8,68,6.8,4.3,"HangTime",2012
117,117,"John Mallinger",74,6,350.8,58,6.7,4.1,"HangTime",2012
117,117,"Graeme McDowell",55,6,235.5,39,7,5,"HangTime",2012
117,117,"Rod Pampling",88,6,364.8,61,6.9,3.1,"HangTime",2012
117,117,"Tom Pernice Jr",62,6,290.2,48,7.2,3.3,"HangTime",2012
117,117,"Alexandre Rocha",62,6,268.6,45,6.7,3.6,"HangTime",2012
117,117,"Charl Schwartzel",56,6,198.5,33,7.2,3.8,"HangTime",2012
117,117,"Chris Stroud",86,6,380.4,63,7.4,2.8,"HangTime",2012
117,117,"Daniel Summerhays",81,6,352.5,59,7.1,1.7,"HangTime",2012
117,117,"Johnson Wagner",88,6,415.8,69,6.9,2,"HangTime",2012
117,117,"Steve Wheatcroft",56,6,216.2,36,7.1,1.1,"HangTime",2012
117,117,"Charlie Wi",86,6,354.4,59,7.1,1.9,"HangTime",2012
117,117,"Gary Woodland",70,6,235.1,39,7.5,3.6,"HangTime",2012
145,145,"Blake Adams",107,5.9,318.6,54,7.2,4.2,"HangTime",2012
145,145,"Stuart Appleby",75,5.9,326.5,55,6.9,4.1,"HangTime",2012
145,145,"Sangmoon Bae",81,5.9,329.4,56,7.3,2.3,"HangTime",2012
145,145,"Matt Bettencourt",80,5.9,257.5,44,7.4,1.8,"HangTime",2012
145,145,"Michael Bradley",63,5.9,194.8,33,7.3,2.9,"HangTime",2012
145,145,"Greg Chalmers",88,5.9,421.3,72,6.8,3,"HangTime",2012
145,145,"KJ Choi",71,5.9,281.4,48,6.9,2.3,"HangTime",2012
145,145,"Gary Christian",91,5.9,328.3,56,6.7,3.7,"HangTime",2012
145,145,"Tim Clark",60,5.9,277.4,47,6.6,4.3,"HangTime",2012
145,145,"Will Claxton",99,5.9,450,76,6.9,3.6,"HangTime",2012
145,145,"Chris DiMarco",83,5.9,350,59,7.1,0.7,"HangTime",2012
145,145,"Ken Duke",104,5.9,455.8,77,7,4.4,"HangTime",2012
145,145,"Jim Furyk",85,5.9,340.3,58,6.7,3.8,"HangTime",2012
145,145,"Tom Gillis",75,5.9,384.1,65,6.9,3.5,"HangTime",2012
145,145,"John Huh",99,5.9,459.9,78,7.2,2.9,"HangTime",2012
145,145,"Ryuji Imada",78,5.9,316.6,54,7.2,1.4,"HangTime",2012
145,145,"Troy Kelly",68,5.9,241,41,7,0.8,"HangTime",2012
145,145,"David Mathis",83,5.9,346.4,59,6.8,1.8,"HangTime",2012
145,145,"William McGirt",96,5.9,445.2,75,7.4,2.7,"HangTime",2012
145,145,"DA Points",88,5.9,408.3,69,7,1.9,"HangTime",2012
145,145,"Ted Potter Jr",77,5.9,326.4,55,6.8,4.5,"HangTime",2012
145,145,"Rory Sabbatini",84,5.9,389.6,66,6.9,3.9,"HangTime",2012
145,145,"Boo Weekley",74,5.9,308.8,52,6.7,3.3,"HangTime",2012
145,145,"YE Yang",64,5.9,225.4,38,6.8,2.4,"HangTime",2012
