"Approaches_RANKTHISWEEK_2006","Approaches_RANKLASTWEEK_2006","Approaches_PLAYERNAME_2006","Approaches_ROUNDS_2006","Approaches_AVGRTP_2006","stat_name","year"
1,1,"Robert Allenby",79,-0.208,"Approaches",2006
2,2,"Briny Baird",81,-0.192,"Approaches",2006
3,3,"Fred Funk",106,-0.147,"Approaches",2006
4,4,"JP Hayes",55,-0.107,"Approaches",2006
5,5,"Mark OMeara",52,-0.103,"Approaches",2006
6,6,"Tom Pernice Jr",108,-0.086,"Approaches",2006
7,7,"Jonathan Byrd",66,-0.071,"Approaches",2006
8,8,"Padraig Harrington",54,-0.069,"Approaches",2006
9,9,"Jesper Parnevik",84,-0.068,"Approaches",2006
10,10,"Tiger Woods",55,-0.067,"Approaches",2006
11,11,"Eric Axley",91,-0.056,"Approaches",2006
12,12,"Brian Gay",107,-0.05,"Approaches",2006
13,13,"Daisuke Maruyama",83,-0.042,"Approaches",2006
14,14,"Nick Watney",97,-0.036,"Approaches",2006
15,15,"Stuart Appleby",83,-0.033,"Approaches",2006
16,16,"Justin Rose",98,-0.031,"Approaches",2006
17,17,"Jim Furyk",89,0,"Approaches",2006
17,17,"Peter Lonard",77,0,"Approaches",2006
17,17,"Charles Warren",93,0,"Approaches",2006
17,17,"Mark Wilson",79,0,"Approaches",2006
21,21,"Todd Fischer",101,0.017,"Approaches",2006
22,22,"Marco Dawson",87,0.023,"Approaches",2006
23,23,"Alex Cejka",93,0.024,"Approaches",2006
23,23,"Ryan Hietala",61,0.024,"Approaches",2006
25,25,"Stewart Cink",93,0.026,"Approaches",2006
26,26,"Mark Brooks",90,0.028,"Approaches",2006
27,27,"Pat Perez",50,0.033,"Approaches",2006
28,28,"Steve Elkington",52,0.036,"Approaches",2006
28,28,"Bo Van Pelt",102,0.036,"Approaches",2006
30,30,"Mike Sposa",68,0.037,"Approaches",2006
31,31,"Ernie Els",69,0.042,"Approaches",2006
31,31,"Stephen Leaney",84,0.042,"Approaches",2006
31,31,"Adam Scott",70,0.042,"Approaches",2006
34,34,"Frank Lickliter II",99,0.043,"Approaches",2006
35,35,"Michael Connell",51,0.045,"Approaches",2006
36,36,"JB Holmes",81,0.048,"Approaches",2006
36,36,"Steve Stricker",64,0.048,"Approaches",2006
38,38,"Jose Maria Olazabal",62,0.053,"Approaches",2006
39,39,"Trevor Immelman",86,0.061,"Approaches",2006
39,39,"Sean OHair",100,0.061,"Approaches",2006
41,41,"Daniel Chopra",110,0.063,"Approaches",2006
42,42,"Paul Azinger",87,0.068,"Approaches",2006
43,43,"Paul Goydos",72,0.071,"Approaches",2006
44,44,"Nathan Green",108,0.075,"Approaches",2006
45,45,"Paul Stankowski",70,0.08,"Approaches",2006
46,46,"Bart Bryant",87,0.083,"Approaches",2006
46,46,"Fred Couples",52,0.083,"Approaches",2006
48,48,"Jeff Sluman",101,0.088,"Approaches",2006
49,49,"Jonathan Kaye",95,0.089,"Approaches",2006
50,50,"John Senden",96,0.091,"Approaches",2006
51,51,"Carlos Franco",86,0.093,"Approaches",2006
52,52,"Charley Hoffman",100,0.094,"Approaches",2006
52,52,"Chris Smith",67,0.094,"Approaches",2006
54,54,"David Duval",71,0.097,"Approaches",2006
55,55,"Stephen Ames",63,0.1,"Approaches",2006
55,55,"Geoff Ogilvy",76,0.1,"Approaches",2006
57,57,"Chris Couch",75,0.102,"Approaches",2006
58,58,"John Engler Jr",69,0.107,"Approaches",2006
59,59,"Bob May",65,0.111,"Approaches",2006
60,60,"John Huston",74,0.114,"Approaches",2006
61,61,"Bubba Watson",83,0.115,"Approaches",2006
62,62,"Kris Cox",83,0.116,"Approaches",2006
63,63,"Shane Bertsch",104,0.119,"Approaches",2006
63,63,"Steve Flesch",119,0.119,"Approaches",2006
63,63,"Vijay Singh",103,0.119,"Approaches",2006
66,66,"David Branshaw",98,0.125,"Approaches",2006
66,66,"Skip Kendall",72,0.125,"Approaches",2006
66,66,"Jeff Overton",95,0.125,"Approaches",2006
66,66,"David Toms",76,0.125,"Approaches",2006
70,70,"Billy Mayfair",94,0.129,"Approaches",2006
71,71,"Matt Hansen",68,0.132,"Approaches",2006
71,71,"Ted Purdy",103,0.132,"Approaches",2006
73,73,"David McKenzie",82,0.135,"Approaches",2006
73,73,"Carl Pettersson",95,0.135,"Approaches",2006
73,73,"Nicholas Thompson",96,0.135,"Approaches",2006
76,76,"Ben Crane",85,0.136,"Approaches",2006
77,77,"Tommy Armour III",65,0.138,"Approaches",2006
77,77,"Vaughn Taylor",88,0.138,"Approaches",2006
79,79,"John Daly",51,0.139,"Approaches",2006
80,80,"Lucas Glover",105,0.14,"Approaches",2006
81,81,"Sergio Garcia",59,0.143,"Approaches",2006
81,81,"Hunter Mahan",98,0.143,"Approaches",2006
81,81,"Len Mattiace",59,0.143,"Approaches",2006
81,81,"Joey Sindelar",90,0.143,"Approaches",2006
85,85,"Aaron Baddeley",78,0.147,"Approaches",2006
85,85,"Kenny Perry",73,0.147,"Approaches",2006
87,87,"JL Lewis",57,0.148,"Approaches",2006
88,88,"Brad Faxon",78,0.15,"Approaches",2006
89,89,"Zach Johnson",98,0.152,"Approaches",2006
90,90,"Kent Jones",103,0.158,"Approaches",2006
91,91,"Bob Estes",85,0.16,"Approaches",2006
91,91,"Scott Gutschewski",53,0.16,"Approaches",2006
91,91,"Charles Howell III",96,0.16,"Approaches",2006
94,94,"Arron Oberholser",82,0.161,"Approaches",2006
94,94,"Tag Ridings",103,0.161,"Approaches",2006
96,96,"Chad Campbell",91,0.162,"Approaches",2006
97,97,"Woody Austin",107,0.163,"Approaches",2006
97,97,"Henrik Bjornstad",97,0.163,"Approaches",2006
99,99,"Mark Calcavecchia",94,0.167,"Approaches",2006
99,99,"Bernhard Langer",77,0.167,"Approaches",2006
101,101,"Shigeki Maruyama",94,0.17,"Approaches",2006
102,102,"Jeff Brehaut",100,0.171,"Approaches",2006
103,103,"Chris Riley",86,0.172,"Approaches",2006
103,103,"John Rollins",93,0.172,"Approaches",2006
105,105,"Jerry Smith",94,0.174,"Approaches",2006
106,106,"Heath Slocum",96,0.179,"Approaches",2006
107,107,"Greg Chalmers",71,0.182,"Approaches",2006
107,107,"KJ Choi",93,0.182,"Approaches",2006
109,109,"Dudley Hart",83,0.184,"Approaches",2006
110,110,"Patrick Sheehan",104,0.185,"Approaches",2006
111,111,"Olin Browne",108,0.186,"Approaches",2006
111,111,"Rory Sabbatini",84,0.186,"Approaches",2006
113,113,"Roger Tambellini",64,0.188,"Approaches",2006
114,114,"Chris DiMarco",83,0.194,"Approaches",2006
114,114,"Jon Mills",68,0.194,"Approaches",2006
114,114,"Mike Weir",88,0.194,"Approaches",2006
114,114,"Dean Wilson",115,0.194,"Approaches",2006
118,118,"Brett Quigley",109,0.195,"Approaches",2006
119,119,"James Driscoll",80,0.196,"Approaches",2006
120,120,"Craig Barlow",77,0.2,"Approaches",2006
120,120,"David Howell",52,0.2,"Approaches",2006
120,120,"Greg Owen",79,0.2,"Approaches",2006
123,123,"Brian Davis",92,0.205,"Approaches",2006
123,123,"Greg Kraft",79,0.205,"Approaches",2006
123,123,"Phil Mickelson",74,0.205,"Approaches",2006
126,126,"Jason Schultz",77,0.207,"Approaches",2006
127,127,"Duffy Waldorf",96,0.212,"Approaches",2006
128,128,"Tim Herron",82,0.214,"Approaches",2006
129,129,"Mathias Gronberg",92,0.217,"Approaches",2006
129,129,"Bob Tway",81,0.217,"Approaches",2006
129,129,"Ron Whittaker",81,0.217,"Approaches",2006
132,132,"Alex Aragon",63,0.222,"Approaches",2006
132,132,"Joe Durant",101,0.222,"Approaches",2006
132,132,"Camilo Villegas",95,0.222,"Approaches",2006
135,135,"Robert Damron",91,0.225,"Approaches",2006
135,135,"Tim Petrovic",95,0.225,"Approaches",2006
137,137,"Brett Wetterich",82,0.228,"Approaches",2006
138,138,"Jeff Gove",91,0.229,"Approaches",2006
139,139,"Scott Verplank",88,0.231,"Approaches",2006
140,140,"Jerry Kelly",100,0.235,"Approaches",2006
141,141,"Kirk Triplett",58,0.238,"Approaches",2006
142,142,"Ryuji Imada",105,0.24,"Approaches",2006
142,142,"Tjaart van der Walt",60,0.24,"Approaches",2006
144,144,"Justin Leonard",83,0.241,"Approaches",2006
145,145,"Tim Clark",80,0.25,"Approaches",2006
145,145,"Brandt Jobe",91,0.25,"Approaches",2006
145,145,"Troy Matteson",101,0.25,"Approaches",2006
145,145,"Shaun Micheel",96,0.25,"Approaches",2006
149,149,"DA Points",82,0.258,"Approaches",2006
150,150,"Brian Bateman",69,0.265,"Approaches",2006
151,151,"Tom Lehman",70,0.267,"Approaches",2006
152,152,"Doug Barron",74,0.273,"Approaches",2006
152,152,"Danny Ellis",68,0.273,"Approaches",2006
154,154,"Michael Allen",84,0.275,"Approaches",2006
155,155,"Vance Veazey",59,0.276,"Approaches",2006
156,156,"Rod Pampling",89,0.282,"Approaches",2006
157,157,"Hidemichi Tanaka",74,0.289,"Approaches",2006
158,158,"Joe Ogilvie",95,0.292,"Approaches",2006
159,159,"Jason Bohn",104,0.298,"Approaches",2006
160,160,"Bubba Dickerson",98,0.3,"Approaches",2006
161,161,"Rich Beem",85,0.303,"Approaches",2006
161,161,"JJ Henry",96,0.303,"Approaches",2006
163,163,"Ian Leggatt",80,0.304,"Approaches",2006
164,164,"Freddie Jacobson",56,0.308,"Approaches",2006
165,165,"Retief Goosen",68,0.313,"Approaches",2006
166,166,"Harrison Frazar",95,0.314,"Approaches",2006
166,166,"Jason Gore",86,0.314,"Approaches",2006
166,166,"Ryan Palmer",101,0.314,"Approaches",2006
169,169,"Steve Lowery",99,0.318,"Approaches",2006
170,170,"DJ Trahan",92,0.324,"Approaches",2006
171,171,"Billy Andrade",78,0.333,"Approaches",2006
171,171,"John Cook",67,0.333,"Approaches",2006
171,171,"Ben Curtis",86,0.333,"Approaches",2006
171,171,"Jimmy Walker",60,0.333,"Approaches",2006
175,175,"Richard Johnson",94,0.344,"Approaches",2006
176,176,"Larry Mize",53,0.353,"Approaches",2006
176,176,"Wes Short Jr",96,0.353,"Approaches",2006
178,178,"Will Ma Kenzie",91,0.361,"Approaches",2006
179,179,"Bill Haas",99,0.362,"Approaches",2006
180,180,"Omar Uresti",61,0.368,"Approaches",2006
181,181,"Todd Hamilton",72,0.37,"Approaches",2006
182,182,"Brent Geiberger",99,0.379,"Approaches",2006
183,183,"Lee Janzen",79,0.387,"Approaches",2006
184,184,"Luke Donald",66,0.389,"Approaches",2006
185,185,"Kevin Sutherland",100,0.396,"Approaches",2006
186,186,"Steve Jones",83,0.409,"Approaches",2006
187,187,"Ian Poulter",53,0.421,"Approaches",2006
188,188,"Davis Love III",85,0.455,"Approaches",2006
189,189,"Robert Garrigus",85,0.469,"Approaches",2006
190,190,"Robert Gamez",94,0.5,"Approaches",2006
190,190,"Corey Pavin",74,0.5,"Approaches",2006
192,192,"Arjun Atwal",97,0.529,"Approaches",2006
193,193,"Ryan Moore",68,0.6,"Approaches",2006
194,194,"Jeff Maggert",81,0.621,"Approaches",2006
195,195,"Mathew Goggin",72,0.81,"Approaches",2006
196,196,"Thomas Levet",53,0.846,"Approaches",2006
