"ClubHeadSpeed_RANKTHISWEEK_2011","ClubHeadSpeed_RANKLASTWEEK_2011","ClubHeadSpeed_PLAYERNAME_2011","ClubHeadSpeed_ROUNDS_2011","ClubHeadSpeed_AVG_2011","ClubHeadSpeed_TOTALCLUBHEADSPEED_2011","ClubHeadSpeed_TOTALATTEMPTS_2011","ClubHeadSpeed_FASTESTSPEED_2011","ClubHeadSpeed_SLOWESTSPEED_2011","stat_name","year"
1,1,"JB Holmes",57,125.25,5135.18,41,128.48,122.11,"ClubHeadSpeed",2011
2,2,"Bubba Watson",85,124.55,6974.67,56,128.29,121.67,"ClubHeadSpeed",2011
3,3,"Gary Woodland",93,124.34,6590.07,53,127.95,117.28,"ClubHeadSpeed",2011
4,4,"Jhonattan Vegas",84,122.2,7820.55,64,126.13,115.29,"ClubHeadSpeed",2011
5,5,"Dustin Johnson",72,122.13,5740.18,47,125.71,118.63,"ClubHeadSpeed",2011
6,6,"Robert Garrigus",83,121.89,6338.26,52,125.33,114.38,"ClubHeadSpeed",2011
7,7,"Zack Miller",86,120.78,6401.49,53,125.76,115.04,"ClubHeadSpeed",2011
8,8,"Chris Couch",73,120.33,6016.74,50,124.49,115.14,"ClubHeadSpeed",2011
8,8,"Tag Ridings",87,120.33,7340.3,61,124.48,116.98,"ClubHeadSpeed",2011
10,10,"Angel Cabrera",50,119.72,3472.02,29,122.53,116.86,"ClubHeadSpeed",2011
11,11,"Sergio Garcia",61,119.43,5135.51,43,124.01,115.82,"ClubHeadSpeed",2011
12,12,"Scott Stallings",84,119.25,7989.42,67,122.94,114.59,"ClubHeadSpeed",2011
13,13,"Aaron Baddeley",77,119.14,6791.07,57,122.4,114.63,"ClubHeadSpeed",2011
14,14,"Kyle Stanley",98,118.81,8316.93,70,126.67,115.32,"ClubHeadSpeed",2011
15,15,"Bio Kim",71,118.61,5693.5,48,123.83,103.66,"ClubHeadSpeed",2011
16,16,"Phil Mickelson",79,118.48,6042.7,51,122.97,115.22,"ClubHeadSpeed",2011
17,17,"James Driscoll",71,118.47,6397.38,54,123.13,110.68,"ClubHeadSpeed",2011
18,18,"Will Strickler",51,118.42,4026.2,34,122.67,109.49,"ClubHeadSpeed",2011
19,19,"Trevor Immelman",84,118.4,6512.12,55,121.09,112.13,"ClubHeadSpeed",2011
20,20,"Steven Bowditch",86,118.11,7677.28,65,122.44,107.39,"ClubHeadSpeed",2011
21,21,"Charley Hoffman",93,118.1,8739.75,74,123.59,114.73,"ClubHeadSpeed",2011
22,22,"Nick Watney",80,118.01,7552.5,64,123.37,109.18,"ClubHeadSpeed",2011
23,23,"Jimmy Walker",79,117.8,6714.58,57,121.74,107.06,"ClubHeadSpeed",2011
24,24,"Robert Karlsson",61,117.69,4825.42,41,121.18,111.95,"ClubHeadSpeed",2011
25,25,"Martin Laird",77,117.65,7059.17,60,122,110.87,"ClubHeadSpeed",2011
26,26,"Ricky Barnes",78,117.54,6699.83,57,123.89,113.25,"ClubHeadSpeed",2011
27,27,"Keegan Bradley",91,117.49,7519.6,64,121.37,109.02,"ClubHeadSpeed",2011
28,28,"Adam Scott",60,117.26,5511.4,47,120.08,113.93,"ClubHeadSpeed",2011
29,29,"Bill Haas",93,117.18,7968.05,68,119.71,108.62,"ClubHeadSpeed",2011
30,30,"Jason Day",76,117.02,5500.12,47,120.72,110.67,"ClubHeadSpeed",2011
31,31,"Derek Lamely",65,116.98,5263.94,45,120.85,111.76,"ClubHeadSpeed",2011
32,32,"George McNeill",69,116.82,6191.42,53,120.38,113.16,"ClubHeadSpeed",2011
33,33,"Charl Schwartzel",58,116.67,4083.43,35,120.69,112.59,"ClubHeadSpeed",2011
34,34,"John Senden",94,116.59,9210.38,79,122.84,108.14,"ClubHeadSpeed",2011
35,35,"Bobby Gates",82,116.55,6527,56,121.62,101.2,"ClubHeadSpeed",2011
36,36,"Troy Matteson",91,116.52,8389.24,72,119.66,113,"ClubHeadSpeed",2011
37,37,"Lucas Glover",74,116.5,6640.61,57,120.25,110.14,"ClubHeadSpeed",2011
38,38,"Charles Howell III",108,116.46,9782.28,84,120.24,113.31,"ClubHeadSpeed",2011
39,39,"Matt Jones",71,116.25,6044.86,52,120.25,108.4,"ClubHeadSpeed",2011
40,40,"Marc Leishman",87,116.2,8714.86,75,119.96,112.07,"ClubHeadSpeed",2011
41,41,"Andres Romero",77,116.02,7425.52,64,122.22,110.66,"ClubHeadSpeed",2011
42,42,"Davis Love III",70,115.89,4519.68,39,119.76,110.37,"ClubHeadSpeed",2011
42,42,"Scott Piercy",78,115.89,6026.38,52,120.15,111.74,"ClubHeadSpeed",2011
44,44,"Sean OHair",71,115.87,5214.15,45,122.04,111.44,"ClubHeadSpeed",2011
45,45,"DJ Trahan",91,115.81,8686.09,75,121.02,108.4,"ClubHeadSpeed",2011
46,46,"Josh Teater",104,115.75,7870.82,68,119.01,109.34,"ClubHeadSpeed",2011
47,47,"Michael Putnam",67,115.73,5323.67,46,119.76,112.35,"ClubHeadSpeed",2011
48,48,"Harrison Frazar",58,115.71,4512.88,39,119.87,107.7,"ClubHeadSpeed",2011
48,48,"Alex Prugh",82,115.71,7058.12,61,118.28,112.7,"ClubHeadSpeed",2011
50,50,"Jim Herman",69,115.6,5317.67,46,119.29,109.64,"ClubHeadSpeed",2011
51,51,"Scott Gutschewski",67,115.45,5079.99,44,119.1,109.17,"ClubHeadSpeed",2011
52,52,"Joseph Bramlett",73,115.36,5768.17,50,120.14,110.59,"ClubHeadSpeed",2011
53,53,"Brandt Jobe",100,115.29,7955.03,69,119.62,110.19,"ClubHeadSpeed",2011
54,54,"David Duval",67,115.22,5645.88,49,117.9,112.33,"ClubHeadSpeed",2011
55,55,"Pat Perez",76,115.2,7027.13,61,119.69,108.5,"ClubHeadSpeed",2011
56,56,"Padraig Harrington",60,115.15,4375.57,38,118.07,110.86,"ClubHeadSpeed",2011
57,57,"Kevin Streelman",90,115.06,7133.55,62,119.2,111.02,"ClubHeadSpeed",2011
58,58,"Retief Goosen",50,114.98,4369.35,38,117.9,111.6,"ClubHeadSpeed",2011
59,59,"Stewart Cink",72,114.91,5285.71,46,118.26,109.6,"ClubHeadSpeed",2011
59,59,"Boo Weekley",66,114.91,5630.56,49,119.64,111.38,"ClubHeadSpeed",2011
61,61,"Justin Rose",79,114.89,7353.19,64,119.98,111.39,"ClubHeadSpeed",2011
62,62,"Ryan Palmer",82,114.87,7007.05,61,119.89,103.71,"ClubHeadSpeed",2011
63,63,"Anthony Kim",72,114.85,6891.28,60,118.41,111.4,"ClubHeadSpeed",2011
64,64,"Jonathan Byrd",83,114.84,7809.19,68,119.26,108.47,"ClubHeadSpeed",2011
65,65,"Blake Adams",116,114.75,9065.4,79,118.48,108.54,"ClubHeadSpeed",2011
66,66,"Kevin Chappell",78,114.65,6306,55,118.04,110.83,"ClubHeadSpeed",2011
66,66,"Cameron Tringale",110,114.65,9974.98,87,118.63,109.33,"ClubHeadSpeed",2011
68,68,"Rickie Fowler",84,114.53,7444.16,65,119.67,107.53,"ClubHeadSpeed",2011
69,69,"John Rollins",85,114.5,8014.95,70,118.3,106.05,"ClubHeadSpeed",2011
70,70,"Brendon de Jonge",105,114.45,10071.62,88,119.71,108.65,"ClubHeadSpeed",2011
71,71,"Nathan Green",81,114.29,6286.01,55,118.28,107.38,"ClubHeadSpeed",2011
72,72,"Stuart Appleby",65,114.24,6740.39,59,117.87,110.98,"ClubHeadSpeed",2011
73,73,"Scott McCarron",65,114.18,5366.38,47,117.41,110.97,"ClubHeadSpeed",2011
74,74,"Michael Bradley",74,114.14,6163.44,54,117.09,110.01,"ClubHeadSpeed",2011
