"LateRound4ScoringAverage_RANKTHISWEEK_2013","LateRound4ScoringAverage_RANKLASTWEEK_2013","LateRound4ScoringAverage_PLAYERNAME_2013","LateRound4ScoringAverage__2013","LateRound4ScoringAverage_AVG_2013","LateRound4ScoringAverage_TOTALSTROKES_2013","LateRound4ScoringAverage_TOTALROUNDS_2013","stat_name","year"
1,1,"Brian Gay",NA,63,63,1,"LateRound4ScoringAverage",2013
2,2,"Justin Bolli",NA,65.5,131,2,"LateRound4ScoringAverage",2013
3,3,"David Toms",NA,67.25,269,4,"LateRound4ScoringAverage",2013
4,4,"Charlie Beljan",NA,68,136,2,"LateRound4ScoringAverage",2013
4,4,"Bobby Gates",NA,68,136,2,"LateRound4ScoringAverage",2013
6,6,"Jeff Overton",NA,68.38,547,8,"LateRound4ScoringAverage",2013
7,7,"Scott Stallings",NA,68.5,274,4,"LateRound4ScoringAverage",2013
7,7,"Boo Weekley",NA,68.5,548,8,"LateRound4ScoringAverage",2013
9,9,"Scott Piercy",NA,68.71,481,7,"LateRound4ScoringAverage",2013
10,10,"David Hearn",NA,68.75,275,4,"LateRound4ScoringAverage",2013
11,11,"Kevin Stadler",NA,68.86,482,7,"LateRound4ScoringAverage",2013
12,12,"Martin Laird",NA,69,276,4,"LateRound4ScoringAverage",2013
12,12,"Geoff Ogilvy",NA,69,69,1,"LateRound4ScoringAverage",2013
12,12,"Jin Park",NA,69,138,2,"LateRound4ScoringAverage",2013
12,12,"DA Points",NA,69,414,6,"LateRound4ScoringAverage",2013
12,12,"Patrick Reed",NA,69,483,7,"LateRound4ScoringAverage",2013
12,12,"Brian Stuard",NA,69,483,7,"LateRound4ScoringAverage",2013
18,18,"Jordan Spieth",NA,69.08,829,12,"LateRound4ScoringAverage",2013
19,19,"Rory Sabbatini",NA,69.11,622,9,"LateRound4ScoringAverage",2013
20,20,"Morgan Hoffmann",NA,69.17,415,6,"LateRound4ScoringAverage",2013
21,21,"Michael Thompson",NA,69.25,277,4,"LateRound4ScoringAverage",2013
22,22,"Webb Simpson",NA,69.38,902,13,"LateRound4ScoringAverage",2013
23,23,"John Rollins",NA,69.43,486,7,"LateRound4ScoringAverage",2013
24,24,"Russell Henley",NA,69.5,556,8,"LateRound4ScoringAverage",2013
24,24,"Martin Kaymer",NA,69.5,278,4,"LateRound4ScoringAverage",2013
24,24,"Seung Yul Noh",NA,69.5,139,2,"LateRound4ScoringAverage",2013
