"RoughTendency_RANKTHISWEEK_2015","RoughTendency_RANKLASTWEEK_2015","RoughTendency_PLAYERNAME_2015","RoughTendency_ROUNDS_2015","RoughTendency_Pct_2015","RoughTendency_TOTALROUGH_2015","RoughTendency_POSSIBLEFWYS_2015","RoughTendency_RELATIVETOPAR_2015","stat_name","year"
1,1,"Francesco Molinari",56,18.49,110,595,0.82,"RoughTendency",2015
2,2,"David Toms",62,19.61,150,765,1.33,"RoughTendency",2015
3,3,"Chez Reavie",56,20.49,142,693,1.41,"RoughTendency",2015
4,4,"Jason Bohn",95,20.81,252,1211,1.07,"RoughTendency",2015
5,5,"Jerry Kelly",79,22.39,206,920,0.44,"RoughTendency",2015
6,6,"Justin Leonard",61,22.5,169,751,2.07,"RoughTendency",2015
7,7,"Zach Johnson",90,22.52,220,977,0.59,"RoughTendency",2015
8,8,"Spencer Levin",99,23.03,266,1155,1.8,"RoughTendency",2015
9,9,"Brian Stuard",97,23.15,254,1097,1.22,"RoughTendency",2015
10,10,"Colt Knost",90,23.18,239,1031,1.76,"RoughTendency",2015
11,11,"Cameron Tringale",96,23.22,254,1094,1.38,"RoughTendency",2015
12,12,"Steven Alker",62,23.28,162,696,2.16,"RoughTendency",2015
13,13,"John Peterson",84,23.29,249,1069,1.04,"RoughTendency",2015
14,14,"Justin Rose",69,23.3,158,678,0.19,"RoughTendency",2015
15,15,"Roberto Castro",54,23.35,117,501,1.28,"RoughTendency",2015
16,16,"John Merrick",78,23.39,189,808,1.43,"RoughTendency",2015
17,17,"Kevin Streelman",95,23.43,238,1016,0.5,"RoughTendency",2015
18,18,"Brendon Todd",96,23.56,250,1061,0.84,"RoughTendency",2015
19,19,"John Huh",102,23.61,292,1237,1.85,"RoughTendency",2015
20,20,"Ryan Moore",81,23.65,201,850,1.54,"RoughTendency",2015
21,21,"Nicholas Thompson",90,23.89,232,971,1.38,"RoughTendency",2015
22,22,"Russell Knox",96,24.07,291,1209,1.44,"RoughTendency",2015
23,23,"SJ Park",79,24.17,211,873,0.81,"RoughTendency",2015
24,24,"Webb Simpson",81,24.18,215,889,0.79,"RoughTendency",2015
25,25,"Jason Gore",76,24.44,198,810,1.16,"RoughTendency",2015
26,26,"William McGirt",103,24.63,333,1352,0.99,"RoughTendency",2015
27,27,"Chris Stroud",84,24.84,234,942,1.75,"RoughTendency",2015
28,28,"Brian Harman",90,24.95,272,1090,0.63,"RoughTendency",2015
28,28,"Bryce Molder",91,24.95,267,1070,0.86,"RoughTendency",2015
30,30,"Zac Blair",108,24.98,306,1225,1.14,"RoughTendency",2015
31,31,"Brian Davis",86,25,246,984,1.26,"RoughTendency",2015
32,32,"Danny Lee",120,25.05,347,1385,0.35,"RoughTendency",2015
33,33,"Pat Perez",96,25.09,288,1148,0.03,"RoughTendency",2015
34,34,"Jim Furyk",71,25.1,181,721,0.28,"RoughTendency",2015
35,35,"Jon Curran",83,25.31,228,901,1.45,"RoughTendency",2015
36,36,"Robert Allenby",63,25.32,179,707,1.84,"RoughTendency",2015
37,37,"Adam Hadwin",95,25.38,284,1119,1.3,"RoughTendency",2015
38,38,"Kevin Kisner",104,25.46,332,1304,0.84,"RoughTendency",2015
39,39,"George McNeill",93,25.55,315,1233,0.16,"RoughTendency",2015
40,40,"Henrik Stenson",63,25.62,156,609,0.13,"RoughTendency",2015
41,41,"Ben Crane",62,25.66,185,721,0.81,"RoughTendency",2015
42,42,"Sam Saunders",83,25.75,224,870,0.67,"RoughTendency",2015
43,43,"Ken Duke",93,25.83,279,1080,1.18,"RoughTendency",2015
