"3PuttAvoidanceRound3_RANKTHISWEEK_2006","3PuttAvoidanceRound3_RANKLASTWEEK_2006","3PuttAvoidanceRound3_PLAYERNAME_2006","3PuttAvoidanceRound3__2006","3PuttAvoidanceRound3_Pct_2006","3PuttAvoidanceRound3_TOTAL3PUTTS_2006","3PuttAvoidanceRound3_TOTALHOLES_2006","stat_name","year"
1,1,"Eric Axley",NA,0.65,2,306,"3PuttAvoidanceRound3",2006
2,2,"Aaron Baddeley",NA,0.79,2,252,"3PuttAvoidanceRound3",2006
3,3,"Trevor Immelman",NA,0.88,3,342,"3PuttAvoidanceRound3",2006
4,4,"Mathew Goggin",NA,1.01,2,198,"3PuttAvoidanceRound3",2006
5,5,"Daniel Chopra",NA,1.06,4,378,"3PuttAvoidanceRound3",2006
6,6,"Chris DiMarco",NA,1.11,3,270,"3PuttAvoidanceRound3",2006
6,6,"Steve Stricker",NA,1.11,3,270,"3PuttAvoidanceRound3",2006
8,8,"Brian Bateman",NA,1.23,2,162,"3PuttAvoidanceRound3",2006
8,8,"Todd Hamilton",NA,1.23,2,162,"3PuttAvoidanceRound3",2006
8,8,"Omar Uresti",NA,1.23,2,162,"3PuttAvoidanceRound3",2006
11,11,"Jim Furyk",NA,1.32,5,378,"3PuttAvoidanceRound3",2006
12,12,"Stewart Cink",NA,1.39,5,360,"3PuttAvoidanceRound3",2006
12,12,"Brent Geiberger",NA,1.39,5,360,"3PuttAvoidanceRound3",2006
12,12,"Scott Gutschewski",NA,1.39,2,144,"3PuttAvoidanceRound3",2006
12,12,"Lee Janzen",NA,1.39,3,216,"3PuttAvoidanceRound3",2006
16,16,"Carl Pettersson",NA,1.46,5,342,"3PuttAvoidanceRound3",2006
17,17,"Stephen Leaney",NA,1.48,4,270,"3PuttAvoidanceRound3",2006
18,18,"Danny Ellis",NA,1.52,3,198,"3PuttAvoidanceRound3",2006
19,19,"Jesper Parnevik",NA,1.54,5,324,"3PuttAvoidanceRound3",2006
20,20,"Ben Crane",NA,1.63,5,306,"3PuttAvoidanceRound3",2006
20,20,"Marco Dawson",NA,1.63,5,306,"3PuttAvoidanceRound3",2006
20,20,"Phil Mickelson",NA,1.63,5,306,"3PuttAvoidanceRound3",2006
23,23,"Mark Brooks",NA,1.67,3,180,"3PuttAvoidanceRound3",2006
23,23,"Justin Rose",NA,1.67,6,360,"3PuttAvoidanceRound3",2006
25,25,"Greg Kraft",NA,1.71,4,234,"3PuttAvoidanceRound3",2006
25,25,"Corey Pavin",NA,1.71,4,234,"3PuttAvoidanceRound3",2006
27,27,"Chris Riley",NA,1.74,5,288,"3PuttAvoidanceRound3",2006
28,28,"Bill Haas",NA,1.75,6,342,"3PuttAvoidanceRound3",2006
29,29,"Alex Aragon",NA,1.85,2,108,"3PuttAvoidanceRound3",2006
29,29,"Steve Elkington",NA,1.85,3,162,"3PuttAvoidanceRound3",2006
29,29,"Lucas Glover",NA,1.85,7,378,"3PuttAvoidanceRound3",2006
29,29,"Sean OHair",NA,1.85,7,378,"3PuttAvoidanceRound3",2006
29,29,"Rory Sabbatini",NA,1.85,6,324,"3PuttAvoidanceRound3",2006
29,29,"Kirk Triplett",NA,1.85,4,216,"3PuttAvoidanceRound3",2006
29,29,"Mark Wilson",NA,1.85,5,270,"3PuttAvoidanceRound3",2006
36,36,"Jeff Overton",NA,1.94,7,360,"3PuttAvoidanceRound3",2006
37,37,"Jonathan Byrd",NA,1.98,5,252,"3PuttAvoidanceRound3",2006
38,38,"Chad Campbell",NA,2.05,7,342,"3PuttAvoidanceRound3",2006
38,38,"John Senden",NA,2.05,7,342,"3PuttAvoidanceRound3",2006
38,38,"Scott Verplank",NA,2.05,7,342,"3PuttAvoidanceRound3",2006
41,41,"Arjun Atwal",NA,2.08,6,288,"3PuttAvoidanceRound3",2006
41,41,"Paul Azinger",NA,2.08,6,288,"3PuttAvoidanceRound3",2006
41,41,"Ernie Els",NA,2.08,6,288,"3PuttAvoidanceRound3",2006
41,41,"Hidemichi Tanaka",NA,2.08,3,144,"3PuttAvoidanceRound3",2006
45,45,"Ryuji Imada",NA,2.12,8,378,"3PuttAvoidanceRound3",2006
45,45,"Hunter Mahan",NA,2.12,8,378,"3PuttAvoidanceRound3",2006
45,45,"Jeff Sluman",NA,2.12,8,378,"3PuttAvoidanceRound3",2006
48,48,"Jose Maria Olazabal",NA,2.14,5,234,"3PuttAvoidanceRound3",2006
49,49,"Henrik Bjornstad",NA,2.16,7,324,"3PuttAvoidanceRound3",2006
49,49,"Bubba Dickerson",NA,2.16,7,324,"3PuttAvoidanceRound3",2006
49,49,"Richard Johnson",NA,2.16,7,324,"3PuttAvoidanceRound3",2006
49,49,"Shaun Micheel",NA,2.16,7,324,"3PuttAvoidanceRound3",2006
49,49,"John Rollins",NA,2.16,7,324,"3PuttAvoidanceRound3",2006
54,54,"Ian Leggatt",NA,2.22,4,180,"3PuttAvoidanceRound3",2006
54,54,"Vance Veazey",NA,2.22,4,180,"3PuttAvoidanceRound3",2006
56,56,"Robert Gamez",NA,2.29,7,306,"3PuttAvoidanceRound3",2006
56,56,"Davis Love III",NA,2.29,7,306,"3PuttAvoidanceRound3",2006
56,56,"Joe Ogilvie",NA,2.29,7,306,"3PuttAvoidanceRound3",2006
59,59,"Ryan Moore",NA,2.31,5,216,"3PuttAvoidanceRound3",2006
60,60,"Jerry Kelly",NA,2.34,8,342,"3PuttAvoidanceRound3",2006
60,60,"Charles Warren",NA,2.34,8,342,"3PuttAvoidanceRound3",2006
62,62,"KJ Choi",NA,2.38,9,378,"3PuttAvoidanceRound3",2006
62,62,"Retief Goosen",NA,2.38,6,252,"3PuttAvoidanceRound3",2006
62,62,"Jeff Maggert",NA,2.38,6,252,"3PuttAvoidanceRound3",2006
62,62,"Jon Mills",NA,2.38,3,126,"3PuttAvoidanceRound3",2006
66,66,"Geoff Ogilvy",NA,2.43,7,288,"3PuttAvoidanceRound3",2006
67,67,"Robert Allenby",NA,2.47,8,324,"3PuttAvoidanceRound3",2006
67,67,"Larry Mize",NA,2.47,4,162,"3PuttAvoidanceRound3",2006
67,67,"Vaughn Taylor",NA,2.47,8,324,"3PuttAvoidanceRound3",2006
67,67,"Jimmy Walker",NA,2.47,4,162,"3PuttAvoidanceRound3",2006
71,71,"JJ Henry",NA,2.5,9,360,"3PuttAvoidanceRound3",2006
71,71,"Kent Jones",NA,2.5,9,360,"3PuttAvoidanceRound3",2006
71,71,"Rod Pampling",NA,2.5,9,360,"3PuttAvoidanceRound3",2006
74,74,"David Duval",NA,2.53,5,198,"3PuttAvoidanceRound3",2006
74,74,"Brian Gay",NA,2.53,10,396,"3PuttAvoidanceRound3",2006
76,76,"David McKenzie",NA,2.56,6,234,"3PuttAvoidanceRound3",2006
77,77,"Briny Baird",NA,2.59,7,270,"3PuttAvoidanceRound3",2006
77,77,"Bob Tway",NA,2.59,7,270,"3PuttAvoidanceRound3",2006
79,79,"Bob Estes",NA,2.61,8,306,"3PuttAvoidanceRound3",2006
79,79,"Todd Fischer",NA,2.61,8,306,"3PuttAvoidanceRound3",2006
79,79,"Patrick Sheehan",NA,2.61,8,306,"3PuttAvoidanceRound3",2006
82,82,"Fred Funk",NA,2.67,12,450,"3PuttAvoidanceRound3",2006
83,83,"Stephen Ames",NA,2.78,6,216,"3PuttAvoidanceRound3",2006
