"PresidentsCupUnitedes_RANKTHISWEEK_2008","PresidentsCupUnitedes_RANKLASTWEEK_2008","PresidentsCupUnitedes_PLAYERNAME_2008","PresidentsCupUnitedes__2008","PresidentsCupUnitedes_POINTS_2008","stat_name","year"
1,1,"Tiger Woods",NA,8817667,"PresidentsCupUnitedes",2008
2,2,"Phil Mickelson",NA,6809025,"PresidentsCupUnitedes",2008
3,3,"Justin Leonard",NA,5215187,"PresidentsCupUnitedes",2008
4,4,"Anthony Kim",NA,4788166,"PresidentsCupUnitedes",2008
5,5,"Kenny Perry",NA,4751077,"PresidentsCupUnitedes",2008
6,6,"Stewart Cink",NA,4516636,"PresidentsCupUnitedes",2008
7,7,"Steve Stricker",NA,4493304,"PresidentsCupUnitedes",2008
8,8,"Jim Furyk",NA,3811494,"PresidentsCupUnitedes",2008
9,9,"Chad Campbell",NA,3153330,"PresidentsCupUnitedes",2008
10,10,"Sean OHair",NA,2890504,"PresidentsCupUnitedes",2008
11,11,"Boo Weekley",NA,2815370,"PresidentsCupUnitedes",2008
12,12,"DJ Trahan",NA,2772151,"PresidentsCupUnitedes",2008
13,13,"Brandt Snedeker",NA,2686275,"PresidentsCupUnitedes",2008
14,14,"Kevin Sutherland",NA,2658131,"PresidentsCupUnitedes",2008
15,15,"Ben Curtis",NA,2628668,"PresidentsCupUnitedes",2008
16,16,"Hunter Mahan",NA,2617042,"PresidentsCupUnitedes",2008
17,17,"Ken Duke",NA,2608153,"PresidentsCupUnitedes",2008
18,18,"Billy Mayfair",NA,2558575,"PresidentsCupUnitedes",2008
19,19,"Steve Flesch",NA,2556372,"PresidentsCupUnitedes",2008
20,20,"Woody Austin",NA,2542607,"PresidentsCupUnitedes",2008
21,21,"Brian Gay",NA,2453677,"PresidentsCupUnitedes",2008
22,22,"Briny Baird",NA,2374091,"PresidentsCupUnitedes",2008
23,23,"Zach Johnson",NA,2349840,"PresidentsCupUnitedes",2008
24,24,"JB Holmes",NA,2338091,"PresidentsCupUnitedes",2008
25,25,"George McNeill",NA,2287325,"PresidentsCupUnitedes",2008
26,26,"Dudley Hart",NA,2218817,"PresidentsCupUnitedes",2008
27,27,"Steve Marino",NA,2204593,"PresidentsCupUnitedes",2008
28,28,"Heath Slocum",NA,2203841,"PresidentsCupUnitedes",2008
29,29,"Jeff Quinney",NA,2182998,"PresidentsCupUnitedes",2008
30,30,"Pat Perez",NA,2015798,"PresidentsCupUnitedes",2008
31,31,"Johnson Wagner",NA,2002834,"PresidentsCupUnitedes",2008
32,32,"Jerry Kelly",NA,1988362,"PresidentsCupUnitedes",2008
33,33,"Scott Verplank",NA,1939283,"PresidentsCupUnitedes",2008
34,34,"Bart Bryant",NA,1892724,"PresidentsCupUnitedes",2008
35,35,"Cameron Beckman",NA,1873033,"PresidentsCupUnitedes",2008
36,36,"Nicholas Thompson",NA,1869329,"PresidentsCupUnitedes",2008
37,37,"John Mallinger",NA,1820194,"PresidentsCupUnitedes",2008
38,38,"Tommy Armour III",NA,1799301,"PresidentsCupUnitedes",2008
39,39,"Mark Calcavecchia",NA,1789923,"PresidentsCupUnitedes",2008
40,40,"Dustin Johnson",NA,1789895,"PresidentsCupUnitedes",2008
41,41,"Mark Wilson",NA,1767119,"PresidentsCupUnitedes",2008
42,42,"Davis Love III",NA,1719737,"PresidentsCupUnitedes",2008
43,43,"Paul Goydos",NA,1696512,"PresidentsCupUnitedes",2008
44,44,"Bubba Watson",NA,1694695,"PresidentsCupUnitedes",2008
45,45,"Charles Howell III",NA,1687474,"PresidentsCupUnitedes",2008
46,46,"Michael Allen",NA,1685918,"PresidentsCupUnitedes",2008
47,47,"Dean Wilson",NA,1671868,"PresidentsCupUnitedes",2008
48,48,"Steve Lowery",NA,1670433,"PresidentsCupUnitedes",2008
49,49,"Jeff Overton",NA,1643355,"PresidentsCupUnitedes",2008
50,50,"Parker McLachlin",NA,1636390,"PresidentsCupUnitedes",2008
51,51,"Ben Crane",NA,1576834,"PresidentsCupUnitedes",2008
52,52,"Ryan Palmer",NA,1554112,"PresidentsCupUnitedes",2008
53,53,"Matt Kuchar",NA,1548008,"PresidentsCupUnitedes",2008
54,54,"Tim Petrovic",NA,1515581,"PresidentsCupUnitedes",2008
55,55,"Rocco Mediate",NA,1515025,"PresidentsCupUnitedes",2008
56,56,"Ryan Moore",NA,1500291,"PresidentsCupUnitedes",2008
57,57,"Jonathan Byrd",NA,1481298,"PresidentsCupUnitedes",2008
58,58,"John Merrick",NA,1467203,"PresidentsCupUnitedes",2008
59,59,"Tom Pernice Jr",NA,1455839,"PresidentsCupUnitedes",2008
60,60,"Chez Reavie",NA,1444102,"PresidentsCupUnitedes",2008
61,61,"Bill Haas",NA,1426216,"PresidentsCupUnitedes",2008
62,62,"Troy Matteson",NA,1424352,"PresidentsCupUnitedes",2008
63,63,"Greg Kraft",NA,1404399,"PresidentsCupUnitedes",2008
64,64,"Bo Van Pelt",NA,1395908,"PresidentsCupUnitedes",2008
65,65,"Lucas Glover",NA,1353027,"PresidentsCupUnitedes",2008
66,66,"Kevin Streelman",NA,1352705,"PresidentsCupUnitedes",2008
67,67,"Charley Hoffman",NA,1351845,"PresidentsCupUnitedes",2008
68,68,"Robert Garrigus",NA,1347722,"PresidentsCupUnitedes",2008
69,69,"Marc Turnesa",NA,1329920,"PresidentsCupUnitedes",2008
70,70,"Tim Herron",NA,1322994,"PresidentsCupUnitedes",2008
71,71,"Cliff Kresge",NA,1283860,"PresidentsCupUnitedes",2008
72,72,"Vaughn Taylor",NA,1272234,"PresidentsCupUnitedes",2008
73,73,"John Rollins",NA,1269618,"PresidentsCupUnitedes",2008
74,74,"Joe Ogilvie",NA,1216304,"PresidentsCupUnitedes",2008
75,75,"Jason Gore",NA,1188673,"PresidentsCupUnitedes",2008
76,76,"Kevin Na",NA,1188250,"PresidentsCupUnitedes",2008
77,77,"Michael Letzig",NA,1166977,"PresidentsCupUnitedes",2008
78,78,"Nick Watney",NA,1165662,"PresidentsCupUnitedes",2008
79,79,"Rich Beem",NA,1147603,"PresidentsCupUnitedes",2008
80,80,"Will Ma Kenzie",NA,1121621,"PresidentsCupUnitedes",2008
81,81,"Arron Oberholser",NA,1114005,"PresidentsCupUnitedes",2008
82,82,"JJ Henry",NA,1106762,"PresidentsCupUnitedes",2008
83,83,"Charles Warren",NA,1087498,"PresidentsCupUnitedes",2008
84,84,"Bob Estes",NA,1067128,"PresidentsCupUnitedes",2008
85,85,"Eric Axley",NA,968241,"PresidentsCupUnitedes",2008
86,86,"Corey Pavin",NA,964175,"PresidentsCupUnitedes",2008
87,87,"Scott McCarron",NA,952070,"PresidentsCupUnitedes",2008
88,88,"Fred Couples",NA,949281,"PresidentsCupUnitedes",2008
89,89,"Joe Durant",NA,947297,"PresidentsCupUnitedes",2008
90,90,"Brett Quigley",NA,927251,"PresidentsCupUnitedes",2008
91,91,"Chris Stroud",NA,885967,"PresidentsCupUnitedes",2008
92,92,"David Toms",NA,884374,"PresidentsCupUnitedes",2008
93,93,"Brett Wetterich",NA,871329,"PresidentsCupUnitedes",2008
94,94,"Jason Bohn",NA,866786,"PresidentsCupUnitedes",2008
95,95,"Brad Adamonis",NA,862413,"PresidentsCupUnitedes",2008
96,96,"Jay Williamson",NA,849339,"PresidentsCupUnitedes",2008
97,97,"Tag Ridings",NA,843834,"PresidentsCupUnitedes",2008
98,98,"Bob Tway",NA,841858,"PresidentsCupUnitedes",2008
99,99,"Shane Bertsch",NA,841248,"PresidentsCupUnitedes",2008
100,100,"Kevin Stadler",NA,837920,"PresidentsCupUnitedes",2008
101,101,"Patrick Sheehan",NA,805897,"PresidentsCupUnitedes",2008
102,102,"Frank Lickliter II",NA,726368,"PresidentsCupUnitedes",2008
103,103,"Kent Jones",NA,710050,"PresidentsCupUnitedes",2008
104,104,"James Driscoll",NA,708549,"PresidentsCupUnitedes",2008
105,105,"Ryan Armour",NA,700969,"PresidentsCupUnitedes",2008
106,106,"Tom Lehman",NA,676651,"PresidentsCupUnitedes",2008
107,107,"Robert Gamez",NA,674364,"PresidentsCupUnitedes",2008
108,108,"Jeff Maggert",NA,654114,"PresidentsCupUnitedes",2008
109,109,"Marco Dawson",NA,626599,"PresidentsCupUnitedes",2008
110,110,"Scott Sterling",NA,624822,"PresidentsCupUnitedes",2008
111,111,"John Huston",NA,608772,"PresidentsCupUnitedes",2008
112,112,"Chris DiMarco",NA,590744,"PresidentsCupUnitedes",2008
113,113,"Chris Riley",NA,575266,"PresidentsCupUnitedes",2008
114,114,"Todd Hamilton",NA,570468,"PresidentsCupUnitedes",2008
115,115,"Tommy Gainey",NA,562205,"PresidentsCupUnitedes",2008
116,116,"Harrison Frazar",NA,537779,"PresidentsCupUnitedes",2008
117,117,"JP Hayes",NA,533167,"PresidentsCupUnitedes",2008
118,118,"Lee Janzen",NA,526435,"PresidentsCupUnitedes",2008
119,119,"Glen Day",NA,472331,"PresidentsCupUnitedes",2008
120,120,"Jeff Gove",NA,466765,"PresidentsCupUnitedes",2008
121,121,"Justin Bolli",NA,458022,"PresidentsCupUnitedes",2008
122,122,"Craig Kanada",NA,455067,"PresidentsCupUnitedes",2008
123,123,"Bob Heintz",NA,451891,"PresidentsCupUnitedes",2008
124,124,"Roland Thatcher",NA,445212,"PresidentsCupUnitedes",2008
125,125,"Jason Dufner",NA,419193,"PresidentsCupUnitedes",2008
126,126,"Doug LaBelle II",NA,409710,"PresidentsCupUnitedes",2008
127,127,"Dicky Pride",NA,408458,"PresidentsCupUnitedes",2008
128,128,"Omar Uresti",NA,346285,"PresidentsCupUnitedes",2008
129,129,"Chad Collins",NA,339959,"PresidentsCupUnitedes",2008
130,130,"Shaun Micheel",NA,338387,"PresidentsCupUnitedes",2008
131,131,"Garrett Willis",NA,334107,"PresidentsCupUnitedes",2008
132,132,"Dan Forsman",NA,319271,"PresidentsCupUnitedes",2008
133,133,"Fred Funk",NA,318607,"PresidentsCupUnitedes",2008
134,134,"Billy Andrade",NA,306640,"PresidentsCupUnitedes",2008
135,135,"Ted Purdy",NA,297500,"PresidentsCupUnitedes",2008
136,136,"Brandt Jobe",NA,293214,"PresidentsCupUnitedes",2008
137,137,"John Riegger",NA,289501,"PresidentsCupUnitedes",2008
138,138,"Tom Scherrer",NA,288391,"PresidentsCupUnitedes",2008
139,139,"Bob May",NA,285290,"PresidentsCupUnitedes",2008
140,140,"Jimmy Walker",NA,282249,"PresidentsCupUnitedes",2008
141,141,"Brad Elder",NA,270365,"PresidentsCupUnitedes",2008
142,142,"Brian Bateman",NA,263665,"PresidentsCupUnitedes",2008
143,143,"Bob Sowards",NA,263327,"PresidentsCupUnitedes",2008
144,144,"Todd Demsey",NA,217417,"PresidentsCupUnitedes",2008
145,145,"Brent Geiberger",NA,207470,"PresidentsCupUnitedes",2008
146,146,"Craig Barlow",NA,195936,"PresidentsCupUnitedes",2008
147,147,"Larry Mize",NA,190804,"PresidentsCupUnitedes",2008
148,148,"Olin Browne",NA,176129,"PresidentsCupUnitedes",2008
149,149,"Joey Sindelar",NA,167250,"PresidentsCupUnitedes",2008
150,150,"Paul Stankowski",NA,156077,"PresidentsCupUnitedes",2008
