"Par4ScoringAverage_RANKTHISWEEK_2011","Par4ScoringAverage_RANKLASTWEEK_2011","Par4ScoringAverage_PLAYERNAME_2011","Par4ScoringAverage_ROUNDS_2011","Par4ScoringAverage_AVG_2011","Par4ScoringAverage_TOTALSTROKES_2011","Par4ScoringAverage_TOTALHOLES_2011","stat_name","year"
1,1,"Webb Simpson",98,3.97,4255,1071,"Par4ScoringAverage",2011
1,1,"Steve Stricker",70,3.97,2996,755,"Par4ScoringAverage",2011
3,3,"Luke Donald",73,3.98,2923,735,"Par4ScoringAverage",2011
3,3,"Matt Kuchar",94,3.98,3876,975,"Par4ScoringAverage",2011
5,5,"Bryce Molder",82,3.99,3531,885,"Par4ScoringAverage",2011
5,5,"David Toms",78,3.99,3379,846,"Par4ScoringAverage",2011
5,5,"Nick Watney",80,3.99,3349,839,"Par4ScoringAverage",2011
8,8,"Aaron Baddeley",77,4,3346,837,"Par4ScoringAverage",2011
8,8,"Briny Baird",60,4,2651,662,"Par4ScoringAverage",2011
8,8,"Ben Crane",76,4,3254,814,"Par4ScoringAverage",2011
8,8,"Brian Davis",105,4,4534,1133,"Par4ScoringAverage",2011
8,8,"Bill Haas",93,4,4020,1005,"Par4ScoringAverage",2011
8,8,"David Hearn",88,4,3885,971,"Par4ScoringAverage",2011
8,8,"Hunter Mahan",92,4,3900,975,"Par4ScoringAverage",2011
8,8,"Rod Pampling",72,4,3152,788,"Par4ScoringAverage",2011
8,8,"Adam Scott",60,4,2654,663,"Par4ScoringAverage",2011
8,8,"Brandt Snedeker",85,4,3723,931,"Par4ScoringAverage",2011
18,18,"Blake Adams",116,4.01,5024,1252,"Par4ScoringAverage",2011
18,18,"Chris Couch",73,4.01,3139,783,"Par4ScoringAverage",2011
18,18,"Brendon de Jonge",105,4.01,4564,1137,"Par4ScoringAverage",2011
18,18,"Jason Dufner",78,4.01,3424,854,"Par4ScoringAverage",2011
18,18,"Sergio Garcia",61,4.01,2699,673,"Par4ScoringAverage",2011
18,18,"Charles Howell III",108,4.01,4749,1185,"Par4ScoringAverage",2011
18,18,"Freddie Jacobson",92,4.01,4076,1017,"Par4ScoringAverage",2011
18,18,"Zach Johnson",79,4.01,3449,860,"Par4ScoringAverage",2011
18,18,"Chris Kirk",87,4.01,3804,948,"Par4ScoringAverage",2011
18,18,"Martin Laird",77,4.01,3242,809,"Par4ScoringAverage",2011
18,18,"William McGirt",103,4.01,4529,1129,"Par4ScoringAverage",2011
18,18,"John Merrick",71,4.01,3156,787,"Par4ScoringAverage",2011
18,18,"Phil Mickelson",79,4.01,3325,829,"Par4ScoringAverage",2011
