"AverageApproachDistanceBirdieorBetter_RANKTHISWEEK_2008","AverageApproachDistanceBirdieorBetter_RANKLASTWEEK_2008","AverageApproachDistanceBirdieorBetter_PLAYERNAME_2008","AverageApproachDistanceBirdieorBetter_ROUNDS_2008","AverageApproachDistanceBirdieorBetter_AVGYARDS_2008","AverageApproachDistanceBirdieorBetter_TOTALDISTANCEINCHES_2008","AverageApproachDistanceBirdieorBetter_NUMBEROFAPPROACHSHOTS_2008","stat_name","year"
1,1,"Justin Leonard",101,150.2,1525046,282,"AverageApproachDistanceBirdieorBetter",2008
2,2,"Gavin Coles",54,152.1,832102,152,"AverageApproachDistanceBirdieorBetter",2008
3,3,"Paul Goydos",78,155.6,1215883,217,"AverageApproachDistanceBirdieorBetter",2008
4,4,"Brian Gay",102,155.7,1715492,306,"AverageApproachDistanceBirdieorBetter",2008
4,4,"Greg Kraft",63,155.7,935907,167,"AverageApproachDistanceBirdieorBetter",2008
6,6,"Jin Park",85,155.8,1188929,212,"AverageApproachDistanceBirdieorBetter",2008
7,7,"Stephen Leaney",53,156.6,693623,123,"AverageApproachDistanceBirdieorBetter",2008
8,8,"Tim Clark",90,156.9,1530419,271,"AverageApproachDistanceBirdieorBetter",2008
9,9,"Ron Whittaker",54,157,723494,128,"AverageApproachDistanceBirdieorBetter",2008
10,10,"Nick OHern",82,157.1,1413809,250,"AverageApproachDistanceBirdieorBetter",2008
11,11,"Olin Browne",77,157.4,1065453,188,"AverageApproachDistanceBirdieorBetter",2008
11,11,"Heath Slocum",104,157.4,1547247,273,"AverageApproachDistanceBirdieorBetter",2008
13,13,"Bart Bryant",81,158.1,1184021,208,"AverageApproachDistanceBirdieorBetter",2008
14,14,"Paul Claxton",63,158.2,865401,152,"AverageApproachDistanceBirdieorBetter",2008
14,14,"Craig Kanada",65,158.2,1007880,177,"AverageApproachDistanceBirdieorBetter",2008
16,16,"Ian Poulter",51,158.4,655778,115,"AverageApproachDistanceBirdieorBetter",2008
17,17,"Glen Day",64,158.7,1062363,186,"AverageApproachDistanceBirdieorBetter",2008
17,17,"Omar Uresti",74,158.7,1165307,204,"AverageApproachDistanceBirdieorBetter",2008
19,19,"Scott Sterling",89,159.5,1354839,236,"AverageApproachDistanceBirdieorBetter",2008
20,20,"Tommy Armour III",77,159.6,1281259,223,"AverageApproachDistanceBirdieorBetter",2008
21,21,"Jeff Quinney",87,160.1,1481341,257,"AverageApproachDistanceBirdieorBetter",2008
22,22,"Dean Wilson",109,160.3,1898298,329,"AverageApproachDistanceBirdieorBetter",2008
23,23,"Matt Kuchar",88,160.4,1293342,224,"AverageApproachDistanceBirdieorBetter",2008
23,23,"Jay Williamson",96,160.4,1466496,254,"AverageApproachDistanceBirdieorBetter",2008
25,25,"Scott Verplank",82,160.6,1358292,235,"AverageApproachDistanceBirdieorBetter",2008
26,26,"Chez Reavie",102,160.9,1738082,300,"AverageApproachDistanceBirdieorBetter",2008
27,27,"Corey Pavin",69,161.2,1114235,192,"AverageApproachDistanceBirdieorBetter",2008
28,28,"John Riegger",73,161.3,1242328,214,"AverageApproachDistanceBirdieorBetter",2008
29,29,"Geoff Ogilvy",65,162,962452,165,"AverageApproachDistanceBirdieorBetter",2008
30,30,"Brian Davis",108,162.3,2121196,363,"AverageApproachDistanceBirdieorBetter",2008
31,31,"Tim Wilkinson",95,162.9,1519164,259,"AverageApproachDistanceBirdieorBetter",2008
32,32,"Ryan Armour",87,163.3,1510820,257,"AverageApproachDistanceBirdieorBetter",2008
33,33,"Chris DiMarco",87,163.5,1507246,256,"AverageApproachDistanceBirdieorBetter",2008
33,33,"Freddie Jacobson",78,163.5,1335804,227,"AverageApproachDistanceBirdieorBetter",2008
33,33,"Joe Ogilvie",100,163.5,1919183,326,"AverageApproachDistanceBirdieorBetter",2008
36,36,"Shane Bertsch",96,163.7,1826653,310,"AverageApproachDistanceBirdieorBetter",2008
37,37,"Jeff Gove",50,164.2,809871,137,"AverageApproachDistanceBirdieorBetter",2008
38,38,"Stephen Ames",83,164.3,1454946,246,"AverageApproachDistanceBirdieorBetter",2008
38,38,"Steve Elkington",84,164.3,1573420,266,"AverageApproachDistanceBirdieorBetter",2008
38,38,"Bob Tway",70,164.3,1336682,226,"AverageApproachDistanceBirdieorBetter",2008
41,41,"Bob Estes",90,164.4,1710287,289,"AverageApproachDistanceBirdieorBetter",2008
42,42,"David Duval",51,164.8,711999,120,"AverageApproachDistanceBirdieorBetter",2008
42,42,"Chris Stroud",81,164.8,1251840,211,"AverageApproachDistanceBirdieorBetter",2008
42,42,"Vaughn Taylor",103,164.8,2029290,342,"AverageApproachDistanceBirdieorBetter",2008
45,45,"Paul Casey",55,164.9,807111,136,"AverageApproachDistanceBirdieorBetter",2008
46,46,"David Toms",70,165.1,1218741,205,"AverageApproachDistanceBirdieorBetter",2008
47,47,"Billy Andrade",71,165.4,1065656,179,"AverageApproachDistanceBirdieorBetter",2008
47,47,"Brett Rumford",72,165.4,1250208,210,"AverageApproachDistanceBirdieorBetter",2008
49,49,"Mark Wilson",107,165.6,2283311,383,"AverageApproachDistanceBirdieorBetter",2008
50,50,"JP Hayes",67,165.8,1080355,181,"AverageApproachDistanceBirdieorBetter",2008
51,51,"Ben Crane",86,166.1,1692213,283,"AverageApproachDistanceBirdieorBetter",2008
51,51,"Tom Pernice Jr",104,166.1,2110876,353,"AverageApproachDistanceBirdieorBetter",2008
53,53,"Cody Freeman",66,166.3,982081,164,"AverageApproachDistanceBirdieorBetter",2008
53,53,"Zach Johnson",85,166.3,1556486,260,"AverageApproachDistanceBirdieorBetter",2008
55,55,"Cameron Beckman",87,166.6,1571229,262,"AverageApproachDistanceBirdieorBetter",2008
56,56,"Steve Stricker",75,166.7,1271896,212,"AverageApproachDistanceBirdieorBetter",2008
56,56,"Mike Weir",88,166.7,1464180,244,"AverageApproachDistanceBirdieorBetter",2008
58,58,"Todd Hamilton",92,166.8,1464833,244,"AverageApproachDistanceBirdieorBetter",2008
59,59,"Ben Curtis",80,167.1,1263453,210,"AverageApproachDistanceBirdieorBetter",2008
59,59,"Doug LaBelle II",65,167.1,980278,163,"AverageApproachDistanceBirdieorBetter",2008
61,61,"John Huston",56,167.2,1186126,197,"AverageApproachDistanceBirdieorBetter",2008
62,62,"Jim Furyk",95,167.4,1626686,270,"AverageApproachDistanceBirdieorBetter",2008
63,63,"Chris Riley",51,167.5,759740,126,"AverageApproachDistanceBirdieorBetter",2008
64,64,"Marc Turnesa",87,167.6,1665395,276,"AverageApproachDistanceBirdieorBetter",2008
65,65,"Ken Duke",116,167.7,2378739,394,"AverageApproachDistanceBirdieorBetter",2008
65,65,"Richard Johnson",60,167.7,875309,145,"AverageApproachDistanceBirdieorBetter",2008
65,65,"Carl Pettersson",110,167.7,2089156,346,"AverageApproachDistanceBirdieorBetter",2008
68,68,"Michael Allen",91,168.1,1736615,287,"AverageApproachDistanceBirdieorBetter",2008
69,69,"Mark Calcavecchia",67,168.2,1168397,193,"AverageApproachDistanceBirdieorBetter",2008
69,69,"Jim McGovern",75,168.2,1205207,199,"AverageApproachDistanceBirdieorBetter",2008
71,71,"Chad Campbell",94,168.6,1990476,328,"AverageApproachDistanceBirdieorBetter",2008
71,71,"Jerry Kelly",89,168.6,1444930,238,"AverageApproachDistanceBirdieorBetter",2008
71,71,"John Mallinger",95,168.6,1814517,299,"AverageApproachDistanceBirdieorBetter",2008
74,74,"Trevor Immelman",70,168.7,1032401,170,"AverageApproachDistanceBirdieorBetter",2008
74,74,"Steve Lowery",74,168.7,1275650,210,"AverageApproachDistanceBirdieorBetter",2008
76,76,"Will Ma Kenzie",62,168.8,1087746,179,"AverageApproachDistanceBirdieorBetter",2008
77,77,"Shigeki Maruyama",50,168.9,747869,123,"AverageApproachDistanceBirdieorBetter",2008
78,78,"Justin Bolli",87,169.2,1395100,229,"AverageApproachDistanceBirdieorBetter",2008
78,78,"Ernie Els",51,169.2,791690,130,"AverageApproachDistanceBirdieorBetter",2008
78,78,"Jason Gore",94,169.2,1973398,324,"AverageApproachDistanceBirdieorBetter",2008
81,81,"Brad Elder",67,169.3,1048040,172,"AverageApproachDistanceBirdieorBetter",2008
82,82,"Stuart Appleby",87,169.4,1463695,240,"AverageApproachDistanceBirdieorBetter",2008
82,82,"Briny Baird",113,169.4,1914924,314,"AverageApproachDistanceBirdieorBetter",2008
84,84,"Alex Cejka",75,169.7,1154630,189,"AverageApproachDistanceBirdieorBetter",2008
85,85,"Chad Collins",72,169.8,1289738,211,"AverageApproachDistanceBirdieorBetter",2008
85,85,"Lee Janzen",89,169.8,1552405,254,"AverageApproachDistanceBirdieorBetter",2008
87,87,"Steve Flesch",95,169.9,1743577,285,"AverageApproachDistanceBirdieorBetter",2008
88,88,"KJ Choi",74,170.1,1310101,214,"AverageApproachDistanceBirdieorBetter",2008
89,89,"JJ Henry",108,170.2,1819630,297,"AverageApproachDistanceBirdieorBetter",2008
90,90,"Anthony Kim",81,170.3,1600216,261,"AverageApproachDistanceBirdieorBetter",2008
90,90,"Patrick Sheehan",124,170.3,2139933,349,"AverageApproachDistanceBirdieorBetter",2008
92,92,"Cliff Kresge",84,170.5,1405347,229,"AverageApproachDistanceBirdieorBetter",2008
93,93,"Marco Dawson",64,170.6,1130111,184,"AverageApproachDistanceBirdieorBetter",2008
93,93,"Ryuji Imada",80,170.6,1449316,236,"AverageApproachDistanceBirdieorBetter",2008
95,95,"David Lutterus",59,170.7,940375,153,"AverageApproachDistanceBirdieorBetter",2008
96,96,"Dudley Hart",74,170.8,1450842,236,"AverageApproachDistanceBirdieorBetter",2008
97,97,"Billy Mayfair",103,170.9,1870319,304,"AverageApproachDistanceBirdieorBetter",2008
98,98,"Kyle Thompson",70,171,1046766,170,"AverageApproachDistanceBirdieorBetter",2008
98,98,"Charlie Wi",97,171,1846538,300,"AverageApproachDistanceBirdieorBetter",2008
100,100,"Robert Gamez",79,171.3,1387533,225,"AverageApproachDistanceBirdieorBetter",2008
100,100,"Tim Herron",97,171.3,1855906,301,"AverageApproachDistanceBirdieorBetter",2008
102,102,"Tommy Gainey",60,171.4,1012154,164,"AverageApproachDistanceBirdieorBetter",2008
103,103,"Brandt Snedeker",85,171.6,1371044,222,"AverageApproachDistanceBirdieorBetter",2008
104,104,"Jeff Maggert",86,171.8,1663891,269,"AverageApproachDistanceBirdieorBetter",2008
106,106,"John Rollins",94,172.1,1660163,268,"AverageApproachDistanceBirdieorBetter",2008
107,107,"Frank Lickliter II",107,172.3,2195546,354,"AverageApproachDistanceBirdieorBetter",2008
108,108,"Rich Beem",90,172.5,1713755,276,"AverageApproachDistanceBirdieorBetter",2008
108,108,"Steve Marino",119,172.5,2440111,393,"AverageApproachDistanceBirdieorBetter",2008
110,110,"Joe Durant",92,172.7,1678678,270,"AverageApproachDistanceBirdieorBetter",2008
111,111,"Eric Axley",113,172.8,2089700,336,"AverageApproachDistanceBirdieorBetter",2008
111,111,"Hunter Mahan",87,172.8,1692205,272,"AverageApproachDistanceBirdieorBetter",2008
113,113,"Scott McCarron",63,173.1,1208995,194,"AverageApproachDistanceBirdieorBetter",2008
114,114,"Daniel Chopra",84,173.3,1547476,248,"AverageApproachDistanceBirdieorBetter",2008
115,115,"Kent Jones",68,173.5,1236369,198,"AverageApproachDistanceBirdieorBetter",2008
116,116,"Tim Petrovic",97,173.7,1744375,279,"AverageApproachDistanceBirdieorBetter",2008
117,117,"Travis Perkins",53,173.8,706916,113,"AverageApproachDistanceBirdieorBetter",2008
118,118,"Peter Lonard",92,173.9,1702816,272,"AverageApproachDistanceBirdieorBetter",2008
119,119,"Jeff Overton",103,174,2060477,329,"AverageApproachDistanceBirdieorBetter",2008
120,120,"Tom Lehman",51,174.1,764770,122,"AverageApproachDistanceBirdieorBetter",2008
120,120,"Kevin Streelman",114,174.1,2225070,355,"AverageApproachDistanceBirdieorBetter",2008
122,122,"Retief Goosen",59,174.3,847262,135,"AverageApproachDistanceBirdieorBetter",2008
123,123,"Bob Sowards",61,174.5,1030468,164,"AverageApproachDistanceBirdieorBetter",2008
124,124,"YE Yang",89,174.7,1660125,264,"AverageApproachDistanceBirdieorBetter",2008
125,125,"Mark Hensby",71,174.8,1497978,238,"AverageApproachDistanceBirdieorBetter",2008
125,125,"Kenny Perry",97,174.8,2171070,345,"AverageApproachDistanceBirdieorBetter",2008
127,127,"Woody Austin",109,174.9,2083861,331,"AverageApproachDistanceBirdieorBetter",2008
128,128,"Rocco Mediate",87,175,1329639,211,"AverageApproachDistanceBirdieorBetter",2008
129,129,"Jon Mills",95,175.2,1539361,244,"AverageApproachDistanceBirdieorBetter",2008
130,130,"Stewart Cink",87,175.4,1572496,249,"AverageApproachDistanceBirdieorBetter",2008
131,131,"Brandt Jobe",52,175.7,954853,151,"AverageApproachDistanceBirdieorBetter",2008
132,132,"Todd Demsey",80,175.8,1499675,237,"AverageApproachDistanceBirdieorBetter",2008
132,132,"Ryan Palmer",69,175.8,1651628,261,"AverageApproachDistanceBirdieorBetter",2008
132,132,"Tom Scherrer",56,175.8,917643,145,"AverageApproachDistanceBirdieorBetter",2008
135,135,"Rod Pampling",83,176,1476399,233,"AverageApproachDistanceBirdieorBetter",2008
136,136,"Rory Sabbatini",77,176.1,1610278,254,"AverageApproachDistanceBirdieorBetter",2008
137,137,"Alejandro Canizares",52,176.3,844048,133,"AverageApproachDistanceBirdieorBetter",2008
138,138,"Vijay Singh",82,176.5,1549972,244,"AverageApproachDistanceBirdieorBetter",2008
139,139,"Nick Flanagan",89,176.6,1697601,267,"AverageApproachDistanceBirdieorBetter",2008
140,140,"Kevin Na",97,176.7,2041369,321,"AverageApproachDistanceBirdieorBetter",2008
141,141,"John Senden",93,176.8,1737224,273,"AverageApproachDistanceBirdieorBetter",2008
142,142,"Bo Van Pelt",101,176.9,2044052,321,"AverageApproachDistanceBirdieorBetter",2008
143,143,"Lucas Glover",91,177,1860342,292,"AverageApproachDistanceBirdieorBetter",2008
143,143,"Parker McLachlin",88,177,1771022,278,"AverageApproachDistanceBirdieorBetter",2008
145,145,"DJ Trahan",94,177.6,1809466,283,"AverageApproachDistanceBirdieorBetter",2008
146,146,"Harrison Frazar",73,178,1365281,213,"AverageApproachDistanceBirdieorBetter",2008
147,147,"Charles Howell III",101,178.1,1975222,308,"AverageApproachDistanceBirdieorBetter",2008
