"LaunchAngle_RANKTHISWEEK_2016","LaunchAngle_RANKLASTWEEK_2016","LaunchAngle_PLAYERNAME_2016","LaunchAngle_ROUNDS_2016","LaunchAngle_AVG_2016","LaunchAngle_TOTALVERTLAUNCHANGLE_2016","LaunchAngle_TOTALATTEMPTS_2016","LaunchAngle_LOWESTLAUNCHANGLE_2016","LaunchAngle_STEEPESTLAUNCHANGLE_2016","stat_name","year"
1,1,"Darron Stiles",28,14.35,258.34,18,11.25,16.68,"LaunchAngle",2016
2,2,"David Hearn",55,13.36,694.51,52,8.35,16.17,"LaunchAngle",2016
3,2,"David Toms",38,13.34,587,44,10.07,18.14,"LaunchAngle",2016
4,4,"Zach Johnson",42,13.17,487.24,37,9.34,16.52,"LaunchAngle",2016
5,6,"Brett Stegmaier",57,13.05,730.98,56,9.89,16.39,"LaunchAngle",2016
6,7,"Justin Thomas",53,13.04,626.01,48,7.48,16.96,"LaunchAngle",2016
7,8,"JB Holmes",39,13,415.96,32,6.93,16.89,"LaunchAngle",2016
8,5,"Mark Wilson",42,12.99,506.72,39,9.24,15.58,"LaunchAngle",2016
9,10,"Chesson Hadley",51,12.72,636.24,50,7.62,17.11,"LaunchAngle",2016
10,10,"Zac Blair",56,12.63,644.06,51,8.51,16.26,"LaunchAngle",2016
10,9,"Danny Lee",53,12.63,555.81,44,6.96,16.34,"LaunchAngle",2016
12,20,"Vaughn Taylor",30,12.61,441.23,35,9.79,15.38,"LaunchAngle",2016
13,14,"Retief Goosen",37,12.58,553.66,44,6.86,16.57,"LaunchAngle",2016
14,12,"Ernie Els",34,12.56,464.84,37,9.11,15.17,"LaunchAngle",2016
14,15,"Morgan Hoffmann",43,12.56,527.51,42,8.87,17.29,"LaunchAngle",2016
16,13,"Keegan Bradley",40,12.5,412.5,33,9.78,15.8,"LaunchAngle",2016
17,15,"Will Ma Kenzie",54,12.48,586.78,47,8.76,16.02,"LaunchAngle",2016
18,19,"Michael Kim",62,12.47,760.67,61,9.08,16.14,"LaunchAngle",2016
19,26,"Thomas Aiken",42,12.39,309.85,25,6.72,16.4,"LaunchAngle",2016
20,17,"KJ Choi",47,12.38,594.39,48,9.01,16.2,"LaunchAngle",2016
20,17,"Jason Day",36,12.38,371.45,30,9.71,14.49,"LaunchAngle",2016
22,21,"Lucas Lee",22,12.27,220.91,18,9.12,14.45,"LaunchAngle",2016
23,22,"Rhein Gibson",36,12.2,329.47,27,7.16,17.4,"LaunchAngle",2016
24,27,"James Hahn",45,12.16,498.45,41,8.42,15.81,"LaunchAngle",2016
25,24,"John Huh",51,12.14,582.48,48,8.75,15.17,"LaunchAngle",2016
26,25,"Jon Curran",55,12.13,606.56,50,7.7,14.7,"LaunchAngle",2016
27,23,"Padraig Harrington",38,12.12,448.26,37,8.39,15.45,"LaunchAngle",2016
28,28,"Brian Gay",22,12.07,205.26,17,9.73,15.21,"LaunchAngle",2016
29,34,"Jeff Overton",51,11.96,681.94,57,6.24,15.94,"LaunchAngle",2016
30,33,"Alex Cejka",47,11.9,380.95,32,7.92,15.34,"LaunchAngle",2016
31,30,"Rory Sabbatini",40,11.88,261.29,22,8.27,17,"LaunchAngle",2016
32,29,"Brian Harman",60,11.87,569.72,48,7.61,15.41,"LaunchAngle",2016
33,31,"Billy Horschel",45,11.86,521.84,44,5.8,15.72,"LaunchAngle",2016
34,32,"Scott Piercy",45,11.84,379.02,32,6.08,15.81,"LaunchAngle",2016
35,35,"Brandt Snedeker",47,11.79,412.48,35,5.95,15.09,"LaunchAngle",2016
36,39,"Davis Love III",40,11.67,431.71,37,7.61,15.33,"LaunchAngle",2016
37,42,"Kelly Kraft",35,11.64,244.41,21,8.53,14.86,"LaunchAngle",2016
38,42,"Sean OHair",45,11.63,500.08,43,6.83,16.06,"LaunchAngle",2016
38,38,"Sam Saunders",40,11.63,348.82,30,8.38,15.62,"LaunchAngle",2016
40,36,"Anirban Lahiri",44,11.61,383.01,33,8.61,15.58,"LaunchAngle",2016
40,42,"Justin Rose",35,11.61,325.02,28,7.3,15.78,"LaunchAngle",2016
42,41,"Stuart Appleby",39,11.59,509.92,44,7.91,15.84,"LaunchAngle",2016
42,37,"Scott Stallings",46,11.59,509.84,44,6.71,14.2,"LaunchAngle",2016
44,40,"Cameron Percy",22,11.57,185.06,16,8.65,13.98,"LaunchAngle",2016
45,42,"Michael Thompson",46,11.52,368.63,32,8.68,14.75,"LaunchAngle",2016
46,54,"Chris Stroud",52,11.51,518.14,45,7.97,15.97,"LaunchAngle",2016
47,61,"Carlos Ortiz",47,11.49,505.64,44,6.56,14.06,"LaunchAngle",2016
48,46,"Ryan Palmer",46,11.48,585.34,51,8.84,13.85,"LaunchAngle",2016
48,46,"Jordan Spieth",34,11.48,287.05,25,7.58,14.97,"LaunchAngle",2016
50,50,"JJ Henry",44,11.47,481.65,42,7.23,14.83,"LaunchAngle",2016
50,48,"Andrew Landry",24,11.47,103.23,9,9.39,13.95,"LaunchAngle",2016
52,59,"Rickie Fowler",42,11.45,412.14,36,5.63,15.75,"LaunchAngle",2016
53,49,"Smylie Kaufman",57,11.44,480.42,42,5.49,14.73,"LaunchAngle",2016
53,59,"Ryan Moore",40,11.44,354.5,31,8.05,14.07,"LaunchAngle",2016
55,57,"Daniel Berger",52,11.43,468.45,41,5.8,15.99,"LaunchAngle",2016
56,51,"Brice Garnett",29,11.42,182.66,16,8.5,14.29,"LaunchAngle",2016
57,63,"Hunter Mahan",43,11.4,455.85,40,4.99,14.01,"LaunchAngle",2016
58,51,"Kevin Kisner",49,11.38,443.88,39,6.59,15.24,"LaunchAngle",2016
59,58,"Jonas Blixt",46,11.36,499.92,44,6.58,14.36,"LaunchAngle",2016
59,53,"DH Lee",35,11.36,261.39,23,8.8,14.22,"LaunchAngle",2016
61,54,"Blayne Barber",44,11.34,510.5,45,7.89,14.54,"LaunchAngle",2016
62,79,"Tim Wilkinson",40,11.32,237.8,21,8.03,14.87,"LaunchAngle",2016
63,54,"Brendon Todd",43,11.31,463.91,41,8.88,14.49,"LaunchAngle",2016
64,62,"Jimmy Walker",43,11.3,406.75,36,6.62,15.31,"LaunchAngle",2016
65,79,"Phil Mickelson",37,11.29,316.02,28,6.77,14.9,"LaunchAngle",2016
66,63,"Andres Romero",22,11.28,169.13,15,8.4,15.4,"LaunchAngle",2016
66,65,"Tyrone Van Aswegen",67,11.28,586.62,52,7.88,15.1,"LaunchAngle",2016
68,67,"Bill Haas",42,11.24,370.82,33,7.12,15.31,"LaunchAngle",2016
69,69,"Luke Donald",49,11.23,437.8,39,8.15,15.54,"LaunchAngle",2016
69,67,"Wes Roach",33,11.23,247.06,22,9.12,14.06,"LaunchAngle",2016
71,75,"DA Points",32,11.22,224.5,20,6.62,15.18,"LaunchAngle",2016
