"OverallPuttingAverage_RANKTHISWEEK_2011","OverallPuttingAverage_RANKLASTWEEK_2011","OverallPuttingAverage_PLAYERNAME_2011","OverallPuttingAverage_ROUNDS_2011","OverallPuttingAverage_AVG_2011","OverallPuttingAverage_OFPUTTS_2011","OverallPuttingAverage_OFHOLES_2011","stat_name","year"
1,1,"Andres Gonzales",60,1.411,1524,1080,"OverallPuttingAverage",2011
2,2,"Joe Ogilvie",75,1.421,1918,1350,"OverallPuttingAverage",2011
2,2,"Jim Renner",65,1.421,1663,1170,"OverallPuttingAverage",2011
4,4,"DJ Brigman",67,1.425,1718,1206,"OverallPuttingAverage",2011
5,5,"George McNeill",69,1.426,1771,1242,"OverallPuttingAverage",2011
6,6,"Freddie Jacobson",92,1.43,2368,1656,"OverallPuttingAverage",2011
7,7,"Rod Pampling",72,1.431,1854,1296,"OverallPuttingAverage",2011
8,8,"Shane Bertsch",62,1.445,1613,1116,"OverallPuttingAverage",2011
9,9,"Scott Gutschewski",67,1.447,1745,1206,"OverallPuttingAverage",2011
10,10,"Woody Austin",59,1.448,1538,1062,"OverallPuttingAverage",2011
11,11,"Nate Smith",66,1.449,1721,1188,"OverallPuttingAverage",2011
12,12,"Lee Janzen",62,1.453,1621,1116,"OverallPuttingAverage",2011
13,13,"John Merrick",71,1.46,1866,1278,"OverallPuttingAverage",2011
14,14,"Bio Kim",71,1.461,1867,1278,"OverallPuttingAverage",2011
15,15,"Aron Price",58,1.467,1532,1044,"OverallPuttingAverage",2011
16,16,"Joseph Bramlett",73,1.468,1929,1314,"OverallPuttingAverage",2011
17,17,"Kevin Kisner",70,1.469,1851,1260,"OverallPuttingAverage",2011
18,18,"Justin Hicks",60,1.475,1593,1080,"OverallPuttingAverage",2011
19,19,"James Driscoll",71,1.477,1888,1278,"OverallPuttingAverage",2011
20,20,"Fabian Gomez",84,1.479,2237,1512,"OverallPuttingAverage",2011
21,21,"Michael Thompson",79,1.482,2108,1422,"OverallPuttingAverage",2011
22,22,"Briny Baird",60,1.483,1602,1080,"OverallPuttingAverage",2011
23,23,"Richard Johnson",64,1.484,1709,1152,"OverallPuttingAverage",2011
24,24,"Jim Herman",69,1.485,1844,1242,"OverallPuttingAverage",2011
24,24,"Paul Stankowski",78,1.485,2085,1404,"OverallPuttingAverage",2011
26,26,"Angel Cabrera",50,1.486,1337,900,"OverallPuttingAverage",2011
27,27,"David Mathis",83,1.487,2221,1494,"OverallPuttingAverage",2011
27,27,"Matt McQuillan",59,1.487,1579,1062,"OverallPuttingAverage",2011
29,29,"Alexandre Rocha",65,1.488,1741,1170,"OverallPuttingAverage",2011
30,30,"Kevin Chappell",78,1.489,2090,1404,"OverallPuttingAverage",2011
31,31,"David Hearn",88,1.491,2361,1584,"OverallPuttingAverage",2011
32,32,"Scott McCarron",65,1.493,1747,1170,"OverallPuttingAverage",2011
33,33,"Bobby Gates",82,1.494,2205,1476,"OverallPuttingAverage",2011
34,34,"Colt Knost",80,1.497,2155,1440,"OverallPuttingAverage",2011
35,35,"Will Strickler",51,1.498,1375,918,"OverallPuttingAverage",2011
36,36,"Brian Gay",90,1.501,2432,1620,"OverallPuttingAverage",2011
36,36,"Kevin Stadler",88,1.501,2377,1584,"OverallPuttingAverage",2011
38,38,"Kyle Stanley",98,1.503,2651,1764,"OverallPuttingAverage",2011
39,39,"Greg Chalmers",88,1.508,2388,1584,"OverallPuttingAverage",2011
39,39,"Tag Ridings",87,1.508,2361,1566,"OverallPuttingAverage",2011
41,41,"Billy Horschel",75,1.513,2042,1350,"OverallPuttingAverage",2011
42,42,"Steve Flesch",88,1.514,2398,1584,"OverallPuttingAverage",2011
42,42,"Jerry Kelly",85,1.514,2317,1530,"OverallPuttingAverage",2011
44,44,"Stewart Cink",72,1.517,1912,1260,"OverallPuttingAverage",2011
45,45,"Nathan Green",81,1.518,2213,1458,"OverallPuttingAverage",2011
46,46,"Sung Kang",63,1.519,1722,1134,"OverallPuttingAverage",2011
46,46,"Tim Petrovic",88,1.519,2406,1584,"OverallPuttingAverage",2011
48,48,"Martin Piller",63,1.524,1728,1134,"OverallPuttingAverage",2011
49,49,"Stephen Ames",69,1.526,1895,1242,"OverallPuttingAverage",2011
49,49,"David Toms",78,1.526,2143,1404,"OverallPuttingAverage",2011
51,51,"Steven Bowditch",86,1.528,2365,1548,"OverallPuttingAverage",2011
52,52,"Michael Putnam",67,1.529,1844,1206,"OverallPuttingAverage",2011
53,53,"Cameron Beckman",71,1.53,1955,1278,"OverallPuttingAverage",2011
54,54,"Scott Stallings",84,1.532,2317,1512,"OverallPuttingAverage",2011
55,55,"Scott Piercy",78,1.533,2152,1404,"OverallPuttingAverage",2011
56,56,"Tim Herron",85,1.535,2348,1530,"OverallPuttingAverage",2011
57,57,"Aaron Baddeley",77,1.536,2129,1386,"OverallPuttingAverage",2011
57,57,"Jason Bohn",74,1.536,2046,1332,"OverallPuttingAverage",2011
59,59,"Bryce Molder",82,1.538,2270,1476,"OverallPuttingAverage",2011
59,59,"Andres Romero",77,1.538,2131,1386,"OverallPuttingAverage",2011
61,61,"Blake Adams",116,1.54,3216,2088,"OverallPuttingAverage",2011
61,61,"Brendon de Jonge",105,1.54,2910,1890,"OverallPuttingAverage",2011
61,61,"Kent Jones",76,1.54,2107,1368,"OverallPuttingAverage",2011
64,64,"Ben Martin",74,1.542,2054,1332,"OverallPuttingAverage",2011
64,64,"Kevin Na",84,1.542,2331,1512,"OverallPuttingAverage",2011
64,64,"Chris Riley",76,1.542,2110,1368,"OverallPuttingAverage",2011
67,67,"Shaun Micheel",77,1.543,2138,1386,"OverallPuttingAverage",2011
68,68,"Josh Teater",104,1.544,2891,1872,"OverallPuttingAverage",2011
69,69,"Chris DiMarco",93,1.547,2590,1674,"OverallPuttingAverage",2011
70,70,"Hunter Haas",96,1.548,2675,1728,"OverallPuttingAverage",2011
71,71,"Rory Sabbatini",85,1.551,2373,1530,"OverallPuttingAverage",2011
72,72,"Jarrod Lyle",83,1.552,2319,1494,"OverallPuttingAverage",2011
72,72,"Nick OHern",89,1.552,2487,1602,"OverallPuttingAverage",2011
74,74,"Steve Stricker",70,1.553,1929,1242,"OverallPuttingAverage",2011
75,75,"Keegan Bradley",91,1.554,2546,1638,"OverallPuttingAverage",2011
76,76,"Luke Donald",73,1.557,1878,1206,"OverallPuttingAverage",2011
76,76,"Troy Matteson",91,1.557,2550,1638,"OverallPuttingAverage",2011
78,78,"JP Hayes",56,1.56,1572,1008,"OverallPuttingAverage",2011
78,78,"Zack Miller",86,1.56,2415,1548,"OverallPuttingAverage",2011
80,80,"Johnson Wagner",81,1.561,2276,1458,"OverallPuttingAverage",2011
81,81,"Michael Bradley",74,1.562,2080,1332,"OverallPuttingAverage",2011
82,82,"Carl Pettersson",95,1.564,2674,1710,"OverallPuttingAverage",2011
82,82,"Chris Stroud",88,1.564,2477,1584,"OverallPuttingAverage",2011
84,84,"Charles Howell III",108,1.568,3048,1944,"OverallPuttingAverage",2011
85,85,"Tommy Gainey",104,1.57,2939,1872,"OverallPuttingAverage",2011
86,86,"Spencer Levin",113,1.572,3198,2034,"OverallPuttingAverage",2011
86,86,"Billy Mayfair",94,1.572,2659,1692,"OverallPuttingAverage",2011
88,88,"Brandt Jobe",100,1.574,2834,1800,"OverallPuttingAverage",2011
89,89,"Rickie Fowler",84,1.575,2296,1458,"OverallPuttingAverage",2011
90,90,"Jason Day",76,1.576,2071,1314,"OverallPuttingAverage",2011
91,91,"Garrett Willis",71,1.577,2015,1278,"OverallPuttingAverage",2011
92,92,"William McGirt",103,1.578,2926,1854,"OverallPuttingAverage",2011
92,92,"Cameron Tringale",110,1.578,3124,1980,"OverallPuttingAverage",2011
92,92,"Charlie Wi",83,1.578,2358,1494,"OverallPuttingAverage",2011
95,95,"Nick Watney",80,1.58,2190,1386,"OverallPuttingAverage",2011
96,96,"Ryan Moore",79,1.581,2135,1350,"OverallPuttingAverage",2011
97,97,"Bill Lunde",92,1.582,2620,1656,"OverallPuttingAverage",2011
97,97,"Geoff Ogilvy",69,1.582,1879,1188,"OverallPuttingAverage",2011
99,99,"Brandt Snedeker",85,1.584,2423,1530,"OverallPuttingAverage",2011
100,100,"Chris Couch",73,1.585,2083,1314,"OverallPuttingAverage",2011
100,100,"Matt Kuchar",94,1.585,2510,1584,"OverallPuttingAverage",2011
100,100,"Jhonattan Vegas",84,1.585,2396,1512,"OverallPuttingAverage",2011
103,103,"Jimmy Walker",79,1.587,2257,1422,"OverallPuttingAverage",2011
104,104,"Anthony Kim",72,1.588,2030,1278,"OverallPuttingAverage",2011
104,104,"Alex Prugh",82,1.588,2344,1476,"OverallPuttingAverage",2011
104,104,"Marc Turnesa",54,1.588,1544,972,"OverallPuttingAverage",2011
107,107,"Derek Lamely",65,1.591,1861,1170,"OverallPuttingAverage",2011
108,108,"Dean Wilson",62,1.592,1777,1116,"OverallPuttingAverage",2011
109,109,"Ryan Palmer",82,1.594,2296,1440,"OverallPuttingAverage",2011
109,109,"YE Yang",63,1.594,1693,1062,"OverallPuttingAverage",2011
111,111,"Zach Johnson",79,1.595,2239,1404,"OverallPuttingAverage",2011
112,112,"Brendan Steele",89,1.596,2557,1602,"OverallPuttingAverage",2011
113,113,"Matt Jones",71,1.598,2042,1278,"OverallPuttingAverage",2011
113,113,"Webb Simpson",98,1.598,2819,1764,"OverallPuttingAverage",2011
115,115,"JJ Henry",96,1.599,2763,1728,"OverallPuttingAverage",2011
116,116,"Arjun Atwal",91,1.6,2620,1638,"OverallPuttingAverage",2011
117,117,"Troy Merritt",63,1.601,1815,1134,"OverallPuttingAverage",2011
118,118,"Pat Perez",76,1.602,2192,1368,"OverallPuttingAverage",2011
119,119,"Vaughn Taylor",89,1.603,2568,1602,"OverallPuttingAverage",2011
120,120,"Jonathan Byrd",83,1.606,2370,1476,"OverallPuttingAverage",2011
120,120,"Robert Karlsson",61,1.606,1706,1062,"OverallPuttingAverage",2011
120,120,"Martin Laird",77,1.606,2197,1368,"OverallPuttingAverage",2011
120,120,"Daniel Summerhays",75,1.606,2168,1350,"OverallPuttingAverage",2011
124,124,"Boo Weekley",66,1.609,1912,1188,"OverallPuttingAverage",2011
125,125,"Padraig Harrington",60,1.61,1710,1062,"OverallPuttingAverage",2011
126,126,"Stuart Appleby",65,1.612,1886,1170,"OverallPuttingAverage",2011
126,126,"Matt Bettencourt",84,1.612,2437,1512,"OverallPuttingAverage",2011
126,126,"Ryuji Imada",83,1.612,2408,1494,"OverallPuttingAverage",2011
129,129,"Kris Blanks",92,1.614,2673,1656,"OverallPuttingAverage",2011
129,129,"Chris Kirk",87,1.614,2527,1566,"OverallPuttingAverage",2011
129,129,"DA Points",89,1.614,2585,1602,"OverallPuttingAverage",2011
129,129,"Ian Poulter",52,1.614,1482,918,"OverallPuttingAverage",2011
129,129,"Camilo Villegas",69,1.614,1975,1224,"OverallPuttingAverage",2011
134,134,"Retief Goosen",50,1.615,1424,882,"OverallPuttingAverage",2011
134,134,"Phil Mickelson",79,1.615,2239,1386,"OverallPuttingAverage",2011
134,134,"Roland Thatcher",67,1.615,1948,1206,"OverallPuttingAverage",2011
137,137,"Ben Crane",76,1.616,2123,1314,"OverallPuttingAverage",2011
137,137,"John Rollins",85,1.616,2473,1530,"OverallPuttingAverage",2011
137,137,"Mark Wilson",89,1.616,2531,1566,"OverallPuttingAverage",2011
140,140,"Brian Davis",105,1.617,3056,1890,"OverallPuttingAverage",2011
141,141,"Sergio Garcia",61,1.618,1777,1098,"OverallPuttingAverage",2011
142,142,"Marc Leishman",87,1.619,2535,1566,"OverallPuttingAverage",2011
143,143,"KJ Choi",77,1.621,2188,1350,"OverallPuttingAverage",2011
143,143,"Steve Marino",76,1.621,2217,1368,"OverallPuttingAverage",2011
145,145,"Michael Connell",76,1.623,2220,1368,"OverallPuttingAverage",2011
145,145,"Hunter Mahan",92,1.623,2600,1602,"OverallPuttingAverage",2011
147,147,"Justin Leonard",82,1.624,2397,1476,"OverallPuttingAverage",2011
148,148,"Alex Cejka",59,1.625,1726,1062,"OverallPuttingAverage",2011
148,148,"Lucas Glover",74,1.625,2165,1332,"OverallPuttingAverage",2011
148,148,"Charl Schwartzel",58,1.625,1638,1008,"OverallPuttingAverage",2011
