"MoneyLeadersFallSeries_RANKTHISWEEK_2010","MoneyLeadersFallSeries_RANKLASTWEEK_2010","MoneyLeadersFallSeries_PLAYERNAME_2010","MoneyLeadersFallSeries_EVENTS_2010","MoneyLeadersFallSeries_MONEY_2010","MoneyLeadersFallSeries_YTDVICTORIES_2010","stat_name","year"
1,1,"Bill Haas",25,1080000,7001,"MoneyLeadersFallSeries",2010
2,2,"Rocco Mediate",25,962006,9001,"MoneyLeadersFallSeries",2010
3,3,"Jonathan Byrd",26,946020,2001,"MoneyLeadersFallSeries",2010
4,4,"Robert Garrigus",22,865810,2001,"MoneyLeadersFallSeries",2010
5,5,"Heath Slocum",25,742822,7001,"MoneyLeadersFallSeries",2010
6,6,"Bo Van Pelt",28,574000,10000,"MoneyLeadersFallSeries",2010
7,7,"Roland Thatcher",26,535869,9000,"MoneyLeadersFallSeries",2010
8,8,"Rickie Fowler",28,524318,7000,"MoneyLeadersFallSeries",2010
9,9,"Alex Prugh",28,456340,10000,"MoneyLeadersFallSeries",2010
10,10,"Spencer Levin",31,445000,5000,"MoneyLeadersFallSeries",2010
11,11,"Cameron Percy",25,420452,7000,"MoneyLeadersFallSeries",2010
12,12,"Michael Allen",17,399400,6000,"MoneyLeadersFallSeries",2010
13,13,"Martin Laird",26,378400,10000,"MoneyLeadersFallSeries",2010
14,14,"Johnson Wagner",28,378050,9000,"MoneyLeadersFallSeries",2010
15,15,"John Senden",30,372820,7000,"MoneyLeadersFallSeries",2010
16,16,"Graham DeLaet",28,364771,10000,"MoneyLeadersFallSeries",2010
17,17,"Michael Connell",25,355105,8000,"MoneyLeadersFallSeries",2010
18,18,"Charles Howell III",28,350090,5000,"MoneyLeadersFallSeries",2010
19,19,"Charles Warren",21,339561,5000,"MoneyLeadersFallSeries",2010
20,20,"Chris Stroud",27,331013,8000,"MoneyLeadersFallSeries",2010
21,21,"Webb Simpson",31,305980,5000,"MoneyLeadersFallSeries",2010
22,22,"Brendon de Jonge",32,289459,7000,"MoneyLeadersFallSeries",2010
23,23,"David Toms",25,281800,7000,"MoneyLeadersFallSeries",2010
24,24,"Ryuji Imada",28,270771,5000,"MoneyLeadersFallSeries",2010
25,25,"Mark Wilson",28,258825,10000,"MoneyLeadersFallSeries",2010
26,26,"Chris Tidland",24,253771,8000,"MoneyLeadersFallSeries",2010
27,27,"Jerry Kelly",29,245405,9000,"MoneyLeadersFallSeries",2010
28,28,"Arjun Atwal",13,238653,4000,"MoneyLeadersFallSeries",2010
29,29,"Joe Durant",19,232770,5000,"MoneyLeadersFallSeries",2010
30,30,"DJ Trahan",27,221531,7000,"MoneyLeadersFallSeries",2010
31,31,"Robert Allenby",22,208000,10000,"MoneyLeadersFallSeries",2010
32,32,"Will Ma Kenzie",23,186298,7000,"MoneyLeadersFallSeries",2010
33,33,"Ryan Palmer",27,183685,10000,"MoneyLeadersFallSeries",2010
34,34,"Steve Marino",24,181380,5000,"MoneyLeadersFallSeries",2010
35,35,"Kevin Stadler",28,180919,9000,"MoneyLeadersFallSeries",2010
36,36,"Brett Wetterich",16,177250,4000,"MoneyLeadersFallSeries",2010
37,37,"Aaron Baddeley",26,175275,5000,"MoneyLeadersFallSeries",2010
38,38,"Cameron Tringale",22,172700,6000,"MoneyLeadersFallSeries",2010
39,39,"Paul Stankowski",18,167736,4000,"MoneyLeadersFallSeries",2010
40,40,"Jeff Quinney",29,165177,10000,"MoneyLeadersFallSeries",2010
41,41,"Ken Duke",5,158880,4320000,"MoneyLeadersFallSeries",2010
42,42,"David Duval",24,158661,2000,"MoneyLeadersFallSeries",2010
43,43,"Cameron Beckman",25,157735,8000,"MoneyLeadersFallSeries",2010
44,44,"Dean Wilson",18,154610,4000,"MoneyLeadersFallSeries",2010
45,45,"Tom Pernice Jr",22,150319,6000,"MoneyLeadersFallSeries",2010
46,46,"Nick Watney",24,149425,10000,"MoneyLeadersFallSeries",2010
47,47,"Chad Campbell",28,148984,5000,"MoneyLeadersFallSeries",2010
48,48,"George McNeill",28,146560,9000,"MoneyLeadersFallSeries",2010
49,49,"Tim Clark",24,146071,10000,"MoneyLeadersFallSeries",2010
50,50,"Pat Perez",27,140995,5000,"MoneyLeadersFallSeries",2010
51,51,"Brian Gay",30,133083,7000,"MoneyLeadersFallSeries",2010
52,52,"Aron Price",22,128235,6000,"MoneyLeadersFallSeries",2010
53,53,"Richard Johnson",27,122470,8000,"MoneyLeadersFallSeries",2010
