"ShortGameRating_RANKTHISWEEK_2011","ShortGameRating_RANKLASTWEEK_2011","ShortGameRating_PLAYERNAME_2011","ShortGameRating_EVENTS_2011","ShortGameRating_RATING_2011","stat_name","year"
1,1,"Tim Clark",2,9,"ShortGameRating",2011
2,2,"Hennie Otto",1,8.5,"ShortGameRating",2011
3,3,"Richard Green",1,8.4,"ShortGameRating",2011
4,4,"Patrick Reed",1,8.1,"ShortGameRating",2011
5,5,"Troy Kelly",1,7.9,"ShortGameRating",2011
6,6,"Bud Cauley",4,7.7,"ShortGameRating",2011
7,7,"Patrick Cantlay",4,7.5,"ShortGameRating",2011
7,7,"Corey Pavin",2,7.5,"ShortGameRating",2011
9,9,"Marco Dawson",2,7.4,"ShortGameRating",2011
9,9,"KT Kim",2,7.4,"ShortGameRating",2011
9,9,"Billy Mayfair",15,7.4,"ShortGameRating",2011
9,9,"Brett Quigley",2,7.4,"ShortGameRating",2011
13,13,"Joe Durant",9,7.3,"ShortGameRating",2011
13,13,"Marcus Fraser",1,7.3,"ShortGameRating",2011
13,13,"Kirk Triplett",3,7.3,"ShortGameRating",2011
16,16,"Alex Cejka",8,7.2,"ShortGameRating",2011
16,16,"Chad Collins",6,7.2,"ShortGameRating",2011
16,16,"Ben Curtis",10,7.2,"ShortGameRating",2011
16,16,"Bob Estes",5,7.2,"ShortGameRating",2011
16,16,"Brian Gay",16,7.2,"ShortGameRating",2011
16,16,"Michael Letzig",4,7.2,"ShortGameRating",2011
16,16,"Bryce Molder",13,7.2,"ShortGameRating",2011
23,23,"Craig Barlow",3,7.1,"ShortGameRating",2011
23,23,"Mark Brooks",1,7.1,"ShortGameRating",2011
23,23,"Jonathan Byrd",15,7.1,"ShortGameRating",2011
23,23,"Greg Chalmers",15,7.1,"ShortGameRating",2011
23,23,"KJ Choi",10,7.1,"ShortGameRating",2011
23,23,"Davis Love III",8,7.1,"ShortGameRating",2011
23,23,"Charl Schwartzel",10,7.1,"ShortGameRating",2011
23,23,"Mike Small",1,7.1,"ShortGameRating",2011
23,23,"Brandt Snedeker",12,7.1,"ShortGameRating",2011
23,23,"Steve Stricker",12,7.1,"ShortGameRating",2011
33,33,"Aaron Baddeley",15,7,"ShortGameRating",2011
33,33,"Tom Byrum",1,7,"ShortGameRating",2011
33,33,"Daniel Chopra",1,7,"ShortGameRating",2011
33,33,"Luke Donald",12,7,"ShortGameRating",2011
33,33,"Jason Dufner",14,7,"ShortGameRating",2011
33,33,"Rocco Mediate",6,7,"ShortGameRating",2011
33,33,"Shaun Micheel",7,7,"ShortGameRating",2011
33,33,"Kevin Na",14,7,"ShortGameRating",2011
33,33,"Jose Maria Olazabal",1,7,"ShortGameRating",2011
33,33,"Peter Senior",1,7,"ShortGameRating",2011
43,43,"Woody Austin",10,6.9,"ShortGameRating",2011
43,43,"DJ Brigman",8,6.9,"ShortGameRating",2011
43,43,"Steve Elkington",6,6.9,"ShortGameRating",2011
43,43,"Tom Gillis",9,6.9,"ShortGameRating",2011
43,43,"Zach Johnson",14,6.9,"ShortGameRating",2011
43,43,"Skip Kendall",1,6.9,"ShortGameRating",2011
43,43,"Troy Merritt",7,6.9,"ShortGameRating",2011
43,43,"Francesco Molinari",4,6.9,"ShortGameRating",2011
43,43,"Ian Poulter",8,6.9,"ShortGameRating",2011
43,43,"Chris Riley",12,6.9,"ShortGameRating",2011
43,43,"Michael Thompson",12,6.9,"ShortGameRating",2011
54,54,"Robert Damron",2,6.8,"ShortGameRating",2011
54,54,"Jason Day",13,6.8,"ShortGameRating",2011
54,54,"Matt Kuchar",16,6.8,"ShortGameRating",2011
54,54,"Mark OMeara",1,6.8,"ShortGameRating",2011
54,54,"Kenny Perry",5,6.8,"ShortGameRating",2011
54,54,"Justin Rose",14,6.8,"ShortGameRating",2011
54,54,"Paul Stankowski",13,6.8,"ShortGameRating",2011
54,54,"Nick Watney",14,6.8,"ShortGameRating",2011
54,54,"Drew Weaver",1,6.8,"ShortGameRating",2011
