"YTDRoundsin60sStreak_RANKTHISWEEK_2007","YTDRoundsin60sStreak_RANKLASTWEEK_2007","YTDRoundsin60sStreak_PLAYERNAME_2007","YTDRoundsin60sStreak__2007","YTDRoundsin60sStreak_BESTSTREAK_2007","stat_name","year"
1,1,"Tiger Woods",NA,11,"YTDRoundsin60sStreak",2007
2,2,"David Toms",NA,8,"YTDRoundsin60sStreak",2007
3,3,"Robert Allenby",NA,7,"YTDRoundsin60sStreak",2007
3,3,"Tim Clark",NA,7,"YTDRoundsin60sStreak",2007
3,3,"Justin Leonard",NA,7,"YTDRoundsin60sStreak",2007
3,3,"George McNeill",NA,7,"YTDRoundsin60sStreak",2007
3,3,"Sean OHair",NA,7,"YTDRoundsin60sStreak",2007
3,3,"Arron Oberholser",NA,7,"YTDRoundsin60sStreak",2007
3,3,"Jesper Parnevik",NA,7,"YTDRoundsin60sStreak",2007
3,3,"Tim Petrovic",NA,7,"YTDRoundsin60sStreak",2007
3,3,"Heath Slocum",NA,7,"YTDRoundsin60sStreak",2007
3,3,"Steve Stricker",NA,7,"YTDRoundsin60sStreak",2007
3,3,"Bo Van Pelt",NA,7,"YTDRoundsin60sStreak",2007
14,14,"Ryan Armour",NA,6,"YTDRoundsin60sStreak",2007
14,14,"Jim Furyk",NA,6,"YTDRoundsin60sStreak",2007
14,14,"Brian Gay",NA,6,"YTDRoundsin60sStreak",2007
14,14,"Mathew Goggin",NA,6,"YTDRoundsin60sStreak",2007
14,14,"Mathias Gronberg",NA,6,"YTDRoundsin60sStreak",2007
14,14,"Carl Pettersson",NA,6,"YTDRoundsin60sStreak",2007
14,14,"Justin Rose",NA,6,"YTDRoundsin60sStreak",2007
14,14,"Rory Sabbatini",NA,6,"YTDRoundsin60sStreak",2007
14,14,"Adam Scott",NA,6,"YTDRoundsin60sStreak",2007
14,14,"Joey Sindelar",NA,6,"YTDRoundsin60sStreak",2007
14,14,"Bubba Watson",NA,6,"YTDRoundsin60sStreak",2007
25,25,"Michael Allen",NA,5,"YTDRoundsin60sStreak",2007
25,25,"Woody Austin",NA,5,"YTDRoundsin60sStreak",2007
25,25,"Aaron Baddeley",NA,5,"YTDRoundsin60sStreak",2007
25,25,"Cameron Beckman",NA,5,"YTDRoundsin60sStreak",2007
25,25,"Bart Bryant",NA,5,"YTDRoundsin60sStreak",2007
25,25,"Chad Campbell",NA,5,"YTDRoundsin60sStreak",2007
25,25,"Alex Cejka",NA,5,"YTDRoundsin60sStreak",2007
25,25,"Daniel Chopra",NA,5,"YTDRoundsin60sStreak",2007
25,25,"Jose Coceres",NA,5,"YTDRoundsin60sStreak",2007
25,25,"Glen Day",NA,5,"YTDRoundsin60sStreak",2007
25,25,"Ken Duke",NA,5,"YTDRoundsin60sStreak",2007
25,25,"Ernie Els",NA,5,"YTDRoundsin60sStreak",2007
25,25,"Sergio Garcia",NA,5,"YTDRoundsin60sStreak",2007
25,25,"Bob Heintz",NA,5,"YTDRoundsin60sStreak",2007
25,25,"Charley Hoffman",NA,5,"YTDRoundsin60sStreak",2007
25,25,"Bernhard Langer",NA,5,"YTDRoundsin60sStreak",2007
25,25,"Stephen Leaney",NA,5,"YTDRoundsin60sStreak",2007
25,25,"Shigeki Maruyama",NA,5,"YTDRoundsin60sStreak",2007
25,25,"Daisuke Maruyama",NA,5,"YTDRoundsin60sStreak",2007
25,25,"Troy Matteson",NA,5,"YTDRoundsin60sStreak",2007
25,25,"Phil Mickelson",NA,5,"YTDRoundsin60sStreak",2007
25,25,"Joe Ogilvie",NA,5,"YTDRoundsin60sStreak",2007
25,25,"Geoff Ogilvy",NA,5,"YTDRoundsin60sStreak",2007
25,25,"Tom Pernice Jr",NA,5,"YTDRoundsin60sStreak",2007
25,25,"John Rollins",NA,5,"YTDRoundsin60sStreak",2007
25,25,"Vijay Singh",NA,5,"YTDRoundsin60sStreak",2007
25,25,"DJ Trahan",NA,5,"YTDRoundsin60sStreak",2007
25,25,"Jay Williamson",NA,5,"YTDRoundsin60sStreak",2007
25,25,"Dean Wilson",NA,5,"YTDRoundsin60sStreak",2007
54,54,"Steve Allan",NA,4,"YTDRoundsin60sStreak",2007
54,54,"Tommy Armour III",NA,4,"YTDRoundsin60sStreak",2007
54,54,"Eric Axley",NA,4,"YTDRoundsin60sStreak",2007
54,54,"David Branshaw",NA,4,"YTDRoundsin60sStreak",2007
54,54,"Mark Brooks",NA,4,"YTDRoundsin60sStreak",2007
54,54,"Jonathan Byrd",NA,4,"YTDRoundsin60sStreak",2007
54,54,"Alejandro Canizares",NA,4,"YTDRoundsin60sStreak",2007
54,54,"Stewart Cink",NA,4,"YTDRoundsin60sStreak",2007
54,54,"Gavin Coles",NA,4,"YTDRoundsin60sStreak",2007
54,54,"Bubba Dickerson",NA,4,"YTDRoundsin60sStreak",2007
54,54,"Chris DiMarco",NA,4,"YTDRoundsin60sStreak",2007
54,54,"Luke Donald",NA,4,"YTDRoundsin60sStreak",2007
54,54,"Joe Durant",NA,4,"YTDRoundsin60sStreak",2007
54,54,"Steve Elkington",NA,4,"YTDRoundsin60sStreak",2007
54,54,"Bob Estes",NA,4,"YTDRoundsin60sStreak",2007
54,54,"Dan Forsman",NA,4,"YTDRoundsin60sStreak",2007
54,54,"Harrison Frazar",NA,4,"YTDRoundsin60sStreak",2007
54,54,"Lucas Glover",NA,4,"YTDRoundsin60sStreak",2007
54,54,"Jason Gore",NA,4,"YTDRoundsin60sStreak",2007
54,54,"Jeff Gove",NA,4,"YTDRoundsin60sStreak",2007
54,54,"Paul Gow",NA,4,"YTDRoundsin60sStreak",2007
54,54,"Anders Hansen",NA,4,"YTDRoundsin60sStreak",2007
54,54,"Padraig Harrington",NA,4,"YTDRoundsin60sStreak",2007
54,54,"JP Hayes",NA,4,"YTDRoundsin60sStreak",2007
54,54,"JJ Henry",NA,4,"YTDRoundsin60sStreak",2007
54,54,"Mark Hensby",NA,4,"YTDRoundsin60sStreak",2007
54,54,"Tim Herron",NA,4,"YTDRoundsin60sStreak",2007
54,54,"Charles Howell III",NA,4,"YTDRoundsin60sStreak",2007
54,54,"Ryuji Imada",NA,4,"YTDRoundsin60sStreak",2007
54,54,"Freddie Jacobson",NA,4,"YTDRoundsin60sStreak",2007
54,54,"Lee Janzen",NA,4,"YTDRoundsin60sStreak",2007
54,54,"Greg Kraft",NA,4,"YTDRoundsin60sStreak",2007
54,54,"Tom Lehman",NA,4,"YTDRoundsin60sStreak",2007
54,54,"Peter Lonard",NA,4,"YTDRoundsin60sStreak",2007
54,54,"Will Ma Kenzie",NA,4,"YTDRoundsin60sStreak",2007
54,54,"John Mallinger",NA,4,"YTDRoundsin60sStreak",2007
54,54,"Steve Marino",NA,4,"YTDRoundsin60sStreak",2007
54,54,"Billy Mayfair",NA,4,"YTDRoundsin60sStreak",2007
54,54,"Parker McLachlin",NA,4,"YTDRoundsin60sStreak",2007
54,54,"Nick OHern",NA,4,"YTDRoundsin60sStreak",2007
54,54,"Rod Pampling",NA,4,"YTDRoundsin60sStreak",2007
54,54,"Pat Perez",NA,4,"YTDRoundsin60sStreak",2007
54,54,"Dicky Pride",NA,4,"YTDRoundsin60sStreak",2007
54,54,"Jeff Quinney",NA,4,"YTDRoundsin60sStreak",2007
54,54,"Chris Riley",NA,4,"YTDRoundsin60sStreak",2007
54,54,"Michael Sim",NA,4,"YTDRoundsin60sStreak",2007
54,54,"Chris Stroud",NA,4,"YTDRoundsin60sStreak",2007
54,54,"Vaughn Taylor",NA,4,"YTDRoundsin60sStreak",2007
54,54,"Scott Verplank",NA,4,"YTDRoundsin60sStreak",2007
54,54,"Johnson Wagner",NA,4,"YTDRoundsin60sStreak",2007
54,54,"Charles Warren",NA,4,"YTDRoundsin60sStreak",2007
54,54,"Nick Watney",NA,4,"YTDRoundsin60sStreak",2007
54,54,"Boo Weekley",NA,4,"YTDRoundsin60sStreak",2007
54,54,"Mike Weir",NA,4,"YTDRoundsin60sStreak",2007
54,54,"Steve Wheatcroft",NA,4,"YTDRoundsin60sStreak",2007
54,54,"Charlie Wi",NA,4,"YTDRoundsin60sStreak",2007
110,110,"Stephen Ames",NA,3,"YTDRoundsin60sStreak",2007
110,110,"Billy Andrade",NA,3,"YTDRoundsin60sStreak",2007
110,110,"Stuart Appleby",NA,3,"YTDRoundsin60sStreak",2007
110,110,"Paul Azinger",NA,3,"YTDRoundsin60sStreak",2007
110,110,"Briny Baird",NA,3,"YTDRoundsin60sStreak",2007
110,110,"Rich Barcelo",NA,3,"YTDRoundsin60sStreak",2007
110,110,"Rich Beem",NA,3,"YTDRoundsin60sStreak",2007
110,110,"Jason Bohn",NA,3,"YTDRoundsin60sStreak",2007
110,110,"Craig Bowden",NA,3,"YTDRoundsin60sStreak",2007
110,110,"DJ Brigman",NA,3,"YTDRoundsin60sStreak",2007
110,110,"Tom Byrum",NA,3,"YTDRoundsin60sStreak",2007
110,110,"Mark Calcavecchia",NA,3,"YTDRoundsin60sStreak",2007
110,110,"KJ Choi",NA,3,"YTDRoundsin60sStreak",2007
110,110,"Ben Crane",NA,3,"YTDRoundsin60sStreak",2007
110,110,"Ben Curtis",NA,3,"YTDRoundsin60sStreak",2007
110,110,"Brian Davis",NA,3,"YTDRoundsin60sStreak",2007
110,110,"Marco Dawson",NA,3,"YTDRoundsin60sStreak",2007
110,110,"Jay Delsing",NA,3,"YTDRoundsin60sStreak",2007
110,110,"Jason Dufner",NA,3,"YTDRoundsin60sStreak",2007
110,110,"Todd Fischer",NA,3,"YTDRoundsin60sStreak",2007
110,110,"Nick Flanagan",NA,3,"YTDRoundsin60sStreak",2007
110,110,"Steve Flesch",NA,3,"YTDRoundsin60sStreak",2007
110,110,"Fred Funk",NA,3,"YTDRoundsin60sStreak",2007
110,110,"Robert Gamez",NA,3,"YTDRoundsin60sStreak",2007
110,110,"Robert Garrigus",NA,3,"YTDRoundsin60sStreak",2007
110,110,"Nathan Green",NA,3,"YTDRoundsin60sStreak",2007
110,110,"Bill Haas",NA,3,"YTDRoundsin60sStreak",2007
110,110,"Matt Hendrix",NA,3,"YTDRoundsin60sStreak",2007
110,110,"JB Holmes",NA,3,"YTDRoundsin60sStreak",2007
110,110,"Tripp Isenhour",NA,3,"YTDRoundsin60sStreak",2007
110,110,"Zach Johnson",NA,3,"YTDRoundsin60sStreak",2007
110,110,"Steve Jones",NA,3,"YTDRoundsin60sStreak",2007
110,110,"Kent Jones",NA,3,"YTDRoundsin60sStreak",2007
110,110,"Craig Kanada",NA,3,"YTDRoundsin60sStreak",2007
110,110,"Jerry Kelly",NA,3,"YTDRoundsin60sStreak",2007
110,110,"Skip Kendall",NA,3,"YTDRoundsin60sStreak",2007
110,110,"Anthony Kim",NA,3,"YTDRoundsin60sStreak",2007
110,110,"Colt Knost",NA,3,"YTDRoundsin60sStreak",2007
110,110,"Cliff Kresge",NA,3,"YTDRoundsin60sStreak",2007
110,110,"Matt Kuchar",NA,3,"YTDRoundsin60sStreak",2007
110,110,"Neal Lancaster",NA,3,"YTDRoundsin60sStreak",2007
110,110,"Craig Lile",NA,3,"YTDRoundsin60sStreak",2007
110,110,"Steve Lowery",NA,3,"YTDRoundsin60sStreak",2007
110,110,"Jarrod Lyle",NA,3,"YTDRoundsin60sStreak",2007
110,110,"Jeff Maggert",NA,3,"YTDRoundsin60sStreak",2007
110,110,"Hunter Mahan",NA,3,"YTDRoundsin60sStreak",2007
110,110,"John Merrick",NA,3,"YTDRoundsin60sStreak",2007
110,110,"Shaun Micheel",NA,3,"YTDRoundsin60sStreak",2007
110,110,"Kevin Na",NA,3,"YTDRoundsin60sStreak",2007
110,110,"Jose Maria Olazabal",NA,3,"YTDRoundsin60sStreak",2007
110,110,"Jeff Overton",NA,3,"YTDRoundsin60sStreak",2007
110,110,"Greg Owen",NA,3,"YTDRoundsin60sStreak",2007
110,110,"Ryan Palmer",NA,3,"YTDRoundsin60sStreak",2007
110,110,"Kenny Perry",NA,3,"YTDRoundsin60sStreak",2007
110,110,"Ian Poulter",NA,3,"YTDRoundsin60sStreak",2007
110,110,"Ted Purdy",NA,3,"YTDRoundsin60sStreak",2007
110,110,"Michael Putnam",NA,3,"YTDRoundsin60sStreak",2007
110,110,"Brett Quigley",NA,3,"YTDRoundsin60sStreak",2007
110,110,"John Senden",NA,3,"YTDRoundsin60sStreak",2007
110,110,"Brandt Snedeker",NA,3,"YTDRoundsin60sStreak",2007
110,110,"Kevin Stadler",NA,3,"YTDRoundsin60sStreak",2007
110,110,"Paul Stankowski",NA,3,"YTDRoundsin60sStreak",2007
110,110,"Kevin Sutherland",NA,3,"YTDRoundsin60sStreak",2007
