"StrokesGainedTotal_RANKTHISWEEK_2013","StrokesGainedTotal_RANKLASTWEEK_2013","StrokesGainedTotal_PLAYERNAME_2013","StrokesGainedTotal_ROUNDS_2013","StrokesGainedTotal_AVERAGE_2013","StrokesGainedTotal_TOTALSGT_2013","StrokesGainedTotal_TOTALSGT2G_2013","StrokesGainedTotal_TOTALSGP_2013","StrokesGainedTotal_MEASUREDROUNDS_2013","stat_name","year"
1,1,"Steve Stricker",51,2.193,76.771,51.221,25.55,35,"StrokesGainedTotal",2013
2,2,"Tiger Woods",61,2.025,87.064,68.817,18.247,43,"StrokesGainedTotal",2013
3,3,"Justin Rose",62,1.723,79.269,88.048,-8.779,46,"StrokesGainedTotal",2013
4,4,"Henrik Stenson",65,1.618,71.179,70.94,0.239,44,"StrokesGainedTotal",2013
5,5,"Sergio Garcia",65,1.519,71.404,42.669,28.735,47,"StrokesGainedTotal",2013
6,6,"Jordan Spieth",82,1.427,95.602,83.524,12.078,67,"StrokesGainedTotal",2013
7,7,"Matt Kuchar",93,1.381,95.276,67.771,27.505,69,"StrokesGainedTotal",2013
8,8,"Keegan Bradley",88,1.378,99.187,81.268,17.919,72,"StrokesGainedTotal",2013
9,9,"Jim Furyk",80,1.367,87.464,81.59,5.874,64,"StrokesGainedTotal",2013
10,10,"Phil Mickelson",78,1.361,77.585,40.083,37.502,57,"StrokesGainedTotal",2013
11,11,"Adam Scott",61,1.31,57.657,57.693,-0.036,44,"StrokesGainedTotal",2013
12,12,"Luke Donald",60,1.279,58.853,34.466,24.387,46,"StrokesGainedTotal",2013
13,13,"Charl Schwartzel",69,1.268,68.492,52.103,16.389,54,"StrokesGainedTotal",2013
14,14,"Webb Simpson",92,1.232,86.235,64.285,21.95,70,"StrokesGainedTotal",2013
15,15,"Bill Haas",85,1.214,83.761,65.423,18.338,69,"StrokesGainedTotal",2013
16,16,"Hunter Mahan",91,1.08,73.422,47.614,25.808,68,"StrokesGainedTotal",2013
17,17,"Bubba Watson",76,1.069,63.059,68.473,-5.414,59,"StrokesGainedTotal",2013
