"BirdieorBetterPercentageRightRough_RANKTHISWEEK_2014","BirdieorBetterPercentageRightRough_RANKLASTWEEK_2014","BirdieorBetterPercentageRightRough_PLAYERNAME_2014","BirdieorBetterPercentageRightRough_ROUNDS_2014","BirdieorBetterPercentageRightRough_Pct_2014","BirdieorBetterPercentageRightRough_TOTALBIRDIES_2014","BirdieorBetterPercentageRightRough_TOTALHOLES_2014","stat_name","year"
1,1,"Bronson La Cassie",51,23.81,15,63,"BirdieorBetterPercentageRightRough",2014
2,2,"Angel Cabrera",69,23.14,28,121,"BirdieorBetterPercentageRightRough",2014
3,3,"Adam Scott",68,22.33,23,103,"BirdieorBetterPercentageRightRough",2014
4,4,"Daniel Summerhays",98,21.8,29,133,"BirdieorBetterPercentageRightRough",2014
5,5,"Phil Mickelson",71,21.59,19,88,"BirdieorBetterPercentageRightRough",2014
6,6,"Ryan Palmer",85,20.93,27,129,"BirdieorBetterPercentageRightRough",2014
7,7,"Scott Stallings",77,20.71,29,140,"BirdieorBetterPercentageRightRough",2014
8,8,"Jason Bohn",81,20.69,24,116,"BirdieorBetterPercentageRightRough",2014
9,9,"Charley Hoffman",93,20.48,34,166,"BirdieorBetterPercentageRightRough",2014
10,10,"JJ Henry",91,20.34,24,118,"BirdieorBetterPercentageRightRough",2014
11,11,"Jimmy Walker",98,19.88,33,166,"BirdieorBetterPercentageRightRough",2014
12,12,"Rory McIlroy",66,19.77,17,86,"BirdieorBetterPercentageRightRough",2014
13,13,"Keegan Bradley",89,19.3,22,114,"BirdieorBetterPercentageRightRough",2014
14,14,"Henrik Stenson",56,19.23,10,52,"BirdieorBetterPercentageRightRough",2014
15,15,"Jason Kokrak",65,18.55,23,124,"BirdieorBetterPercentageRightRough",2014
16,16,"Geoff Ogilvy",84,18.31,26,142,"BirdieorBetterPercentageRightRough",2014
17,17,"Gary Woodland",93,18.05,24,133,"BirdieorBetterPercentageRightRough",2014
18,18,"Greg Chalmers",85,17.74,33,186,"BirdieorBetterPercentageRightRough",2014
18,18,"Webb Simpson",87,17.74,22,124,"BirdieorBetterPercentageRightRough",2014
20,20,"Hideki Matsuyama",82,17.69,23,130,"BirdieorBetterPercentageRightRough",2014
21,21,"Chris Kirk",105,17.61,25,142,"BirdieorBetterPercentageRightRough",2014
22,22,"Graham DeLaet",80,17.48,18,103,"BirdieorBetterPercentageRightRough",2014
23,23,"Andrew Loupe",65,17.42,23,132,"BirdieorBetterPercentageRightRough",2014
24,24,"Brian Davis",93,17.32,22,127,"BirdieorBetterPercentageRightRough",2014
24,24,"Tommy Gainey",73,17.32,22,127,"BirdieorBetterPercentageRightRough",2014
26,26,"Freddie Jacobson",91,17.31,27,156,"BirdieorBetterPercentageRightRough",2014
26,26,"Davis Love III",74,17.31,18,104,"BirdieorBetterPercentageRightRough",2014
26,26,"Rory Sabbatini",82,17.31,27,156,"BirdieorBetterPercentageRightRough",2014
29,29,"Dustin Johnson",58,17.02,16,94,"BirdieorBetterPercentageRightRough",2014
30,30,"Kevin Na",94,16.91,23,136,"BirdieorBetterPercentageRightRough",2014
