"PuttingInside10_RANKTHISWEEK_2016","PuttingInside10_RANKLASTWEEK_2016","PuttingInside10_PLAYERNAME_2016","PuttingInside10_ROUNDS_2016","PuttingInside10_PctMADE_2016","PuttingInside10_ATTEMPTS_2016","PuttingInside10_PUTTSMADE_2016","stat_name","year"
1,3,"Phil Mickelson",37,91.39,476,435,"PuttingInside10",2016
2,1,"Colt Knost",56,90.82,752,683,"PuttingInside10",2016
3,6,"Aaron Baddeley",51,90.61,639,579,"PuttingInside10",2016
4,3,"Rickie Fowler",42,90.19,581,524,"PuttingInside10",2016
5,10,"Daniel Summerhays",55,90.14,771,695,"PuttingInside10",2016
6,12,"Freddie Jacobson",54,90.04,703,633,"PuttingInside10",2016
7,2,"Ollie Schniederjans",23,90,340,306,"PuttingInside10",2016
8,9,"Derek Fathauer",58,89.88,771,693,"PuttingInside10",2016
9,5,"Martin Piller",37,89.85,463,416,"PuttingInside10",2016
10,30,"Emiliano Grillo",47,89.83,639,574,"PuttingInside10",2016
11,16,"Billy Hurley III",22,89.74,312,280,"PuttingInside10",2016
12,14,"Thomas Aiken",42,89.72,467,419,"PuttingInside10",2016
13,17,"Graeme McDowell",33,89.7,427,383,"PuttingInside10",2016
14,12,"Johnson Wagner",44,89.65,599,537,"PuttingInside10",2016
15,22,"Scott Piercy",45,89.61,510,457,"PuttingInside10",2016
16,23,"Troy Merritt",41,89.6,529,474,"PuttingInside10",2016
17,11,"Patton Kizzire",57,89.51,782,700,"PuttingInside10",2016
18,26,"Ben Martin",48,89.47,712,637,"PuttingInside10",2016
19,27,"Brice Garnett",29,89.42,274,245,"PuttingInside10",2016
20,32,"Brian Harman",60,89.39,839,750,"PuttingInside10",2016
21,29,"Russell Henley",42,89.32,665,594,"PuttingInside10",2016
22,33,"Jonas Blixt",46,89.29,663,592,"PuttingInside10",2016
23,8,"Sean OHair",45,89.27,727,649,"PuttingInside10",2016
24,31,"Carl Pettersson",31,89.26,512,457,"PuttingInside10",2016
25,50,"John Senden",48,89.23,724,646,"PuttingInside10",2016
26,15,"Retief Goosen",37,89.21,584,521,"PuttingInside10",2016
26,39,"Adam Hadwin",53,89.21,853,761,"PuttingInside10",2016
28,36,"Kelly Kraft",35,89.17,360,321,"PuttingInside10",2016
29,35,"Brandt Snedeker",47,89.16,618,551,"PuttingInside10",2016
30,20,"Jamie Donaldson",28,89.1,367,327,"PuttingInside10",2016
31,7,"Byeong Hun An",23,89.08,238,212,"PuttingInside10",2016
32,37,"Andy Sullivan",25,89.05,283,252,"PuttingInside10",2016
33,43,"Andrew Landry",24,88.99,218,194,"PuttingInside10",2016
34,61,"Luke Donald",49,88.98,608,541,"PuttingInside10",2016
34,44,"Bryce Molder",50,88.98,708,630,"PuttingInside10",2016
36,18,"David Toms",38,88.97,580,516,"PuttingInside10",2016
37,81,"Harris English",51,88.96,616,548,"PuttingInside10",2016
38,47,"Jon Curran",55,88.92,731,650,"PuttingInside10",2016
38,39,"Martin Laird",46,88.92,695,618,"PuttingInside10",2016
40,48,"Andres Romero",22,88.89,243,216,"PuttingInside10",2016
41,25,"Chesson Hadley",51,88.84,681,605,"PuttingInside10",2016
41,51,"Chris Kirk",51,88.84,717,637,"PuttingInside10",2016
43,28,"Charles Howell III",63,88.79,910,808,"PuttingInside10",2016
44,52,"Brendon Todd",43,88.78,615,546,"PuttingInside10",2016
45,54,"Marc Leishman",41,88.77,454,403,"PuttingInside10",2016
46,59,"William McGirt",54,88.75,862,765,"PuttingInside10",2016
46,55,"Hudson Swafford",52,88.75,702,623,"PuttingInside10",2016
48,39,"Chad Collins",45,88.67,662,587,"PuttingInside10",2016
48,55,"Peter Malnati",53,88.67,759,673,"PuttingInside10",2016
50,52,"Kevin Streelman",46,88.66,582,516,"PuttingInside10",2016
51,58,"Brendon de Jonge",55,88.65,731,648,"PuttingInside10",2016
52,75,"Camilo Villegas",50,88.59,771,683,"PuttingInside10",2016
53,80,"Kevin Kisner",49,88.58,604,535,"PuttingInside10",2016
54,39,"Sung Kang",51,88.57,761,674,"PuttingInside10",2016
55,46,"Gary Woodland",45,88.56,647,573,"PuttingInside10",2016
56,60,"Mark Hubbard",73,88.55,1092,967,"PuttingInside10",2016
57,63,"Justin Leonard",28,88.51,409,362,"PuttingInside10",2016
58,64,"John Huh",51,88.48,807,714,"PuttingInside10",2016
58,64,"Russell Knox",48,88.48,538,476,"PuttingInside10",2016
60,66,"Jason Day",36,88.47,399,353,"PuttingInside10",2016
