"FairwayBunkerTendency_RANKTHISWEEK_2015","FairwayBunkerTendency_RANKLASTWEEK_2015","FairwayBunkerTendency_PLAYERNAME_2015","FairwayBunkerTendency_ROUNDS_2015","FairwayBunkerTendency_Pct_2015","FairwayBunkerTendency_TOTALFAIRWAYBUNKERS_2015","FairwayBunkerTendency_POSSIBLEFWYS_2015","FairwayBunkerTendency_RELATIVETOPAR_2015","stat_name","year"
69,69,"Paul Casey",87,5.8,51,875,0.275,"FairwayBunkerTendency",2015
69,69,"Tony Finau",106,5.8,73,1268,0,"FairwayBunkerTendency",2015
69,69,"Max Homa",78,5.8,50,858,0.14,"FairwayBunkerTendency",2015
69,69,"Whee Kim",71,5.8,45,773,0.222,"FairwayBunkerTendency",2015
69,69,"Hideki Matsuyama",95,5.8,57,980,0.263,"FairwayBunkerTendency",2015
69,69,"George McNeill",93,5.8,72,1233,0.194,"FairwayBunkerTendency",2015
76,76,"Sangmoon Bae",98,5.9,72,1229,0.319,"FairwayBunkerTendency",2015
76,76,"Stewart Cink",77,5.9,53,905,0.208,"FairwayBunkerTendency",2015
76,76,"Brendon de Jonge",106,5.9,76,1279,0.263,"FairwayBunkerTendency",2015
76,76,"Dustin Johnson",75,5.9,44,747,0.182,"FairwayBunkerTendency",2015
76,76,"Seung Yul Noh",65,5.9,44,746,0.136,"FairwayBunkerTendency",2015
76,76,"Carlos Ortiz",100,5.9,68,1148,0.103,"FairwayBunkerTendency",2015
76,76,"Kyle Reifers",96,5.9,65,1111,0.077,"FairwayBunkerTendency",2015
76,76,"John Senden",80,5.9,42,714,0.31,"FairwayBunkerTendency",2015
84,84,"Daniel Berger",97,6,69,1148,0.159,"FairwayBunkerTendency",2015
84,84,"Jonas Blixt",78,6,43,712,0.209,"FairwayBunkerTendency",2015
84,84,"Lucas Glover",79,6,60,1000,0.35,"FairwayBunkerTendency",2015
84,84,"Andres Gonzales",90,6,62,1041,0.194,"FairwayBunkerTendency",2015
84,84,"Matt Jones",89,6,56,929,0.321,"FairwayBunkerTendency",2015
84,84,"David Lingmerth",90,6,62,1030,0.113,"FairwayBunkerTendency",2015
84,84,"Scott Pinckney",88,6,62,1027,0.226,"FairwayBunkerTendency",2015
84,84,"Andrew Putnam",68,6,44,737,0.227,"FairwayBunkerTendency",2015
84,84,"Jim Renner",68,6,46,771,0.174,"FairwayBunkerTendency",2015
84,84,"Michael Thompson",83,6,63,1044,0.238,"FairwayBunkerTendency",2015
