"SpinRate_RANKTHISWEEK_2014","SpinRate_RANKLASTWEEK_2014","SpinRate_PLAYERNAME_2014","SpinRate_ROUNDS_2014","SpinRate_AVG_2014","SpinRate_TOTALSPINSPEED_2014","SpinRate_TOTALATTEMPTS_2014","SpinRate_HIGHESTSPINRATE_2014","SpinRate_LOWESTSPINRATE_2014","stat_name","year"
1,1,"Brendon de Jonge",109,3222.4,286798,89,3937,2051,"SpinRate",2014
2,2,"Nick Watney",80,3108.5,158534,51,3959,2259,"SpinRate",2014
3,3,"Sergio Garcia",61,3069.1,101281,33,3895,2245,"SpinRate",2014
4,4,"Kevin Na",94,3056.4,247569,81,3927,2397,"SpinRate",2014
5,5,"Hudson Swafford",75,3055.1,152756,50,3868,2196,"SpinRate",2014
6,6,"George McNeill",79,3024.5,178445,59,3920,2241,"SpinRate",2014
7,7,"Kevin Tway",64,3015.4,138707,46,3810,2038,"SpinRate",2014
8,8,"Billy Hurley III",86,3009.3,219680,73,3807,2063,"SpinRate",2014
9,9,"Derek Ernst",80,2975.6,154731,52,3726,1652,"SpinRate",2014
10,10,"Ben Martin",80,2953.9,165416,56,3919,2056,"SpinRate",2014
11,11,"Ken Duke",80,2943.9,164856,56,3942,2011,"SpinRate",2014
12,12,"Aaron Baddeley",74,2930.4,161173,55,3803,2058,"SpinRate",2014
13,13,"Brooks Koepka",56,2917.9,107961,37,3677,1822,"SpinRate",2014
14,14,"Pat Perez",84,2915.6,201176,69,3893,1636,"SpinRate",2014
15,15,"John Rollins",84,2905.3,153981,53,3724,2107,"SpinRate",2014
16,16,"Troy Merritt",62,2898.6,171015,59,3771,1983,"SpinRate",2014
17,17,"Gonzalo Fdez Castano",83,2893.2,173593,60,3870,2009,"SpinRate",2014
18,18,"Marc Leishman",81,2891.5,170598,59,3965,2193,"SpinRate",2014
19,19,"Angel Cabrera",69,2888.2,181957,63,3891,1801,"SpinRate",2014
20,20,"Matt Jones",83,2876.7,192739,67,3572,1785,"SpinRate",2014
21,21,"Rickie Fowler",91,2875.1,161004,56,3975,1680,"SpinRate",2014
22,22,"Michael Thompson",74,2871.1,146424,51,3890,1789,"SpinRate",2014
23,23,"Andrew Svoboda",77,2861.8,208909,73,3720,2040,"SpinRate",2014
24,24,"Luke Guthrie",85,2856.4,228511,80,3997,1984,"SpinRate",2014
25,25,"Michael Putnam",106,2840.6,213046,75,3945,1668,"SpinRate",2014
26,26,"Luke Donald",57,2838.5,113538,40,3625,2295,"SpinRate",2014
27,27,"William McGirt",96,2834.5,235260,83,3729,1773,"SpinRate",2014
28,28,"Ted Potter Jr",68,2828.1,141404,50,3782,2056,"SpinRate",2014
29,29,"John Senden",99,2827.1,251610,89,3792,2227,"SpinRate",2014
30,30,"Kevin Streelman",79,2826.5,146976,52,3664,2272,"SpinRate",2014
31,31,"Lee Westwood",57,2826,104561,37,3626,1562,"SpinRate",2014
32,32,"Paul Casey",56,2823.6,104472,37,3884,1786,"SpinRate",2014
33,33,"Geoff Ogilvy",84,2808.7,185374,66,3755,1917,"SpinRate",2014
34,34,"Jonathan Byrd",76,2807.6,179689,64,3522,1991,"SpinRate",2014
35,35,"Jhonattan Vegas",77,2796.5,156604,56,3966,1582,"SpinRate",2014
36,36,"Adam Scott",68,2778.8,122269,44,3914,2043,"SpinRate",2014
37,37,"Freddie Jacobson",91,2771.4,191228,69,3932,1556,"SpinRate",2014
38,38,"James Driscoll",71,2770.8,132998,48,3989,1908,"SpinRate",2014
39,39,"Harris English",95,2768.8,160591,58,3792,2028,"SpinRate",2014
40,40,"Briny Baird",50,2768.1,102419,37,3867,2102,"SpinRate",2014
41,41,"Jim Furyk",84,2767.1,188162,68,3531,2070,"SpinRate",2014
42,42,"Bryce Molder",77,2763.9,174126,63,3985,1648,"SpinRate",2014
43,43,"Sangmoon Bae",76,2754.4,151490,55,3736,1879,"SpinRate",2014
44,44,"Roberto Castro",76,2754.2,154234,56,3677,1983,"SpinRate",2014
45,45,"Andrew Loupe",65,2745.8,115324,42,3507,1578,"SpinRate",2014
46,46,"Bronson La Cassie",51,2743.4,93277,34,3534,2100,"SpinRate",2014
47,47,"Henrik Stenson",56,2738.5,57508,21,3244,2138,"SpinRate",2014
48,48,"Gary Woodland",93,2737.8,145106,53,3877,1827,"SpinRate",2014
49,49,"Stewart Cink",91,2737.6,172468,63,3436,1893,"SpinRate",2014
50,50,"Ricky Barnes",92,2737.1,197074,72,3856,1789,"SpinRate",2014
51,51,"Charl Schwartzel",64,2730.3,136515,50,3802,1902,"SpinRate",2014
52,52,"Patrick Reed",92,2722.1,160604,59,3638,1529,"SpinRate",2014
53,53,"John Peterson",62,2718.5,146799,54,3781,1823,"SpinRate",2014
54,54,"Boo Weekley",73,2717.7,144038,53,3510,2037,"SpinRate",2014
55,55,"Matt Every",85,2708.6,167933,62,3778,1689,"SpinRate",2014
56,56,"Will Wilcox",51,2708.4,105626,39,3609,1979,"SpinRate",2014
57,57,"Daniel Summerhays",98,2708,249133,92,3515,1712,"SpinRate",2014
58,58,"JJ Henry",91,2706.8,192180,71,3309,1980,"SpinRate",2014
59,59,"Charlie Beljan",76,2706.3,154260,57,3928,1837,"SpinRate",2014
60,60,"Bill Haas",107,2705.8,213762,79,3500,1522,"SpinRate",2014
61,61,"Jimmy Walker",98,2704.5,167680,62,3919,1700,"SpinRate",2014
62,62,"Ryan Moore",86,2696.9,148327,55,3961,1766,"SpinRate",2014
63,63,"Kevin Kisner",85,2688.8,190905,71,3990,1777,"SpinRate",2014
64,64,"Greg Chalmers",85,2686.3,196103,73,3937,1767,"SpinRate",2014
65,65,"Jason Bohn",81,2683.9,198609,74,3563,1540,"SpinRate",2014
66,66,"Mike Weir",69,2680.5,144749,54,3702,1875,"SpinRate",2014
67,67,"Kevin Stadler",90,2679.9,133996,50,4600,2031,"SpinRate",2014
68,68,"Hideki Matsuyama",82,2677.1,120469,45,3949,1873,"SpinRate",2014
69,69,"Graeme McDowell",66,2675.6,107022,40,3496,2050,"SpinRate",2014
70,70,"Josh Teater",90,2671.8,208404,78,3792,1800,"SpinRate",2014
71,71,"Kevin Chappell",100,2668.7,232179,87,3709,1537,"SpinRate",2014
72,72,"Ian Poulter",57,2664.5,103916,39,3858,1889,"SpinRate",2014
73,73,"Trevor Immelman",84,2663.4,154480,58,3456,1710,"SpinRate",2014
74,74,"Danny Lee",84,2662.8,138468,52,7271,1978,"SpinRate",2014
75,75,"Robert Streb",75,2659.7,167559,63,3893,1892,"SpinRate",2014
76,76,"David Lingmerth",80,2657.8,159466,60,3786,1504,"SpinRate",2014
77,77,"Jim Herman",62,2655.3,100902,38,3886,1745,"SpinRate",2014
78,78,"Stuart Appleby",92,2655.1,207097,78,4761,1521,"SpinRate",2014
79,79,"Richard Lee",80,2653.6,177793,67,3393,1885,"SpinRate",2014
80,80,"Cameron Tringale",111,2652.3,262573,99,3942,1541,"SpinRate",2014
81,81,"Brian Stuard",91,2645.5,206346,78,3933,2140,"SpinRate",2014
82,82,"Martin Kaymer",65,2636.9,129207,49,3642,1791,"SpinRate",2014
83,83,"Bubba Watson",76,2636.5,108098,41,3884,1816,"SpinRate",2014
84,84,"Brad Fritsch",50,2633.3,86898,33,3287,2132,"SpinRate",2014
85,85,"Chad Collins",78,2623.6,141677,54,3548,1644,"SpinRate",2014
86,86,"Woody Austin",63,2618.4,136155,52,3912,1699,"SpinRate",2014
87,87,"James Hahn",82,2617.2,170117,65,3949,1770,"SpinRate",2014
88,88,"Charley Hoffman",93,2616.3,193609,74,3847,1878,"SpinRate",2014
89,89,"Robert Garrigus",80,2615.1,156907,60,3985,1833,"SpinRate",2014
90,90,"Graham DeLaet",80,2608.6,125214,48,3836,1793,"SpinRate",2014
91,91,"John Huh",87,2603.9,174459,67,3402,1689,"SpinRate",2014
92,92,"Brendan Steele",89,2603.6,182254,70,3903,1711,"SpinRate",2014
93,93,"Seung Yul Noh",92,2599.5,171566,66,3660,1535,"SpinRate",2014
94,94,"Jim Renner",61,2598.4,116927,45,3304,1994,"SpinRate",2014
95,95,"Charles Howell III",106,2598.3,231246,89,3908,1607,"SpinRate",2014
96,96,"Troy Matteson",62,2596,124609,48,3913,1776,"SpinRate",2014
97,97,"Justin Hicks",103,2593.6,241205,93,3607,1812,"SpinRate",2014
98,98,"YE Yang",79,2592.6,152966,59,3574,1822,"SpinRate",2014
99,99,"Keegan Bradley",89,2591.7,137360,53,3585,1725,"SpinRate",2014
100,100,"Erik Compton",88,2587.5,191476,74,3852,1563,"SpinRate",2014
101,101,"Jamie Lovemark",64,2586.3,98278,38,3516,1879,"SpinRate",2014
102,102,"Ben Curtis",77,2584.7,168004,65,3512,1880,"SpinRate",2014
103,103,"Louis Oosthuizen",50,2584.4,59441,23,3775,1569,"SpinRate",2014
104,104,"Johnson Wagner",69,2583,136901,53,3999,1674,"SpinRate",2014
105,105,"Russell Henley",92,2573.1,182692,71,3942,1691,"SpinRate",2014
106,106,"Kyle Stanley",87,2571.8,167164,65,3872,1692,"SpinRate",2014
107,107,"Charlie Wi",72,2571.7,169734,66,3825,1650,"SpinRate",2014
108,108,"Billy Horschel",92,2570.2,154211,60,3927,1704,"SpinRate",2014
109,109,"Will Ma Kenzie",82,2570,182469,71,3643,1688,"SpinRate",2014
110,110,"Phil Mickelson",71,2569,107898,42,3953,1760,"SpinRate",2014
111,111,"Justin Rose",70,2567,133486,52,3724,2056,"SpinRate",2014
112,112,"Spencer Levin",59,2563,120459,47,3898,1974,"SpinRate",2014
113,113,"Martin Flores",85,2562.2,166545,65,3865,1711,"SpinRate",2014
114,114,"Jason Dufner",57,2558.8,97236,38,3763,1999,"SpinRate",2014
115,115,"Russell Knox",92,2557.1,202013,79,3707,1825,"SpinRate",2014
116,116,"DA Points",75,2545.6,122188,48,3582,1791,"SpinRate",2014
117,117,"Chris Stroud",88,2544.8,142507,56,3941,1692,"SpinRate",2014
118,118,"Shawn Stefani",60,2543.6,127181,50,3621,1709,"SpinRate",2014
119,119,"Nicholas Thompson",85,2542.4,165253,65,3997,1730,"SpinRate",2014
120,120,"DH Lee",54,2538.8,116784,46,3952,1655,"SpinRate",2014
121,121,"Jonas Blixt",64,2534.1,83624,33,3862,1631,"SpinRate",2014
122,122,"Brandt Snedeker",89,2533,154513,61,3428,1776,"SpinRate",2014
123,123,"Brice Garnett",92,2530.4,189782,75,3979,1800,"SpinRate",2014
124,124,"Tyrone Van Aswegen",79,2523.9,93385,37,3852,1683,"SpinRate",2014
125,125,"Lucas Glover",68,2523.5,113556,45,3557,1575,"SpinRate",2014
126,126,"Camilo Villegas",95,2523.2,204382,81,3954,1828,"SpinRate",2014
127,127,"Jason Kokrak",65,2521.2,133623,53,4451,1581,"SpinRate",2014
128,128,"Chad Campbell",57,2519.5,110856,44,3422,1773,"SpinRate",2014
129,129,"JB Holmes",86,2513.5,103052,41,3882,1780,"SpinRate",2014
130,130,"Steven Bowditch",93,2511.3,170768,68,3808,1583,"SpinRate",2014
131,131,"David Toms",64,2506.9,135370,54,3916,1782,"SpinRate",2014
132,132,"John Merrick",87,2504.4,170301,68,3960,1759,"SpinRate",2014
133,133,"Ryan Palmer",85,2492.6,147065,59,3950,1648,"SpinRate",2014
134,134,"Scott Stallings",77,2491.3,144496,58,3439,1746,"SpinRate",2014
135,135,"Jason Day",54,2481.9,69494,28,3323,1871,"SpinRate",2014
136,136,"Brian Davis",93,2480.2,213297,86,3861,1843,"SpinRate",2014
137,137,"Brendon Todd",108,2475.8,207965,84,3599,1834,"SpinRate",2014
138,138,"Mark Wilson",69,2473.4,148403,60,3445,1807,"SpinRate",2014
139,139,"Bud Cauley",56,2469.6,116071,47,3881,1769,"SpinRate",2014
140,140,"Martin Laird",66,2465.9,108501,44,3438,1773,"SpinRate",2014
141,141,"Justin Leonard",75,2464.1,165098,67,3664,1734,"SpinRate",2014
142,142,"Dustin Johnson",58,2455.9,93323,38,3754,1782,"SpinRate",2014
143,143,"Heath Slocum",71,2449.1,146947,60,3316,1591,"SpinRate",2014
144,144,"Vijay Singh",83,2446.3,166348,68,3901,1719,"SpinRate",2014
145,145,"KJ Choi",80,2444.4,146665,60,3895,1792,"SpinRate",2014
146,146,"Morgan Hoffmann",103,2441.2,192852,79,3977,1576,"SpinRate",2014
147,147,"Matt Kuchar",91,2426.1,174682,72,3287,1689,"SpinRate",2014
148,148,"Ryo Ishikawa",75,2424,106655,44,3963,1679,"SpinRate",2014
149,149,"Ben Crane",81,2422.2,188934,78,3129,1542,"SpinRate",2014
150,150,"Scott Brown",100,2415.2,173897,72,3403,1517,"SpinRate",2014
151,151,"Andres Romero",81,2403.3,132179,55,3709,1612,"SpinRate",2014
152,152,"Brian Harman",111,2403,233095,97,3950,1702,"SpinRate",2014
153,153,"Carl Pettersson",91,2402.2,199381,83,3708,1686,"SpinRate",2014
154,154,"Retief Goosen",94,2399.5,196762,82,3242,1519,"SpinRate",2014
155,155,"Webb Simpson",87,2388.3,167178,70,3565,1707,"SpinRate",2014
156,156,"Bo Van Pelt",83,2386.2,155102,65,3867,1681,"SpinRate",2014
157,157,"Scott Langley",95,2385.4,155051,65,3894,1758,"SpinRate",2014
158,158,"Rory McIlroy",66,2383.4,95336,40,3250,1592,"SpinRate",2014
159,159,"Tim Wilkinson",86,2380.4,159485,67,3920,1727,"SpinRate",2014
160,160,"Jerry Kelly",80,2368.3,132627,56,3635,1562,"SpinRate",2014
161,161,"Jeff Overton",80,2357.9,150907,64,3958,1579,"SpinRate",2014
162,162,"Chris Kirk",105,2355.9,169626,72,3863,1557,"SpinRate",2014
163,163,"Ernie Els",85,2353.4,143558,61,3905,1572,"SpinRate",2014
164,164,"Zach Johnson",97,2346.3,201782,86,3715,1581,"SpinRate",2014
165,165,"David Hearn",97,2343.1,206189,88,3973,1631,"SpinRate",2014
166,166,"Wes Roach",67,2342.1,126475,54,3388,1651,"SpinRate",2014
167,167,"Brian Gay",81,2337.8,147281,63,3258,1670,"SpinRate",2014
168,168,"Tommy Gainey",73,2337.1,114517,49,3865,1505,"SpinRate",2014
169,169,"Robert Allenby",83,2337,116848,50,3998,1586,"SpinRate",2014
170,170,"Chesson Hadley",84,2332.1,167914,72,4437,1581,"SpinRate",2014
171,171,"Hunter Mahan",88,2301.5,172609,75,3204,1572,"SpinRate",2014
172,172,"Jordan Spieth",102,2299.4,172456,75,4111,1543,"SpinRate",2014
173,173,"Davis Love III",74,2273.9,120515,53,3404,1509,"SpinRate",2014
174,174,"Tim Clark",75,2239.2,134349,60,3662,1615,"SpinRate",2014
175,175,"Rory Sabbatini",82,2211.3,137102,62,3473,1508,"SpinRate",2014
176,176,"Sean OHair",77,2211.1,119400,54,3947,1635,"SpinRate",2014
177,177,"Jeff Maggert",54,2203.4,85932,39,3401,1658,"SpinRate",2014
