"1PuttsperRound_RANKTHISWEEK_2014","1PuttsperRound_RANKLASTWEEK_2014","1PuttsperRound_PLAYERNAME_2014","1PuttsperRound_ROUNDS_2014","1PuttsperRound_AVG_2014","1PuttsperRound_TOTAL1PUTTS_2014","1PuttsperRound_TOTALROUNDS_2014","stat_name","year"
1,1,"Jordan Spieth",102,8.26,809,98,"1PuttsperRound",2014
2,2,"Justin Leonard",75,7.96,597,75,"1PuttsperRound",2014
3,3,"Aaron Baddeley",74,7.94,572,72,"1PuttsperRound",2014
3,3,"Brian Gay",81,7.94,627,79,"1PuttsperRound",2014
5,5,"Ian Poulter",57,7.75,434,56,"1PuttsperRound",2014
6,6,"Greg Chalmers",85,7.74,627,81,"1PuttsperRound",2014
6,6,"Mike Weir",69,7.74,503,65,"1PuttsperRound",2014
8,8,"JB Holmes",86,7.73,665,86,"1PuttsperRound",2014
9,9,"Richard Lee",80,7.69,600,78,"1PuttsperRound",2014
10,10,"Phil Mickelson",71,7.68,545,71,"1PuttsperRound",2014
11,11,"Luke Guthrie",85,7.62,648,85,"1PuttsperRound",2014
12,12,"Rickie Fowler",91,7.6,646,85,"1PuttsperRound",2014
12,12,"Charl Schwartzel",64,7.6,471,62,"1PuttsperRound",2014
14,14,"Chris Kirk",105,7.57,787,104,"1PuttsperRound",2014
14,14,"Brendon Todd",108,7.57,818,108,"1PuttsperRound",2014
16,16,"Luke Donald",57,7.54,422,56,"1PuttsperRound",2014
17,17,"Freddie Jacobson",91,7.52,684,91,"1PuttsperRound",2014
17,17,"Rory McIlroy",66,7.52,481,64,"1PuttsperRound",2014
17,17,"Chris Stroud",88,7.52,662,88,"1PuttsperRound",2014
20,20,"Morgan Hoffmann",103,7.51,743,99,"1PuttsperRound",2014
21,21,"Tim Wilkinson",86,7.5,615,82,"1PuttsperRound",2014
22,22,"Stuart Appleby",92,7.49,674,90,"1PuttsperRound",2014
22,22,"Wes Roach",67,7.49,472,63,"1PuttsperRound",2014
24,24,"Gonzalo Fdez Castano",83,7.48,613,82,"1PuttsperRound",2014
24,24,"Kevin Na",94,7.48,703,94,"1PuttsperRound",2014
26,26,"Ernie Els",85,7.46,589,79,"1PuttsperRound",2014
27,27,"Chad Collins",78,7.45,551,74,"1PuttsperRound",2014
27,27,"Andres Romero",81,7.45,574,77,"1PuttsperRound",2014
29,29,"Matt Every",85,7.44,632,85,"1PuttsperRound",2014
30,30,"Brandt Snedeker",89,7.43,646,87,"1PuttsperRound",2014
30,30,"Lee Westwood",57,7.43,416,56,"1PuttsperRound",2014
32,32,"Brian Davis",93,7.42,690,93,"1PuttsperRound",2014
33,33,"Jerry Kelly",80,7.41,593,80,"1PuttsperRound",2014
34,34,"Tim Clark",75,7.4,555,75,"1PuttsperRound",2014
34,34,"Ryan Palmer",85,7.4,629,85,"1PuttsperRound",2014
36,36,"Ricky Barnes",92,7.38,649,88,"1PuttsperRound",2014
37,37,"Sangmoon Bae",76,7.36,559,76,"1PuttsperRound",2014
37,37,"Brian Stuard",91,7.36,640,87,"1PuttsperRound",2014
39,39,"Graeme McDowell",66,7.35,456,62,"1PuttsperRound",2014
40,40,"Andrew Loupe",65,7.34,448,61,"1PuttsperRound",2014
41,41,"Erik Compton",88,7.32,644,88,"1PuttsperRound",2014
42,42,"KJ Choi",80,7.31,585,80,"1PuttsperRound",2014
42,42,"Sergio Garcia",61,7.31,424,58,"1PuttsperRound",2014
42,42,"Charlie Wi",72,7.31,512,70,"1PuttsperRound",2014
45,45,"Scott Langley",95,7.3,679,93,"1PuttsperRound",2014
45,45,"Patrick Reed",92,7.3,657,90,"1PuttsperRound",2014
47,47,"Scott Brown",100,7.29,729,100,"1PuttsperRound",2014
47,47,"Jason Day",54,7.29,350,48,"1PuttsperRound",2014
47,47,"Hideki Matsuyama",82,7.29,583,80,"1PuttsperRound",2014
47,47,"Jimmy Walker",98,7.29,700,96,"1PuttsperRound",2014
51,51,"Steven Bowditch",93,7.28,677,93,"1PuttsperRound",2014
51,51,"Charley Hoffman",93,7.28,677,93,"1PuttsperRound",2014
51,51,"Dustin Johnson",58,7.28,415,57,"1PuttsperRound",2014
51,51,"Adam Scott",68,7.28,495,68,"1PuttsperRound",2014
55,55,"Bryce Molder",77,7.27,531,73,"1PuttsperRound",2014
55,55,"Pat Perez",84,7.27,611,84,"1PuttsperRound",2014
57,57,"William McGirt",96,7.25,696,96,"1PuttsperRound",2014
58,58,"Webb Simpson",87,7.24,608,84,"1PuttsperRound",2014
58,58,"Michael Thompson",74,7.24,536,74,"1PuttsperRound",2014
60,60,"Jonas Blixt",64,7.23,448,62,"1PuttsperRound",2014
60,60,"Brooks Koepka",56,7.23,405,56,"1PuttsperRound",2014
62,62,"James Driscoll",71,7.21,512,71,"1PuttsperRound",2014
62,62,"Ryo Ishikawa",75,7.21,541,75,"1PuttsperRound",2014
62,62,"Robert Streb",75,7.21,512,71,"1PuttsperRound",2014
65,65,"Ben Crane",81,7.2,583,81,"1PuttsperRound",2014
66,66,"Brad Fritsch",50,7.19,345,48,"1PuttsperRound",2014
66,66,"Matt Kuchar",91,7.19,633,88,"1PuttsperRound",2014
66,66,"Kevin Streelman",79,7.19,561,78,"1PuttsperRound",2014
69,69,"Brian Harman",111,7.18,797,111,"1PuttsperRound",2014
69,69,"Jeff Overton",80,7.18,546,76,"1PuttsperRound",2014
71,71,"Bronson La Cassie",51,7.15,336,47,"1PuttsperRound",2014
72,72,"Camilo Villegas",95,7.14,678,95,"1PuttsperRound",2014
