"MoneyLeadersFallSeries_RANKTHISWEEK_2007","MoneyLeadersFallSeries_RANKLASTWEEK_2007","MoneyLeadersFallSeries_PLAYERNAME_2007","MoneyLeadersFallSeries_EVENTS_2007","MoneyLeadersFallSeries_MONEY_2007","MoneyLeadersFallSeries_YTDVICTORIES_2007","stat_name","year"
1,1,"Justin Leonard",29,1255825,18001,"MoneyLeadersFallSeries",2007
2,2,"Steve Flesch",31,1124013,18001,"MoneyLeadersFallSeries",2007
3,3,"Daniel Chopra",34,1101150,18001,"MoneyLeadersFallSeries",2007
4,4,"Mike Weir",23,996000,18001,"MoneyLeadersFallSeries",2007
5,5,"Stephen Ames",23,875267,18001,"MoneyLeadersFallSeries",2007
6,6,"George McNeill",30,820560,18001,"MoneyLeadersFallSeries",2007
7,7,"Chad Campbell",28,723440,18001,"MoneyLeadersFallSeries",2007
8,8,"Michael Allen",22,704655,69000,"MoneyLeadersFallSeries",2007
9,9,"Jesper Parnevik",27,642160,85000,"MoneyLeadersFallSeries",2007
10,10,"Mark Hensby",25,602320,90000,"MoneyLeadersFallSeries",2007
11,11,"Sean OHair",28,560862,27000,"MoneyLeadersFallSeries",2007
12,12,"Tim Clark",19,557657,37000,"MoneyLeadersFallSeries",2007
13,13,"Cameron Beckman",29,541179,92000,"MoneyLeadersFallSeries",2007
14,14,"Freddie Jacobson",20,528853,18000,"MoneyLeadersFallSeries",2007
15,15,"Shigeki Maruyama",31,526103,101000,"MoneyLeadersFallSeries",2007
16,16,"Johnson Wagner",33,505200,9000,"MoneyLeadersFallSeries",2007
17,17,"John Senden",27,475750,27000,"MoneyLeadersFallSeries",2007
18,18,"Carl Pettersson",31,461055,27000,"MoneyLeadersFallSeries",2007
19,19,"DJ Trahan",30,440638,18000,"MoneyLeadersFallSeries",2007
20,20,"John Mallinger",29,438494,27000,"MoneyLeadersFallSeries",2007
21,21,"Mathias Gronberg",31,429410,103000,"MoneyLeadersFallSeries",2007
22,22,"Robert Gamez",30,424420,96000,"MoneyLeadersFallSeries",2007
23,23,"Bill Haas",30,407683,9000,"MoneyLeadersFallSeries",2007
24,24,"Billy Mayfair",30,406558,27000,"MoneyLeadersFallSeries",2007
25,25,"Chris Stroud",24,403561,70000,"MoneyLeadersFallSeries",2007
26,26,"Jeff Overton",19,379533,42000,"MoneyLeadersFallSeries",2007
27,27,"Robert Garrigus",28,377500,18000,"MoneyLeadersFallSeries",2007
28,28,"Kent Jones",30,370868,99000,"MoneyLeadersFallSeries",2007
29,29,"Bo Van Pelt",30,368500,27000,"MoneyLeadersFallSeries",2007
30,30,"Heath Slocum",28,365225,37000,"MoneyLeadersFallSeries",2007
31,31,"Daisuke Maruyama",28,340637,88000,"MoneyLeadersFallSeries",2007
32,32,"Ken Duke",31,338363,27000,"MoneyLeadersFallSeries",2007
33,33,"Charley Hoffman",30,333950,27000,"MoneyLeadersFallSeries",2007
34,34,"Mathew Goggin",30,329101,102000,"MoneyLeadersFallSeries",2007
35,35,"Parker McLachlin",28,324550,87000,"MoneyLeadersFallSeries",2007
36,36,"Alex Cejka",25,322110,78000,"MoneyLeadersFallSeries",2007
37,37,"Tommy Armour III",24,270900,18000,"MoneyLeadersFallSeries",2007
38,38,"Ryan Armour",32,270861,9000,"MoneyLeadersFallSeries",2007
39,39,"Tag Ridings",18,264340,51000,"MoneyLeadersFallSeries",2007
40,40,"Briny Baird",31,262501,18000,"MoneyLeadersFallSeries",2007
41,41,"David Branshaw",30,253138,99000,"MoneyLeadersFallSeries",2007
42,42,"Charlie Wi",27,250469,18000,"MoneyLeadersFallSeries",2007
43,43,"Scott Verplank",23,239200,28000,"MoneyLeadersFallSeries",2007
44,44,"Bryce Molder",21,234143,56000,"MoneyLeadersFallSeries",2007
45,45,"Dicky Pride",25,225568,74000,"MoneyLeadersFallSeries",2007
46,46,"Nick Watney",26,222983,27000,"MoneyLeadersFallSeries",2007
47,47,"Brian Davis",28,218178,18000,"MoneyLeadersFallSeries",2007
48,48,"Boo Weekley",29,211694,37000,"MoneyLeadersFallSeries",2007
49,49,"JP Hayes",28,205125,18000,"MoneyLeadersFallSeries",2007
50,50,"Brendon de Jonge",26,190393,78000,"MoneyLeadersFallSeries",2007
51,51,"Bob Estes",28,188492,18000,"MoneyLeadersFallSeries",2007
52,52,"Charles Warren",29,187510,18000,"MoneyLeadersFallSeries",2007
53,53,"Marco Dawson",23,186635,65000,"MoneyLeadersFallSeries",2007
54,54,"Jason Gore",27,185523,18000,"MoneyLeadersFallSeries",2007
55,55,"Jarrod Lyle",24,185116,69000,"MoneyLeadersFallSeries",2007
