"OnePuttPercentage_RANKTHISWEEK_2008","OnePuttPercentage_RANKLASTWEEK_2008","OnePuttPercentage_PLAYERNAME_2008","OnePuttPercentage_ROUNDS_2008","OnePuttPercentage_Pct_2008","OnePuttPercentage_OF1PUTTS_2008","OnePuttPercentage_OFHOLES_2008","stat_name","year"
1,1,"Padraig Harrington",52,43.56,392,900,"OnePuttPercentage",2008
2,2,"Nathan Green",95,43.33,741,1710,"OnePuttPercentage",2008
3,3,"Daniel Chopra",84,43.17,645,1494,"OnePuttPercentage",2008
4,4,"Jeff Quinney",87,42.15,660,1566,"OnePuttPercentage",2008
5,5,"John Mallinger",95,42.11,720,1710,"OnePuttPercentage",2008
6,6,"Corey Pavin",69,42.03,522,1242,"OnePuttPercentage",2008
7,7,"Aaron Baddeley",76,41.93,551,1314,"OnePuttPercentage",2008
8,8,"Stuart Appleby",87,41.8,632,1512,"OnePuttPercentage",2008
9,9,"Kevin Na",97,41.7,728,1746,"OnePuttPercentage",2008
10,10,"Richard Johnson",77,41.34,573,1386,"OnePuttPercentage",2008
11,11,"Ryuji Imada",80,41.32,595,1440,"OnePuttPercentage",2008
12,12,"Andres Romero",69,41.21,497,1206,"OnePuttPercentage",2008
13,13,"Tom Pernice Jr",104,40.87,765,1872,"OnePuttPercentage",2008
14,14,"Ryan Moore",72,40.74,528,1296,"OnePuttPercentage",2008
15,15,"Steve Lowery",74,40.62,541,1332,"OnePuttPercentage",2008
16,16,"Mike Weir",88,40.61,636,1566,"OnePuttPercentage",2008
17,17,"Phil Mickelson",80,40.6,570,1404,"OnePuttPercentage",2008
18,18,"Tim Clark",90,40.51,649,1602,"OnePuttPercentage",2008
19,19,"Jesper Parnevik",88,40.34,639,1584,"OnePuttPercentage",2008
20,20,"Eric Axley",113,40.31,820,2034,"OnePuttPercentage",2008
20,20,"Ben Crane",86,40.31,624,1548,"OnePuttPercentage",2008
20,20,"Freddie Jacobson",78,40.31,566,1404,"OnePuttPercentage",2008
23,23,"Carl Pettersson",110,40.25,797,1980,"OnePuttPercentage",2008
23,23,"Ian Poulter",51,40.25,355,882,"OnePuttPercentage",2008
25,25,"Vaughn Taylor",103,40.24,746,1854,"OnePuttPercentage",2008
26,26,"Brian Davis",108,40.17,781,1944,"OnePuttPercentage",2008
27,27,"Nick OHern",82,40.14,578,1440,"OnePuttPercentage",2008
28,28,"Shane Bertsch",96,40.1,693,1728,"OnePuttPercentage",2008
29,29,"Anthony Kim",81,40.05,584,1458,"OnePuttPercentage",2008
29,29,"Steve Stricker",75,40.05,519,1296,"OnePuttPercentage",2008
31,31,"Ken Duke",116,39.99,835,2088,"OnePuttPercentage",2008
32,32,"Brian Gay",102,39.76,730,1836,"OnePuttPercentage",2008
33,33,"Jonathan Byrd",88,39.74,608,1530,"OnePuttPercentage",2008
