"ApproachesRightRoughRTPScore_RANKTHISWEEK_2010","ApproachesRightRoughRTPScore_RANKLASTWEEK_2010","ApproachesRightRoughRTPScore_PLAYERNAME_2010","ApproachesRightRoughRTPScore_ROUNDS_2010","ApproachesRightRoughRTPScore_AVGRTP_2010","stat_name","year"
1,1,"Brett Wetterich",54,-0.091,"ApproachesRightRoughRTPScore",2010
2,2,"Justin Rose",78,-0.083,"ApproachesRightRoughRTPScore",2010
3,3,"Steve Stricker",73,-0.082,"ApproachesRightRoughRTPScore",2010
4,4,"Kevin Sutherland",86,-0.061,"ApproachesRightRoughRTPScore",2010
5,5,"Andrew McLardy",52,-0.057,"ApproachesRightRoughRTPScore",2010
6,6,"Justin Leonard",89,-0.05,"ApproachesRightRoughRTPScore",2010
7,7,"Jim Furyk",76,-0.024,"ApproachesRightRoughRTPScore",2010
8,8,"Padraig Harrington",57,-0.022,"ApproachesRightRoughRTPScore",2010
9,9,"Robert Allenby",76,-0.02,"ApproachesRightRoughRTPScore",2010
10,10,"Bubba Watson",77,-0.014,"ApproachesRightRoughRTPScore",2010
11,11,"Michael Sim",64,-0.011,"ApproachesRightRoughRTPScore",2010
12,12,"Bill Haas",87,-0.008,"ApproachesRightRoughRTPScore",2010
12,12,"Chris Stroud",90,-0.008,"ApproachesRightRoughRTPScore",2010
14,14,"Angel Cabrera",64,-0.007,"ApproachesRightRoughRTPScore",2010
15,15,"John Daly",63,0,"ApproachesRightRoughRTPScore",2010
15,15,"Matt Kuchar",97,0,"ApproachesRightRoughRTPScore",2010
15,15,"Billy Mayfair",78,0,"ApproachesRightRoughRTPScore",2010
18,18,"Rory Sabbatini",79,0.007,"ApproachesRightRoughRTPScore",2010
19,19,"Retief Goosen",75,0.012,"ApproachesRightRoughRTPScore",2010
19,19,"DJ Trahan",92,0.012,"ApproachesRightRoughRTPScore",2010
21,21,"Nick Watney",91,0.013,"ApproachesRightRoughRTPScore",2010
22,22,"Woody Austin",93,0.014,"ApproachesRightRoughRTPScore",2010
23,23,"Sean OHair",84,0.015,"ApproachesRightRoughRTPScore",2010
24,24,"Brian Gay",101,0.02,"ApproachesRightRoughRTPScore",2010
25,25,"Chris Tidland",77,0.023,"ApproachesRightRoughRTPScore",2010
26,26,"Bob Estes",79,0.025,"ApproachesRightRoughRTPScore",2010
27,27,"Spencer Levin",110,0.026,"ApproachesRightRoughRTPScore",2010
28,28,"Omar Uresti",74,0.027,"ApproachesRightRoughRTPScore",2010
29,29,"Cliff Kresge",50,0.029,"ApproachesRightRoughRTPScore",2010
30,30,"Camilo Villegas",78,0.03,"ApproachesRightRoughRTPScore",2010
31,31,"Steve Flesch",78,0.031,"ApproachesRightRoughRTPScore",2010
32,32,"John Rollins",81,0.032,"ApproachesRightRoughRTPScore",2010
33,33,"Dean Wilson",54,0.033,"ApproachesRightRoughRTPScore",2010
34,34,"Ricky Barnes",103,0.038,"ApproachesRightRoughRTPScore",2010
34,34,"Steve Elkington",74,0.038,"ApproachesRightRoughRTPScore",2010
34,34,"David Lutterus",69,0.038,"ApproachesRightRoughRTPScore",2010
34,34,"Jarrod Lyle",54,0.038,"ApproachesRightRoughRTPScore",2010
34,34,"Phil Mickelson",76,0.038,"ApproachesRightRoughRTPScore",2010
39,39,"Kevin Streelman",90,0.039,"ApproachesRightRoughRTPScore",2010
40,40,"Ryan Moore",80,0.043,"ApproachesRightRoughRTPScore",2010
41,41,"Marc Leishman",87,0.044,"ApproachesRightRoughRTPScore",2010
42,42,"Geoff Ogilvy",62,0.045,"ApproachesRightRoughRTPScore",2010
43,43,"Martin Laird",91,0.046,"ApproachesRightRoughRTPScore",2010
44,44,"Charles Howell III",103,0.047,"ApproachesRightRoughRTPScore",2010
45,45,"John Senden",103,0.048,"ApproachesRightRoughRTPScore",2010
46,46,"Henrik Bjornstad",72,0.049,"ApproachesRightRoughRTPScore",2010
46,46,"Paul Stankowski",62,0.049,"ApproachesRightRoughRTPScore",2010
48,48,"KJ Choi",82,0.05,"ApproachesRightRoughRTPScore",2010
48,48,"Dustin Johnson",83,0.05,"ApproachesRightRoughRTPScore",2010
50,50,"Jason Dufner",87,0.053,"ApproachesRightRoughRTPScore",2010
50,50,"Ernie Els",72,0.053,"ApproachesRightRoughRTPScore",2010
52,52,"Ryuji Imada",90,0.054,"ApproachesRightRoughRTPScore",2010
53,53,"Tom Pernice Jr",74,0.057,"ApproachesRightRoughRTPScore",2010
54,54,"James Driscoll",78,0.059,"ApproachesRightRoughRTPScore",2010
55,55,"Webb Simpson",98,0.061,"ApproachesRightRoughRTPScore",2010
56,56,"Ryan Palmer",84,0.063,"ApproachesRightRoughRTPScore",2010
57,57,"Graham DeLaet",88,0.066,"ApproachesRightRoughRTPScore",2010
58,58,"Alex Cejka",81,0.068,"ApproachesRightRoughRTPScore",2010
58,58,"Trevor Immelman",55,0.068,"ApproachesRightRoughRTPScore",2010
58,58,"Jeff Overton",89,0.068,"ApproachesRightRoughRTPScore",2010
61,61,"Alex Prugh",88,0.069,"ApproachesRightRoughRTPScore",2010
62,62,"David Duval",71,0.07,"ApproachesRightRoughRTPScore",2010
62,62,"JJ Henry",92,0.07,"ApproachesRightRoughRTPScore",2010
62,62,"Jimmy Walker",82,0.07,"ApproachesRightRoughRTPScore",2010
65,65,"Tim Clark",88,0.071,"ApproachesRightRoughRTPScore",2010
66,66,"John Mallinger",78,0.073,"ApproachesRightRoughRTPScore",2010
66,66,"Adam Scott",70,0.073,"ApproachesRightRoughRTPScore",2010
68,68,"Jonathan Byrd",85,0.074,"ApproachesRightRoughRTPScore",2010
68,68,"Cameron Percy",73,0.074,"ApproachesRightRoughRTPScore",2010
70,70,"Bill Lunde",79,0.075,"ApproachesRightRoughRTPScore",2010
71,71,"Jeev Milkha Singh",59,0.076,"ApproachesRightRoughRTPScore",2010
72,72,"Roland Thatcher",72,0.078,"ApproachesRightRoughRTPScore",2010
73,73,"Luke Donald",71,0.08,"ApproachesRightRoughRTPScore",2010
73,73,"Bryce Molder",84,0.08,"ApproachesRightRoughRTPScore",2010
75,75,"Brett Quigley",96,0.081,"ApproachesRightRoughRTPScore",2010
76,76,"Rickie Fowler",98,0.082,"ApproachesRightRoughRTPScore",2010
77,77,"Steve Marino",81,0.083,"ApproachesRightRoughRTPScore",2010
78,78,"George McNeill",79,0.085,"ApproachesRightRoughRTPScore",2010
78,78,"Andres Romero",73,0.085,"ApproachesRightRoughRTPScore",2010
80,80,"Matt Jones",89,0.086,"ApproachesRightRoughRTPScore",2010
80,80,"Heath Slocum",97,0.086,"ApproachesRightRoughRTPScore",2010
82,82,"Troy Merritt",86,0.087,"ApproachesRightRoughRTPScore",2010
83,83,"Aaron Baddeley",94,0.088,"ApproachesRightRoughRTPScore",2010
83,83,"Derek Lamely",81,0.088,"ApproachesRightRoughRTPScore",2010
85,85,"Davis Love III",79,0.089,"ApproachesRightRoughRTPScore",2010
86,86,"Stuart Appleby",101,0.091,"ApproachesRightRoughRTPScore",2010
86,86,"Kevin Na",94,0.091,"ApproachesRightRoughRTPScore",2010
88,88,"Stewart Cink",84,0.092,"ApproachesRightRoughRTPScore",2010
88,88,"David Toms",86,0.092,"ApproachesRightRoughRTPScore",2010
90,90,"Ben Crane",85,0.097,"ApproachesRightRoughRTPScore",2010
91,91,"Tom Gillis",97,0.098,"ApproachesRightRoughRTPScore",2010
91,91,"Scott McCarron",90,0.098,"ApproachesRightRoughRTPScore",2010
93,93,"Vaughn Taylor",87,0.099,"ApproachesRightRoughRTPScore",2010
94,94,"Jason Day",82,0.1,"ApproachesRightRoughRTPScore",2010
95,95,"Chad Campbell",95,0.101,"ApproachesRightRoughRTPScore",2010
95,95,"Daniel Chopra",74,0.101,"ApproachesRightRoughRTPScore",2010
95,95,"Johnson Wagner",85,0.101,"ApproachesRightRoughRTPScore",2010
95,95,"Charles Warren",64,0.101,"ApproachesRightRoughRTPScore",2010
99,99,"Kevin Stadler",86,0.102,"ApproachesRightRoughRTPScore",2010
100,100,"Matt Bettencourt",91,0.103,"ApproachesRightRoughRTPScore",2010
100,100,"DA Points",90,0.103,"ApproachesRightRoughRTPScore",2010
102,102,"Hunter Mahan",85,0.104,"ApproachesRightRoughRTPScore",2010
103,103,"Paul Casey",64,0.105,"ApproachesRightRoughRTPScore",2010
103,103,"JP Hayes",79,0.105,"ApproachesRightRoughRTPScore",2010
105,105,"Scott Piercy",88,0.107,"ApproachesRightRoughRTPScore",2010
106,106,"JB Holmes",100,0.108,"ApproachesRightRoughRTPScore",2010
107,107,"Brendon de Jonge",114,0.112,"ApproachesRightRoughRTPScore",2010
107,107,"Lucas Glover",75,0.112,"ApproachesRightRoughRTPScore",2010
