"FedExCupPointsperEventLeaders_RANKTHISWEEK_2009","FedExCupPointsperEventLeaders_RANKLASTWEEK_2009","FedExCupPointsperEventLeaders_PLAYERNAME_2009","FedExCupPointsperEventLeaders_EVENTS_2009","FedExCupPointsperEventLeaders_POINTSPEREVENT_2009","FedExCupPointsperEventLeaders_TOTALPOINTS_2009","stat_name","year"
1,1,"Tiger Woods",13,263.896,3430.646,"FedExCupPointsperEventLeaders",2009
2,2,"Tom Watson",2,165,330,"FedExCupPointsperEventLeaders",2009
3,3,"Steve Stricker",18,119.72,2154.967,"FedExCupPointsperEventLeaders",2009
4,4,"Phil Mickelson",14,116.406,1629.69,"FedExCupPointsperEventLeaders",2009
5,5,"Geoff Ogilvy",16,100.188,1603,"FedExCupPointsperEventLeaders",2009
6,6,"Kenny Perry",20,99.638,1992.75,"FedExCupPointsperEventLeaders",2009
7,7,"Paul Casey",12,96.771,1161.25,"FedExCupPointsperEventLeaders",2009
8,8,"Zach Johnson",21,96.142,2018.984,"FedExCupPointsperEventLeaders",2009
9,9,"Retief Goosen",16,91.192,1459.071,"FedExCupPointsperEventLeaders",2009
10,10,"YE Yang",19,85.328,1621.241,"FedExCupPointsperEventLeaders",2009
11,11,"Lucas Glover",22,79.163,1741.593,"FedExCupPointsperEventLeaders",2009
12,12,"Sean OHair",19,77.589,1474.188,"FedExCupPointsperEventLeaders",2009
13,13,"Angel Cabrera",13,74.442,967.75,"FedExCupPointsperEventLeaders",2009
14,14,"Brian Gay",21,73.349,1540.32,"FedExCupPointsperEventLeaders",2009
15,15,"Nick Watney",19,73.05,1387.95,"FedExCupPointsperEventLeaders",2009
16,16,"Stewart Cink",18,68.066,1225.193,"FedExCupPointsperEventLeaders",2009
17,17,"David Toms",21,66.373,1393.829,"FedExCupPointsperEventLeaders",2009
18,18,"Jim Furyk",18,65.99,1187.821,"FedExCupPointsperEventLeaders",2009
19,19,"Ian Poulter",14,64.782,906.954,"FedExCupPointsperEventLeaders",2009
20,20,"Hunter Mahan",20,64.116,1282.328,"FedExCupPointsperEventLeaders",2009
