"ProximitytoHoleARG_RANKTHISWEEK_2010","ProximitytoHoleARG_RANKLASTWEEK_2010","ProximitytoHoleARG_PLAYERNAME_2010","ProximitytoHoleARG_ROUNDS_2010","ProximitytoHoleARG_AVGDTP_2010","ProximitytoHoleARG_TOTALDISTANCEFEET_2010","ProximitytoHoleARG_OFSHOTS_2010","ProximitytoHoleARG_SCRAMBLINGRANK_2010","stat_name","year"
1,1,"Mike Weir",59,NA,1706.917,301,82,"ProximitytoHoleARG",2010
2,2,"Justin Rose",78,NA,2883.333,473,13,"ProximitytoHoleARG",2010
3,3,"Jim Furyk",76,NA,2393,388,16,"ProximitytoHoleARG",2010
4,4,"Jonathan Byrd",85,NA,3044.167,488,34,"ProximitytoHoleARG",2010
4,4,"Luke Donald",71,NA,2182.917,350,4,"ProximitytoHoleARG",2010
6,6,"Steve Stricker",73,NA,2152.5,338,14,"ProximitytoHoleARG",2010
6,6,"Omar Uresti",74,NA,2321.5,367,38,"ProximitytoHoleARG",2010
8,8,"Chris Riley",73,NA,2536.25,396,6,"ProximitytoHoleARG",2010
8,8,"Brandt Snedeker",89,NA,3384.917,529,43,"ProximitytoHoleARG",2010
10,10,"KJ Choi",82,NA,2463.083,380,20,"ProximitytoHoleARG",2010
10,10,"Retief Goosen",75,NA,2391.75,366,12,"ProximitytoHoleARG",2010
10,10,"Kevin Na",94,NA,3296.417,508,8,"ProximitytoHoleARG",2010
13,13,"Alex Cejka",81,NA,2897.417,438,130,"ProximitytoHoleARG",2010
13,13,"Brian Gay",101,NA,3526.25,539,2,"ProximitytoHoleARG",2010
13,13,"Padraig Harrington",57,NA,2094.167,320,42,"ProximitytoHoleARG",2010
13,13,"Charles Howell III",103,NA,3917.667,597,7,"ProximitytoHoleARG",2010
13,13,"Marc Leishman",87,NA,3163.5,481,123,"ProximitytoHoleARG",2010
13,13,"Shaun Micheel",70,NA,2346.667,355,40,"ProximitytoHoleARG",2010
13,13,"Pat Perez",90,NA,3464.75,526,26,"ProximitytoHoleARG",2010
13,13,"Tom Pernice Jr",74,NA,2303,350,63,"ProximitytoHoleARG",2010
13,13,"Jeev Milkha Singh",59,NA,2361.083,360,15,"ProximitytoHoleARG",2010
13,13,"David Toms",86,NA,2884.667,439,39,"ProximitytoHoleARG",2010
23,23,"Tim Clark",88,NA,2787.583,418,20,"ProximitytoHoleARG",2010
23,23,"Freddie Jacobson",83,NA,3201.667,481,17,"ProximitytoHoleARG",2010
23,23,"Phil Mickelson",76,NA,2728.5,409,31,"ProximitytoHoleARG",2010
23,23,"Charlie Wi",95,NA,3818.333,574,3,"ProximitytoHoleARG",2010
27,27,"Brian Davis",101,NA,4339.583,646,30,"ProximitytoHoleARG",2010
27,27,"Cliff Kresge",50,NA,1892.75,279,77,"ProximitytoHoleARG",2010
27,27,"John Mallinger",78,NA,2747.417,407,84,"ProximitytoHoleARG",2010
27,27,"Michael Sim",64,NA,2361.917,351,35,"ProximitytoHoleARG",2010
31,31,"Chad Collins",87,NA,3653.25,534,9,"ProximitytoHoleARG",2010
31,31,"Chris DiMarco",88,NA,3496.667,509,29,"ProximitytoHoleARG",2010
31,31,"Ryuji Imada",90,NA,4067.5,597,18,"ProximitytoHoleARG",2010
31,31,"Jerry Kelly",99,NA,3559.667,518,100,"ProximitytoHoleARG",2010
31,31,"Heath Slocum",97,NA,3158.083,462,19,"ProximitytoHoleARG",2010
31,31,"Camilo Villegas",78,NA,2652.417,389,107,"ProximitytoHoleARG",2010
31,31,"Dean Wilson",54,NA,1962.667,286,1,"ProximitytoHoleARG",2010
38,38,"Briny Baird",87,NA,3294.5,478,37,"ProximitytoHoleARG",2010
38,38,"Ricky Barnes",103,NA,3679.667,532,64,"ProximitytoHoleARG",2010
38,38,"Jason Day",82,NA,3478.167,501,51,"ProximitytoHoleARG",2010
38,38,"Sergio Garcia",58,NA,1655.417,238,161,"ProximitytoHoleARG",2010
38,38,"Matt Kuchar",97,NA,3279.333,476,5,"ProximitytoHoleARG",2010
38,38,"Bryce Molder",84,NA,3236.417,470,24,"ProximitytoHoleARG",2010
38,38,"Carl Pettersson",99,NA,3865.583,561,28,"ProximitytoHoleARG",2010
38,38,"Ian Poulter",55,NA,1762.333,256,57,"ProximitytoHoleARG",2010
38,38,"Rory Sabbatini",79,NA,3211.917,465,128,"ProximitytoHoleARG",2010
38,38,"Bo Van Pelt",104,NA,3971.917,574,25,"ProximitytoHoleARG",2010
48,48,"Michael Connell",89,NA,3389.75,487,75,"ProximitytoHoleARG",2010
48,48,"Ben Curtis",78,NA,2719.083,390,60,"ProximitytoHoleARG",2010
48,48,"Tom Gillis",97,NA,4337.667,623,54,"ProximitytoHoleARG",2010
