"NonWGCFedExCupSeasonPointsforNonMembers_RANKTHISWEEK_2009","NonWGCFedExCupSeasonPointsforNonMembers_RANKLASTWEEK_2009","NonWGCFedExCupSeasonPointsforNonMembers_PLAYERNAME_2009","NonWGCFedExCupSeasonPointsforNonMembers_EVENTS_2009","NonWGCFedExCupSeasonPointsforNonMembers_POINTS_2009","stat_name","year"
1,1,"Henrik Stenson",10,1018,"NonWGCFedExCupSeasonPointsforNonMembers",2009
2,2,"Lee Westwood",8,500,"NonWGCFedExCupSeasonPointsforNonMembers",2009
3,3,"Rory McIlroy",11,434,"NonWGCFedExCupSeasonPointsforNonMembers",2009
4,4,"Graeme McDowell",11,355,"NonWGCFedExCupSeasonPointsforNonMembers",2009
5,5,"Ross Fisher",10,306,"NonWGCFedExCupSeasonPointsforNonMembers",2009
6,6,"Martin Kaymer",11,249,"NonWGCFedExCupSeasonPointsforNonMembers",2009
7,7,"Soren Hansen",8,241,"NonWGCFedExCupSeasonPointsforNonMembers",2009
8,8,"Danny Lee",12,193,"NonWGCFedExCupSeasonPointsforNonMembers",2009
9,9,"Francesco Molinari",4,185,"NonWGCFedExCupSeasonPointsforNonMembers",2009
10,10,"Chris Wood",2,181,"NonWGCFedExCupSeasonPointsforNonMembers",2009
11,11,"Jeev Milkha Singh",13,163,"NonWGCFedExCupSeasonPointsforNonMembers",2009
12,12,"Shingo Katayama",6,150,"NonWGCFedExCupSeasonPointsforNonMembers",2009
13,13,"Oliver Wilson",9,144,"NonWGCFedExCupSeasonPointsforNonMembers",2009
14,14,"Soren Kjeldsen",7,139,"NonWGCFedExCupSeasonPointsforNonMembers",2009
15,15,"Miguel Angel Jimenez",8,117,"NonWGCFedExCupSeasonPointsforNonMembers",2009
16,16,"Peter Hanson",5,98,"NonWGCFedExCupSeasonPointsforNonMembers",2009
17,17,"Kevin Chappell",3,89,"NonWGCFedExCupSeasonPointsforNonMembers",2009
18,18,"Kyle Stanley",6,88,"NonWGCFedExCupSeasonPointsforNonMembers",2009
19,19,"Thongchai Jaidee",4,88,"NonWGCFedExCupSeasonPointsforNonMembers",2009
20,20,"Thomas Aiken",3,83,"NonWGCFedExCupSeasonPointsforNonMembers",2009
21,21,"Charl Schwartzel",6,83,"NonWGCFedExCupSeasonPointsforNonMembers",2009
22,22,"Thomas Levet",3,75,"NonWGCFedExCupSeasonPointsforNonMembers",2009
23,23,"Robert Karlsson",6,71,"NonWGCFedExCupSeasonPointsforNonMembers",2009
24,24,"Michael Sim",2,70,"NonWGCFedExCupSeasonPointsforNonMembers",2009
25,25,"Tadd Fujikawa",4,70,"NonWGCFedExCupSeasonPointsforNonMembers",2009
26,26,"Gonzalo Fdez Castano",5,69,"NonWGCFedExCupSeasonPointsforNonMembers",2009
27,27,"Chris Baryla",3,69,"NonWGCFedExCupSeasonPointsforNonMembers",2009
27,27,"Richard Sterne",8,69,"NonWGCFedExCupSeasonPointsforNonMembers",2009
29,29,"Azuma Yano",4,65,"NonWGCFedExCupSeasonPointsforNonMembers",2009
30,30,"Todd Fischer",3,61,"NonWGCFedExCupSeasonPointsforNonMembers",2009
31,31,"Alvaro Quiros",9,60,"NonWGCFedExCupSeasonPointsforNonMembers",2009
32,32,"Johan Edfors",3,57,"NonWGCFedExCupSeasonPointsforNonMembers",2009
33,33,"Brendan Jones",2,44,"NonWGCFedExCupSeasonPointsforNonMembers",2009
34,34,"James Kingston",2,41,"NonWGCFedExCupSeasonPointsforNonMembers",2009
34,34,"Kenichi Kuboya",1,41,"NonWGCFedExCupSeasonPointsforNonMembers",2009
36,36,"Darren Clarke",7,39,"NonWGCFedExCupSeasonPointsforNonMembers",2009
37,37,"Nick Dougherty",3,31,"NonWGCFedExCupSeasonPointsforNonMembers",2009
38,38,"Hideto Tanihara",1,30,"NonWGCFedExCupSeasonPointsforNonMembers",2009
39,39,"Jose Manuel Lara",2,29,"NonWGCFedExCupSeasonPointsforNonMembers",2009
40,40,"Martin Piller",1,28,"NonWGCFedExCupSeasonPointsforNonMembers",2009
41,41,"Derek Lamely",2,27,"NonWGCFedExCupSeasonPointsforNonMembers",2009
42,42,"Vance Veazey",1,27,"NonWGCFedExCupSeasonPointsforNonMembers",2009
43,43,"Branden Grace",1,27,"NonWGCFedExCupSeasonPointsforNonMembers",2009
43,43,"Paul McGinley",2,27,"NonWGCFedExCupSeasonPointsforNonMembers",2009
43,43,"Anthony Wall",2,27,"NonWGCFedExCupSeasonPointsforNonMembers",2009
46,46,"Erik Compton",4,24,"NonWGCFedExCupSeasonPointsforNonMembers",2009
47,47,"Graham DeLaet",1,23,"NonWGCFedExCupSeasonPointsforNonMembers",2009
47,47,"Jamie Lovemark",3,23,"NonWGCFedExCupSeasonPointsforNonMembers",2009
49,49,"Paul Lawrie",1,22,"NonWGCFedExCupSeasonPointsforNonMembers",2009
50,50,"Bobby Gates",1,20,"NonWGCFedExCupSeasonPointsforNonMembers",2009
51,51,"Matt Harmon",1,17,"NonWGCFedExCupSeasonPointsforNonMembers",2009
52,52,"Jean Francois Lucquin",1,16,"NonWGCFedExCupSeasonPointsforNonMembers",2009
52,52,"Andrew McLardy",2,16,"NonWGCFedExCupSeasonPointsforNonMembers",2009
54,54,"David Howell",1,16,"NonWGCFedExCupSeasonPointsforNonMembers",2009
54,54,"Graeme Storm",1,16,"NonWGCFedExCupSeasonPointsforNonMembers",2009
54,54,"Steve Wheatcroft",1,16,"NonWGCFedExCupSeasonPointsforNonMembers",2009
57,57,"Alan Wagner",1,15,"NonWGCFedExCupSeasonPointsforNonMembers",2009
58,58,"Jose de Jesus Rodriguez",1,15,"NonWGCFedExCupSeasonPointsforNonMembers",2009
59,59,"Ryo Ishikawa",6,14,"NonWGCFedExCupSeasonPointsforNonMembers",2009
60,60,"Rich Barcelo",1,14,"NonWGCFedExCupSeasonPointsforNonMembers",2009
60,60,"Hiroyuki Fujita",1,14,"NonWGCFedExCupSeasonPointsforNonMembers",2009
62,62,"Jeff Brehaut",1,13,"NonWGCFedExCupSeasonPointsforNonMembers",2009
62,62,"Trevor Murphy",1,13,"NonWGCFedExCupSeasonPointsforNonMembers",2009
64,64,"Craig Barlow",4,12,"NonWGCFedExCupSeasonPointsforNonMembers",2009
64,64,"Fernando Mechereffe",1,12,"NonWGCFedExCupSeasonPointsforNonMembers",2009
66,66,"Felipe Aguilar",1,11,"NonWGCFedExCupSeasonPointsforNonMembers",2009
66,66,"Tano Goya",1,11,"NonWGCFedExCupSeasonPointsforNonMembers",2009
66,66,"Manuel Villegas",1,11,"NonWGCFedExCupSeasonPointsforNonMembers",2009
69,69,"Richard Green",2,10,"NonWGCFedExCupSeasonPointsforNonMembers",2009
69,69,"Mike Grob",1,10,"NonWGCFedExCupSeasonPointsforNonMembers",2009
71,71,"Paul Broadhurst",1,10,"NonWGCFedExCupSeasonPointsforNonMembers",2009
71,71,"David Drysdale",1,10,"NonWGCFedExCupSeasonPointsforNonMembers",2009
73,73,"Andres Gonzales",1,9,"NonWGCFedExCupSeasonPointsforNonMembers",2009
74,74,"Louis Oosthuizen",6,7,"NonWGCFedExCupSeasonPointsforNonMembers",2009
75,75,"Luke List",1,6,"NonWGCFedExCupSeasonPointsforNonMembers",2009
76,76,"Andy Matthews",1,6,"NonWGCFedExCupSeasonPointsforNonMembers",2009
77,77,"Fredrik Andersson Hed",1,5,"NonWGCFedExCupSeasonPointsforNonMembers",2009
78,78,"Lucas Lee",1,3,"NonWGCFedExCupSeasonPointsforNonMembers",2009
79,79,"David Smail",3,2,"NonWGCFedExCupSeasonPointsforNonMembers",2009
