"GIRPctFairwayBunker_RANKTHISWEEK_2008","GIRPctFairwayBunker_RANKLASTWEEK_2008","GIRPctFairwayBunker_PLAYERNAME_2008","GIRPctFairwayBunker_ROUNDS_2008","GIRPctFairwayBunker_Pct_2008","GIRPctFairwayBunker_GREENSHIT_2008","GIRPctFairwayBunker_HOLES_2008","GIRPctFairwayBunker_RELATIVEPAR_2008","stat_name","year"
1,NA,"Sergio Garcia",72,64.7,22,34,-6,"GIRPctFairwayBunker",2008
2,NA,"Tim Herron",97,57.9,44,76,-10,"GIRPctFairwayBunker",2008
3,NA,"Kevin Streelman",114,57.8,37,64,-2,"GIRPctFairwayBunker",2008
3,NA,"Kevin Sutherland",98,57.8,48,83,-12,"GIRPctFairwayBunker",2008
5,NA,"KJ Choi",74,57.5,23,40,-6,"GIRPctFairwayBunker",2008
6,NA,"Hunter Mahan",87,57.1,24,42,-5,"GIRPctFairwayBunker",2008
7,NA,"Robert Allenby",108,56.5,39,69,-9,"GIRPctFairwayBunker",2008
7,NA,"Stuart Appleby",87,56.5,35,62,-5,"GIRPctFairwayBunker",2008
9,NA,"Brandt Jobe",52,56.4,22,39,-2,"GIRPctFairwayBunker",2008
10,NA,"Stewart Cink",87,56.3,27,48,-3,"GIRPctFairwayBunker",2008
11,NA,"Jay Williamson",96,56,28,50,0,"GIRPctFairwayBunker",2008
12,NA,"Steve Stricker",75,55.8,29,52,-10,"GIRPctFairwayBunker",2008
13,NA,"Geoff Ogilvy",65,55.6,25,45,-10,"GIRPctFairwayBunker",2008
14,NA,"Glen Day",64,55.2,16,29,0,"GIRPctFairwayBunker",2008
15,NA,"John Rollins",94,54.5,24,44,-4,"GIRPctFairwayBunker",2008
16,NA,"Brad Adamonis",87,54.4,37,68,-6,"GIRPctFairwayBunker",2008
16,NA,"Billy Mayfair",103,54.4,31,57,-5,"GIRPctFairwayBunker",2008
18,NA,"John Senden",93,54.2,26,48,-2,"GIRPctFairwayBunker",2008
19,NA,"Vijay Singh",82,54.1,20,37,-2,"GIRPctFairwayBunker",2008
20,NA,"Frank Lickliter II",107,54,47,87,-17,"GIRPctFairwayBunker",2008
21,NA,"Marc Turnesa",87,53.6,30,56,-7,"GIRPctFairwayBunker",2008
22,NA,"Jason Day",81,53.2,41,77,-11,"GIRPctFairwayBunker",2008
23,NA,"Harrison Frazar",73,53.1,26,49,-3,"GIRPctFairwayBunker",2008
24,NA,"Mathew Goggin",91,52.9,27,51,1,"GIRPctFairwayBunker",2008
24,NA,"Kevin Stadler",90,52.9,37,70,-5,"GIRPctFairwayBunker",2008
26,NA,"John Merrick",98,52.7,29,55,-5,"GIRPctFairwayBunker",2008
27,NA,"Paul Casey",55,52.6,10,19,-3,"GIRPctFairwayBunker",2008
28,NA,"Carl Pettersson",110,52.2,47,90,-10,"GIRPctFairwayBunker",2008
29,NA,"Cameron Beckman",87,51.9,28,54,-2,"GIRPctFairwayBunker",2008
29,NA,"Ben Crane",86,51.9,27,52,-5,"GIRPctFairwayBunker",2008
31,NA,"Padraig Harrington",52,51.7,15,29,-6,"GIRPctFairwayBunker",2008
31,NA,"Tim Petrovic",97,51.7,31,60,0,"GIRPctFairwayBunker",2008
33,NA,"Dudley Hart",74,51.6,33,64,-3,"GIRPctFairwayBunker",2008
34,NA,"Trevor Immelman",70,51.4,18,35,-6,"GIRPctFairwayBunker",2008
34,NA,"Doug LaBelle II",65,51.4,18,35,-2,"GIRPctFairwayBunker",2008
