"TotalDistanceEfficiency_RANKTHISWEEK_2011","TotalDistanceEfficiency_RANKLASTWEEK_2011","TotalDistanceEfficiency_PLAYERNAME_2011","TotalDistanceEfficiency_ROUNDS_2011","TotalDistanceEfficiency_AVG_2011","TotalDistanceEfficiency_AVERAGEDISTANCEYARDS_2011","TotalDistanceEfficiency_AVERAGECLUBHEADSPEED_2011","TotalDistanceEfficiency_TOTALATTEMPTS_2011","TotalDistanceEfficiency_HIGHESTDISTEFFICIENCY_2011","stat_name","year"
1,1,"Brian Davis",105,2.68,285.117,106.395,87,3.135,"TotalDistanceEfficiency",2011
2,2,"Heath Slocum",89,2.674,283.774,106.129,74,3.034,"TotalDistanceEfficiency",2011
3,3,"Mark Wilson",89,2.67,287.308,107.609,75,3.035,"TotalDistanceEfficiency",2011
4,4,"David Toms",78,2.666,283.289,106.241,58,3.135,"TotalDistanceEfficiency",2011
5,5,"Hunter Mahan",92,2.659,297.203,111.763,74,3.107,"TotalDistanceEfficiency",2011
6,6,"David Hearn",88,2.653,295.086,111.215,66,3.098,"TotalDistanceEfficiency",2011
7,7,"Bo Van Pelt",92,2.651,301.786,113.853,67,2.97,"TotalDistanceEfficiency",2011
8,8,"Chez Reavie",92,2.648,292.342,110.412,73,2.973,"TotalDistanceEfficiency",2011
9,9,"Chris Kirk",87,2.647,296.274,111.918,75,3.009,"TotalDistanceEfficiency",2011
9,9,"Aron Price",58,2.647,280.978,106.156,43,2.999,"TotalDistanceEfficiency",2011
11,11,"Jason Bohn",74,2.643,288.005,108.984,65,3.057,"TotalDistanceEfficiency",2011
12,12,"Joe Ogilvie",75,2.639,293.124,111.082,52,2.903,"TotalDistanceEfficiency",2011
13,13,"John Merrick",71,2.636,291.22,110.483,56,3.163,"TotalDistanceEfficiency",2011
14,14,"Brian Gay",90,2.632,272.154,103.393,71,2.964,"TotalDistanceEfficiency",2011
15,15,"Camilo Villegas",69,2.631,297.502,113.088,52,3.062,"TotalDistanceEfficiency",2011
16,16,"Alex Cejka",59,2.63,282.879,107.55,43,2.929,"TotalDistanceEfficiency",2011
16,16,"Jim Furyk",87,2.63,285.921,108.707,65,3.025,"TotalDistanceEfficiency",2011
18,18,"Brandt Snedeker",85,2.629,290.333,110.451,67,2.921,"TotalDistanceEfficiency",2011
19,19,"Carl Pettersson",95,2.628,291.505,110.915,84,3.141,"TotalDistanceEfficiency",2011
20,20,"Martin Laird",77,2.626,308.901,117.653,60,3.019,"TotalDistanceEfficiency",2011
21,21,"Chris Riley",76,2.625,282.357,107.556,57,3.049,"TotalDistanceEfficiency",2011
22,22,"Rickie Fowler",84,2.624,300.504,114.526,65,3.068,"TotalDistanceEfficiency",2011
22,22,"Billy Horschel",75,2.624,292.279,111.38,57,2.967,"TotalDistanceEfficiency",2011
24,24,"JP Hayes",56,2.622,283.017,107.952,40,3.114,"TotalDistanceEfficiency",2011
25,25,"Robert Allenby",84,2.619,293.657,112.113,65,2.983,"TotalDistanceEfficiency",2011
25,25,"Steve Elkington",50,2.619,284.558,108.638,35,2.814,"TotalDistanceEfficiency",2011
27,27,"Arjun Atwal",91,2.618,285.215,108.938,73,3.005,"TotalDistanceEfficiency",2011
27,27,"Zach Johnson",79,2.618,279.904,106.915,67,2.956,"TotalDistanceEfficiency",2011
27,27,"Steve Stricker",70,2.618,290.429,110.936,56,2.997,"TotalDistanceEfficiency",2011
30,30,"Harrison Frazar",58,2.616,302.66,115.715,39,3.266,"TotalDistanceEfficiency",2011
30,30,"Robert Garrigus",83,2.616,318.892,121.89,52,3.199,"TotalDistanceEfficiency",2011
32,32,"JB Holmes",57,2.615,327.568,125.248,41,2.925,"TotalDistanceEfficiency",2011
33,33,"Vaughn Taylor",89,2.613,283.901,108.655,75,3.177,"TotalDistanceEfficiency",2011
34,34,"DJ Brigman",67,2.611,289.158,110.761,45,3.005,"TotalDistanceEfficiency",2011
35,35,"Garrett Willis",71,2.61,279.342,107.028,46,2.917,"TotalDistanceEfficiency",2011
36,36,"Shane Bertsch",62,2.609,281.493,107.892,44,3.033,"TotalDistanceEfficiency",2011
37,37,"Cameron Beckman",71,2.608,287.235,110.154,58,2.916,"TotalDistanceEfficiency",2011
37,37,"Jason Day",76,2.608,305.246,117.024,47,2.966,"TotalDistanceEfficiency",2011
