"Scrambling1020ydsRTPScore_RANKTHISWEEK_2012","Scrambling1020ydsRTPScore_RANKLASTWEEK_2012","Scrambling1020ydsRTPScore_PLAYERNAME_2012","Scrambling1020ydsRTPScore_ROUNDS_2012","Scrambling1020ydsRTPScore_AVGRTP_2012","Scrambling1020ydsRTPScore_TOTALHOLES_2012","Scrambling1020ydsRTPScore_TOTALRTP_2012","stat_name","year"
1,1,"Geoff Ogilvy",73,0.221,163,36,"Scrambling1020ydsRTPScore",2012
2,2,"Brian Gay",91,0.227,203,46,"Scrambling1020ydsRTPScore",2012
3,3,"Daniel Chopra",55,0.229,118,27,"Scrambling1020ydsRTPScore",2012
4,4,"Sergio Garcia",57,0.238,105,25,"Scrambling1020ydsRTPScore",2012
5,5,"Luke Donald",63,0.246,126,31,"Scrambling1020ydsRTPScore",2012
6,6,"Ian Poulter",57,0.25,124,31,"Scrambling1020ydsRTPScore",2012
7,7,"Charlie Wi",86,0.253,217,55,"Scrambling1020ydsRTPScore",2012
8,8,"Justin Rose",69,0.254,118,30,"Scrambling1020ydsRTPScore",2012
9,9,"Matt Kuchar",86,0.26,204,53,"Scrambling1020ydsRTPScore",2012
10,10,"Jason Day",57,0.267,131,35,"Scrambling1020ydsRTPScore",2012
10,10,"Jim Furyk",85,0.267,161,43,"Scrambling1020ydsRTPScore",2012
12,12,"Henrik Stenson",51,0.273,99,27,"Scrambling1020ydsRTPScore",2012
13,13,"Tiger Woods",69,0.277,112,31,"Scrambling1020ydsRTPScore",2012
14,14,"Bill Haas",79,0.284,148,42,"Scrambling1020ydsRTPScore",2012
15,15,"Brandt Snedeker",81,0.285,165,47,"Scrambling1020ydsRTPScore",2012
16,16,"Phil Mickelson",79,0.286,161,46,"Scrambling1020ydsRTPScore",2012
17,17,"Chris Stroud",86,0.296,213,63,"Scrambling1020ydsRTPScore",2012
18,18,"Bob Estes",78,0.298,198,59,"Scrambling1020ydsRTPScore",2012
18,18,"Martin Laird",77,0.298,151,45,"Scrambling1020ydsRTPScore",2012
18,18,"Derek Lamely",64,0.298,141,42,"Scrambling1020ydsRTPScore",2012
21,21,"Jonas Blixt",72,0.3,213,64,"Scrambling1020ydsRTPScore",2012
21,21,"Greg Chalmers",88,0.3,247,74,"Scrambling1020ydsRTPScore",2012
21,21,"David Hearn",95,0.3,233,70,"Scrambling1020ydsRTPScore",2012
24,24,"Marco Dawson",60,0.304,135,41,"Scrambling1020ydsRTPScore",2012
25,25,"William McGirt",96,0.305,210,64,"Scrambling1020ydsRTPScore",2012
26,26,"Bud Cauley",99,0.308,224,69,"Scrambling1020ydsRTPScore",2012
27,27,"Carl Pettersson",92,0.31,213,66,"Scrambling1020ydsRTPScore",2012
28,28,"Brian Harman",101,0.311,235,73,"Scrambling1020ydsRTPScore",2012
28,28,"Kevin Kisner",69,0.311,167,52,"Scrambling1020ydsRTPScore",2012
28,28,"David Toms",60,0.311,106,33,"Scrambling1020ydsRTPScore",2012
31,31,"Jonathan Byrd",69,0.313,131,41,"Scrambling1020ydsRTPScore",2012
31,31,"JJ Henry",93,0.313,163,51,"Scrambling1020ydsRTPScore",2012
33,33,"Danny Lee",74,0.315,162,51,"Scrambling1020ydsRTPScore",2012
33,33,"Pat Perez",81,0.315,184,58,"Scrambling1020ydsRTPScore",2012
33,33,"Webb Simpson",77,0.315,162,51,"Scrambling1020ydsRTPScore",2012
36,36,"Seung Yul Noh",105,0.317,224,71,"Scrambling1020ydsRTPScore",2012
37,37,"Trevor Immelman",76,0.319,163,52,"Scrambling1020ydsRTPScore",2012
38,38,"Jason Dufner",83,0.32,175,56,"Scrambling1020ydsRTPScore",2012
38,38,"Matt Jones",53,0.32,128,41,"Scrambling1020ydsRTPScore",2012
40,40,"Rocco Mediate",70,0.322,146,47,"Scrambling1020ydsRTPScore",2012
41,41,"Ryan Palmer",81,0.323,198,64,"Scrambling1020ydsRTPScore",2012
42,42,"Tom Pernice Jr",62,0.324,139,45,"Scrambling1020ydsRTPScore",2012
42,42,"Cameron Tringale",88,0.324,179,58,"Scrambling1020ydsRTPScore",2012
44,44,"Brian Davis",91,0.327,226,74,"Scrambling1020ydsRTPScore",2012
44,44,"Rory McIlroy",60,0.327,110,36,"Scrambling1020ydsRTPScore",2012
46,46,"Aaron Baddeley",73,0.328,177,58,"Scrambling1020ydsRTPScore",2012
47,47,"Gavin Coles",72,0.329,155,51,"Scrambling1020ydsRTPScore",2012
48,48,"Kevin Chappell",91,0.33,203,67,"Scrambling1020ydsRTPScore",2012
48,48,"Kyle Reifers",86,0.33,185,61,"Scrambling1020ydsRTPScore",2012
50,50,"Freddie Jacobson",61,0.331,121,40,"Scrambling1020ydsRTPScore",2012
50,50,"Robert Karlsson",54,0.331,118,39,"Scrambling1020ydsRTPScore",2012
50,50,"Richard Lee",71,0.331,133,44,"Scrambling1020ydsRTPScore",2012
53,53,"Ryo Ishikawa",54,0.333,102,34,"Scrambling1020ydsRTPScore",2012
53,53,"JJ Killeen",101,0.333,270,90,"Scrambling1020ydsRTPScore",2012
55,55,"Kevin Na",80,0.335,173,58,"Scrambling1020ydsRTPScore",2012
55,55,"Nick OHern",78,0.335,179,60,"Scrambling1020ydsRTPScore",2012
57,57,"Stephen Ames",54,0.336,113,38,"Scrambling1020ydsRTPScore",2012
58,58,"Harrison Frazar",56,0.338,148,50,"Scrambling1020ydsRTPScore",2012
59,59,"Spencer Levin",81,0.343,210,72,"Scrambling1020ydsRTPScore",2012
59,59,"Jeff Overton",101,0.343,239,82,"Scrambling1020ydsRTPScore",2012
61,61,"JB Holmes",90,0.344,215,74,"Scrambling1020ydsRTPScore",2012
61,61,"Jerry Kelly",84,0.344,215,74,"Scrambling1020ydsRTPScore",2012
61,61,"Bill Lunde",83,0.344,154,53,"Scrambling1020ydsRTPScore",2012
61,61,"Kevin Streelman",89,0.344,186,64,"Scrambling1020ydsRTPScore",2012
65,65,"Roberto Castro",92,0.345,177,61,"Scrambling1020ydsRTPScore",2012
65,65,"John Rollins",81,0.345,200,69,"Scrambling1020ydsRTPScore",2012
65,65,"Vaughn Taylor",81,0.345,148,51,"Scrambling1020ydsRTPScore",2012
68,68,"Stuart Appleby",75,0.346,179,62,"Scrambling1020ydsRTPScore",2012
69,69,"Keegan Bradley",90,0.347,167,58,"Scrambling1020ydsRTPScore",2012
69,69,"Brandt Jobe",57,0.347,121,42,"Scrambling1020ydsRTPScore",2012
71,71,"YE Yang",64,0.348,158,55,"Scrambling1020ydsRTPScore",2012
72,72,"Brendan Steele",77,0.35,163,57,"Scrambling1020ydsRTPScore",2012
73,73,"Patrick Sheehan",58,0.351,131,46,"Scrambling1020ydsRTPScore",2012
74,74,"Billy Mayfair",90,0.352,199,70,"Scrambling1020ydsRTPScore",2012
75,75,"Russell Knox",72,0.353,133,47,"Scrambling1020ydsRTPScore",2012
75,75,"Justin Leonard",79,0.353,184,65,"Scrambling1020ydsRTPScore",2012
75,75,"Dicky Pride",62,0.353,136,48,"Scrambling1020ydsRTPScore",2012
78,78,"Chez Reavie",83,0.356,191,68,"Scrambling1020ydsRTPScore",2012
79,79,"Matt Every",80,0.357,143,51,"Scrambling1020ydsRTPScore",2012
79,79,"Scott Piercy",95,0.357,227,81,"Scrambling1020ydsRTPScore",2012
79,79,"Charl Schwartzel",56,0.357,115,41,"Scrambling1020ydsRTPScore",2012
82,82,"KJ Choi",71,0.358,165,59,"Scrambling1020ydsRTPScore",2012
82,82,"Dustin Johnson",70,0.358,137,49,"Scrambling1020ydsRTPScore",2012
84,84,"Matt Bettencourt",80,0.359,195,70,"Scrambling1020ydsRTPScore",2012
