"NonmemberEarnings_RANKTHISWEEK_2011","NonmemberEarnings_RANKLASTWEEK_2011","NonmemberEarnings_PLAYERNAME_2011","NonmemberEarnings_EVENTS_2011","NonmemberEarnings_MONEY_2011","NonmemberEarnings_TOTAL_2011","stat_name","year"
1,1,"Rory McIlroy",10,1905609,2344609,"NonmemberEarnings",2011
2,2,"Darren Clarke",3,1452078,1491328,"NonmemberEarnings",2011
3,3,"Lee Westwood",10,970446,1306946,"NonmemberEarnings",2011
4,4,"Bud Cauley",8,735150,735150,"NonmemberEarnings",2011
5,5,"Anders Hansen",7,617067,1195567,"NonmemberEarnings",2011
6,6,"Adam Hadwin",5,440752,440752,"NonmemberEarnings",2011
7,7,"Peter Hanson",12,439030,610780,"NonmemberEarnings",2011
8,8,"Thomas Bjorn",5,419489,626739,"NonmemberEarnings",2011
9,9,"Edoardo Molinari",12,397724,619224,"NonmemberEarnings",2011
10,10,"Alvaro Quiros",8,363567,495317,"NonmemberEarnings",2011
11,11,"Martin Kaymer",10,344209,1339959,"NonmemberEarnings",2011
12,12,"KT Kim",9,291309,601809,"NonmemberEarnings",2011
13,13,"Raphael Jacquelin",2,209745,209745,"NonmemberEarnings",2011
14,14,"Simon Dyson",3,185833,250333,"NonmemberEarnings",2011
15,15,"Ross Fisher",8,163385,299885,"NonmemberEarnings",2011
16,16,"Francesco Molinari",11,158387,763887,"NonmemberEarnings",2011
17,17,"Ryo Ishikawa",10,143636,580136,"NonmemberEarnings",2011
18,18,"Hiroyuki Fujita",7,136800,223300,"NonmemberEarnings",2011
19,19,"Johan Edfors",2,136155,136155,"NonmemberEarnings",2011
20,20,"Matteo Manassero",8,133283,331783,"NonmemberEarnings",2011
21,21,"Miguel Angel Jimenez",7,132723,486223,"NonmemberEarnings",2011
22,22,"Sam Saunders",8,132525,132525,"NonmemberEarnings",2011
23,23,"Seung Yul Noh",6,119070,207070,"NonmemberEarnings",2011
24,24,"Robert Rock",2,112757,112757,"NonmemberEarnings",2011
25,25,"George Coetzee",1,109713,109713,"NonmemberEarnings",2011
26,26,"Matt Every",5,105122,105122,"NonmemberEarnings",2011
27,27,"Erik Compton",6,95542,95542,"NonmemberEarnings",2011
28,28,"Richard Green",4,90352,193852,"NonmemberEarnings",2011
29,29,"Yuta Ikeda",9,71647,198647,"NonmemberEarnings",2011
30,30,"Gregory Havret",3,71007,71007,"NonmemberEarnings",2011
31,31,"Morgan Hoffmann",4,69131,69131,"NonmemberEarnings",2011
32,32,"Pablo Larrazabal",3,68634,105634,"NonmemberEarnings",2011
