"LateScoringAverage_RANKTHISWEEK_2007","LateScoringAverage_RANKLASTWEEK_2007","LateScoringAverage_PLAYERNAME_2007","LateScoringAverage_ROUNDS_2007","LateScoringAverage_AVG_2007","LateScoringAverage_TOTALSTROKES_2007","LateScoringAverage_TOTALLATEROUNDS_2007","stat_name","year"
1,1,"Tiger Woods",63,69.14,2904,42,"LateScoringAverage",2007
2,2,"Ernie Els",59,69.94,2308,33,"LateScoringAverage",2007
3,3,"Rory Sabbatini",81,70.02,2941,42,"LateScoringAverage",2007
4,4,"Billy Mayfair",98,70.1,3575,51,"LateScoringAverage",2007
4,4,"Phil Mickelson",73,70.1,2874,41,"LateScoringAverage",2007
6,6,"Steve Stricker",81,70.11,3225,46,"LateScoringAverage",2007
7,7,"Sergio Garcia",68,70.13,2735,39,"LateScoringAverage",2007
8,8,"Kenny Perry",83,70.24,2950,42,"LateScoringAverage",2007
8,8,"Heath Slocum",101,70.24,3793,54,"LateScoringAverage",2007
10,10,"Cameron Beckman",96,70.27,3162,45,"LateScoringAverage",2007
11,11,"Jay Williamson",50,70.3,1617,23,"LateScoringAverage",2007
12,12,"Jeff Overton",60,70.34,2251,32,"LateScoringAverage",2007
13,13,"KJ Choi",87,70.37,3800,54,"LateScoringAverage",2007
13,13,"Kevin Na",84,70.37,2885,41,"LateScoringAverage",2007
15,15,"Jim Furyk",84,70.4,3520,50,"LateScoringAverage",2007
15,15,"Bo Van Pelt",104,70.4,3379,48,"LateScoringAverage",2007
17,17,"Tom Lehman",62,70.42,2183,31,"LateScoringAverage",2007
18,18,"Michael Allen",74,70.44,2395,34,"LateScoringAverage",2007
19,19,"Justin Rose",63,70.47,2396,34,"LateScoringAverage",2007
20,20,"John Senden",97,70.48,3101,44,"LateScoringAverage",2007
21,21,"Tommy Armour III",81,70.5,2820,40,"LateScoringAverage",2007
21,21,"Woody Austin",95,70.5,2961,42,"LateScoringAverage",2007
23,23,"Freddie Jacobson",70,70.52,2962,42,"LateScoringAverage",2007
24,24,"Tag Ridings",52,70.54,1693,24,"LateScoringAverage",2007
25,25,"Jonathan Byrd",73,70.57,2611,37,"LateScoringAverage",2007
26,26,"Charles Howell III",89,70.6,2824,40,"LateScoringAverage",2007
27,27,"Ken Duke",112,70.62,3531,50,"LateScoringAverage",2007
28,28,"Nathan Green",103,70.63,3673,52,"LateScoringAverage",2007
29,29,"Alex Cejka",80,70.64,2543,36,"LateScoringAverage",2007
30,30,"Adam Scott",69,70.65,2826,40,"LateScoringAverage",2007
30,30,"Vijay Singh",102,70.65,4027,57,"LateScoringAverage",2007
32,32,"Aaron Baddeley",83,70.7,3323,47,"LateScoringAverage",2007
32,32,"Jason Gore",86,70.7,3252,46,"LateScoringAverage",2007
32,32,"Sean OHair",98,70.7,3747,53,"LateScoringAverage",2007
35,35,"Jesper Parnevik",88,70.71,2970,42,"LateScoringAverage",2007
36,36,"Camilo Villegas",82,70.73,2900,41,"LateScoringAverage",2007
37,37,"Zach Johnson",76,70.74,2688,38,"LateScoringAverage",2007
38,38,"Joe Ogilvie",102,70.76,3467,49,"LateScoringAverage",2007
39,39,"Stephen Leaney",82,70.77,2760,39,"LateScoringAverage",2007
40,40,"Pat Perez",84,70.79,3327,47,"LateScoringAverage",2007
40,40,"Carl Pettersson",111,70.79,4106,58,"LateScoringAverage",2007
40,40,"David Toms",80,70.79,2690,38,"LateScoringAverage",2007
43,43,"Ryuji Imada",104,70.81,3824,54,"LateScoringAverage",2007
44,44,"Steve Allan",63,70.87,2197,31,"LateScoringAverage",2007
45,45,"Stewart Cink",91,70.92,3404,48,"LateScoringAverage",2007
45,45,"Scott Verplank",82,70.92,3404,48,"LateScoringAverage",2007
47,47,"Steve Marino",106,70.93,4114,58,"LateScoringAverage",2007
47,47,"Ryan Moore",92,70.93,2979,42,"LateScoringAverage",2007
47,47,"Jeff Quinney",95,70.93,3050,43,"LateScoringAverage",2007
47,47,"Michael Sim",52,70.93,1986,28,"LateScoringAverage",2007
51,51,"Will Ma Kenzie",100,70.94,3405,48,"LateScoringAverage",2007
52,52,"Brian Davis",101,70.95,3051,43,"LateScoringAverage",2007
52,52,"Peter Lonard",85,70.95,3051,43,"LateScoringAverage",2007
54,54,"Ian Poulter",63,70.96,1987,28,"LateScoringAverage",2007
55,55,"Daniel Chopra",106,70.98,3691,52,"LateScoringAverage",2007
55,55,"Shigeki Maruyama",84,70.98,3123,44,"LateScoringAverage",2007
