"LateScoringAverage_RANKTHISWEEK_2012","LateScoringAverage_RANKLASTWEEK_2012","LateScoringAverage_PLAYERNAME_2012","LateScoringAverage_ROUNDS_2012","LateScoringAverage_AVG_2012","LateScoringAverage_TOTALSTROKES_2012","LateScoringAverage_TOTALLATEROUNDS_2012","stat_name","year"
1,1,"Rory McIlroy",60,69.43,2430,35,"LateScoringAverage",2012
2,2,"Jason Dufner",83,69.64,3482,50,"LateScoringAverage",2012
3,3,"Brandt Snedeker",81,69.73,3138,45,"LateScoringAverage",2012
4,4,"Jim Furyk",85,70,3360,48,"LateScoringAverage",2012
5,5,"Steve Stricker",73,70.02,3081,44,"LateScoringAverage",2012
6,6,"Bo Van Pelt",84,70.06,3503,50,"LateScoringAverage",2012
7,7,"Brendon de Jonge",115,70.07,4064,58,"LateScoringAverage",2012
8,8,"Justin Rose",69,70.11,2664,38,"LateScoringAverage",2012
9,9,"Bubba Watson",68,70.13,2735,39,"LateScoringAverage",2012
10,10,"John Senden",81,70.14,2946,42,"LateScoringAverage",2012
11,11,"Bud Cauley",99,70.17,3368,48,"LateScoringAverage",2012
12,12,"Tiger Woods",69,70.19,2948,42,"LateScoringAverage",2012
13,13,"Will Claxton",99,70.22,3581,51,"LateScoringAverage",2012
14,14,"Matt Kuchar",86,70.23,3301,47,"LateScoringAverage",2012
15,15,"John Merrick",83,70.24,2950,42,"LateScoringAverage",2012
16,16,"Adam Scott",59,70.29,2179,31,"LateScoringAverage",2012
17,17,"Luke Donald",63,70.3,2320,33,"LateScoringAverage",2012
17,17,"Chris Kirk",93,70.3,3234,46,"LateScoringAverage",2012
19,19,"Ernie Els",80,70.32,2672,38,"LateScoringAverage",2012
19,19,"Seung Yul Noh",105,70.32,3516,50,"LateScoringAverage",2012
21,21,"Jonas Blixt",72,70.33,2532,36,"LateScoringAverage",2012
21,21,"Webb Simpson",77,70.33,3235,46,"LateScoringAverage",2012
23,23,"Louis Oosthuizen",65,70.38,2252,32,"LateScoringAverage",2012
24,24,"Davis Love III",64,70.41,2253,32,"LateScoringAverage",2012
25,25,"Tom Gillis",75,70.43,2465,35,"LateScoringAverage",2012
26,26,"Zach Johnson",95,70.45,3452,49,"LateScoringAverage",2012
26,26,"John Rollins",81,70.45,2959,42,"LateScoringAverage",2012
28,28,"Heath Slocum",93,70.47,2678,38,"LateScoringAverage",2012
29,29,"Phil Mickelson",79,70.49,3031,43,"LateScoringAverage",2012
30,30,"Keegan Bradley",90,70.5,3243,46,"LateScoringAverage",2012
31,31,"Rocco Mediate",70,70.53,2257,32,"LateScoringAverage",2012
32,32,"Ryan Moore",89,70.54,3668,52,"LateScoringAverage",2012
33,33,"John Huh",99,70.55,3598,51,"LateScoringAverage",2012
34,34,"Dustin Johnson",70,70.59,2612,37,"LateScoringAverage",2012
35,35,"Chad Campbell",84,70.62,3178,45,"LateScoringAverage",2012
35,35,"Bobby Gates",87,70.62,2966,42,"LateScoringAverage",2012
37,37,"Scott Piercy",95,70.67,3463,49,"LateScoringAverage",2012
38,38,"Danny Lee",74,70.69,2474,35,"LateScoringAverage",2012
39,39,"Robert Garrigus",89,70.7,3323,47,"LateScoringAverage",2012
40,40,"Kevin Stadler",85,70.71,2970,42,"LateScoringAverage",2012
41,41,"Kevin Kisner",69,70.72,2263,32,"LateScoringAverage",2012
42,42,"Cameron Beckman",81,70.73,2334,33,"LateScoringAverage",2012
43,43,"Padraig Harrington",67,70.74,2688,38,"LateScoringAverage",2012
43,43,"Daniel Summerhays",81,70.74,2759,39,"LateScoringAverage",2012
45,45,"Graeme McDowell",55,70.75,2264,32,"LateScoringAverage",2012
45,45,"Charl Schwartzel",56,70.75,1981,28,"LateScoringAverage",2012
47,47,"Tim Clark",60,70.76,2406,34,"LateScoringAverage",2012
47,47,"JJ Henry",93,70.76,2618,37,"LateScoringAverage",2012
47,47,"Troy Matteson",100,70.76,3255,46,"LateScoringAverage",2012
50,50,"David Hearn",95,70.8,2832,40,"LateScoringAverage",2012
50,50,"Billy Horschel",63,70.8,2124,30,"LateScoringAverage",2012
52,52,"Ben Crane",73,70.81,2549,36,"LateScoringAverage",2012
52,52,"Justin Leonard",79,70.81,2266,32,"LateScoringAverage",2012
52,52,"Roland Thatcher",55,70.81,1841,26,"LateScoringAverage",2012
55,55,"Matt Jones",53,70.82,1983,28,"LateScoringAverage",2012
56,56,"Ben Curtis",62,70.83,2550,36,"LateScoringAverage",2012
56,56,"Ken Duke",104,70.83,3825,54,"LateScoringAverage",2012
56,56,"Lee Westwood",60,70.83,2125,30,"LateScoringAverage",2012
59,59,"Steve Wheatcroft",56,70.85,1913,27,"LateScoringAverage",2012
60,60,"Rickie Fowler",84,70.86,2551,36,"LateScoringAverage",2012
60,60,"Bill Haas",79,70.86,2976,42,"LateScoringAverage",2012
60,60,"Bryce Molder",83,70.86,2622,37,"LateScoringAverage",2012
60,60,"Vijay Singh",99,70.86,3543,50,"LateScoringAverage",2012
64,64,"Sean OHair",84,70.87,2693,38,"LateScoringAverage",2012
65,65,"Stuart Appleby",75,70.89,2481,35,"LateScoringAverage",2012
66,66,"Nathan Green",73,70.91,2411,34,"LateScoringAverage",2012
