"FinalRoundScoringAverage_RANKTHISWEEK_2016","FinalRoundScoringAverage_RANKLASTWEEK_2016","FinalRoundScoringAverage_PLAYERNAME_2016","FinalRoundScoringAverage__2016","FinalRoundScoringAverage_AVG_2016","FinalRoundScoringAverage_TOTALSTROKES_2016","FinalRoundScoringAverage_TOTALROUNDS_2016","stat_name","year"
1,1,"Brendon Todd",NA,68,136,2,"FinalRoundScoringAverage",2016
2,2,"Branden Grace",NA,68.17,409,6,"FinalRoundScoringAverage",2016
3,3,"Brian Stuard",NA,68.25,273,4,"FinalRoundScoringAverage",2016
4,6,"William McGirt",NA,68.55,754,11,"FinalRoundScoringAverage",2016
5,7,"Brandt Snedeker",NA,68.67,618,9,"FinalRoundScoringAverage",2016
5,7,"Bubba Watson",NA,68.67,412,6,"FinalRoundScoringAverage",2016
7,9,"Matthew Fitzpatrick",NA,69,276,4,"FinalRoundScoringAverage",2016
7,9,"Lucas Lee",NA,69,138,2,"FinalRoundScoringAverage",2016
9,4,"Rickie Fowler",NA,69.11,622,9,"FinalRoundScoringAverage",2016
10,12,"Marc Leishman",NA,69.25,554,8,"FinalRoundScoringAverage",2016
11,12,"Fabian Gomez",NA,69.33,624,9,"FinalRoundScoringAverage",2016
11,11,"Adam Scott",NA,69.33,624,9,"FinalRoundScoringAverage",2016
13,15,"Luke List",NA,69.38,555,8,"FinalRoundScoringAverage",2016
14,16,"Jason Day",NA,69.43,486,7,"FinalRoundScoringAverage",2016
14,35,"Rory McIlroy",NA,69.43,486,7,"FinalRoundScoringAverage",2016
14,35,"Phil Mickelson",NA,69.43,486,7,"FinalRoundScoringAverage",2016
17,17,"Graeme McDowell",NA,69.6,348,5,"FinalRoundScoringAverage",2016
18,5,"Paul Casey",NA,69.63,557,8,"FinalRoundScoringAverage",2016
18,21,"Hideki Matsuyama",NA,69.63,557,8,"FinalRoundScoringAverage",2016
20,18,"Peter Malnati",NA,69.67,418,6,"FinalRoundScoringAverage",2016
20,18,"Andres Romero",NA,69.67,209,3,"FinalRoundScoringAverage",2016
22,21,"Russell Henley",NA,69.71,488,7,"FinalRoundScoringAverage",2016
23,23,"Brendon de Jonge",NA,69.75,558,8,"FinalRoundScoringAverage",2016
23,23,"Luke Guthrie",NA,69.75,279,4,"FinalRoundScoringAverage",2016
23,14,"Vaughn Taylor",NA,69.75,279,4,"FinalRoundScoringAverage",2016
26,26,"Rory Sabbatini",NA,69.8,349,5,"FinalRoundScoringAverage",2016
27,27,"Kevin Na",NA,69.82,768,11,"FinalRoundScoringAverage",2016
28,29,"Stuart Appleby",NA,69.86,489,7,"FinalRoundScoringAverage",2016
