"ConsecutiveSandSaves_RANKTHISWEEK_2016","ConsecutiveSandSaves_RANKLASTWEEK_2016","ConsecutiveSandSaves_PLAYERNAME_2016","ConsecutiveSandSaves_EVENTS_2016","ConsecutiveSandSaves_STREAK_2016","ConsecutiveSandSaves_CURRENTSTREAK_2016","ConsecutiveSandSaves_ROUND_2016","ConsecutiveSandSaves_HOLE_2016","ConsecutiveSandSaves_YEARTOURN_2016","stat_name","year"
1,1,"KJ Choi",14,12,1,1,16,2016140,"ConsecutiveSandSaves",2016
1,1,"Justin Rose",10,12,NA,3,7,2016180,"ConsecutiveSandSaves",2016
3,3,"Russell Henley",14,11,NA,1,14,2016140,"ConsecutiveSandSaves",2016
3,3,"Mark Wilson",13,11,3,3,4,2016060,"ConsecutiveSandSaves",2016
5,5,"Paul Casey",11,10,NA,3,12,2016180,"ConsecutiveSandSaves",2016
5,5,"Mark Hubbard",20,10,1,1,17,2016170,"ConsecutiveSandSaves",2016
5,5,"Kevin Na",14,10,1,2,12,2016120,"ConsecutiveSandSaves",2016
8,8,"Robert Allenby",16,9,NA,1,18,2016210,"ConsecutiveSandSaves",2016
8,8,"Daniel Berger",15,9,1,1,10,2016170,"ConsecutiveSandSaves",2016
8,8,"Jon Curran",18,9,NA,4,14,2016030,"ConsecutiveSandSaves",2016
8,8,"Gonzalo Fdez Castano",2,9,NA,1,18,2016040,"ConsecutiveSandSaves",2016
8,8,"Colt Knost",15,9,1,1,15,2016020,"ConsecutiveSandSaves",2016
8,8,"Robert Streb",16,9,3,3,2,2016050,"ConsecutiveSandSaves",2016
8,8,"Hudson Swafford",17,9,NA,3,11,2016130,"ConsecutiveSandSaves",2016
15,15,"Shane Bertsch",9,8,NA,1,15,2016110,"ConsecutiveSandSaves",2016
15,15,"Roberto Castro",16,8,1,1,11,2016120,"ConsecutiveSandSaves",2016
15,15,"Rodolfo Cazaubon",3,8,NA,2,15,2016210,"ConsecutiveSandSaves",2016
15,15,"Jason Day",9,8,NA,3,11,2016180,"ConsecutiveSandSaves",2016
15,15,"Jason Gore",15,8,NA,1,18,2016250,"ConsecutiveSandSaves",2016
15,15,"Chesson Hadley",16,8,NA,3,14,2016150,"ConsecutiveSandSaves",2016
15,15,"Adam Hadwin",16,8,NA,4,15,2016110,"ConsecutiveSandSaves",2016
15,15,"Hiroshi Iwata",18,8,1,1,2,2016120,"ConsecutiveSandSaves",2016
15,15,"Jason Kokrak",17,8,NA,4,16,2016200,"ConsecutiveSandSaves",2016
15,15,"Seung Yul Noh",17,8,3,2,18,2016230,"ConsecutiveSandSaves",2016
15,15,"Sean OHair",14,8,NA,2,15,2016230,"ConsecutiveSandSaves",2016
15,15,"Jordan Spieth",9,8,NA,3,7,2016230,"ConsecutiveSandSaves",2016
15,15,"Daniel Summerhays",15,8,3,4,10,2016010,"ConsecutiveSandSaves",2016
15,15,"Nick Taylor",17,8,NA,2,12,2016250,"ConsecutiveSandSaves",2016
15,15,"David Toms",11,8,NA,4,5,2016010,"ConsecutiveSandSaves",2016
30,30,"Aaron Baddeley",15,7,1,4,4,2016210,"ConsecutiveSandSaves",2016
30,30,"Zac Blair",18,7,NA,2,2,2016140,"ConsecutiveSandSaves",2016
30,30,"Kevin Chappell",14,7,3,4,17,2016200,"ConsecutiveSandSaves",2016
30,30,"Chad Collins",16,7,NA,1,5,2016110,"ConsecutiveSandSaves",2016
30,30,"Brian Davis",8,7,NA,3,13,2016150,"ConsecutiveSandSaves",2016
30,30,"Ken Duke",9,7,1,3,3,2016170,"ConsecutiveSandSaves",2016
