"25FinalRoundPerformance_RANKTHISWEEK_2006","25FinalRoundPerformance_RANKLASTWEEK_2006","25FinalRoundPerformance_PLAYERNAME_2006","25FinalRoundPerformance_EVENTS_2006","25FinalRoundPerformance_PctTIMESIMPROVED_2006","25FinalRoundPerformance_OFTIMESIMPROVED_2006","stat_name","year"
1,1,"Jim Furyk",24,100,3,"25FinalRoundPerformance",2006
1,1,"Padraig Harrington",15,100,3,"25FinalRoundPerformance",2006
1,1,"Freddie Jacobson",18,100,4,"25FinalRoundPerformance",2006
1,1,"Ted Purdy",33,100,8,"25FinalRoundPerformance",2006
1,1,"David Toms",22,100,4,"25FinalRoundPerformance",2006
1,1,"Tiger Woods",15,100,1,"25FinalRoundPerformance",2006
7,7,"Vaughn Taylor",26,87.5,7,"25FinalRoundPerformance",2006
8,8,"Stuart Appleby",23,85.7,6,"25FinalRoundPerformance",2006
8,8,"Stewart Cink",26,85.7,6,"25FinalRoundPerformance",2006
8,8,"Fred Funk",29,85.7,12,"25FinalRoundPerformance",2006
8,8,"Tom Pernice Jr",33,85.7,6,"25FinalRoundPerformance",2006
8,8,"Tjaart van der Walt",21,85.7,6,"25FinalRoundPerformance",2006
13,13,"Robert Allenby",22,83.3,5,"25FinalRoundPerformance",2006
13,13,"John Cook",22,83.3,5,"25FinalRoundPerformance",2006
13,13,"Fred Couples",17,83.3,5,"25FinalRoundPerformance",2006
13,13,"Brett Quigley",33,83.3,5,"25FinalRoundPerformance",2006
17,17,"Billy Mayfair",29,81.8,9,"25FinalRoundPerformance",2006
17,17,"Jesper Parnevik",24,81.8,9,"25FinalRoundPerformance",2006
19,19,"Briny Baird",25,80,8,"25FinalRoundPerformance",2006
19,19,"Luke Donald",18,80,4,"25FinalRoundPerformance",2006
19,19,"Sergio Garcia",17,80,4,"25FinalRoundPerformance",2006
19,19,"Brent Geiberger",30,80,12,"25FinalRoundPerformance",2006
19,19,"JJ Henry",28,80,8,"25FinalRoundPerformance",2006
19,19,"Frank Lickliter II",29,80,8,"25FinalRoundPerformance",2006
19,19,"Len Mattiace",22,80,4,"25FinalRoundPerformance",2006
19,19,"Arron Oberholser",23,80,4,"25FinalRoundPerformance",2006
19,19,"Joe Ogilvie",29,80,8,"25FinalRoundPerformance",2006
19,19,"Vijay Singh",27,80,8,"25FinalRoundPerformance",2006
29,29,"Rich Beem",27,77.8,7,"25FinalRoundPerformance",2006
29,29,"Jason Gore",29,77.8,7,"25FinalRoundPerformance",2006
29,29,"Bernhard Langer",24,77.8,7,"25FinalRoundPerformance",2006
29,29,"Davis Love III",23,77.8,7,"25FinalRoundPerformance",2006
29,29,"Shaun Micheel",29,77.8,7,"25FinalRoundPerformance",2006
29,29,"Kenny Perry",22,77.8,7,"25FinalRoundPerformance",2006
29,29,"Jimmy Walker",21,77.8,7,"25FinalRoundPerformance",2006
36,36,"Brian Gay",31,76.9,10,"25FinalRoundPerformance",2006
36,36,"Charley Hoffman",29,76.9,10,"25FinalRoundPerformance",2006
36,36,"Steve Lowery",31,76.9,10,"25FinalRoundPerformance",2006
36,36,"Charles Warren",27,76.9,10,"25FinalRoundPerformance",2006
40,40,"Eric Axley",29,75,9,"25FinalRoundPerformance",2006
40,40,"Jason Bohn",29,75,9,"25FinalRoundPerformance",2006
40,40,"Jeff Brehaut",33,75,9,"25FinalRoundPerformance",2006
40,40,"Ryuji Imada",31,75,9,"25FinalRoundPerformance",2006
40,40,"Richard Johnson",29,75,6,"25FinalRoundPerformance",2006
40,40,"Skip Kendall",22,75,9,"25FinalRoundPerformance",2006
40,40,"Phil Mickelson",19,75,3,"25FinalRoundPerformance",2006
40,40,"Tim Petrovic",30,75,9,"25FinalRoundPerformance",2006
40,40,"Carl Pettersson",28,75,6,"25FinalRoundPerformance",2006
40,40,"Vance Veazey",20,75,6,"25FinalRoundPerformance",2006
50,50,"Steve Flesch",33,73.3,11,"25FinalRoundPerformance",2006
51,51,"Joey Sindelar",29,72.7,8,"25FinalRoundPerformance",2006
51,51,"Ron Whittaker",28,72.7,8,"25FinalRoundPerformance",2006
53,53,"Greg Chalmers",28,71.4,5,"25FinalRoundPerformance",2006
53,53,"Lucas Glover",31,71.4,5,"25FinalRoundPerformance",2006
53,53,"Todd Hamilton",27,71.4,5,"25FinalRoundPerformance",2006
53,53,"Lee Janzen",28,71.4,5,"25FinalRoundPerformance",2006
53,53,"Kent Jones",32,71.4,10,"25FinalRoundPerformance",2006
58,58,"Aaron Baddeley",25,70,7,"25FinalRoundPerformance",2006
58,58,"Brad Faxon",26,70,7,"25FinalRoundPerformance",2006
58,58,"Robert Gamez",30,70,7,"25FinalRoundPerformance",2006
58,58,"Jeff Gove",29,70,7,"25FinalRoundPerformance",2006
