"FirstTeeLateScoringAverage_RANKTHISWEEK_2005","FirstTeeLateScoringAverage_RANKLASTWEEK_2005","FirstTeeLateScoringAverage_PLAYERNAME_2005","FirstTeeLateScoringAverage_ROUNDS_2005","FirstTeeLateScoringAverage_AVG_2005","FirstTeeLateScoringAverage_TOTALSTROKES_2005","FirstTeeLateScoringAverage_TOTAL1STTEELATEROUNDS_2005","stat_name","year"
1,1,"Tiger Woods",76,68.71,3298,48,"FirstTeeLateScoringAverage",2005
2,2,"Ben Crane",78,68.96,1931,28,"FirstTeeLateScoringAverage",2005
3,3,"Vijay Singh",111,69.61,4455,64,"FirstTeeLateScoringAverage",2005
4,4,"Bart Bryant",91,69.64,2298,33,"FirstTeeLateScoringAverage",2005
5,5,"Omar Uresti",84,69.74,1325,19,"FirstTeeLateScoringAverage",2005
6,6,"David Toms",87,69.84,2584,37,"FirstTeeLateScoringAverage",2005
7,7,"Aaron Baddeley",84,69.91,1608,23,"FirstTeeLateScoringAverage",2005
8,8,"David Hearn",68,70,1190,17,"FirstTeeLateScoringAverage",2005
9,9,"Jim Furyk",94,70.05,3082,44,"FirstTeeLateScoringAverage",2005
10,10,"Arjun Atwal",65,70.13,1613,23,"FirstTeeLateScoringAverage",2005
11,11,"Kenny Perry",82,70.14,3016,43,"FirstTeeLateScoringAverage",2005
11,11,"Mark Wilson",74,70.14,1473,21,"FirstTeeLateScoringAverage",2005
13,13,"Bob Tway",87,70.25,1967,28,"FirstTeeLateScoringAverage",2005
13,13,"Charles Warren",89,70.25,1405,20,"FirstTeeLateScoringAverage",2005
15,15,"Sergio Garcia",73,70.3,2601,37,"FirstTeeLateScoringAverage",2005
15,15,"Paul Gow",78,70.3,1406,20,"FirstTeeLateScoringAverage",2005
15,15,"Jeff Maggert",79,70.3,1406,20,"FirstTeeLateScoringAverage",2005
15,15,"Sean OHair",103,70.3,2601,37,"FirstTeeLateScoringAverage",2005
19,19,"Mark Brooks",72,70.31,914,13,"FirstTeeLateScoringAverage",2005
20,20,"Lucas Glover",88,70.32,1969,28,"FirstTeeLateScoringAverage",2005
20,20,"JJ Henry",102,70.32,2180,31,"FirstTeeLateScoringAverage",2005
22,22,"Retief Goosen",71,70.35,1829,26,"FirstTeeLateScoringAverage",2005
23,23,"Jose Maria Olazabal",55,70.38,1478,21,"FirstTeeLateScoringAverage",2005
