"FairwayBunkerTendency_RANKTHISWEEK_2007","FairwayBunkerTendency_RANKLASTWEEK_2007","FairwayBunkerTendency_PLAYERNAME_2007","FairwayBunkerTendency_ROUNDS_2007","FairwayBunkerTendency_Pct_2007","FairwayBunkerTendency_TOTALFAIRWAYBUNKERS_2007","FairwayBunkerTendency_POSSIBLEFWYS_2007","FairwayBunkerTendency_RELATIVETOPAR_2007","stat_name","year"
1,1,"Jim Furyk",84,2.7,26,955,0.231,"FairwayBunkerTendency",2007
2,2,"Mark Brooks",53,2.9,19,656,0.474,"FairwayBunkerTendency",2007
3,3,"Chris Riley",59,3,23,769,0.304,"FairwayBunkerTendency",2007
3,3,"Heath Slocum",101,3,41,1351,0,"FairwayBunkerTendency",2007
5,5,"Steve Elkington",87,3.1,34,1098,0.265,"FairwayBunkerTendency",2007
5,5,"Brian Gay",107,3.1,45,1439,0.289,"FairwayBunkerTendency",2007
5,5,"Paul Goydos",60,3.1,23,734,0.261,"FairwayBunkerTendency",2007
5,5,"Doug LaBelle II",104,3.1,43,1396,0.512,"FairwayBunkerTendency",2007
9,9,"Rich Beem",89,3.2,35,1077,0.343,"FairwayBunkerTendency",2007
9,9,"Zach Johnson",76,3.2,27,850,0.259,"FairwayBunkerTendency",2007
11,11,"Anders Hansen",55,3.3,18,545,0.222,"FairwayBunkerTendency",2007
11,11,"Scott Verplank",82,3.3,30,909,0.433,"FairwayBunkerTendency",2007
13,13,"Fred Funk",65,3.4,25,741,0.12,"FairwayBunkerTendency",2007
13,13,"Phil Mickelson",73,3.4,28,824,0.036,"FairwayBunkerTendency",2007
15,15,"Jeff Brehaut",59,3.5,26,739,0.231,"FairwayBunkerTendency",2007
15,15,"Joe Durant",88,3.5,38,1083,0.395,"FairwayBunkerTendency",2007
15,15,"Corey Pavin",81,3.5,38,1076,0.158,"FairwayBunkerTendency",2007
18,18,"Brian Davis",101,3.6,49,1356,0.102,"FairwayBunkerTendency",2007
19,19,"Craig Bowden",78,3.7,39,1062,0.256,"FairwayBunkerTendency",2007
19,19,"Jose Coceres",50,3.7,23,616,0.174,"FairwayBunkerTendency",2007
19,19,"Justin Leonard",95,3.7,46,1246,0.435,"FairwayBunkerTendency",2007
22,22,"Aaron Baddeley",83,3.8,36,955,0.333,"FairwayBunkerTendency",2007
22,22,"Jason Bohn",57,3.8,30,793,0.1,"FairwayBunkerTendency",2007
22,22,"Luke Donald",69,3.8,28,745,0.107,"FairwayBunkerTendency",2007
22,22,"Billy Mayfair",98,3.8,47,1253,0.255,"FairwayBunkerTendency",2007
26,26,"John Mallinger",96,3.9,52,1336,0.231,"FairwayBunkerTendency",2007
27,27,"Ryan Armour",107,4,57,1438,0.316,"FairwayBunkerTendency",2007
27,27,"Ben Curtis",80,4,38,959,0.316,"FairwayBunkerTendency",2007
27,27,"Jerry Kelly",101,4,47,1162,0.213,"FairwayBunkerTendency",2007
27,27,"Daisuke Maruyama",86,4,46,1145,0.283,"FairwayBunkerTendency",2007
27,27,"Bubba Watson",80,4,41,1030,0.244,"FairwayBunkerTendency",2007
27,27,"Jay Williamson",50,4,28,700,0.321,"FairwayBunkerTendency",2007
33,33,"Robert Allenby",90,4.1,46,1135,0.283,"FairwayBunkerTendency",2007
33,33,"Billy Andrade",88,4.1,50,1224,0.3,"FairwayBunkerTendency",2007
33,33,"Michael Boyd",61,4.1,33,799,0.242,"FairwayBunkerTendency",2007
33,33,"Ernie Els",59,4.1,25,616,0.16,"FairwayBunkerTendency",2007
33,33,"Richard Johnson",93,4.1,52,1266,0.558,"FairwayBunkerTendency",2007
33,33,"Hunter Mahan",91,4.1,45,1102,0.333,"FairwayBunkerTendency",2007
39,39,"Ken Duke",112,4.2,61,1454,0.262,"FairwayBunkerTendency",2007
39,39,"Mathew Goggin",97,4.2,55,1295,0.218,"FairwayBunkerTendency",2007
39,39,"JB Holmes",71,4.2,41,966,0.488,"FairwayBunkerTendency",2007
39,39,"Tripp Isenhour",86,4.2,47,1117,0.234,"FairwayBunkerTendency",2007
39,39,"Geoff Ogilvy",84,4.2,38,900,0.421,"FairwayBunkerTendency",2007
39,39,"Jeff Overton",60,4.2,34,809,0.118,"FairwayBunkerTendency",2007
45,45,"Craig Barlow",52,4.3,31,725,0.29,"FairwayBunkerTendency",2007
45,45,"Alex Cejka",80,4.3,47,1087,0.064,"FairwayBunkerTendency",2007
45,45,"Gavin Coles",87,4.3,50,1157,0.14,"FairwayBunkerTendency",2007
45,45,"Glen Day",85,4.3,49,1129,0.224,"FairwayBunkerTendency",2007
45,45,"Robert Gamez",88,4.3,50,1172,0.22,"FairwayBunkerTendency",2007
45,45,"Paul Gow",70,4.3,40,922,0.325,"FairwayBunkerTendency",2007
45,45,"Rocco Mediate",72,4.3,43,991,0.116,"FairwayBunkerTendency",2007
45,45,"Camilo Villegas",82,4.3,43,999,0.093,"FairwayBunkerTendency",2007
45,45,"Boo Weekley",101,4.3,51,1186,0.196,"FairwayBunkerTendency",2007
45,45,"Mark Wilson",87,4.3,48,1124,0.146,"FairwayBunkerTendency",2007
55,55,"Matt Kuchar",85,4.4,49,1106,0.204,"FairwayBunkerTendency",2007
55,55,"Vaughn Taylor",91,4.4,47,1073,0.234,"FairwayBunkerTendency",2007
55,55,"Tiger Woods",63,4.4,27,616,0.222,"FairwayBunkerTendency",2007
58,58,"Bart Bryant",87,4.5,50,1119,0.22,"FairwayBunkerTendency",2007
58,58,"Justin Rose",63,4.5,27,601,0.185,"FairwayBunkerTendency",2007
58,58,"Jaco Van Zyl",51,4.5,31,685,0.323,"FairwayBunkerTendency",2007
61,61,"Stephen Ames",81,4.6,41,886,0.122,"FairwayBunkerTendency",2007
61,61,"Trevor Immelman",74,4.6,35,756,0.057,"FairwayBunkerTendency",2007
61,61,"Anthony Kim",93,4.6,54,1181,0.13,"FairwayBunkerTendency",2007
61,61,"Will Ma Kenzie",100,4.6,62,1340,0.306,"FairwayBunkerTendency",2007
61,61,"Jeff Maggert",79,4.6,51,1106,0.275,"FairwayBunkerTendency",2007
61,61,"Ryan Palmer",91,4.6,57,1241,0.298,"FairwayBunkerTendency",2007
61,61,"Jesper Parnevik",88,4.6,54,1170,0.278,"FairwayBunkerTendency",2007
61,61,"Johnson Wagner",97,4.6,61,1326,0.262,"FairwayBunkerTendency",2007
61,61,"Brett Wetterich",88,4.6,48,1051,0.313,"FairwayBunkerTendency",2007
70,70,"Tom Byrum",50,4.7,30,641,0.2,"FairwayBunkerTendency",2007
70,70,"Sergio Garcia",68,4.7,37,780,0.081,"FairwayBunkerTendency",2007
70,70,"Stephen Leaney",82,4.7,52,1113,0.212,"FairwayBunkerTendency",2007
70,70,"Kenny Perry",83,4.7,52,1097,0.154,"FairwayBunkerTendency",2007
70,70,"DJ Trahan",99,4.7,64,1352,0.313,"FairwayBunkerTendency",2007
70,70,"Mike Weir",82,4.7,44,936,-0.068,"FairwayBunkerTendency",2007
70,70,"Charlie Wi",90,4.7,58,1227,0.397,"FairwayBunkerTendency",2007
77,77,"Ryan Moore",92,4.8,56,1170,0.107,"FairwayBunkerTendency",2007
77,77,"Nick OHern",72,4.8,38,784,0.316,"FairwayBunkerTendency",2007
77,77,"Jeff Quinney",95,4.8,62,1301,0.258,"FairwayBunkerTendency",2007
77,77,"Henrik Stenson",52,4.8,24,504,0.375,"FairwayBunkerTendency",2007
77,77,"Nick Watney",87,4.8,53,1100,0.208,"FairwayBunkerTendency",2007
82,82,"Chad Campbell",96,4.9,54,1093,0.352,"FairwayBunkerTendency",2007
82,82,"KJ Choi",87,4.9,49,993,0.082,"FairwayBunkerTendency",2007
82,82,"Stewart Cink",91,4.9,51,1036,0.039,"FairwayBunkerTendency",2007
82,82,"Bob Estes",88,4.9,58,1174,0.138,"FairwayBunkerTendency",2007
82,82,"JP Hayes",89,4.9,61,1239,0.295,"FairwayBunkerTendency",2007
82,82,"Ian Poulter",63,4.9,30,615,0.3,"FairwayBunkerTendency",2007
82,82,"Ted Purdy",102,4.9,66,1342,0.258,"FairwayBunkerTendency",2007
82,82,"Chris Stroud",66,4.9,43,869,0.302,"FairwayBunkerTendency",2007
90,90,"Andrew Buckle",77,5,51,1023,0.294,"FairwayBunkerTendency",2007
90,90,"Kent Jones",97,5,68,1354,0.191,"FairwayBunkerTendency",2007
90,90,"Steve Marino",106,5,70,1400,0.157,"FairwayBunkerTendency",2007
90,90,"Sean OHair",98,5,62,1233,0.081,"FairwayBunkerTendency",2007
90,90,"Tom Pernice Jr",104,5,64,1286,0.219,"FairwayBunkerTendency",2007
90,90,"Adam Scott",69,5,38,760,0.237,"FairwayBunkerTendency",2007
90,90,"Kirk Triplett",77,5,52,1046,0.462,"FairwayBunkerTendency",2007
90,90,"Dean Wilson",92,5,57,1146,0.263,"FairwayBunkerTendency",2007
98,98,"Stuart Appleby",74,5.1,42,828,0.19,"FairwayBunkerTendency",2007
98,98,"Cameron Beckman",96,5.1,65,1285,0.108,"FairwayBunkerTendency",2007
98,98,"David Branshaw",83,5.1,59,1156,0.458,"FairwayBunkerTendency",2007
98,98,"Marco Dawson",73,5.1,51,991,0.255,"FairwayBunkerTendency",2007
98,98,"Jason Dufner",100,5.1,69,1340,0.159,"FairwayBunkerTendency",2007
98,98,"Steve Flesch",100,5.1,69,1341,0.232,"FairwayBunkerTendency",2007
98,98,"JJ Henry",86,5.1,51,993,0.216,"FairwayBunkerTendency",2007
98,98,"Tim Herron",98,5.1,61,1199,0.164,"FairwayBunkerTendency",2007
98,98,"Frank Lickliter II",95,5.1,65,1271,0.108,"FairwayBunkerTendency",2007
98,98,"John Senden",97,5.1,63,1245,0.317,"FairwayBunkerTendency",2007
98,98,"Steve Wheatcroft",73,5.1,49,964,0.265,"FairwayBunkerTendency",2007
109,109,"Tommy Armour III",81,5.2,56,1076,0.214,"FairwayBunkerTendency",2007
109,109,"Woody Austin",95,5.2,64,1241,0.078,"FairwayBunkerTendency",2007
109,109,"DJ Brigman",67,5.2,43,825,0.256,"FairwayBunkerTendency",2007
109,109,"Bubba Dickerson",51,5.2,34,655,0.382,"FairwayBunkerTendency",2007
109,109,"Jeff Gove",103,5.2,74,1436,0.27,"FairwayBunkerTendency",2007
109,109,"Freddie Jacobson",70,5.2,51,984,0.176,"FairwayBunkerTendency",2007
109,109,"Cliff Kresge",107,5.2,77,1493,0.169,"FairwayBunkerTendency",2007
109,109,"Tom Lehman",62,5.2,39,751,0.308,"FairwayBunkerTendency",2007
109,109,"John Merrick",92,5.2,64,1231,0.391,"FairwayBunkerTendency",2007
109,109,"Paul Stankowski",52,5.2,35,668,0.371,"FairwayBunkerTendency",2007
119,119,"Tim Clark",66,5.3,40,752,0.125,"FairwayBunkerTendency",2007
119,119,"Scott Gutschewski",67,5.3,47,881,0.191,"FairwayBunkerTendency",2007
119,119,"Craig Kanada",109,5.3,76,1438,0.145,"FairwayBunkerTendency",2007
119,119,"Troy Matteson",87,5.3,60,1131,0.267,"FairwayBunkerTendency",2007
119,119,"Kevin Na",84,5.3,62,1175,0.226,"FairwayBunkerTendency",2007
119,119,"Steve Stricker",81,5.3,49,922,0.204,"FairwayBunkerTendency",2007
125,125,"Eric Axley",107,5.4,78,1440,0.333,"FairwayBunkerTendency",2007
125,125,"John Daly",59,5.4,40,743,0.475,"FairwayBunkerTendency",2007
125,125,"Bill Haas",93,5.4,67,1241,0.164,"FairwayBunkerTendency",2007
125,125,"Bob Heintz",85,5.4,61,1126,0.262,"FairwayBunkerTendency",2007
125,125,"Matt Hendrix",63,5.4,46,851,0.435,"FairwayBunkerTendency",2007
125,125,"Mark Hensby",81,5.4,59,1100,0.254,"FairwayBunkerTendency",2007
125,125,"Shaun Micheel",91,5.4,57,1061,0.281,"FairwayBunkerTendency",2007
132,132,"Pat Perez",84,5.5,54,975,0.37,"FairwayBunkerTendency",2007
132,132,"Kyle Reifers",71,5.5,53,967,0.17,"FairwayBunkerTendency",2007
132,132,"Joey Sindelar",75,5.5,56,1015,0.143,"FairwayBunkerTendency",2007
132,132,"Darron Stiles",65,5.5,45,825,0.2,"FairwayBunkerTendency",2007
136,136,"Briny Baird",115,5.6,86,1549,0.105,"FairwayBunkerTendency",2007
136,136,"Steve Lowery",74,5.6,58,1039,0.259,"FairwayBunkerTendency",2007
136,136,"Arron Oberholser",69,5.6,42,753,0.524,"FairwayBunkerTendency",2007
136,136,"Rod Pampling",92,5.6,60,1068,0.233,"FairwayBunkerTendency",2007
136,136,"Brandt Snedeker",105,5.6,73,1296,0.123,"FairwayBunkerTendency",2007
141,141,"Peter Lonard",85,5.7,64,1128,0.313,"FairwayBunkerTendency",2007
141,141,"Shigeki Maruyama",84,5.7,66,1160,0.212,"FairwayBunkerTendency",2007
141,141,"Jim Rutledge",59,5.7,44,770,0.227,"FairwayBunkerTendency",2007
