"PuttingInside10_RANKTHISWEEK_2009","PuttingInside10_RANKLASTWEEK_2009","PuttingInside10_PLAYERNAME_2009","PuttingInside10_ROUNDS_2009","PuttingInside10_PctMADE_2009","PuttingInside10_ATTEMPTS_2009","PuttingInside10_PUTTSMADE_2009","stat_name","year"
1,1,"Tiger Woods",64,90.44,858,776,"PuttingInside10",2009
2,2,"Brad Adamonis",70,89.55,1110,994,"PuttingInside10",2009
2,2,"Freddie Jacobson",83,89.55,1311,1174,"PuttingInside10",2009
4,4,"Padraig Harrington",66,89.49,866,775,"PuttingInside10",2009
5,5,"Luke Donald",79,89.32,1077,962,"PuttingInside10",2009
6,6,"Brian Gay",96,89.3,1476,1318,"PuttingInside10",2009
7,7,"Bryce Molder",69,89.25,967,863,"PuttingInside10",2009
8,8,"Ben Curtis",63,89.23,845,754,"PuttingInside10",2009
9,9,"Joe Ogilvie",85,89.2,1389,1239,"PuttingInside10",2009
10,10,"Spencer Levin",75,89.17,1210,1079,"PuttingInside10",2009
11,11,"Retief Goosen",74,89.13,1021,910,"PuttingInside10",2009
12,12,"Harrison Frazar",93,89.11,1525,1359,"PuttingInside10",2009
12,12,"Matt Jones",56,89.11,817,728,"PuttingInside10",2009
14,14,"Jason Day",61,89.04,894,796,"PuttingInside10",2009
15,15,"Aaron Baddeley",66,89.02,1056,940,"PuttingInside10",2009
16,16,"Jim Furyk",86,89,1164,1036,"PuttingInside10",2009
17,17,"Ryan Palmer",78,88.86,1284,1141,"PuttingInside10",2009
18,18,"Brandt Snedeker",81,88.78,1168,1037,"PuttingInside10",2009
19,19,"Angel Cabrera",55,88.71,691,613,"PuttingInside10",2009
20,20,"Hunter Mahan",94,88.62,1353,1199,"PuttingInside10",2009
21,21,"Stewart Cink",79,88.54,1073,950,"PuttingInside10",2009
22,22,"Stephen Ames",77,88.53,1020,903,"PuttingInside10",2009
23,23,"Jerry Kelly",90,88.44,1401,1239,"PuttingInside10",2009
24,24,"Colt Knost",71,88.43,1037,917,"PuttingInside10",2009
25,25,"Richard Johnson",85,88.4,1371,1212,"PuttingInside10",2009
26,26,"Kevin Sutherland",96,88.37,1350,1193,"PuttingInside10",2009
27,27,"Nathan Green",104,88.28,1698,1499,"PuttingInside10",2009
27,27,"Matt Kuchar",82,88.28,1271,1122,"PuttingInside10",2009
29,29,"George McNeill",82,88.23,1376,1214,"PuttingInside10",2009
30,30,"Zach Johnson",94,88.21,1433,1264,"PuttingInside10",2009
31,31,"Ian Poulter",59,88.15,768,677,"PuttingInside10",2009
32,32,"Chris Riley",77,88.11,1211,1067,"PuttingInside10",2009
33,33,"Tim Clark",81,88.04,1070,942,"PuttingInside10",2009
34,34,"Eric Axley",71,88.03,1086,956,"PuttingInside10",2009
35,35,"Scott McCarron",91,88.01,1493,1314,"PuttingInside10",2009
36,36,"Carl Pettersson",86,87.89,1346,1183,"PuttingInside10",2009
37,37,"Steve Marino",98,87.88,1551,1363,"PuttingInside10",2009
37,37,"Mike Weir",85,87.88,1229,1080,"PuttingInside10",2009
39,39,"Brad Faxon",59,87.84,946,831,"PuttingInside10",2009
39,39,"Jeff Klauk",97,87.84,1612,1416,"PuttingInside10",2009
39,39,"Charlie Wi",92,87.84,1447,1271,"PuttingInside10",2009
42,42,"Cliff Kresge",78,87.83,1257,1104,"PuttingInside10",2009
42,42,"Vaughn Taylor",88,87.83,1446,1270,"PuttingInside10",2009
44,44,"Corey Pavin",73,87.82,977,858,"PuttingInside10",2009
45,45,"Scott Sterling",51,87.8,738,648,"PuttingInside10",2009
