"LowestRound_RANKTHISWEEK_2009","LowestRound_RANKLASTWEEK_2009","LowestRound_PLAYERNAME_2009","LowestRound_ROUNDS_2009","LowestRound_VALUE_2009","LowestRound_TOURNCOURSE_2009","LowestRound_ROUND_2009","stat_name","year"
1,1,"Zach Johnson",94,60,NA,3,"LowestRound",2009
2,2,"Troy Matteson",95,61,NA,3,"LowestRound",2009
2,2,"Jesper Parnevik",38,61,NA,4,"LowestRound",2009
2,2,"Pat Perez",74,61,NA,1,"LowestRound",2009
2,2,"Kenny Perry",92,61,NA,1,"LowestRound",2009
2,2,"Steve Stricker",81,61,NA,2,"LowestRound",2009
2,2,"Mike Weir",85,61,NA,4,"LowestRound",2009
2,2,"Charlie Wi",92,61,NA,3,"LowestRound",2009
9,9,"Brad Adamonis",70,62,NA,2,"LowestRound",2009
9,9,"Kris Blanks",60,62,NA,2,"LowestRound",2009
9,9,"Jason Bohn",88,62,NA,4,"LowestRound",2009
9,9,"Chad Campbell",90,62,NA,2,"LowestRound",2009
9,9,"James Driscoll",49,62,NA,4,"LowestRound",2009
9,9,"Tadd Fujikawa",14,62,NA,3,"LowestRound",2009
9,9,"Jim Furyk",86,62,NA,4,"LowestRound",2009
9,9,"Mathew Goggin",76,62,NA,3,"LowestRound",2009
9,9,"Bill Haas",91,62,NA,1,"LowestRound",2009
9,9,"JP Hayes",43,62,NA,2,"LowestRound",2009
9,9,"Dustin Johnson",85,62,NA,3,"LowestRound",2009
9,9,"Anthony Kim",76,62,NA,1,"LowestRound",2009
9,9,"Martin Laird",72,62,NA,3,"LowestRound",2009
9,9,"Marc Leishman",91,62,NA,2,"LowestRound",2009
9,9,"Spencer Levin",75,62,NA,1,"LowestRound",2009
9,9,"Bill Lunde",83,62,NA,3,"LowestRound",2009
9,9,"Hunter Mahan",94,62,NA,4,"LowestRound",2009
9,9,"John Mallinger",90,62,NA,2,"LowestRound",2009
9,9,"Steve Marino",98,62,NA,3,"LowestRound",2009
9,9,"Scott McCarron",91,62,NA,4,"LowestRound",2009
