"PuttsPerRound_RANKTHISWEEK_2013","PuttsPerRound_RANKLASTWEEK_2013","PuttsPerRound_PLAYERNAME_2013","PuttsPerRound_ROUNDS_2013","PuttsPerRound_AVG_2013","PuttsPerRound_TOTALPUTTS_2013","PuttsPerRound_TOTALROUNDS_2013","PuttsPerRound_LOWTOTALPUTTS_2013","stat_name","year"
1,1,"Brian Gay",79,27.51,2173,79,21,"PuttsPerRound",2013
2,2,"Aaron Baddeley",68,27.8,1835,66,23,"PuttsPerRound",2013
3,3,"Greg Chalmers",77,28.01,2045,73,23,"PuttsPerRound",2013
4,4,"Mike Weir",60,28.07,1628,58,22,"PuttsPerRound",2013
5,5,"Luke Donald",60,28.21,1636,58,24,"PuttsPerRound",2013
6,6,"Chris Kirk",89,28.26,2515,89,22,"PuttsPerRound",2013
7,7,"Charlie Wi",75,28.34,2012,71,23,"PuttsPerRound",2013
8,8,"Brian Davis",91,28.38,2583,91,23,"PuttsPerRound",2013
8,8,"Justin Leonard",86,28.38,2441,86,21,"PuttsPerRound",2013
8,8,"Brandt Snedeker",79,28.38,2242,79,22,"PuttsPerRound",2013
11,11,"Jonas Blixt",76,28.39,2158,76,22,"PuttsPerRound",2013
12,12,"Bryce Molder",82,28.4,2272,80,23,"PuttsPerRound",2013
12,12,"Chris Stroud",88,28.4,2499,88,23,"PuttsPerRound",2013
14,14,"Bob Estes",66,28.41,1875,66,23,"PuttsPerRound",2013
15,15,"Steven Bowditch",67,28.48,1851,65,23,"PuttsPerRound",2013
15,15,"David Hearn",88,28.48,2506,88,23,"PuttsPerRound",2013
17,17,"Freddie Jacobson",63,28.5,1710,60,23,"PuttsPerRound",2013
18,18,"James Driscoll",76,28.51,2053,72,23,"PuttsPerRound",2013
19,19,"Stephen Ames",49,28.53,1398,49,22,"PuttsPerRound",2013
20,20,"Brian Harman",89,28.54,2426,85,23,"PuttsPerRound",2013
21,21,"Phil Mickelson",78,28.56,2228,78,23,"PuttsPerRound",2013
22,22,"Andres Romero",63,28.58,1686,59,23,"PuttsPerRound",2013
23,23,"Patrick Reed",83,28.6,2374,83,22,"PuttsPerRound",2013
24,24,"Vaughn Taylor",50,28.61,1316,46,23,"PuttsPerRound",2013
25,25,"Jason Day",86,28.63,2290,80,24,"PuttsPerRound",2013
26,26,"Matt Kuchar",93,28.64,2492,87,22,"PuttsPerRound",2013
27,27,"Rickie Fowler",75,28.65,2120,74,21,"PuttsPerRound",2013
28,28,"Charles Howell III",87,28.66,2436,85,24,"PuttsPerRound",2013
29,29,"Peter Hanson",45,28.67,1233,43,23,"PuttsPerRound",2013
29,29,"Morgan Hoffmann",64,28.67,1835,64,23,"PuttsPerRound",2013
31,31,"Jordan Spieth",82,28.68,2352,82,21,"PuttsPerRound",2013
31,31,"Steve Stricker",51,28.68,1348,47,23,"PuttsPerRound",2013
33,33,"David Lynn",70,28.7,1980,69,24,"PuttsPerRound",2013
34,34,"Stuart Appleby",88,28.71,2412,84,22,"PuttsPerRound",2013
35,35,"Daniel Summerhays",83,28.72,2384,83,23,"PuttsPerRound",2013
36,36,"Aaron Watkins",46,28.75,1265,44,23,"PuttsPerRound",2013
37,37,"Jeff Overton",78,28.77,2244,78,25,"PuttsPerRound",2013
38,38,"Colt Knost",69,28.78,1871,65,23,"PuttsPerRound",2013
39,39,"Jason Bohn",70,28.79,2015,70,24,"PuttsPerRound",2013
40,40,"Sangmoon Bae",83,28.8,2390,83,23,"PuttsPerRound",2013
40,40,"James Hahn",78,28.8,2131,74,22,"PuttsPerRound",2013
42,42,"Tim Herron",45,28.82,1297,45,23,"PuttsPerRound",2013
42,42,"Lee Williams",62,28.82,1729,60,24,"PuttsPerRound",2013
44,44,"Ian Poulter",59,28.83,1528,53,23,"PuttsPerRound",2013
45,45,"Jerry Kelly",75,28.84,2163,75,23,"PuttsPerRound",2013
45,45,"Ryan Palmer",79,28.84,2278,79,22,"PuttsPerRound",2013
47,47,"Rory McIlroy",56,28.85,1587,55,22,"PuttsPerRound",2013
47,47,"Tiger Woods",61,28.85,1731,60,22,"PuttsPerRound",2013
49,49,"Jimmy Walker",84,28.87,2425,84,24,"PuttsPerRound",2013
50,50,"David Lingmerth",68,28.88,1964,68,21,"PuttsPerRound",2013
50,50,"William McGirt",75,28.88,2166,75,24,"PuttsPerRound",2013
52,52,"Tim Clark",64,28.89,1762,61,23,"PuttsPerRound",2013
52,52,"Matt Jones",83,28.89,2398,83,20,"PuttsPerRound",2013
54,54,"Doug LaBelle II",72,28.9,2023,70,23,"PuttsPerRound",2013
55,55,"Ken Duke",87,28.92,2516,87,23,"PuttsPerRound",2013
55,55,"Martin Flores",83,28.92,2400,83,23,"PuttsPerRound",2013
55,55,"Sergio Garcia",65,28.92,1822,63,25,"PuttsPerRound",2013
58,58,"Webb Simpson",92,28.93,2546,88,22,"PuttsPerRound",2013
59,59,"Keegan Bradley",88,28.94,2518,87,24,"PuttsPerRound",2013
59,59,"Russell Henley",80,28.94,2257,78,24,"PuttsPerRound",2013
61,61,"Harris English",95,28.95,2750,95,22,"PuttsPerRound",2013
62,62,"Jason Kokrak",78,28.96,2259,78,23,"PuttsPerRound",2013
63,63,"Fabian Gomez",65,28.97,1883,65,23,"PuttsPerRound",2013
64,64,"Ben Crane",62,28.98,1681,58,22,"PuttsPerRound",2013
64,64,"Ernie Els",63,28.98,1797,62,24,"PuttsPerRound",2013
66,66,"Scott Stallings",79,29,2291,79,23,"PuttsPerRound",2013
66,66,"Shawn Stefani",63,29,1827,63,21,"PuttsPerRound",2013
66,66,"Casey Wittenberg",72,29,2030,70,24,"PuttsPerRound",2013
69,69,"Erik Compton",74,29.01,2147,74,22,"PuttsPerRound",2013
69,69,"Matt Every",89,29.01,2582,89,23,"PuttsPerRound",2013
69,69,"Charl Schwartzel",69,29.01,1973,68,25,"PuttsPerRound",2013
72,72,"Tom Gillis",69,29.02,1886,65,23,"PuttsPerRound",2013
72,72,"David Toms",49,29.02,1277,44,23,"PuttsPerRound",2013
74,74,"Scott Brown",65,29.03,1887,65,21,"PuttsPerRound",2013
74,74,"Chez Reavie",72,29.03,2090,72,23,"PuttsPerRound",2013
76,76,"Graeme McDowell",53,29.04,1423,49,22,"PuttsPerRound",2013
76,76,"Darron Stiles",51,29.04,1423,49,23,"PuttsPerRound",2013
78,78,"Charley Hoffman",84,29.05,2440,84,21,"PuttsPerRound",2013
78,78,"Richard Lee",81,29.05,2237,77,23,"PuttsPerRound",2013
80,80,"Tommy Gainey",84,29.07,2442,84,23,"PuttsPerRound",2013
80,80,"Luke Guthrie",82,29.07,2384,82,23,"PuttsPerRound",2013
80,80,"Dicky Pride",71,29.07,1948,67,24,"PuttsPerRound",2013
83,83,"Scott Langley",79,29.08,2181,75,23,"PuttsPerRound",2013
83,83,"Carl Pettersson",82,29.08,2326,80,25,"PuttsPerRound",2013
83,83,"DA Points",87,29.08,2530,87,23,"PuttsPerRound",2013
86,86,"Justin Bolli",59,29.09,1600,55,21,"PuttsPerRound",2013
86,86,"Cameron Tringale",80,29.09,2327,80,22,"PuttsPerRound",2013
88,88,"Brendon de Jonge",110,29.1,3201,110,24,"PuttsPerRound",2013
88,88,"Ted Potter Jr",65,29.1,1775,61,24,"PuttsPerRound",2013
90,90,"Troy Matteson",68,29.11,1921,66,24,"PuttsPerRound",2013
90,90,"YE Yang",56,29.11,1630,56,23,"PuttsPerRound",2013
92,92,"KJ Choi",85,29.12,2446,84,23,"PuttsPerRound",2013
92,92,"Scott Piercy",78,29.12,2184,75,22,"PuttsPerRound",2013
94,94,"Camilo Villegas",79,29.13,2185,75,24,"PuttsPerRound",2013
95,95,"Billy Horschel",96,29.14,2797,96,21,"PuttsPerRound",2013
95,95,"Cameron Percy",68,29.14,1923,66,23,"PuttsPerRound",2013
97,97,"Ryan Moore",72,29.18,2072,71,23,"PuttsPerRound",2013
97,97,"Michael Thompson",66,29.18,1926,66,23,"PuttsPerRound",2013
99,99,"DH Lee",65,29.23,1900,65,24,"PuttsPerRound",2013
100,100,"Roberto Castro",97,29.24,2836,97,23,"PuttsPerRound",2013
100,100,"Padraig Harrington",52,29.24,1433,49,23,"PuttsPerRound",2013
100,100,"Jin Park",52,29.24,1462,50,25,"PuttsPerRound",2013
103,103,"Marc Leishman",77,29.25,2252,77,23,"PuttsPerRound",2013
103,103,"Jeff Maggert",63,29.25,1843,63,22,"PuttsPerRound",2013
105,105,"Bill Haas",85,29.27,2459,84,24,"PuttsPerRound",2013
105,105,"John Merrick",79,29.27,2312,79,25,"PuttsPerRound",2013
105,105,"Robert Streb",75,29.27,2078,71,23,"PuttsPerRound",2013
108,108,"Rory Sabbatini",86,29.28,2401,82,24,"PuttsPerRound",2013
109,109,"Justin Rose",62,29.3,1758,60,22,"PuttsPerRound",2013
110,110,"Jim Furyk",80,29.31,2286,78,23,"PuttsPerRound",2013
110,110,"Tag Ridings",69,29.31,1905,65,23,"PuttsPerRound",2013
110,110,"Brian Stuard",78,29.31,2169,74,23,"PuttsPerRound",2013
113,113,"Ben Kohles",75,29.32,2082,71,22,"PuttsPerRound",2013
114,114,"Kevin Streelman",86,29.33,2522,86,22,"PuttsPerRound",2013
115,115,"Brad Fritsch",81,29.34,2259,77,23,"PuttsPerRound",2013
115,115,"Gary Woodland",94,29.34,2641,90,24,"PuttsPerRound",2013
117,117,"Zach Johnson",84,29.35,2436,83,25,"PuttsPerRound",2013
117,117,"Pat Perez",69,29.35,2025,69,23,"PuttsPerRound",2013
119,119,"John Rollins",77,29.36,2143,73,25,"PuttsPerRound",2013
120,120,"Alistair Presnell",59,29.37,1674,57,24,"PuttsPerRound",2013
121,121,"Luke List",65,29.39,1793,61,23,"PuttsPerRound",2013
122,122,"Jason Dufner",78,29.4,2264,77,23,"PuttsPerRound",2013
122,122,"Dustin Johnson",71,29.4,2058,70,24,"PuttsPerRound",2013
122,122,"George McNeill",68,29.4,1999,68,22,"PuttsPerRound",2013
125,125,"Hunter Mahan",91,29.41,2500,85,24,"PuttsPerRound",2013
126,126,"Lee Westwood",70,29.42,2030,69,25,"PuttsPerRound",2013
127,127,"Bud Cauley",67,29.44,1855,63,23,"PuttsPerRound",2013
127,127,"Kevin Chappell",80,29.44,2355,80,24,"PuttsPerRound",2013
129,129,"Josh Teater",86,29.46,2416,82,23,"PuttsPerRound",2013
130,130,"Rod Pampling",46,29.48,1238,42,23,"PuttsPerRound",2013
131,131,"Brendan Steele",86,29.49,2418,82,25,"PuttsPerRound",2013
