"FairwayProximity_RANKTHISWEEK_2012","FairwayProximity_RANKLASTWEEK_2012","FairwayProximity_PLAYERNAME_2012","FairwayProximity_ROUNDS_2012","FairwayProximity_AVG_2012","FairwayProximity_ATTEMPTS_2012","FairwayProximity_TOTALDISTANCEFEET_2012","FairwayProximity_RELATIVETOPAR_2012","stat_name","year"
1,1,"Robert Garrigus",89,NA,917,25804.5,-96,"FairwayProximity",2012
1,1,"Rory McIlroy",60,NA,490,13797.667,-91,"FairwayProximity",2012
3,3,"Steve Stricker",73,NA,734,20837.75,-104,"FairwayProximity",2012
4,4,"Roland Thatcher",55,NA,585,16701.333,-20,"FairwayProximity",2012
4,4,"Tiger Woods",69,NA,655,18723.5,-99,"FairwayProximity",2012
6,6,"Vaughn Taylor",81,NA,834,23901.167,-67,"FairwayProximity",2012
7,7,"Jim Furyk",85,NA,937,27666.25,-104,"FairwayProximity",2012
8,8,"Dustin Johnson",70,NA,652,19339.333,-81,"FairwayProximity",2012
9,9,"Charlie Beljan",61,NA,539,16027.167,-28,"FairwayProximity",2012
9,9,"Russell Knox",72,NA,785,23358,-59,"FairwayProximity",2012
9,9,"Boo Weekley",74,NA,797,23717.917,-27,"FairwayProximity",2012
12,12,"Kyle Stanley",86,NA,882,26306.25,-45,"FairwayProximity",2012
13,13,"Charl Schwartzel",56,NA,535,15985.5,-61,"FairwayProximity",2012
13,13,"Kyle Thompson",51,NA,492,14724.333,0,"FairwayProximity",2012
15,15,"Tim Clark",60,NA,714,21434.333,-51,"FairwayProximity",2012
15,15,"Marco Dawson",60,NA,578,17343.417,-26,"FairwayProximity",2012
15,15,"Graham DeLaet",79,NA,933,28028.5,-43,"FairwayProximity",2012
15,15,"Matt Kuchar",86,NA,889,26665.833,-112,"FairwayProximity",2012
15,15,"Lee Westwood",60,NA,520,15613.833,-53,"FairwayProximity",2012
20,20,"Jason Dufner",83,NA,879,26478.833,-140,"FairwayProximity",2012
20,20,"Jeff Maggert",83,NA,1068,32155.083,-60,"FairwayProximity",2012
20,20,"Graeme McDowell",55,NA,537,16172.167,-59,"FairwayProximity",2012
23,23,"Brendon de Jonge",115,NA,1368,41258.25,-159,"FairwayProximity",2012
23,23,"Matt Every",80,NA,844,25435,-58,"FairwayProximity",2012
23,23,"Chez Reavie",83,NA,935,28225.917,-51,"FairwayProximity",2012
23,23,"Heath Slocum",93,NA,1073,32391.333,-71,"FairwayProximity",2012
27,27,"Chad Campbell",84,NA,950,28768.167,-66,"FairwayProximity",2012
27,27,"Gary Christian",91,NA,1040,31502.833,-108,"FairwayProximity",2012
27,27,"Davis Love III",64,NA,675,20419.75,-46,"FairwayProximity",2012
27,27,"Bill Lunde",83,NA,860,26044.833,-76,"FairwayProximity",2012
27,27,"Ryan Palmer",81,NA,890,26937.667,-105,"FairwayProximity",2012
27,27,"Bo Van Pelt",84,NA,871,26383.583,-107,"FairwayProximity",2012
33,33,"Billy Horschel",63,NA,651,19744.75,-61,"FairwayProximity",2012
33,33,"Ryan Moore",89,NA,1107,33597.167,-116,"FairwayProximity",2012
35,35,"Jason Bohn",81,NA,912,27744.333,-55,"FairwayProximity",2012
35,35,"Chris Kirk",93,NA,1089,33094.25,-96,"FairwayProximity",2012
35,35,"Kevin Stadler",85,NA,944,28689.333,-68,"FairwayProximity",2012
38,38,"Bob Estes",78,NA,877,26784.75,-54,"FairwayProximity",2012
38,38,"Robert Karlsson",54,NA,502,15309,-33,"FairwayProximity",2012
38,38,"Kevin Streelman",89,NA,1023,31229.917,-87,"FairwayProximity",2012
41,41,"Cameron Beckman",81,NA,920,28131.667,-16,"FairwayProximity",2012
41,41,"Adam Scott",59,NA,528,16157.917,-62,"FairwayProximity",2012
43,43,"Ben Curtis",62,NA,671,20602.917,-71,"FairwayProximity",2012
43,43,"Scott Dunlap",57,NA,618,18940.917,-24,"FairwayProximity",2012
43,43,"Camilo Villegas",79,NA,980,30054.667,-69,"FairwayProximity",2012
43,43,"Nick Watney",97,NA,991,30419.417,-97,"FairwayProximity",2012
47,47,"Tommy Gainey",98,NA,1108,34052.667,-50,"FairwayProximity",2012
48,48,"Keegan Bradley",90,NA,929,28659.417,-122,"FairwayProximity",2012
48,48,"Bud Cauley",99,NA,1201,37000.25,-104,"FairwayProximity",2012
48,48,"Justin Leonard",79,NA,908,28014.833,-10,"FairwayProximity",2012
48,48,"Scott Stallings",78,NA,858,26486.75,-36,"FairwayProximity",2012
52,52,"Ricky Barnes",92,NA,1045,32299.333,-66,"FairwayProximity",2012
52,52,"Will Claxton",99,NA,1160,35902.5,-97,"FairwayProximity",2012
52,52,"Rickie Fowler",84,NA,905,27993.5,-76,"FairwayProximity",2012
52,52,"Jason Kokrak",79,NA,834,25758.417,-38,"FairwayProximity",2012
52,52,"Bryce Molder",83,NA,947,29278.667,-69,"FairwayProximity",2012
52,52,"Geoff Ogilvy",73,NA,711,21957.167,-80,"FairwayProximity",2012
52,52,"Carl Pettersson",92,NA,1040,32194.25,-117,"FairwayProximity",2012
52,52,"Scott Piercy",95,NA,1058,32710.917,-118,"FairwayProximity",2012
60,60,"Robert Allenby",76,NA,857,26588.417,-31,"FairwayProximity",2012
60,60,"Luke Donald",63,NA,647,20080.333,-79,"FairwayProximity",2012
60,60,"Brian Gay",91,NA,1046,32420.667,-97,"FairwayProximity",2012
60,60,"Freddie Jacobson",61,NA,549,17016.75,-39,"FairwayProximity",2012
60,60,"Zach Johnson",95,NA,1029,31931.583,-140,"FairwayProximity",2012
60,60,"Rory Sabbatini",84,NA,917,28427.333,-74,"FairwayProximity",2012
66,66,"William McGirt",96,NA,1023,31795,-64,"FairwayProximity",2012
