"CurrentParorBetterStreak_RANKTHISWEEK_2011","CurrentParorBetterStreak_RANKLASTWEEK_2011","CurrentParorBetterStreak_PLAYERNAME_2011","CurrentParorBetterStreak_EVENTS_2011","CurrentParorBetterStreak_NUMBEROFROUNDS_2011","stat_name","year"
1,1,"Jason Bohn",191,17,"CurrentParorBetterStreak",2011
2,2,"Bryce Molder",132,15,"CurrentParorBetterStreak",2011
3,3,"Michael Bradley",335,14,"CurrentParorBetterStreak",2011
4,4,"Bud Cauley",9,12,"CurrentParorBetterStreak",2011
5,5,"Luke Donald",208,11,"CurrentParorBetterStreak",2011
5,5,"Heath Slocum",297,11,"CurrentParorBetterStreak",2011
7,7,"Kevin Streelman",119,10,"CurrentParorBetterStreak",2011
8,8,"Carl Pettersson",259,9,"CurrentParorBetterStreak",2011
9,9,"Jonathan Byrd",263,8,"CurrentParorBetterStreak",2011
9,9,"Kevin Kisner",24,8,"CurrentParorBetterStreak",2011
9,9,"Justin Leonard",458,8,"CurrentParorBetterStreak",2011
9,9,"Nick OHern",145,8,"CurrentParorBetterStreak",2011
9,9,"Louis Oosthuizen",31,8,"CurrentParorBetterStreak",2011
9,9,"Jeff Overton",158,8,"CurrentParorBetterStreak",2011
9,9,"Kenny Perry",598,8,"CurrentParorBetterStreak",2011
9,9,"Webb Simpson",94,8,"CurrentParorBetterStreak",2011
9,9,"Brendan Steele",27,8,"CurrentParorBetterStreak",2011
18,18,"Anders Hansen",45,7,"CurrentParorBetterStreak",2011
18,18,"Tom Pernice Jr",555,7,"CurrentParorBetterStreak",2011
20,20,"Paul Casey",106,6,"CurrentParorBetterStreak",2011
20,20,"Greg Chalmers",278,6,"CurrentParorBetterStreak",2011
20,20,"Dan Forsman",636,6,"CurrentParorBetterStreak",2011
20,20,"Trevor Immelman",159,6,"CurrentParorBetterStreak",2011
20,20,"Lee Janzen",576,6,"CurrentParorBetterStreak",2011
20,20,"Spencer Levin",99,6,"CurrentParorBetterStreak",2011
20,20,"Billy Mayfair",688,6,"CurrentParorBetterStreak",2011
20,20,"Alexandre Rocha",26,6,"CurrentParorBetterStreak",2011
20,20,"Scott Stallings",28,6,"CurrentParorBetterStreak",2011
20,20,"DJ Trahan",211,6,"CurrentParorBetterStreak",2011
30,30,"Robert Allenby",357,5,"CurrentParorBetterStreak",2011
30,30,"Craig Barlow",278,5,"CurrentParorBetterStreak",2011
30,30,"Craig Bowden",149,5,"CurrentParorBetterStreak",2011
30,30,"KJ Choi",294,5,"CurrentParorBetterStreak",2011
30,30,"Ernie Els",295,5,"CurrentParorBetterStreak",2011
30,30,"Harrison Frazar",356,5,"CurrentParorBetterStreak",2011
30,30,"Lucas Glover",218,5,"CurrentParorBetterStreak",2011
30,30,"Andres Gonzales",24,5,"CurrentParorBetterStreak",2011
30,30,"Cameron Percy",38,5,"CurrentParorBetterStreak",2011
30,30,"Jonathan Randolph",2,5,"CurrentParorBetterStreak",2011
30,30,"Marc Turnesa",86,5,"CurrentParorBetterStreak",2011
30,30,"Jhonattan Vegas",28,5,"CurrentParorBetterStreak",2011
42,42,"Guy Boros",242,4,"CurrentParorBetterStreak",2011
42,42,"Steven Bowditch",56,4,"CurrentParorBetterStreak",2011
42,42,"Tom Byrum",592,4,"CurrentParorBetterStreak",2011
42,42,"Angel Cabrera",149,4,"CurrentParorBetterStreak",2011
42,42,"Kevin Chappell",33,4,"CurrentParorBetterStreak",2011
42,42,"John Cook",681,4,"CurrentParorBetterStreak",2011
42,42,"Ben Crane",231,4,"CurrentParorBetterStreak",2011
42,42,"Robert Damron",318,4,"CurrentParorBetterStreak",2011
42,42,"Marco Dawson",381,4,"CurrentParorBetterStreak",2011
42,42,"Bob Estes",573,4,"CurrentParorBetterStreak",2011
42,42,"Jim Furyk",442,4,"CurrentParorBetterStreak",2011
42,42,"Nathan Green",172,4,"CurrentParorBetterStreak",2011
42,42,"Scott Gutschewski",109,4,"CurrentParorBetterStreak",2011
42,42,"Bill Haas",187,4,"CurrentParorBetterStreak",2011
42,42,"JP Hayes",410,4,"CurrentParorBetterStreak",2011
42,42,"David Hearn",59,4,"CurrentParorBetterStreak",2011
42,42,"Charley Hoffman",175,4,"CurrentParorBetterStreak",2011
42,42,"Ryuji Imada",201,4,"CurrentParorBetterStreak",2011
42,42,"Brandt Jobe",280,4,"CurrentParorBetterStreak",2011
42,42,"Kent Jones",342,4,"CurrentParorBetterStreak",2011
42,42,"Erick Justesen",3,4,"CurrentParorBetterStreak",2011
42,42,"Sung Kang",21,4,"CurrentParorBetterStreak",2011
42,42,"KT Kim",10,4,"CurrentParorBetterStreak",2011
42,42,"Matt Kuchar",253,4,"CurrentParorBetterStreak",2011
42,42,"Martin Laird",102,4,"CurrentParorBetterStreak",2011
42,42,"Derek Lamely",58,4,"CurrentParorBetterStreak",2011
42,42,"Jarrod Lyle",94,4,"CurrentParorBetterStreak",2011
42,42,"Shaun Micheel",355,4,"CurrentParorBetterStreak",2011
42,42,"John Rollins",306,4,"CurrentParorBetterStreak",2011
42,42,"John Senden",282,4,"CurrentParorBetterStreak",2011
42,42,"Nick Watney",188,4,"CurrentParorBetterStreak",2011
42,42,"Charlie Wi",158,4,"CurrentParorBetterStreak",2011
74,74,"Briny Baird",341,3,"CurrentParorBetterStreak",2011
74,74,"Ricky Barnes",97,3,"CurrentParorBetterStreak",2011
74,74,"Julian Etulain",1,3,"CurrentParorBetterStreak",2011
74,74,"Mathias Gronberg",190,3,"CurrentParorBetterStreak",2011
74,74,"Tim Herron",440,3,"CurrentParorBetterStreak",2011
74,74,"Jose Manuel Lara",6,3,"CurrentParorBetterStreak",2011
74,74,"Frank Lickliter II",415,3,"CurrentParorBetterStreak",2011
74,74,"Sean OHair",179,3,"CurrentParorBetterStreak",2011
74,74,"Ryan Palmer",222,3,"CurrentParorBetterStreak",2011
74,74,"DA Points",148,3,"CurrentParorBetterStreak",2011
74,74,"Michael Sim",67,3,"CurrentParorBetterStreak",2011
74,74,"Brandt Snedeker",143,3,"CurrentParorBetterStreak",2011
74,74,"Lee Westwood",133,3,"CurrentParorBetterStreak",2011
74,74,"Brett Wetterich",157,3,"CurrentParorBetterStreak",2011
74,74,"Tiger Woods",261,3,"CurrentParorBetterStreak",2011
89,89,"Joseph Bramlett",27,2,"CurrentParorBetterStreak",2011
89,89,"Michael Clark II",141,2,"CurrentParorBetterStreak",2011
89,89,"Stuart Deane",7,2,"CurrentParorBetterStreak",2011
89,89,"David Duval",356,2,"CurrentParorBetterStreak",2011
89,89,"Matt Fast",2,2,"CurrentParorBetterStreak",2011
89,89,"Marcus Fraser",5,2,"CurrentParorBetterStreak",2011
89,89,"Mathew Goggin",248,2,"CurrentParorBetterStreak",2011
89,89,"Justin Hicks",26,2,"CurrentParorBetterStreak",2011
89,89,"Jason Hrynkiw",1,2,"CurrentParorBetterStreak",2011
89,89,"Dustin Johnson",97,2,"CurrentParorBetterStreak",2011
89,89,"Troy Kelly",19,2,"CurrentParorBetterStreak",2011
89,89,"Chris Kirk",37,2,"CurrentParorBetterStreak",2011
89,89,"Drew Kittleson",3,2,"CurrentParorBetterStreak",2011
89,89,"Michael Letzig",97,2,"CurrentParorBetterStreak",2011
89,89,"Olafur Loftsson",1,2,"CurrentParorBetterStreak",2011
89,89,"John Mallinger",133,2,"CurrentParorBetterStreak",2011
89,89,"Ben Martin",28,2,"CurrentParorBetterStreak",2011
89,89,"Michio Matsumura",2,2,"CurrentParorBetterStreak",2011
89,89,"Rocco Mediate",596,2,"CurrentParorBetterStreak",2011
89,89,"Kevin Na",209,2,"CurrentParorBetterStreak",2011
89,89,"Aron Price",69,2,"CurrentParorBetterStreak",2011
89,89,"Chad Proehl",2,2,"CurrentParorBetterStreak",2011
89,89,"Chris Riley",314,2,"CurrentParorBetterStreak",2011
89,89,"Camilo Villegas",148,2,"CurrentParorBetterStreak",2011
89,89,"Johnson Wagner",139,2,"CurrentParorBetterStreak",2011
89,89,"Grant Waite",396,2,"CurrentParorBetterStreak",2011
89,89,"Boo Weekley",147,2,"CurrentParorBetterStreak",2011
