"BogeyAverage_RANKTHISWEEK_2008","BogeyAverage_RANKLASTWEEK_2008","BogeyAverage_PLAYERNAME_2008","BogeyAverage_EVENTS_2008","BogeyAverage_AVERAGEBOGEYSPERROUND_2008","BogeyAverage_TOTALBOGEYS_2008","BogeyAverage_ROUNDSPLAYED_2008","stat_name","year"
1,1,"Brian Gay",31,2.3,235,102,"BogeyAverage",2008
2,2,"Tim Wilkinson",29,2.35,223,95,"BogeyAverage",2008
3,3,"Gavin Coles",16,2.39,129,54,"BogeyAverage",2008
3,3,"Steve Marino",32,2.39,284,119,"BogeyAverage",2008
5,5,"Mike Weir",26,2.41,210,87,"BogeyAverage",2008
6,6,"Briny Baird",30,2.42,273,113,"BogeyAverage",2008
6,6,"Justin Leonard",25,2.42,230,95,"BogeyAverage",2008
8,8,"Ben Crane",25,2.43,209,86,"BogeyAverage",2008
9,9,"Charlie Wi",27,2.44,237,97,"BogeyAverage",2008
10,10,"Steve Stricker",22,2.47,178,72,"BogeyAverage",2008
10,10,"Kevin Sutherland",26,2.47,242,98,"BogeyAverage",2008
12,12,"Matt Kuchar",27,2.49,219,88,"BogeyAverage",2008
12,12,"Chris Riley",17,2.49,127,51,"BogeyAverage",2008
12,12,"Mark Wilson",29,2.49,266,107,"BogeyAverage",2008
15,15,"Brad Elder",23,2.52,169,67,"BogeyAverage",2008
16,16,"Jim Furyk",26,2.55,240,94,"BogeyAverage",2008
16,16,"Zach Johnson",25,2.55,214,84,"BogeyAverage",2008
16,16,"Scott Sterling",28,2.55,227,89,"BogeyAverage",2008
19,19,"Shane Bertsch",29,2.56,246,96,"BogeyAverage",2008
19,19,"Steve Elkington",25,2.56,215,84,"BogeyAverage",2008
19,19,"Bob Estes",28,2.56,230,90,"BogeyAverage",2008
19,19,"Mathew Goggin",27,2.56,233,91,"BogeyAverage",2008
19,19,"Bill Haas",31,2.56,253,99,"BogeyAverage",2008
19,19,"Bob Tway",20,2.56,179,70,"BogeyAverage",2008
25,25,"Billy Mayfair",29,2.57,265,103,"BogeyAverage",2008
26,26,"Glen Day",19,2.58,165,64,"BogeyAverage",2008
26,26,"Brenden Pappas",24,2.58,170,66,"BogeyAverage",2008
28,28,"Charley Hoffman",29,2.6,244,94,"BogeyAverage",2008
28,28,"Patrick Sheehan",35,2.6,322,124,"BogeyAverage",2008
