"ScramblingfromtheSand_RANKTHISWEEK_2010","ScramblingfromtheSand_RANKLASTWEEK_2010","ScramblingfromtheSand_PLAYERNAME_2010","ScramblingfromtheSand_ROUNDS_2010","ScramblingfromtheSand_Pct_2010","ScramblingfromtheSand_SUCCESSES_2010","ScramblingfromtheSand_ATTEMPTS_2010","stat_name","year"
1,1,"Luke Donald",71,71.95,59,82,"ScramblingfromtheSand",2010
2,2,"Carl Pettersson",99,69.29,97,140,"ScramblingfromtheSand",2010
3,3,"Mike Weir",59,65.38,51,78,"ScramblingfromtheSand",2010
4,4,"Chad Collins",87,65.14,71,109,"ScramblingfromtheSand",2010
5,5,"Mark Wilson",87,64.94,50,77,"ScramblingfromtheSand",2010
6,6,"Greg Chalmers",93,64.22,70,109,"ScramblingfromtheSand",2010
7,7,"Brian Gay",101,63.57,82,129,"ScramblingfromtheSand",2010
8,8,"Ricky Barnes",103,63.16,72,114,"ScramblingfromtheSand",2010
9,9,"Matt Jones",89,63.11,77,122,"ScramblingfromtheSand",2010
10,10,"Tim Clark",88,63.06,70,111,"ScramblingfromtheSand",2010
11,11,"Trevor Immelman",55,62.71,37,59,"ScramblingfromtheSand",2010
12,12,"Chris Riley",73,62.65,52,83,"ScramblingfromtheSand",2010
13,13,"Rory Sabbatini",79,62.62,67,107,"ScramblingfromtheSand",2010
14,14,"Pat Perez",90,61.62,61,99,"ScramblingfromtheSand",2010
15,15,"Kevin Na",94,61.46,59,96,"ScramblingfromtheSand",2010
16,16,"Stephen Ames",75,61.36,54,88,"ScramblingfromtheSand",2010
17,17,"Michael Sim",64,61.11,44,72,"ScramblingfromtheSand",2010
18,18,"Kevin Sutherland",86,60.98,50,82,"ScramblingfromtheSand",2010
19,19,"Charlie Wi",95,60.95,64,105,"ScramblingfromtheSand",2010
20,20,"Ryuji Imada",90,60.78,62,102,"ScramblingfromtheSand",2010
21,21,"Scott McCarron",90,60.42,58,96,"ScramblingfromtheSand",2010
22,22,"Justin Rose",78,60.34,70,116,"ScramblingfromtheSand",2010
23,23,"Nathan Green",86,60.16,74,123,"ScramblingfromtheSand",2010
24,24,"John Daly",63,60,36,60,"ScramblingfromtheSand",2010
24,24,"Geoff Ogilvy",62,60,45,75,"ScramblingfromtheSand",2010
24,24,"Brandt Snedeker",89,60,69,115,"ScramblingfromtheSand",2010
24,24,"Camilo Villegas",78,60,45,75,"ScramblingfromtheSand",2010
28,28,"Aron Price",70,59.42,41,69,"ScramblingfromtheSand",2010
29,29,"Matt Kuchar",97,59.14,55,93,"ScramblingfromtheSand",2010
30,30,"Retief Goosen",75,59.04,49,83,"ScramblingfromtheSand",2010
31,31,"Zach Johnson",93,59,59,100,"ScramblingfromtheSand",2010
32,32,"Ben Curtis",78,58.9,43,73,"ScramblingfromtheSand",2010
33,33,"Chad Campbell",95,58.7,54,92,"ScramblingfromtheSand",2010
34,34,"John Senden",103,58.67,44,75,"ScramblingfromtheSand",2010
35,35,"Ian Poulter",55,58.57,41,70,"ScramblingfromtheSand",2010
36,36,"Steve Stricker",73,58.54,48,82,"ScramblingfromtheSand",2010
37,37,"Lucas Glover",75,58.46,38,65,"ScramblingfromtheSand",2010
38,38,"Matt Bettencourt",91,58.42,59,101,"ScramblingfromtheSand",2010
39,39,"David Lutterus",69,58.33,49,84,"ScramblingfromtheSand",2010
39,39,"Charles Warren",64,58.33,21,36,"ScramblingfromtheSand",2010
41,41,"Briny Baird",87,58.16,57,98,"ScramblingfromtheSand",2010
42,42,"KJ Choi",82,58.06,54,93,"ScramblingfromtheSand",2010
