"BestYTDStreakwoa3Putt_RANKTHISWEEK_2005","BestYTDStreakwoa3Putt_RANKLASTWEEK_2005","BestYTDStreakwoa3Putt_PLAYERNAME_2005","BestYTDStreakwoa3Putt_EVENTS_2005","BestYTDStreakwoa3Putt_BESTSTREAK_2005","BestYTDStreakwoa3Putt_CURRENTSTREAK_2005","stat_name","year"
1,1,"John Cook",26,361,361,"BestYTDStreakwoa3Putt",2005
2,2,"Stewart Cink",26,351,21,"BestYTDStreakwoa3Putt",2005
3,3,"Jesper Parnevik",24,276,39,"BestYTDStreakwoa3Putt",2005
4,4,"Steve Lowery",32,265,265,"BestYTDStreakwoa3Putt",2005
5,5,"Olin Browne",29,248,88,"BestYTDStreakwoa3Putt",2005
6,6,"Jason Bohn",28,244,7,"BestYTDStreakwoa3Putt",2005
7,7,"Duffy Waldorf",28,243,27,"BestYTDStreakwoa3Putt",2005
8,8,"Bart Bryant",26,241,72,"BestYTDStreakwoa3Putt",2005
9,9,"Paul Goydos",15,237,74,"BestYTDStreakwoa3Putt",2005
10,10,"Rod Pampling",26,235,7,"BestYTDStreakwoa3Putt",2005
11,11,"Chris DiMarco",24,233,44,"BestYTDStreakwoa3Putt",2005
12,12,"JP Hayes",22,232,7,"BestYTDStreakwoa3Putt",2005
13,13,"Jim Furyk",26,229,42,"BestYTDStreakwoa3Putt",2005
14,14,"Bo Van Pelt",33,227,42,"BestYTDStreakwoa3Putt",2005
15,15,"Michael Allen",30,224,4,"BestYTDStreakwoa3Putt",2005
16,16,"Luke Donald",18,223,17,"BestYTDStreakwoa3Putt",2005
17,17,"Arjun Atwal",17,221,25,"BestYTDStreakwoa3Putt",2005
18,18,"Joey Sindelar",29,218,72,"BestYTDStreakwoa3Putt",2005
19,19,"Doug Barron",24,212,29,"BestYTDStreakwoa3Putt",2005
20,20,"Jeff Sluman",28,210,78,"BestYTDStreakwoa3Putt",2005
21,21,"Bob Estes",25,209,9,"BestYTDStreakwoa3Putt",2005
22,22,"Jeff Brehaut",23,208,48,"BestYTDStreakwoa3Putt",2005
23,23,"Carl Pettersson",34,207,207,"BestYTDStreakwoa3Putt",2005
24,24,"Esteban Toledo",7,205,205,"BestYTDStreakwoa3Putt",2005
25,25,"Carlos Franco",25,202,24,"BestYTDStreakwoa3Putt",2005
25,25,"Tom Gillis",28,202,14,"BestYTDStreakwoa3Putt",2005
25,25,"Jeff Hart",23,202,1,"BestYTDStreakwoa3Putt",2005
28,28,"Brian Bateman",32,201,26,"BestYTDStreakwoa3Putt",2005
29,29,"Jerry Kelly",31,199,13,"BestYTDStreakwoa3Putt",2005
29,29,"Hidemichi Tanaka",34,199,6,"BestYTDStreakwoa3Putt",2005
31,31,"Daniel Chopra",34,196,196,"BestYTDStreakwoa3Putt",2005
31,31,"Brian Gay",33,196,36,"BestYTDStreakwoa3Putt",2005
33,33,"Brad Faxon",23,195,41,"BestYTDStreakwoa3Putt",2005
34,34,"Todd Fischer",35,190,1,"BestYTDStreakwoa3Putt",2005
34,34,"Ryuji Imada",25,190,17,"BestYTDStreakwoa3Putt",2005
36,36,"Brent Geiberger",21,189,16,"BestYTDStreakwoa3Putt",2005
36,36,"Rob Rashell",25,189,3,"BestYTDStreakwoa3Putt",2005
