"LeftRoughProximity_RANKTHISWEEK_2011","LeftRoughProximity_RANKLASTWEEK_2011","LeftRoughProximity_PLAYERNAME_2011","LeftRoughProximity_ROUNDS_2011","LeftRoughProximity_AVG_2011","LeftRoughProximity_ATTEMPTS_2011","LeftRoughProximity_TOTALDISTANCEFEET_2011","LeftRoughProximity_RELATIVETOPAR_2011","stat_name","year"
1,1,"Davis Love III",70,NA,101,3654.417,3,"LeftRoughProximity",2011
1,1,"John Rollins",85,NA,77,2783.25,3,"LeftRoughProximity",2011
1,1,"Vijay Singh",79,NA,129,4666.667,3,"LeftRoughProximity",2011
4,4,"Heath Slocum",89,NA,107,3915,12,"LeftRoughProximity",2011
5,5,"JP Hayes",56,NA,76,2835.75,6,"LeftRoughProximity",2011
6,6,"Chris DiMarco",93,NA,117,4405.25,21,"LeftRoughProximity",2011
7,7,"Zack Miller",86,NA,118,4454.583,17,"LeftRoughProximity",2011
8,8,"DJ Brigman",67,NA,108,4087,17,"LeftRoughProximity",2011
9,9,"Chez Reavie",92,NA,121,4595.167,20,"LeftRoughProximity",2011
9,9,"Boo Weekley",66,NA,87,3304.583,17,"LeftRoughProximity",2011
11,11,"Jason Dufner",78,NA,89,3405.333,10,"LeftRoughProximity",2011
11,11,"George McNeill",69,NA,87,3326.167,8,"LeftRoughProximity",2011
13,13,"Brian Gay",90,NA,79,3028.083,4,"LeftRoughProximity",2011
13,13,"Fabian Gomez",84,NA,112,4294.583,19,"LeftRoughProximity",2011
13,13,"Bubba Watson",85,NA,111,4252.417,0,"LeftRoughProximity",2011
16,16,"David Mathis",83,NA,89,3428.083,11,"LeftRoughProximity",2011
17,17,"Harrison Frazar",58,NA,97,3743.75,16,"LeftRoughProximity",2011
18,18,"Brandt Snedeker",85,NA,131,5069.833,3,"LeftRoughProximity",2011
19,19,"David Duval",67,NA,129,4995.333,29,"LeftRoughProximity",2011
19,19,"Rocco Mediate",53,NA,72,2787.167,17,"LeftRoughProximity",2011
21,21,"Ricky Barnes",78,NA,124,4816.833,13,"LeftRoughProximity",2011
22,22,"Martin Laird",77,NA,93,3623.917,0,"LeftRoughProximity",2011
23,23,"Charles Howell III",108,NA,126,4946.5,-1,"LeftRoughProximity",2011
23,23,"DJ Trahan",91,NA,147,5765.5,19,"LeftRoughProximity",2011
25,25,"Scott Stallings",84,NA,104,4088.167,19,"LeftRoughProximity",2011
25,25,"YE Yang",63,NA,84,3307.25,1,"LeftRoughProximity",2011
27,27,"Chris Couch",73,NA,105,4141.083,5,"LeftRoughProximity",2011
27,27,"Carl Pettersson",95,NA,162,6380.167,16,"LeftRoughProximity",2011
29,29,"Ryuji Imada",83,NA,147,5803.917,11,"LeftRoughProximity",2011
30,30,"Charl Schwartzel",58,NA,65,2578.667,11,"LeftRoughProximity",2011
31,31,"Mark Wilson",89,NA,95,3781.917,21,"LeftRoughProximity",2011
32,32,"Kris Blanks",92,NA,113,4512,18,"LeftRoughProximity",2011
33,33,"Angel Cabrera",50,NA,91,3641.333,14,"LeftRoughProximity",2011
33,33,"Rickie Fowler",84,NA,110,4403.583,-4,"LeftRoughProximity",2011
35,35,"Phil Mickelson",79,NA,123,4942.917,0,"LeftRoughProximity",2011
36,36,"Chris Kirk",87,NA,141,5680.833,13,"LeftRoughProximity",2011
37,37,"Chad Campbell",99,NA,118,4761.5,24,"LeftRoughProximity",2011
37,37,"Dustin Johnson",72,NA,97,3909.75,11,"LeftRoughProximity",2011
37,37,"Bill Lunde",92,NA,118,4756,21,"LeftRoughProximity",2011
37,37,"Will Strickler",51,NA,70,2824.25,18,"LeftRoughProximity",2011
41,41,"Matt Kuchar",94,NA,127,5135.917,-5,"LeftRoughProximity",2011
41,41,"Chris Stroud",88,NA,125,5049.833,18,"LeftRoughProximity",2011
43,43,"Woody Austin",59,NA,79,3201.667,18,"LeftRoughProximity",2011
43,43,"Tom Gillis",55,NA,96,3887.333,22,"LeftRoughProximity",2011
45,45,"Sung Kang",63,NA,88,3571.417,20,"LeftRoughProximity",2011
45,45,"Shaun Micheel",77,NA,126,5110,16,"LeftRoughProximity",2011
47,47,"Cameron Beckman",71,NA,123,4998.583,22,"LeftRoughProximity",2011
47,47,"Brian Davis",105,NA,97,3941.667,11,"LeftRoughProximity",2011
49,49,"Steve Elkington",50,NA,42,1712.833,4,"LeftRoughProximity",2011
49,49,"Bill Haas",93,NA,145,5914.667,8,"LeftRoughProximity",2011
51,51,"Robert Garrigus",83,NA,134,5471,-2,"LeftRoughProximity",2011
51,51,"Graeme McDowell",50,NA,52,2123.917,12,"LeftRoughProximity",2011
51,51,"Kevin Stadler",88,NA,146,5959.583,27,"LeftRoughProximity",2011
54,54,"Marc Leishman",87,NA,128,5241.083,14,"LeftRoughProximity",2011
