"Approachesfrominside100yardsRgh_RANKTHISWEEK_2014","Approachesfrominside100yardsRgh_RANKLASTWEEK_2014","Approachesfrominside100yardsRgh_PLAYERNAME_2014","Approachesfrominside100yardsRgh_ROUNDS_2014","Approachesfrominside100yardsRgh_AVG_2014","Approachesfrominside100yardsRgh_TOTALDISTANCEFEET_2014","Approachesfrominside100yardsRgh_OFATTEMPTS_2014","Approachesfrominside100yardsRgh_RELATIVETOPAR_2014","stat_name","year"
1,1,"Hideki Matsuyama",82,NA,257.667,18,1,"Approachesfrominside100yardsRgh",2014
2,2,"Gary Woodland",93,NA,494.75,32,-8,"Approachesfrominside100yardsRgh",2014
3,3,"William McGirt",96,NA,549.917,32,-2,"Approachesfrominside100yardsRgh",2014
4,4,"Seung Yul Noh",92,NA,570.833,33,-1,"Approachesfrominside100yardsRgh",2014
5,5,"Jonathan Byrd",76,NA,388.333,22,1,"Approachesfrominside100yardsRgh",2014
6,6,"Chad Campbell",57,NA,230.833,13,0,"Approachesfrominside100yardsRgh",2014
7,7,"Tim Clark",75,NA,358.417,20,8,"Approachesfrominside100yardsRgh",2014
7,7,"Phil Mickelson",71,NA,501.25,28,-2,"Approachesfrominside100yardsRgh",2014
9,9,"Ian Poulter",57,NA,233.667,13,2,"Approachesfrominside100yardsRgh",2014
10,10,"Matt Jones",83,NA,487.417,27,6,"Approachesfrominside100yardsRgh",2014
11,11,"YE Yang",79,NA,418.167,23,4,"Approachesfrominside100yardsRgh",2014
12,12,"Brian Harman",111,NA,827.417,45,7,"Approachesfrominside100yardsRgh",2014
13,13,"Tommy Gainey",73,NA,444.5,24,-4,"Approachesfrominside100yardsRgh",2014
14,14,"Gonzalo Fdez Castano",83,NA,417.417,22,2,"Approachesfrominside100yardsRgh",2014
14,14,"Danny Lee",84,NA,513.917,27,-2,"Approachesfrominside100yardsRgh",2014
16,16,"Ben Curtis",77,NA,344,18,1,"Approachesfrominside100yardsRgh",2014
17,17,"Erik Compton",88,NA,770.583,40,2,"Approachesfrominside100yardsRgh",2014
18,18,"Sangmoon Bae",76,NA,444,23,-2,"Approachesfrominside100yardsRgh",2014
19,19,"Bryce Molder",77,NA,450.583,23,5,"Approachesfrominside100yardsRgh",2014
20,20,"Zach Johnson",97,NA,603.417,30,6,"Approachesfrominside100yardsRgh",2014
21,21,"Billy Hurley III",86,NA,487.583,24,-1,"Approachesfrominside100yardsRgh",2014
22,22,"Bill Haas",107,NA,1019.083,50,10,"Approachesfrominside100yardsRgh",2014
23,23,"Marc Leishman",81,NA,656.417,32,8,"Approachesfrominside100yardsRgh",2014
23,23,"Webb Simpson",87,NA,656.25,32,4,"Approachesfrominside100yardsRgh",2014
25,25,"Stewart Cink",91,NA,659.5,32,4,"Approachesfrominside100yardsRgh",2014
25,25,"Rory McIlroy",66,NA,391.75,19,-4,"Approachesfrominside100yardsRgh",2014
25,25,"Ryan Moore",86,NA,267.667,13,4,"Approachesfrominside100yardsRgh",2014
28,28,"Scott Langley",95,NA,455.167,22,8,"Approachesfrominside100yardsRgh",2014
29,29,"Woody Austin",63,NA,580.583,28,7,"Approachesfrominside100yardsRgh",2014
30,30,"Luke Donald",57,NA,354.75,17,1,"Approachesfrominside100yardsRgh",2014
30,30,"John Huh",87,NA,458.917,22,-2,"Approachesfrominside100yardsRgh",2014
32,32,"Michael Putnam",106,NA,630.833,30,5,"Approachesfrominside100yardsRgh",2014
32,32,"Cameron Tringale",111,NA,967.75,46,6,"Approachesfrominside100yardsRgh",2014
34,34,"George McNeill",79,NA,441.917,21,1,"Approachesfrominside100yardsRgh",2014
34,34,"Charl Schwartzel",64,NA,757.75,36,-3,"Approachesfrominside100yardsRgh",2014
36,36,"Vijay Singh",83,NA,720.333,34,2,"Approachesfrominside100yardsRgh",2014
37,37,"Aaron Baddeley",74,NA,601.583,28,6,"Approachesfrominside100yardsRgh",2014
37,37,"Kevin Kisner",85,NA,559.5,26,6,"Approachesfrominside100yardsRgh",2014
37,37,"Brian Stuard",91,NA,364.917,17,5,"Approachesfrominside100yardsRgh",2014
40,40,"Angel Cabrera",69,NA,668.083,31,6,"Approachesfrominside100yardsRgh",2014
41,41,"John Rollins",84,NA,779.333,36,4,"Approachesfrominside100yardsRgh",2014
41,41,"Adam Scott",68,NA,498.5,23,-2,"Approachesfrominside100yardsRgh",2014
43,43,"Jonas Blixt",64,NA,804.25,37,3,"Approachesfrominside100yardsRgh",2014
44,44,"Martin Kaymer",65,NA,549.333,25,1,"Approachesfrominside100yardsRgh",2014
44,44,"Kevin Tway",64,NA,352.5,16,0,"Approachesfrominside100yardsRgh",2014
46,46,"Lee Westwood",57,NA,265.25,12,5,"Approachesfrominside100yardsRgh",2014
47,47,"Justin Leonard",75,NA,488.333,22,5,"Approachesfrominside100yardsRgh",2014
47,47,"Boo Weekley",73,NA,420.417,19,2,"Approachesfrominside100yardsRgh",2014
49,49,"David Toms",64,NA,312.5,14,0,"Approachesfrominside100yardsRgh",2014
49,49,"Camilo Villegas",95,NA,624.917,28,8,"Approachesfrominside100yardsRgh",2014
51,51,"Bo Van Pelt",83,NA,561.083,25,5,"Approachesfrominside100yardsRgh",2014
52,52,"Retief Goosen",94,NA,906.417,40,8,"Approachesfrominside100yardsRgh",2014
52,52,"Martin Laird",66,NA,431,19,-1,"Approachesfrominside100yardsRgh",2014
54,54,"Justin Rose",70,NA,568.25,25,3,"Approachesfrominside100yardsRgh",2014
55,55,"Troy Merritt",62,NA,694.083,30,10,"Approachesfrominside100yardsRgh",2014
56,56,"Rory Sabbatini",82,NA,929.25,40,7,"Approachesfrominside100yardsRgh",2014
57,57,"Brian Davis",93,NA,1211.167,52,2,"Approachesfrominside100yardsRgh",2014
57,57,"Martin Flores",85,NA,654.083,28,5,"Approachesfrominside100yardsRgh",2014
57,57,"Hudson Swafford",75,NA,303.583,13,0,"Approachesfrominside100yardsRgh",2014
60,60,"Justin Hicks",103,NA,515.333,22,2,"Approachesfrominside100yardsRgh",2014
61,61,"Steven Bowditch",93,NA,987.083,42,15,"Approachesfrominside100yardsRgh",2014
62,62,"Bubba Watson",76,NA,871.917,37,12,"Approachesfrominside100yardsRgh",2014
63,63,"Patrick Reed",92,NA,1181.333,50,20,"Approachesfrominside100yardsRgh",2014
63,63,"John Senden",99,NA,661.583,28,1,"Approachesfrominside100yardsRgh",2014
65,65,"Stuart Appleby",92,NA,687.75,29,2,"Approachesfrominside100yardsRgh",2014
65,65,"Matt Every",85,NA,570.583,24,0,"Approachesfrominside100yardsRgh",2014
65,65,"Tyrone Van Aswegen",79,NA,736.167,31,10,"Approachesfrominside100yardsRgh",2014
68,68,"Henrik Stenson",56,NA,405,17,-2,"Approachesfrominside100yardsRgh",2014
69,69,"Graham DeLaet",80,NA,622.75,26,2,"Approachesfrominside100yardsRgh",2014
70,70,"KJ Choi",80,NA,335.75,14,3,"Approachesfrominside100yardsRgh",2014
70,70,"Tim Wilkinson",86,NA,865.25,36,4,"Approachesfrominside100yardsRgh",2014
72,72,"Rickie Fowler",91,NA,699.25,29,10,"Approachesfrominside100yardsRgh",2014
73,73,"Brian Gay",81,NA,727.917,30,2,"Approachesfrominside100yardsRgh",2014
73,73,"Ryo Ishikawa",75,NA,872.917,36,12,"Approachesfrominside100yardsRgh",2014
73,73,"Johnson Wagner",69,NA,291.25,12,8,"Approachesfrominside100yardsRgh",2014
76,76,"Jason Day",54,NA,559.083,23,1,"Approachesfrominside100yardsRgh",2014
76,76,"Ken Duke",80,NA,583.333,24,7,"Approachesfrominside100yardsRgh",2014
76,76,"Ernie Els",85,NA,949.333,39,5,"Approachesfrominside100yardsRgh",2014
79,79,"Jamie Lovemark",64,NA,928.583,38,6,"Approachesfrominside100yardsRgh",2014
79,79,"Kyle Stanley",87,NA,537.333,22,4,"Approachesfrominside100yardsRgh",2014
79,79,"Daniel Summerhays",98,NA,611.417,25,6,"Approachesfrominside100yardsRgh",2014
82,82,"Chris Kirk",105,NA,588.25,24,5,"Approachesfrominside100yardsRgh",2014
83,83,"Robert Garrigus",80,NA,788.583,32,13,"Approachesfrominside100yardsRgh",2014
83,83,"Will Ma Kenzie",82,NA,813.833,33,10,"Approachesfrominside100yardsRgh",2014
85,85,"Andres Romero",81,NA,1165.167,47,-3,"Approachesfrominside100yardsRgh",2014
85,85,"Charlie Wi",72,NA,470.333,19,7,"Approachesfrominside100yardsRgh",2014
87,87,"Russell Knox",92,NA,570.333,23,4,"Approachesfrominside100yardsRgh",2014
87,87,"Troy Matteson",62,NA,720.417,29,15,"Approachesfrominside100yardsRgh",2014
87,87,"Geoff Ogilvy",84,NA,1218.333,49,4,"Approachesfrominside100yardsRgh",2014
90,90,"Briny Baird",50,NA,597.5,24,9,"Approachesfrominside100yardsRgh",2014
90,90,"Matt Kuchar",91,NA,721.583,29,5,"Approachesfrominside100yardsRgh",2014
90,90,"Mike Weir",69,NA,447.75,18,4,"Approachesfrominside100yardsRgh",2014
93,93,"Pat Perez",84,NA,853.417,34,6,"Approachesfrominside100yardsRgh",2014
94,94,"Kevin Streelman",79,NA,806.333,32,7,"Approachesfrominside100yardsRgh",2014
95,95,"Jimmy Walker",98,NA,1265,50,-2,"Approachesfrominside100yardsRgh",2014
96,96,"Heath Slocum",71,NA,380.833,15,3,"Approachesfrominside100yardsRgh",2014
97,97,"Dustin Johnson",58,NA,943.5,37,-1,"Approachesfrominside100yardsRgh",2014
