"SpinRate_RANKTHISWEEK_2016","SpinRate_RANKLASTWEEK_2016","SpinRate_PLAYERNAME_2016","SpinRate_ROUNDS_2016","SpinRate_AVG_2016","SpinRate_TOTALSPINSPEED_2016","SpinRate_TOTALATTEMPTS_2016","SpinRate_HIGHESTSPINRATE_2016","SpinRate_LOWESTSPINRATE_2016","stat_name","year"
1,1,"Mark Hubbard",73,3146.5,182497,58,3800,1865,"SpinRate",2016
2,2,"Matthew Fitzpatrick",23,3075,43050,14,3878,2065,"SpinRate",2016
3,3,"Patrick Reed",53,3053.3,94651,31,4048,2133,"SpinRate",2016
4,4,"Steve Stricker",25,3047.7,70098,23,3901,2539,"SpinRate",2016
5,6,"Henrik Stenson",30,2998.1,29981,10,3437,2535,"SpinRate",2016
6,5,"Freddie Jacobson",54,2979.6,92368,31,4091,1576,"SpinRate",2016
7,7,"Smylie Kaufman",57,2948.1,88444,30,5887,1551,"SpinRate",2016
8,8,"Kevin Na",52,2943.2,91240,31,3699,1989,"SpinRate",2016
9,9,"Ben Martin",48,2916.5,122493,42,3406,2274,"SpinRate",2016
10,10,"Sergio Garcia",28,2893.4,26041,9,3311,2357,"SpinRate",2016
11,13,"John Senden",48,2869.1,51644,18,3631,2219,"SpinRate",2016
12,12,"Troy Merritt",41,2868.9,80330,28,3722,1844,"SpinRate",2016
13,15,"Hiroshi Iwata",51,2868.1,111854,39,5557,1427,"SpinRate",2016
14,11,"Brendon de Jonge",55,2853.6,111290,39,4083,1642,"SpinRate",2016
15,14,"Graeme McDowell",33,2852.4,79868,28,5971,2271,"SpinRate",2016
16,16,"William McGirt",54,2824.1,127084,45,3494,1558,"SpinRate",2016
17,20,"George McNeill",33,2821.2,73351,26,3710,2054,"SpinRate",2016
18,17,"Scott Pinckney",53,2813.4,106909,38,4289,1883,"SpinRate",2016
19,27,"Jhonattan Vegas",49,2806.2,95412,34,3855,2144,"SpinRate",2016
20,21,"Andrew Loupe",50,2800.1,114805,41,3714,1880,"SpinRate",2016
21,18,"Chad Collins",45,2791.8,100504,36,3976,2175,"SpinRate",2016
22,19,"Luke Donald",49,2790.5,94878,34,3568,1532,"SpinRate",2016
23,26,"Derek Ernst",36,2764.2,52519,19,3498,2093,"SpinRate",2016
24,31,"Roberto Castro",55,2754.2,126695,46,3874,1772,"SpinRate",2016
25,23,"Pat Perez",28,2752.3,41284,15,3487,1572,"SpinRate",2016
26,22,"Charles Howell III",63,2750.4,129267,47,4069,1700,"SpinRate",2016
27,24,"Steve Marino",40,2745.7,60405,22,4068,2139,"SpinRate",2016
28,34,"Bill Haas",42,2744.3,76841,28,3357,1982,"SpinRate",2016
29,33,"Geoff Ogilvy",37,2739.9,87677,32,3402,2146,"SpinRate",2016
30,29,"Ken Duke",26,2730.8,73732,27,3538,2178,"SpinRate",2016
31,28,"Rob Oppenheim",37,2730.6,76458,28,3869,1777,"SpinRate",2016
32,30,"Robert Streb",51,2724,100787,37,3557,2072,"SpinRate",2016
33,32,"Matt Jones",45,2721.9,46273,17,3663,2235,"SpinRate",2016
34,36,"Marc Leishman",41,2710,78589,29,3483,2001,"SpinRate",2016
35,35,"Jamie Lovemark",57,2709.5,135473,50,3840,1690,"SpinRate",2016
36,37,"Cameron Tringale",47,2708.7,111056,41,3910,1637,"SpinRate",2016
37,25,"Ian Poulter",37,2701.4,70237,26,5232,1944,"SpinRate",2016
38,38,"Charl Schwartzel",29,2700.4,56708,21,3540,1520,"SpinRate",2016
39,47,"Rickie Fowler",42,2697.3,75523,28,3738,1512,"SpinRate",2016
40,41,"Jason Bohn",37,2692.8,48471,18,3377,1993,"SpinRate",2016
41,42,"Luke Guthrie",31,2687.3,53745,20,3258,1874,"SpinRate",2016
42,44,"Andres Gonzales",46,2686.8,96726,36,4710,1786,"SpinRate",2016
43,46,"Fabian Gomez",49,2686.3,115509,43,3888,1745,"SpinRate",2016
44,43,"Jon Curran",55,2680.1,123283,46,3389,1499,"SpinRate",2016
45,39,"Adam Hadwin",53,2678.2,131234,49,3636,1758,"SpinRate",2016
46,45,"Dicky Pride",33,2677,61572,23,3404,2203,"SpinRate",2016
47,49,"Hideki Matsuyama",40,2671,66774,25,3307,2051,"SpinRate",2016
48,48,"Matt Kuchar",46,2668.4,98729,37,3671,1942,"SpinRate",2016
49,50,"Brooks Koepka",39,2664.3,53285,20,3710,1818,"SpinRate",2016
50,62,"Colt Knost",56,2652.9,129993,49,3455,1506,"SpinRate",2016
51,40,"Dawie van der Walt",48,2652.2,84871,32,3677,1954,"SpinRate",2016
52,51,"Shane Lowry",35,2648.4,58264,22,3309,1545,"SpinRate",2016
53,54,"Charley Hoffman",49,2638.9,113472,43,4611,1608,"SpinRate",2016
54,56,"Si Woo Kim",63,2634.4,126451,48,3568,1939,"SpinRate",2016
55,58,"Rhein Gibson",36,2623.4,57714,22,3351,1865,"SpinRate",2016
56,59,"Seung Yul Noh",54,2614.9,115055,44,3674,1543,"SpinRate",2016
57,60,"Bernd Wiesberger",23,2613,39195,15,3100,2121,"SpinRate",2016
58,73,"Phil Mickelson",37,2610.7,52213,20,3332,2159,"SpinRate",2016
59,52,"Tom Hoge",47,2603.9,80721,31,3019,1965,"SpinRate",2016
60,55,"Martin Piller",37,2603.8,65095,25,3134,1815,"SpinRate",2016
61,53,"Emiliano Grillo",47,2602.6,80681,31,3653,1727,"SpinRate",2016
62,61,"Brandt Snedeker",47,2599.7,70193,27,3115,2168,"SpinRate",2016
63,79,"Graham DeLaet",50,2591.1,101051,39,3890,1832,"SpinRate",2016
64,103,"Tony Finau",49,2588.9,75078,29,3627,1536,"SpinRate",2016
65,66,"Kevin Streelman",46,2587.1,77613,30,4954,1897,"SpinRate",2016
66,69,"Cameron Smith",45,2586,72408,28,3786,1835,"SpinRate",2016
67,65,"David Hearn",55,2585.4,108585,42,5863,1524,"SpinRate",2016
68,76,"David Lingmerth",54,2584.4,108546,42,3668,1981,"SpinRate",2016
69,67,"Dustin Johnson",37,2582.6,54234,21,4215,1635,"SpinRate",2016
70,68,"Hudson Swafford",52,2580.2,79987,31,3729,1878,"SpinRate",2016
71,75,"DH Lee",35,2578.3,56723,22,3472,1942,"SpinRate",2016
72,63,"Morgan Hoffmann",43,2577.2,95358,37,3735,1719,"SpinRate",2016
73,64,"Ricky Barnes",57,2576.8,100494,39,3342,1625,"SpinRate",2016
74,70,"Chris Kirk",51,2574,110683,43,3697,1981,"SpinRate",2016
75,71,"Bubba Watson",30,2573.5,30882,12,2993,1867,"SpinRate",2016
76,72,"Billy Horschel",45,2573.2,92636,36,4385,1733,"SpinRate",2016
77,80,"Danny Lee",53,2572.5,97756,38,3726,1813,"SpinRate",2016
78,77,"Greg Owen",56,2569.8,113069,44,3669,1787,"SpinRate",2016
79,78,"Billy Hurley III",22,2557.7,38365,15,2983,1928,"SpinRate",2016
80,57,"Steven Bowditch",40,2550.7,53564,21,3684,1702,"SpinRate",2016
81,83,"Spencer Levin",62,2548.9,135092,53,3369,1655,"SpinRate",2016
82,74,"Thomas Aiken",42,2548,61153,24,3174,1452,"SpinRate",2016
83,98,"Martin Laird",46,2547.7,89168,35,3299,1649,"SpinRate",2016
84,81,"Jason Kokrak",52,2545.5,84000,33,3578,1637,"SpinRate",2016
85,82,"Branden Grace",31,2545.2,43269,17,3579,1601,"SpinRate",2016
86,96,"Ollie Schniederjans",23,2544.1,38162,15,3366,1805,"SpinRate",2016
87,115,"Kelly Kraft",35,2542.1,50842,20,3310,1887,"SpinRate",2016
88,91,"Kevin Chappell",49,2540.5,81297,32,3330,1724,"SpinRate",2016
89,99,"Michael Thompson",46,2540,63499,25,3156,1690,"SpinRate",2016
90,90,"Jason Gore",51,2533.1,93723,37,3427,1599,"SpinRate",2016
91,86,"Russell Henley",42,2530.4,93624,37,4164,1799,"SpinRate",2016
92,87,"Justin Thomas",53,2527.8,93530,37,4401,1937,"SpinRate",2016
93,89,"Aaron Baddeley",51,2527.3,80872,32,3672,1528,"SpinRate",2016
94,93,"Peter Malnati",53,2525.1,65652,26,3048,1908,"SpinRate",2016
