"Total1PuttsInside5_RANKTHISWEEK_2015","Total1PuttsInside5_RANKLASTWEEK_2015","Total1PuttsInside5_PLAYERNAME_2015","Total1PuttsInside5_ROUNDS_2015","Total1PuttsInside5_TOTAL_2015","Total1PuttsInside5_TOTALFORALLDISTANCES_2015","Total1PuttsInside5_PCTOFALL1PUTTS_2015","stat_name","year"
1,1,"Danny Lee",120,385,788,48.9,"Total1PuttsInside5",2015
2,2,"Justin Thomas",106,377,713,52.9,"Total1PuttsInside5",2015
3,3,"Carl Pettersson",106,374,733,51,"Total1PuttsInside5",2015
4,4,"Steven Bowditch",103,363,681,53.3,"Total1PuttsInside5",2015
5,5,"Kevin Kisner",104,352,676,52.1,"Total1PuttsInside5",2015
6,6,"Brendon de Jonge",106,348,655,53.1,"Total1PuttsInside5",2015
7,7,"William McGirt",103,342,680,50.3,"Total1PuttsInside5",2015
8,8,"Scott Brown",97,340,602,56.5,"Total1PuttsInside5",2015
9,9,"Chesson Hadley",101,332,673,49.3,"Total1PuttsInside5",2015
10,10,"Tony Finau",106,325,633,51.3,"Total1PuttsInside5",2015
11,11,"Sangmoon Bae",98,322,671,48,"Total1PuttsInside5",2015
12,12,"Matt Kuchar",97,321,600,53.5,"Total1PuttsInside5",2015
13,13,"Robert Streb",110,320,686,46.6,"Total1PuttsInside5",2015
13,13,"Brendon Todd",96,320,600,53.3,"Total1PuttsInside5",2015
15,15,"Zac Blair",108,317,636,49.8,"Total1PuttsInside5",2015
16,16,"Cameron Tringale",96,314,594,52.9,"Total1PuttsInside5",2015
17,17,"Daniel Summerhays",101,311,659,47.2,"Total1PuttsInside5",2015
18,18,"Chad Campbell",97,310,603,51.4,"Total1PuttsInside5",2015
18,18,"George McNeill",93,310,645,48.1,"Total1PuttsInside5",2015
18,18,"Sean OHair",86,310,589,52.6,"Total1PuttsInside5",2015
18,18,"Patrick Reed",103,310,612,50.7,"Total1PuttsInside5",2015
22,22,"Troy Merritt",91,308,604,51,"Total1PuttsInside5",2015
23,23,"Charles Howell III",105,305,619,49.3,"Total1PuttsInside5",2015
24,24,"Jason Bohn",95,302,627,48.2,"Total1PuttsInside5",2015
25,25,"Kevin Na",98,300,555,54.1,"Total1PuttsInside5",2015
26,26,"Harris English",105,299,644,46.4,"Total1PuttsInside5",2015
26,26,"John Huh",102,299,643,46.5,"Total1PuttsInside5",2015
28,28,"Scott Piercy",90,296,598,49.5,"Total1PuttsInside5",2015
29,29,"Erik Compton",86,294,535,55,"Total1PuttsInside5",2015
30,30,"Daniel Berger",97,292,571,51.1,"Total1PuttsInside5",2015
31,31,"Alex Cejka",94,291,554,52.5,"Total1PuttsInside5",2015
32,32,"Kevin Chappell",86,290,567,51.1,"Total1PuttsInside5",2015
33,33,"James Hahn",94,286,566,50.5,"Total1PuttsInside5",2015
33,33,"Brandt Snedeker",98,286,587,48.7,"Total1PuttsInside5",2015
35,35,"Shawn Stefani",94,285,602,47.3,"Total1PuttsInside5",2015
36,36,"Morgan Hoffmann",85,284,526,54,"Total1PuttsInside5",2015
37,37,"Carlos Ortiz",100,283,578,49,"Total1PuttsInside5",2015
38,38,"Pat Perez",96,281,591,47.5,"Total1PuttsInside5",2015
39,39,"Brian Stuard",97,280,575,48.7,"Total1PuttsInside5",2015
40,40,"Brian Harman",90,278,559,49.7,"Total1PuttsInside5",2015
41,41,"JB Holmes",89,277,522,53.1,"Total1PuttsInside5",2015
41,41,"Ryo Ishikawa",90,277,540,51.3,"Total1PuttsInside5",2015
41,41,"Jason Kokrak",88,277,548,50.5,"Total1PuttsInside5",2015
41,41,"Nick Taylor",91,277,604,45.9,"Total1PuttsInside5",2015
41,41,"Nick Watney",91,277,545,50.8,"Total1PuttsInside5",2015
46,46,"Ken Duke",93,276,554,49.8,"Total1PuttsInside5",2015
46,46,"Charley Hoffman",97,276,557,49.6,"Total1PuttsInside5",2015
48,48,"David Hearn",97,275,608,45.2,"Total1PuttsInside5",2015
48,48,"David Lingmerth",90,275,557,49.4,"Total1PuttsInside5",2015
50,50,"Kyle Reifers",96,274,570,48.1,"Total1PuttsInside5",2015
51,51,"Vijay Singh",78,273,487,56.1,"Total1PuttsInside5",2015
51,51,"Hudson Swafford",97,273,567,48.1,"Total1PuttsInside5",2015
53,53,"Scott Langley",94,272,545,49.9,"Total1PuttsInside5",2015
53,53,"Hideki Matsuyama",95,272,534,50.9,"Total1PuttsInside5",2015
55,55,"John Peterson",84,271,506,53.6,"Total1PuttsInside5",2015
56,56,"Martin Flores",95,269,511,52.6,"Total1PuttsInside5",2015
56,56,"Adam Hadwin",95,269,558,48.2,"Total1PuttsInside5",2015
58,58,"Spencer Levin",99,268,538,49.8,"Total1PuttsInside5",2015
59,59,"Bryce Molder",91,267,565,47.3,"Total1PuttsInside5",2015
60,60,"Matt Jones",89,266,514,51.8,"Total1PuttsInside5",2015
60,60,"Russell Knox",96,266,571,46.6,"Total1PuttsInside5",2015
62,62,"Andres Gonzales",90,265,536,49.4,"Total1PuttsInside5",2015
63,63,"Ricky Barnes",82,264,473,55.8,"Total1PuttsInside5",2015
63,63,"Jordan Spieth",91,264,541,48.8,"Total1PuttsInside5",2015
63,63,"Camilo Villegas",83,264,550,48,"Total1PuttsInside5",2015
63,63,"Mark Wilson",89,264,561,47.1,"Total1PuttsInside5",2015
67,67,"Chad Collins",79,262,473,55.4,"Total1PuttsInside5",2015
67,67,"Derek Fathauer",81,262,493,53.1,"Total1PuttsInside5",2015
67,67,"Brendan Steele",88,262,532,49.2,"Total1PuttsInside5",2015
70,70,"Brian Davis",86,260,522,49.8,"Total1PuttsInside5",2015
70,70,"Fabian Gomez",83,260,516,50.4,"Total1PuttsInside5",2015
72,72,"Jeff Overton",94,259,523,49.5,"Total1PuttsInside5",2015
73,73,"Billy Horschel",99,258,522,49.4,"Total1PuttsInside5",2015
73,73,"Webb Simpson",81,258,452,57.1,"Total1PuttsInside5",2015
75,75,"Luke Guthrie",84,256,497,51.5,"Total1PuttsInside5",2015
76,76,"Jerry Kelly",79,255,502,50.8,"Total1PuttsInside5",2015
77,77,"Steve Wheatcroft",87,254,529,48,"Total1PuttsInside5",2015
78,78,"Rory Sabbatini",81,252,485,52,"Total1PuttsInside5",2015
79,79,"Bill Haas",89,249,467,53.3,"Total1PuttsInside5",2015
79,79,"Colt Knost",90,249,518,48.1,"Total1PuttsInside5",2015
79,79,"Michael Thompson",83,249,515,48.3,"Total1PuttsInside5",2015
