"TotalMoneyOfficialandUnofficial_RANKTHISWEEK_2005","TotalMoneyOfficialandUnofficial_RANKLASTWEEK_2005","TotalMoneyOfficialandUnofficial_PLAYERNAME_2005","TotalMoneyOfficialandUnofficial_EVENTS_2005","TotalMoneyOfficialandUnofficial_MONEY_2005","stat_name","year"
1,1,"Tiger Woods",24,10870524,"TotalMoneyOfficialandUnofficial",2005
2,2,"Vijay Singh",31,8017336,"TotalMoneyOfficialandUnofficial",2005
3,3,"Phil Mickelson",22,5699605,"TotalMoneyOfficialandUnofficial",2005
4,4,"Jim Furyk",28,4460369,"TotalMoneyOfficialandUnofficial",2005
5,7,"Kenny Perry",26,4222155,"TotalMoneyOfficialandUnofficial",2005
6,6,"David Toms",27,4202013,"TotalMoneyOfficialandUnofficial",2005
7,5,"Fred Funk",36,4179296,"TotalMoneyOfficialandUnofficial",2005
8,13,"Luke Donald",20,4055562,"TotalMoneyOfficialandUnofficial",2005
9,8,"Chris DiMarco",27,3848882,"TotalMoneyOfficialandUnofficial",2005
10,9,"Retief Goosen",19,3494106,"TotalMoneyOfficialandUnofficial",2005
11,10,"Bart Bryant",26,3249136,"TotalMoneyOfficialandUnofficial",2005
12,11,"Sergio Garcia",21,3247125,"TotalMoneyOfficialandUnofficial",2005
13,17,"Padraig Harrington",17,3118231,"TotalMoneyOfficialandUnofficial",2005
14,15,"Davis Love III",26,2818779,"TotalMoneyOfficialandUnofficial",2005
15,12,"Adam Scott",21,2792255,"TotalMoneyOfficialandUnofficial",2005
16,20,"Tim Clark",30,2677537,"TotalMoneyOfficialandUnofficial",2005
17,14,"Justin Leonard",25,2665131,"TotalMoneyOfficialandUnofficial",2005
18,16,"Scott Verplank",27,2645213,"TotalMoneyOfficialandUnofficial",2005
19,18,"Ben Crane",22,2527329,"TotalMoneyOfficialandUnofficial",2005
20,19,"Sean OHair",29,2461482,"TotalMoneyOfficialandUnofficial",2005
21,21,"Mark Calcavecchia",30,2429060,"TotalMoneyOfficialandUnofficial",2005
22,22,"Chad Campbell",27,2391432,"TotalMoneyOfficialandUnofficial",2005
23,29,"Fred Couples",27,2289179,"TotalMoneyOfficialandUnofficial",2005
24,54,"Darren Clarke",13,2265921,"TotalMoneyOfficialandUnofficial",2005
25,23,"Olin Browne",30,2243178,"TotalMoneyOfficialandUnofficial",2005
26,24,"Billy Mayfair",31,2236455,"TotalMoneyOfficialandUnofficial",2005
27,25,"Stuart Appleby",26,2202506,"TotalMoneyOfficialandUnofficial",2005
28,26,"Ted Purdy",34,2198368,"TotalMoneyOfficialandUnofficial",2005
29,27,"Tim Herron",29,2184800,"TotalMoneyOfficialandUnofficial",2005
30,46,"Michael Campbell",7,2136810,"TotalMoneyOfficialandUnofficial",2005
31,28,"Brandt Jobe",27,2133149,"TotalMoneyOfficialandUnofficial",2005
32,30,"Charles Howell III",29,2074329,"TotalMoneyOfficialandUnofficial",2005
33,31,"Lucas Glover",28,2050068,"TotalMoneyOfficialandUnofficial",2005
34,32,"Geoff Ogilvy",27,2031676,"TotalMoneyOfficialandUnofficial",2005
35,33,"Carl Pettersson",34,1993851,"TotalMoneyOfficialandUnofficial",2005
36,34,"Zach Johnson",33,1954441,"TotalMoneyOfficialandUnofficial",2005
37,35,"Shigeki Maruyama",29,1933049,"TotalMoneyOfficialandUnofficial",2005
38,36,"John Daly",27,1921171,"TotalMoneyOfficialandUnofficial",2005
39,37,"Peter Lonard",29,1920998,"TotalMoneyOfficialandUnofficial",2005
40,38,"Jason Bohn",28,1888568,"TotalMoneyOfficialandUnofficial",2005
41,39,"Vaughn Taylor",32,1827574,"TotalMoneyOfficialandUnofficial",2005
42,40,"Joe Ogilvie",30,1819547,"TotalMoneyOfficialandUnofficial",2005
43,41,"KJ Choi",25,1792874,"TotalMoneyOfficialandUnofficial",2005
44,42,"Jose Maria Olazabal",16,1764227,"TotalMoneyOfficialandUnofficial",2005
45,43,"Stewart Cink",28,1756049,"TotalMoneyOfficialandUnofficial",2005
46,44,"Tim Petrovic",32,1711229,"TotalMoneyOfficialandUnofficial",2005
47,45,"Brad Faxon",23,1700535,"TotalMoneyOfficialandUnofficial",2005
48,47,"Tom Lehman",20,1655416,"TotalMoneyOfficialandUnofficial",2005
49,48,"Bo Van Pelt",34,1651082,"TotalMoneyOfficialandUnofficial",2005
50,49,"Ernie Els",11,1627184,"TotalMoneyOfficialandUnofficial",2005
51,56,"Colin Montgomerie",7,1618236,"TotalMoneyOfficialandUnofficial",2005
52,50,"Rod Pampling",26,1613815,"TotalMoneyOfficialandUnofficial",2005
53,51,"Tom Pernice Jr",32,1608057,"TotalMoneyOfficialandUnofficial",2005
54,52,"Heath Slocum",29,1606185,"TotalMoneyOfficialandUnofficial",2005
55,53,"Steve Elkington",21,1505350,"TotalMoneyOfficialandUnofficial",2005
56,55,"Justin Rose",29,1465191,"TotalMoneyOfficialandUnofficial",2005
57,57,"Jonathan Kaye",24,1416109,"TotalMoneyOfficialandUnofficial",2005
58,58,"Mike Weir",24,1363467,"TotalMoneyOfficialandUnofficial",2005
59,59,"Greg Owen",24,1352878,"TotalMoneyOfficialandUnofficial",2005
60,60,"Jerry Kelly",31,1352487,"TotalMoneyOfficialandUnofficial",2005
61,61,"Mark Hensby",23,1335637,"TotalMoneyOfficialandUnofficial",2005
62,62,"Ryan Palmer",32,1280002,"TotalMoneyOfficialandUnofficial",2005
63,63,"Jeff Brehaut",23,1271061,"TotalMoneyOfficialandUnofficial",2005
64,64,"Pat Perez",28,1258087,"TotalMoneyOfficialandUnofficial",2005
65,65,"Kevin Na",33,1195204,"TotalMoneyOfficialandUnofficial",2005
66,66,"Robert Allenby",31,1184458,"TotalMoneyOfficialandUnofficial",2005
67,67,"Woody Austin",30,1177095,"TotalMoneyOfficialandUnofficial",2005
68,90,"David Howell",14,1156950,"TotalMoneyOfficialandUnofficial",2005
69,68,"Jeff Sluman",30,1153756,"TotalMoneyOfficialandUnofficial",2005
70,69,"Billy Andrade",26,1120835,"TotalMoneyOfficialandUnofficial",2005
71,70,"Robert Gamez",28,1115364,"TotalMoneyOfficialandUnofficial",2005
72,71,"Graeme McDowell",14,1086859,"TotalMoneyOfficialandUnofficial",2005
73,72,"Bob Tway",26,1072387,"TotalMoneyOfficialandUnofficial",2005
74,73,"Jason Gore",10,1060385,"TotalMoneyOfficialandUnofficial",2005
75,74,"Joey Sindelar",29,1060238,"TotalMoneyOfficialandUnofficial",2005
76,75,"Carlos Franco",26,1053517,"TotalMoneyOfficialandUnofficial",2005
77,76,"Dudley Hart",29,1051339,"TotalMoneyOfficialandUnofficial",2005
78,77,"Joey Snyder III",31,1042696,"TotalMoneyOfficialandUnofficial",2005
79,78,"Scott McCarron",25,1040017,"TotalMoneyOfficialandUnofficial",2005
80,79,"Joe Durant",25,1039699,"TotalMoneyOfficialandUnofficial",2005
81,80,"JL Lewis",30,1031159,"TotalMoneyOfficialandUnofficial",2005
82,81,"Wes Short Jr",16,1029640,"TotalMoneyOfficialandUnofficial",2005
83,82,"Rory Sabbatini",27,1013488,"TotalMoneyOfficialandUnofficial",2005
84,83,"Charles Warren",31,1007276,"TotalMoneyOfficialandUnofficial",2005
85,84,"Aaron Baddeley",27,1006006,"TotalMoneyOfficialandUnofficial",2005
86,85,"Arjun Atwal",18,1003768,"TotalMoneyOfficialandUnofficial",2005
87,86,"Harrison Frazar",31,999083,"TotalMoneyOfficialandUnofficial",2005
88,87,"Brett Quigley",31,998155,"TotalMoneyOfficialandUnofficial",2005
89,88,"Arron Oberholser",22,991796,"TotalMoneyOfficialandUnofficial",2005
90,117,"Thomas Bjorn",9,989267,"TotalMoneyOfficialandUnofficial",2005
91,89,"John Huston",32,972970,"TotalMoneyOfficialandUnofficial",2005
92,91,"Stephen Ames",24,959665,"TotalMoneyOfficialandUnofficial",2005
93,92,"Bernhard Langer",19,952451,"TotalMoneyOfficialandUnofficial",2005
94,93,"Steve Lowery",32,950274,"TotalMoneyOfficialandUnofficial",2005
95,94,"Ian Poulter",20,946890,"TotalMoneyOfficialandUnofficial",2005
96,95,"Loren Roberts",19,945580,"TotalMoneyOfficialandUnofficial",2005
97,96,"JJ Henry",32,942347,"TotalMoneyOfficialandUnofficial",2005
98,97,"Daniel Chopra",34,893368,"TotalMoneyOfficialandUnofficial",2005
99,98,"Tag Ridings",31,891812,"TotalMoneyOfficialandUnofficial",2005
100,99,"Nick Price",18,891736,"TotalMoneyOfficialandUnofficial",2005
101,100,"Bob Estes",25,891477,"TotalMoneyOfficialandUnofficial",2005
102,101,"Nick OHern",14,889202,"TotalMoneyOfficialandUnofficial",2005
103,102,"Ryan Moore",17,871250,"TotalMoneyOfficialandUnofficial",2005
104,103,"Steve Flesch",30,869106,"TotalMoneyOfficialandUnofficial",2005
105,104,"Freddie Jacobson",23,868525,"TotalMoneyOfficialandUnofficial",2005
