"3PuttsperRound_RANKTHISWEEK_2015","3PuttsperRound_RANKLASTWEEK_2015","3PuttsperRound_PLAYERNAME_2015","3PuttsperRound_ROUNDS_2015","3PuttsperRound_AVG_2015","3PuttsperRound_TOTAL3PUTTS_2015","3PuttsperRound_TOTALROUNDS_2015","stat_name","year"
1,1,"Lucas Glover",79,0.92,73,79,"3PuttsperRound",2015
2,2,"Adam Scott",51,0.85,41,48,"3PuttsperRound",2015
3,3,"Jason Dufner",76,0.79,58,73,"3PuttsperRound",2015
3,3,"Geoff Ogilvy",50,0.79,38,48,"3PuttsperRound",2015
5,5,"Camilo Villegas",83,0.77,64,83,"3PuttsperRound",2015
6,6,"Charlie Beljan",76,0.76,55,72,"3PuttsperRound",2015
7,7,"Robert Garrigus",70,0.74,49,66,"3PuttsperRound",2015
8,8,"Stewart Cink",77,0.73,56,77,"3PuttsperRound",2015
8,8,"Derek Ernst",75,0.73,52,71,"3PuttsperRound",2015
8,8,"John Merrick",78,0.73,54,74,"3PuttsperRound",2015
8,8,"Charl Schwartzel",67,0.73,46,63,"3PuttsperRound",2015
8,8,"Lee Westwood",56,0.73,38,52,"3PuttsperRound",2015
13,13,"Webb Simpson",81,0.72,56,78,"3PuttsperRound",2015
14,14,"Robert Allenby",63,0.71,42,59,"3PuttsperRound",2015
14,14,"DA Points",72,0.71,50,70,"3PuttsperRound",2015
16,16,"Keegan Bradley",87,0.7,59,84,"3PuttsperRound",2015
16,16,"Bill Lunde",50,0.7,32,46,"3PuttsperRound",2015
16,16,"Bo Van Pelt",81,0.7,55,79,"3PuttsperRound",2015
19,19,"Ernie Els",57,0.68,39,57,"3PuttsperRound",2015
20,20,"Ken Duke",93,0.67,60,89,"3PuttsperRound",2015
20,20,"Jason Gore",76,0.67,48,72,"3PuttsperRound",2015
20,20,"Henrik Stenson",63,0.67,40,60,"3PuttsperRound",2015
20,20,"Andrew Svoboda",80,0.67,52,78,"3PuttsperRound",2015
20,20,"Nicholas Thompson",90,0.67,58,86,"3PuttsperRound",2015
25,25,"Michael Putnam",87,0.66,56,85,"3PuttsperRound",2015
25,25,"Heath Slocum",57,0.66,35,53,"3PuttsperRound",2015
27,27,"Padraig Harrington",60,0.65,39,60,"3PuttsperRound",2015
28,28,"Blayne Barber",76,0.64,47,74,"3PuttsperRound",2015
28,28,"Billy Horschel",99,0.64,61,96,"3PuttsperRound",2015
28,28,"Rory Sabbatini",81,0.64,52,81,"3PuttsperRound",2015
28,28,"Byron Smith",59,0.64,35,55,"3PuttsperRound",2015
32,32,"Daniel Berger",97,0.63,61,97,"3PuttsperRound",2015
32,32,"Vijay Singh",78,0.63,49,78,"3PuttsperRound",2015
32,32,"Cameron Tringale",96,0.63,60,96,"3PuttsperRound",2015
32,32,"Nick Watney",91,0.63,57,91,"3PuttsperRound",2015
36,36,"Jim Renner",68,0.62,41,66,"3PuttsperRound",2015
36,36,"Sam Saunders",83,0.62,50,81,"3PuttsperRound",2015
36,36,"Scott Stallings",60,0.62,37,60,"3PuttsperRound",2015
36,36,"Boo Weekley",79,0.62,49,79,"3PuttsperRound",2015
40,40,"Retief Goosen",81,0.61,47,77,"3PuttsperRound",2015
40,40,"SJ Park",79,0.61,47,77,"3PuttsperRound",2015
40,40,"John Senden",80,0.61,46,75,"3PuttsperRound",2015
40,40,"Gary Woodland",81,0.61,45,74,"3PuttsperRound",2015
44,44,"Kevin Chappell",86,0.6,52,86,"3PuttsperRound",2015
44,44,"Matt Every",73,0.6,42,70,"3PuttsperRound",2015
44,44,"JB Holmes",89,0.6,51,85,"3PuttsperRound",2015
44,44,"Martin Laird",77,0.6,46,77,"3PuttsperRound",2015
44,44,"Ben Martin",93,0.6,54,90,"3PuttsperRound",2015
44,44,"Greg Owen",58,0.6,35,58,"3PuttsperRound",2015
44,44,"Kyle Reifers",96,0.6,55,92,"3PuttsperRound",2015
44,44,"Chris Stroud",84,0.6,50,84,"3PuttsperRound",2015
44,44,"Bubba Watson",71,0.6,41,68,"3PuttsperRound",2015
53,53,"Ben Crane",62,0.59,34,58,"3PuttsperRound",2015
