"EarlyPar4ScoringAverage_RANKTHISWEEK_2010","EarlyPar4ScoringAverage_RANKLASTWEEK_2010","EarlyPar4ScoringAverage_PLAYERNAME_2010","EarlyPar4ScoringAverage_ROUNDS_2010","EarlyPar4ScoringAverage_AVG_2010","EarlyPar4ScoringAverage_TOTALSTROKES_2010","EarlyPar4ScoringAverage_TOTALHOLES_2010","stat_name","year"
79,79,"Tom Gillis",97,4.02,2169,540,"EarlyPar4ScoringAverage",2010
79,79,"Lucas Glover",75,4.02,1523,379,"EarlyPar4ScoringAverage",2010
79,79,"Bill Haas",87,4.02,1551,386,"EarlyPar4ScoringAverage",2010
79,79,"Dustin Johnson",83,4.02,1476,367,"EarlyPar4ScoringAverage",2010
79,79,"Michael Letzig",84,4.02,2004,499,"EarlyPar4ScoringAverage",2010
79,79,"Spencer Levin",110,4.02,2451,609,"EarlyPar4ScoringAverage",2010
79,79,"Will Ma Kenzie",72,4.02,1599,398,"EarlyPar4ScoringAverage",2010
79,79,"Sean OHair",84,4.02,1447,360,"EarlyPar4ScoringAverage",2010
79,79,"Ryan Palmer",84,4.02,1879,467,"EarlyPar4ScoringAverage",2010
79,79,"Andres Romero",73,4.02,1722,428,"EarlyPar4ScoringAverage",2010
79,79,"Michael Sim",64,4.02,1147,285,"EarlyPar4ScoringAverage",2010
79,79,"Paul Stankowski",62,4.02,1539,383,"EarlyPar4ScoringAverage",2010
94,94,"Woody Austin",93,4.03,2125,527,"EarlyPar4ScoringAverage",2010
94,94,"Henrik Bjornstad",72,4.03,1703,423,"EarlyPar4ScoringAverage",2010
94,94,"Chad Campbell",95,4.03,2313,574,"EarlyPar4ScoringAverage",2010
94,94,"Alex Cejka",81,4.03,1791,444,"EarlyPar4ScoringAverage",2010
94,94,"James Driscoll",78,4.03,1767,439,"EarlyPar4ScoringAverage",2010
94,94,"Robert Garrigus",71,4.03,1676,416,"EarlyPar4ScoringAverage",2010
94,94,"Mathew Goggin",85,4.03,2014,500,"EarlyPar4ScoringAverage",2010
94,94,"Padraig Harrington",57,4.03,1061,263,"EarlyPar4ScoringAverage",2010
94,94,"JP Hayes",79,4.03,1794,445,"EarlyPar4ScoringAverage",2010
94,94,"Ryuji Imada",90,4.03,2051,509,"EarlyPar4ScoringAverage",2010
94,94,"Zach Johnson",93,4.03,2035,505,"EarlyPar4ScoringAverage",2010
94,94,"Richard Johnson",90,4.03,2071,514,"EarlyPar4ScoringAverage",2010
94,94,"Jerry Kelly",99,4.03,2104,522,"EarlyPar4ScoringAverage",2010
94,94,"Adam Scott",70,4.03,1197,297,"EarlyPar4ScoringAverage",2010
94,94,"Kevin Stadler",86,4.03,1855,460,"EarlyPar4ScoringAverage",2010
94,94,"Brian Stuard",81,4.03,1669,414,"EarlyPar4ScoringAverage",2010
94,94,"Mark Wilson",87,4.03,1995,495,"EarlyPar4ScoringAverage",2010
111,111,"Blake Adams",84,4.04,1947,482,"EarlyPar4ScoringAverage",2010
111,111,"Robert Allenby",76,4.04,1485,368,"EarlyPar4ScoringAverage",2010
111,111,"Brent Delahoussaye",57,4.04,1362,337,"EarlyPar4ScoringAverage",2010
111,111,"Jason Dufner",87,4.04,2166,536,"EarlyPar4ScoringAverage",2010
