"BogeyAverage_RANKTHISWEEK_2010","BogeyAverage_RANKLASTWEEK_2010","BogeyAverage_PLAYERNAME_2010","BogeyAverage_EVENTS_2010","BogeyAverage_AVERAGEBOGEYSPERROUND_2010","BogeyAverage_TOTALBOGEYS_2010","BogeyAverage_ROUNDSPLAYED_2010","stat_name","year"
1,1,"Charles Howell III",28,1.94,200,103,"BogeyAverage",2010
2,2,"Kevin Sutherland",25,2.01,173,86,"BogeyAverage",2010
3,3,"Dean Wilson",18,2.02,109,54,"BogeyAverage",2010
4,4,"Steve Elkington",22,2.08,154,74,"BogeyAverage",2010
5,5,"Matt Kuchar",26,2.09,199,95,"BogeyAverage",2010
6,6,"Retief Goosen",19,2.13,151,71,"BogeyAverage",2010
7,7,"Charlie Wi",27,2.15,204,95,"BogeyAverage",2010
8,8,"Brian Gay",30,2.17,213,98,"BogeyAverage",2010
9,9,"Steve Stricker",19,2.18,157,72,"BogeyAverage",2010
10,10,"Greg Chalmers",27,2.19,204,93,"BogeyAverage",2010
10,10,"Luke Donald",20,2.19,149,68,"BogeyAverage",2010
10,10,"Tom Pernice Jr",22,2.19,162,74,"BogeyAverage",2010
13,13,"Paul Casey",17,2.21,128,58,"BogeyAverage",2010
13,13,"Mark Wilson",28,2.21,192,87,"BogeyAverage",2010
15,15,"Jonathan Byrd",26,2.22,189,85,"BogeyAverage",2010
15,15,"Chris Riley",24,2.22,162,73,"BogeyAverage",2010
17,17,"Freddie Jacobson",24,2.25,187,83,"BogeyAverage",2010
17,17,"Kevin Na",26,2.25,209,93,"BogeyAverage",2010
19,19,"KJ Choi",22,2.27,186,82,"BogeyAverage",2010
19,19,"Tim Clark",24,2.27,193,85,"BogeyAverage",2010
21,21,"Chad Collins",26,2.28,198,87,"BogeyAverage",2010
21,21,"Chris DiMarco",25,2.28,201,88,"BogeyAverage",2010
21,21,"Richard Johnson",27,2.28,205,90,"BogeyAverage",2010
24,24,"Ernie Els",20,2.31,162,70,"BogeyAverage",2010
24,24,"Jim Furyk",21,2.31,171,74,"BogeyAverage",2010
24,24,"Pat Perez",27,2.31,208,90,"BogeyAverage",2010
24,24,"Omar Uresti",27,2.31,171,74,"BogeyAverage",2010
24,24,"Bo Van Pelt",28,2.31,240,104,"BogeyAverage",2010
29,29,"Spencer Levin",31,2.32,255,110,"BogeyAverage",2010
29,29,"Heath Slocum",25,2.32,225,97,"BogeyAverage",2010
31,31,"Carl Pettersson",29,2.33,231,99,"BogeyAverage",2010
31,31,"Boo Weekley",27,2.33,205,88,"BogeyAverage",2010
33,33,"Joe Durant",19,2.34,157,67,"BogeyAverage",2010
33,33,"JJ Henry",27,2.34,215,92,"BogeyAverage",2010
33,33,"Ryan Moore",24,2.34,185,79,"BogeyAverage",2010
33,33,"John Senden",30,2.34,241,103,"BogeyAverage",2010
