"MoneyLeaders_RANKTHISWEEK_2008","MoneyLeaders_RANKLASTWEEK_2008","MoneyLeaders_PLAYERNAME_2008","MoneyLeaders_EVENTS_2008","MoneyLeaders_MONEY_2008","MoneyLeaders_YTDVICTORIES_2008","stat_name","year"
1,1,"Vijay Singh",23,6601094,3,"MoneyLeaders",2008
2,2,"Tiger Woods",6,5775000,4,"MoneyLeaders",2008
3,3,"Phil Mickelson",21,5188875,2,"MoneyLeaders",2008
4,4,"Sergio Garcia",19,4858224,1,"MoneyLeaders",2008
5,5,"Kenny Perry",26,4663794,3,"MoneyLeaders",2008
6,6,"Anthony Kim",22,4656265,2,"MoneyLeaders",2008
7,7,"Camilo Villegas",22,4422641,2,"MoneyLeaders",2008
8,8,"Padraig Harrington",15,4313551,2,"MoneyLeaders",2008
9,9,"Stewart Cink",23,3979301,1,"MoneyLeaders",2008
10,10,"Justin Leonard",25,3943542,1,"MoneyLeaders",2008
11,11,"Robert Allenby",28,3606700,NA,"MoneyLeaders",2008
12,12,"Jim Furyk",26,3455714,NA,"MoneyLeaders",2008
13,13,"Ryuji Imada",25,3029363,1,"MoneyLeaders",2008
14,14,"Mike Weir",26,3020135,NA,"MoneyLeaders",2008
15,15,"Geoff Ogilvy",20,2880099,1,"MoneyLeaders",2008
16,16,"KJ Choi",21,2683442,1,"MoneyLeaders",2008
17,17,"Ben Curtis",22,2615798,NA,"MoneyLeaders",2008
18,18,"Kevin Sutherland",26,2581311,NA,"MoneyLeaders",2008
19,19,"Trevor Immelman",22,2566199,1,"MoneyLeaders",2008
20,20,"Ernie Els",16,2537290,1,"MoneyLeaders",2008
21,21,"Carl Pettersson",29,2512538,1,"MoneyLeaders",2008
22,22,"Stuart Appleby",23,2484630,NA,"MoneyLeaders",2008
23,23,"Steve Stricker",22,2438304,NA,"MoneyLeaders",2008
24,24,"Chad Campbell",28,2404770,NA,"MoneyLeaders",2008
25,25,"Boo Weekley",24,2398751,1,"MoneyLeaders",2008
26,26,"DJ Trahan",27,2304368,1,"MoneyLeaders",2008
27,27,"Stephen Ames",24,2285707,NA,"MoneyLeaders",2008
28,28,"Ken Duke",33,2238885,NA,"MoneyLeaders",2008
29,29,"Dudley Hart",22,2218817,NA,"MoneyLeaders",2008
30,30,"Hunter Mahan",27,2208855,NA,"MoneyLeaders",2008
31,31,"Brian Gay",31,2205513,1,"MoneyLeaders",2008
32,32,"JB Holmes",26,2166131,1,"MoneyLeaders",2008
33,33,"Woody Austin",30,2146431,NA,"MoneyLeaders",2008
34,34,"Steve Marino",32,2094267,NA,"MoneyLeaders",2008
35,35,"Sean OHair",25,2089857,1,"MoneyLeaders",2008
36,36,"Andres Romero",20,2064612,1,"MoneyLeaders",2008
37,37,"Briny Baird",30,2039808,NA,"MoneyLeaders",2008
38,38,"Jeff Quinney",28,1999371,NA,"MoneyLeaders",2008
39,39,"Adam Scott",15,1979160,1,"MoneyLeaders",2008
40,40,"Mathew Goggin",27,1969962,NA,"MoneyLeaders",2008
41,41,"Nicholas Thompson",36,1869329,NA,"MoneyLeaders",2008
42,42,"Dustin Johnson",30,1789895,1,"MoneyLeaders",2008
43,43,"Pat Perez",27,1756038,NA,"MoneyLeaders",2008
44,44,"Billy Mayfair",29,1750683,NA,"MoneyLeaders",2008
45,45,"Tim Clark",27,1722030,NA,"MoneyLeaders",2008
46,46,"Bart Bryant",23,1719153,NA,"MoneyLeaders",2008
47,47,"Rod Pampling",28,1702952,NA,"MoneyLeaders",2008
48,48,"Davis Love III",23,1695237,1,"MoneyLeaders",2008
